itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem,party_id_leaners_rep,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Ron DeSantis [Duh-SAN-Tis].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Ron DeSantis [Duh-SAN-Tis].",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Ron DeSantis [Duh-SAN-Tis].",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very favorable,21%,15%,28%,15%,27%,18%,26%,24%,7%,11%,0%,20%,22%,21%,25%,12%,24%,26%,0%,25%,0%,0%,24%,17%,0%,23%,0%,26%,17%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat favorable,39%,48%,32%,33%,43%,44%,34%,40%,4%,30%,57%,40%,39%,38%,42%,42%,43%,41%,12%,42%,50%,4%,42%,31%,2%,42%,7%,45%,41%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat unfavorable,14%,13%,16%,9%,15%,14%,17%,16%,7%,9%,2%,15%,14%,16%,15%,20%,15%,10%,15%,14%,19%,9%,13%,19%,9%,14%,21%,13%,13%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very unfavorable,12%,12%,12%,12%,9%,11%,16%,9%,48%,34%,15%,21%,8%,20%,4%,5%,8%,17%,57%,7%,17%,62%,9%,19%,70%,9%,56%,5%,19%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Have not heard of,6%,7%,4%,14%,2%,7%,3%,5%,0%,14%,15%,3%,8%,4%,6%,12%,4%,3%,14%,6%,0%,0%,4%,10%,8%,5%,6%,6%,4%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,7%,5%,8%,17%,4%,7%,4%,6%,33%,2%,11%,2%,8%,1%,8%,9%,7%,4%,3%,7%,14%,25%,7%,4%,11%,6%,10%,6%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Favorable,61%,63%,59%,48%,69%,62%,60%,64%,11%,41%,57%,60%,62%,59%,67%,54%,66%,67%,12%,67%,50%,4%,67%,48%,2%,65%,7%,70%,58%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Unfavorable,27%,25%,28%,21%,24%,25%,33%,25%,55%,43%,17%,35%,22%,36%,19%,25%,23%,26%,71%,21%,36%,71%,23%,38%,79%,23%,77%,18%,31%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,380,203,175,56,88,135,88,307,13,37,16,163,213,141,165,88,84,178,40,319,21,9,262,92,21,351,47,275,43,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,50%,50%,11%,19%,39%,29%,84%,2%,8%,4%,33%,66%,28%,55%,25%,22%,44%,10%,85%,5%,2%,72%,21%,5%,94%,11%,78%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Nikki Haley.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Nikki Haley.",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Nikki Haley.",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very favorable,12%,11%,14%,4%,6%,9%,24%,12%,5%,7%,22%,19%,8%,20%,8%,12%,9%,14%,22%,9%,41%,13%,13%,12%,9%,12%,10%,12%,15%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat favorable,32%,41%,24%,25%,30%,36%,31%,34%,20%,23%,34%,38%,29%,39%,30%,37%,30%,34%,37%,32%,27%,26%,34%,34%,41%,32%,34%,34%,21%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat unfavorable,16%,13%,20%,16%,19%,18%,12%,17%,0%,18%,15%,19%,16%,17%,17%,10%,20%,21%,20%,17%,3%,24%,15%,20%,20%,16%,22%,15%,21%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very unfavorable,11%,10%,12%,3%,8%,10%,15%,10%,17%,23%,9%,8%,12%,7%,11%,6%,10%,10%,9%,12%,1%,12%,10%,12%,11%,11%,11%,11%,9%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Have not heard of,12%,9%,13%,17%,14%,12%,7%,12%,0%,18%,7%,6%,15%,6%,15%,14%,17%,7%,10%,12%,8%,0%,10%,13%,8%,11%,11%,11%,20%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,16%,16%,17%,35%,22%,14%,10%,16%,58%,11%,13%,9%,20%,11%,19%,21%,14%,14%,2%,18%,21%,25%,18%,9%,11%,17%,12%,17%,15%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Favorable,45%,52%,37%,29%,36%,45%,55%,46%,25%,30%,56%,58%,37%,59%,38%,49%,40%,49%,59%,42%,68%,39%,46%,46%,50%,45%,45%,46%,36%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Unfavorable,27%,23%,32%,19%,27%,28%,27%,26%,17%,41%,24%,27%,28%,24%,28%,16%,30%,31%,29%,29%,4%,36%,25%,33%,31%,27%,33%,26%,30%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,380,203,175,56,88,135,88,307,13,37,16,163,213,141,165,88,84,178,40,319,21,9,262,92,21,351,47,275,43,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,50%,50%,11%,19%,39%,29%,84%,2%,8%,4%,33%,66%,28%,55%,25%,22%,44%,10%,85%,5%,2%,72%,21%,5%,94%,11%,78%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on the Israeli-Palestinian [pah-luh-stin-ian] conflict.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on the Israeli-Palestinian [pah-luh-stin-ian] conflict.",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on the Israeli-Palestinian [pah-luh-stin-ian] conflict.",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Joe Biden,41%,37%,43%,32%,43%,37%,49%,40%,62%,33%,41%,53%,32%,57%,26%,41%,39%,46%,81%,3%,19%,78%,8%,42%,77%,8%,77%,4%,22%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump,46%,48%,45%,46%,43%,53%,40%,51%,23%,40%,37%,33%,54%,35%,63%,49%,46%,42%,8%,91%,16%,10%,88%,40%,10%,84%,10%,89%,53%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,14%,15%,12%,22%,14%,10%,10%,9%,16%,28%,23%,13%,13%,7%,11%,10%,14%,12%,11%,7%,65%,12%,5%,18%,13%,8%,13%,7%,25%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling the Israeli-Palestinian [pah-luh-stin-ian] conflict?FOLLOW UP:  Is that strongly or somewhat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling the Israeli-Palestinian [pah-luh-stin-ian] conflict?FOLLOW UP:  Is that strongly or somewhat?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling the Israeli-Palestinian [pah-luh-stin-ian] conflict?FOLLOW UP:  Is that strongly or somewhat?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly approve,12%,12%,13%,4%,5%,10%,25%,11%,24%,13%,6%,12%,12%,14%,9%,16%,10%,14%,25%,1%,0%,28%,3%,9%,24%,3%,24%,2%,2%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat approve,23%,24%,22%,16%,23%,21%,29%,23%,29%,20%,14%,29%,19%,30%,17%,18%,26%,23%,34%,11%,23%,31%,12%,28%,31%,14%,32%,13%,20%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat disapprove,20%,21%,20%,25%,24%,22%,12%,20%,19%,20%,30%,21%,20%,21%,19%,19%,22%,21%,19%,22%,22%,19%,23%,21%,19%,22%,19%,21%,29%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly disapprove,35%,34%,36%,48%,36%,39%,28%,37%,21%,33%,44%,28%,41%,25%,46%,39%,33%,35%,15%,59%,24%,15%,55%,33%,18%,54%,18%,58%,38%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,9%,9%,9%,8%,11%,8%,6%,9%,7%,13%,6%,10%,8%,9%,8%,8%,9%,6%,7%,7%,31%,7%,7%,9%,8%,7%,7%,7%,11%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Approve,35%,36%,35%,19%,28%,31%,54%,34%,53%,33%,20%,41%,31%,45%,26%,34%,36%,37%,59%,12%,23%,59%,15%,37%,55%,17%,56%,15%,22%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Disapprove,56%,55%,56%,73%,60%,61%,40%,57%,41%,53%,75%,49%,61%,46%,66%,58%,55%,57%,34%,81%,46%,34%,78%,54%,37%,76%,37%,78%,67%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If disapprove of Biden on Israel)  Do you think Joe Biden is too supportive of Israel, too supportive of the Palestinians [pah-luh-stin-ians], or is his support of Israel and the Palestinians [pah-luh-stin-ians] about right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If disapprove of Biden on Israel)  Do you think Joe Biden is too supportive of Israel, too supportive of the Palestinians [pah-luh-stin-ians], or is his support of Israel and the Palestinians [pah-luh-stin-ians] about right?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If disapprove of Biden on Israel)  Do you think Joe Biden is too supportive of Israel, too supportive of the Palestinians [pah-luh-stin-ians], or is his support of Israel and the Palestinians [pah-luh-stin-ians] about right?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Too supportive of Israel,18%,17%,17%,47%,23%,13%,7%,14%,21%,25%,44%,20%,16%,15%,13%,20%,18%,17%,23%,11%,19%,25%,9%,19%,25%,10%,24%,7%,27%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Too supportive of the Palestinians,17%,19%,16%,6%,14%,23%,19%,21%,6%,9%,11%,13%,20%,15%,25%,15%,14%,21%,2%,37%,2%,2%,38%,12%,2%,34%,2%,40%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",About right,21%,18%,23%,21%,24%,25%,13%,23%,13%,19%,20%,16%,25%,16%,28%,23%,23%,19%,9%,33%,26%,8%,31%,23%,10%,32%,11%,31%,32%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Strongly approve,12%,12%,13%,4%,5%,10%,25%,11%,24%,13%,6%,12%,12%,14%,9%,16%,10%,14%,25%,1%,0%,28%,3%,9%,24%,3%,24%,2%,2%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Somewhat approve,23%,24%,22%,16%,23%,21%,29%,23%,29%,20%,14%,29%,19%,30%,17%,18%,26%,23%,34%,11%,23%,31%,12%,28%,31%,14%,32%,13%,20%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Don't know/Refused,9%,9%,9%,8%,11%,8%,6%,9%,7%,13%,6%,10%,8%,9%,8%,8%,9%,6%,7%,7%,31%,7%,7%,9%,8%,7%,7%,7%,11%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you support or oppose providing additional economic and military support to Israel?[FOLLOW UP: Is that strongly or somewhat?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you support or oppose providing additional economic and military support to Israel?[FOLLOW UP: Is that strongly or somewhat?],Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners,Party ID + Leaners,2020 Vote,2020 Vote,2020 Vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you support or oppose providing additional economic and military support to Israel?[FOLLOW UP: Is that strongly or somewhat?],Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college",Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.,Rep.,Biden,Trump,Did not vote,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly support,29%,35%,25%,14%,19%,34%,41%,32%,23%,22%,22%,26%,31%,30%,33%,29%,25%,33%,23%,38%,19%,25%,40%,25%,22%,39%,23%,42%,15%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat support,27%,25%,30%,24%,27%,26%,31%,29%,30%,22%,13%,29%,27%,31%,28%,29%,30%,24%,27%,29%,24%,29%,30%,26%,27%,27%,27%,30%,21%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat oppose,15%,14%,17%,16%,19%,14%,13%,15%,10%,21%,18%,15%,16%,13%,16%,14%,15%,17%,19%,11%,17%,16%,12%,19%,18%,13%,18%,11%,25%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly oppose,21%,20%,20%,40%,28%,21%,8%,18%,29%,24%,40%,21%,21%,18%,18%,20%,24%,22%,24%,17%,26%,23%,12%,24%,26%,15%,25%,13%,31%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Have not heard of this,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,<1%,0%,0%,1%,<.5%,<1%,<.5%,1%,<.5%,<.5%,<1%,<1%,<.5%,<1%,<.5%,0%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,7%,5%,7%,6%,7%,5%,7%,6%,8%,10%,7%,8%,5%,7%,5%,7%,5%,5%,6%,6%,13%,6%,6%,5%,6%,6%,7%,4%,7%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Support,57%,60%,55%,37%,46%,60%,72%,62%,53%,44%,35%,55%,58%,61%,61%,58%,56%,56%,50%,67%,43%,54%,70%,51%,49%,66%,50%,71%,37%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Oppose,36%,34%,37%,56%,47%,34%,21%,33%,38%,46%,58%,36%,37%,31%,34%,35%,38%,38%,43%,28%,43%,39%,24%,43%,44%,28%,42%,24%,56%,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,234,254,446,470,452,94,304,299,321,463,461,459,337,159,NA
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,46%,52%,13%,22%,34%,29%,70%,10%,11%,6%,40%,59%,29%,40%,25%,24%,42%,47%,45%,8%,32%,32%,29%,46%,47%,47%,38%,10%,NA
