itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Ron DeSantis [Duh-SAN-Tis].",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very favorable,20%,14%,27%,11%,25%,17%,26%,23%,4%,10%,0%,19%,21%,21%,24%,4%,7%,17%,17%,23%,11%,24%,24%,0%,23%,0%,0%,23%,17%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat favorable,38%,47%,30%,36%,40%,42%,34%,39%,12%,32%,58%,41%,37%,39%,39%,53%,29%,36%,33%,42%,40%,39%,41%,13%,40%,48%,9%,41%,29%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat unfavorable,15%,14%,16%,9%,16%,14%,17%,16%,6%,11%,3%,15%,14%,17%,15%,5%,9%,13%,19%,13%,19%,16%,9%,15%,14%,20%,8%,13%,19%,9%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very unfavorable,13%,13%,13%,11%,10%,12%,16%,10%,47%,29%,12%,20%,10%,19%,5%,33%,28%,16%,20%,8%,8%,9%,17%,55%,8%,20%,55%,10%,19%,67%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Have not heard of,7%,7%,5%,14%,4%,6%,3%,6%,0%,15%,13%,3%,8%,4%,7%,0%,15%,3%,7%,7%,11%,5%,4%,14%,6%,0%,0%,5%,9%,7%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,8%,6%,10%,20%,5%,8%,4%,7%,32%,3%,14%,2%,10%,2%,9%,4%,14%,14%,4%,8%,12%,8%,4%,3%,8%,11%,29%,8%,6%,13%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Favorable,58%,61%,57%,47%,65%,60%,60%,62%,16%,42%,58%,60%,58%,59%,64%,57%,35%,53%,50%,64%,51%,63%,65%,13%,64%,48%,9%,64%,46%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Unfavorable,27%,26%,28%,19%,26%,26%,32%,26%,52%,40%,16%,35%,23%,35%,20%,38%,36%,29%,38%,21%,26%,25%,26%,71%,22%,41%,62%,23%,38%,76%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,380,203,175,56,88,135,88,307,13,37,16,163,213,141,165,18,47,64,122,194,88,84,178,40,319,21,9,262,92,21
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,50%,49%,14%,20%,37%,26%,81%,4%,9%,4%,32%,67%,27%,54%,4%,13%,15%,30%,55%,28%,21%,42%,8%,86%,5%,2%,71%,23%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Nikki Haley.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Nikki Haley.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If Republican primary voter)  Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Nikki Haley.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very favorable,11%,9%,13%,2%,5%,9%,24%,11%,4%,5%,18%,18%,7%,19%,7%,15%,6%,16%,8%,11%,11%,8%,13%,24%,8%,35%,12%,12%,10%,9%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat favorable,31%,39%,24%,25%,29%,35%,31%,33%,14%,28%,34%,38%,28%,38%,29%,43%,22%,34%,26%,33%,33%,28%,34%,36%,31%,30%,27%,32%,32%,40%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat unfavorable,16%,14%,19%,19%,17%,18%,11%,17%,0%,20%,13%,18%,16%,17%,17%,24%,11%,15%,21%,14%,12%,20%,20%,19%,17%,2%,23%,15%,19%,20%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very unfavorable,12%,11%,12%,4%,10%,12%,15%,10%,28%,18%,15%,9%,13%,8%,12%,18%,20%,9%,14%,11%,9%,12%,10%,9%,13%,4%,10%,11%,14%,11%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Have not heard of,13%,10%,14%,16%,17%,13%,7%,12%,0%,20%,10%,7%,16%,7%,15%,0%,17%,11%,11%,14%,13%,19%,9%,10%,13%,10%,0%,12%,13%,7%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,17%,17%,17%,32%,22%,14%,12%,17%,54%,10%,11%,10%,20%,12%,19%,0%,24%,16%,20%,16%,22%,13%,15%,2%,18%,19%,29%,18%,12%,13%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Favorable,42%,48%,37%,28%,34%,43%,55%,44%,18%,33%,51%,56%,35%,57%,37%,58%,28%,50%,34%,45%,44%,36%,47%,60%,39%,65%,39%,44%,42%,49%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Unfavorable,28%,25%,32%,23%,27%,30%,26%,27%,28%,38%,28%,28%,29%,25%,28%,42%,31%,23%,35%,25%,21%,32%,29%,28%,29%,6%,32%,26%,33%,31%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,380,203,175,56,88,135,88,307,13,37,16,163,213,141,165,18,47,64,122,194,88,84,178,40,319,21,9,262,92,21
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,50%,49%,14%,20%,37%,26%,81%,4%,9%,4%,32%,67%,27%,54%,4%,13%,15%,30%,55%,28%,21%,42%,8%,86%,5%,2%,71%,23%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on the Israeli-Palestinian [pah-luh-stin-ian] conflict.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on the Israeli-Palestinian [pah-luh-stin-ian] conflict.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Regardless of how you might vote, tell me whether you trust Joe Biden or Donald Trump to do a better job on the Israeli-Palestinian [pah-luh-stin-ian] conflict.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Joe Biden,38%,35%,41%,30%,39%,37%,48%,38%,58%,30%,36%,51%,31%,54%,26%,43%,41%,49%,43%,27%,38%,37%,44%,79%,4%,18%,75%,7%,39%,73%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump,46%,49%,46%,49%,45%,52%,41%,52%,26%,42%,41%,35%,54%,37%,63%,28%,40%,34%,38%,64%,51%,48%,42%,8%,89%,19%,12%,88%,41%,13%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,15%,16%,13%,22%,17%,11%,11%,10%,16%,28%,22%,15%,15%,8%,12%,29%,19%,17%,19%,9%,11%,15%,14%,13%,8%,63%,13%,5%,20%,14%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling the Israeli-Palestinian [pah-luh-stin-ian] conflict?FOLLOW UP:  Is that strongly or somewhat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling the Israeli-Palestinian [pah-luh-stin-ian] conflict?FOLLOW UP:  Is that strongly or somewhat?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you approve or disapprove of the way Joe Biden is handling the Israeli-Palestinian [pah-luh-stin-ian] conflict?FOLLOW UP:  Is that strongly or somewhat?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly approve,11%,11%,12%,3%,6%,9%,24%,11%,19%,12%,5%,11%,11%,13%,9%,7%,16%,11%,14%,8%,14%,9%,13%,23%,2%,0%,25%,3%,8%,22%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat approve,22%,22%,21%,17%,20%,21%,28%,22%,27%,19%,14%,28%,18%,30%,17%,25%,19%,28%,23%,15%,18%,25%,22%,33%,11%,18%,30%,12%,27%,30%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat disapprove,21%,22%,21%,26%,24%,22%,12%,20%,24%,20%,30%,21%,21%,21%,20%,21%,25%,18%,23%,21%,20%,23%,22%,19%,22%,22%,19%,23%,22%,20%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly disapprove,36%,35%,36%,46%,36%,39%,29%,38%,20%,37%,45%,30%,40%,26%,46%,36%,30%,31%,29%,47%,39%,34%,36%,15%,58%,24%,18%,55%,34%,19%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,11%,10%,10%,8%,13%,9%,7%,10%,10%,12%,6%,11%,10%,10%,10%,11%,10%,11%,11%,9%,9%,9%,7%,9%,7%,36%,8%,7%,9%,8%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Approve,33%,33%,33%,20%,26%,30%,52%,32%,46%,31%,19%,39%,29%,43%,25%,31%,35%,40%,37%,23%,32%,34%,35%,57%,13%,18%,55%,15%,35%,52%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Disapprove,57%,57%,57%,72%,61%,61%,40%,58%,44%,57%,75%,50%,61%,47%,65%,57%,55%,49%,52%,68%,59%,57%,58%,35%,80%,46%,37%,78%,56%,39%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If disapprove of Biden on Israel)  Do you think Joe Biden is too supportive of Israel, too supportive of the Palestinians [pah-luh-stin-ians], or is his support of Israel and the Palestinians [pah-luh-stin-ians] about right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If disapprove of Biden on Israel)  Do you think Joe Biden is too supportive of Israel, too supportive of the Palestinians [pah-luh-stin-ians], or is his support of Israel and the Palestinians [pah-luh-stin-ians] about right?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If disapprove of Biden on Israel)  Do you think Joe Biden is too supportive of Israel, too supportive of the Palestinians [pah-luh-stin-ians], or is his support of Israel and the Palestinians [pah-luh-stin-ians] about right?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Too supportive of Israel,19%,19%,18%,45%,23%,13%,8%,15%,22%,26%,46%,22%,18%,16%,14%,36%,25%,22%,21%,14%,21%,19%,18%,24%,14%,19%,25%,11%,21%,26%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Too supportive of the Palestinians,16%,18%,15%,6%,12%,22%,18%,19%,7%,8%,11%,13%,18%,15%,22%,6%,9%,9%,9%,29%,14%,13%,19%,2%,32%,4%,2%,35%,11%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",About right,22%,20%,24%,22%,26%,25%,14%,24%,15%,24%,18%,16%,26%,16%,29%,16%,21%,18%,21%,25%,23%,25%,20%,9%,34%,23%,9%,32%,24%,11%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Strongly approve,11%,11%,12%,3%,6%,9%,24%,11%,19%,12%,5%,11%,11%,13%,9%,7%,16%,11%,14%,8%,14%,9%,13%,23%,2%,0%,25%,3%,8%,22%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Somewhat approve,22%,22%,21%,17%,20%,21%,28%,22%,27%,19%,14%,28%,18%,30%,17%,25%,19%,28%,23%,15%,18%,25%,22%,33%,11%,18%,30%,12%,27%,30%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[PREVIOUSLY] Don't know/Refused,11%,10%,10%,8%,13%,9%,7%,10%,10%,12%,6%,11%,10%,10%,10%,11%,10%,11%,11%,9%,9%,9%,7%,9%,7%,36%,8%,7%,9%,8%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you support or oppose providing additional economic and military support to Israel?[FOLLOW UP: Is that strongly or somewhat?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you support or oppose providing additional economic and military support to Israel?[FOLLOW UP: Is that strongly or somewhat?],Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Do you support or oppose providing additional economic and military support to Israel?[FOLLOW UP: Is that strongly or somewhat?],Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly support,27%,31%,23%,14%,18%,32%,39%,30%,19%,21%,20%,26%,27%,30%,30%,13%,23%,21%,24%,34%,25%,24%,30%,22%,33%,15%,24%,37%,23%,21%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat support,27%,25%,30%,24%,25%,26%,31%,29%,33%,22%,15%,28%,27%,31%,28%,25%,24%,24%,25%,32%,31%,28%,24%,26%,29%,22%,30%,29%,26%,28%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat oppose,16%,14%,18%,18%,18%,14%,14%,15%,11%,20%,17%,14%,17%,13%,17%,17%,16%,20%,17%,12%,14%,15%,17%,20%,12%,17%,16%,13%,18%,19%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Strongly oppose,22%,22%,21%,37%,30%,22%,9%,19%,28%,26%,41%,23%,23%,19%,20%,34%,28%,25%,25%,17%,21%,26%,23%,24%,20%,27%,23%,15%,26%,26%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Have not heard of this,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,<1%,0%,0%,<1%,0%,<1%,<.5%,0%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,7%,7%,7%,6%,8%,5%,7%,6%,8%,10%,7%,9%,6%,7%,5%,12%,8%,9%,9%,5%,8%,6%,5%,6%,6%,18%,6%,6%,5%,5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Support,54%,56%,53%,38%,44%,58%,70%,59%,52%,43%,34%,54%,54%,61%,58%,38%,48%,45%,48%,66%,57%,52%,54%,49%,62%,37%,54%,66%,49%,49%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Oppose,38%,37%,39%,55%,47%,36%,23%,35%,39%,46%,58%,37%,40%,32%,37%,50%,44%,46%,42%,29%,36%,41%,41%,44%,31%,44%,39%,28%,45%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more; Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more; Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
