itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,1%,1%,2%,0%,1%,<1%,2%,<.5%,1%,1%,4%,<1%,2%,<.5%,<.5%,<1%,3%,<.5%,0%,4%,0%,2%,2%,0%,<1%,<.5%,10%,1%,0%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump left the country better off or worse off than when he took office?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump left the country better off or worse off than when he took office?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump left the country better off or worse off than when he took office?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better off,48%,56%,40%,41%,44%,54%,46%,54%,20%,46%,32%,36%,55%,38%,64%,29%,36%,51%,38%,52%,46%,38%,42%,61%,7%,90%,36%,11%,88%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse off,46%,37%,54%,52%,47%,43%,46%,41%,73%,43%,58%,58%,38%,57%,31%,62%,54%,44%,56%,39%,49%,56%,49%,34%,88%,6%,36%,83%,9%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] The same,3%,3%,4%,3%,6%,<1%,4%,3%,<1%,3%,6%,3%,4%,2%,4%,3%,3%,3%,2%,5%,1%,2%,4%,3%,2%,3%,11%,2%,3%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,4%,3%,4%,3%,2%,3%,2%,6%,8%,4%,4%,3%,3%,1%,6%,6%,2%,3%,4%,4%,4%,4%,2%,3%,1%,16%,3%,<.5%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,44%,54%,34%,31%,44%,52%,41%,52%,10%,42%,24%,32%,51%,34%,64%,26%,25%,36%,38%,52%,43%,32%,37%,61%,4%,82%,21%,9%,85%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,20%,15%,24%,36%,23%,14%,14%,15%,38%,33%,19%,18%,21%,17%,14%,23%,34%,15%,18%,23%,21%,20%,24%,14%,22%,14%,45%,18%,14%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,13%,12%,15%,20%,13%,10%,15%,14%,9%,11%,28%,21%,9%,20%,9%,23%,10%,19%,23%,5%,14%,18%,15%,8%,27%,2%,11%,25%,<.5%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,20%,17%,23%,12%,18%,21%,27%,17%,43%,8%,26%,27%,16%,26%,12%,28%,26%,25%,20%,17%,19%,29%,20%,14%,40%,1%,20%,41%,0%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,4%,1%,2%,4%,3%,2%,0%,7%,3%,2%,3%,3%,2%,0%,5%,4%,1%,3%,3%,2%,4%,3%,6%,<.5%,3%,7%,1%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,64%,69%,58%,66%,67%,66%,55%,67%,48%,74%,43%,50%,72%,51%,78%,48%,59%,52%,56%,75%,64%,52%,62%,76%,27%,97%,66%,28%,98%,69%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,33%,28%,38%,32%,31%,31%,42%,31%,52%,19%,54%,48%,25%,46%,21%,52%,36%,44%,43%,22%,33%,47%,35%,22%,67%,3%,31%,66%,<.5%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,49%,18%,22%,31%,24%,64%,12%,11%,9%,39%,58%,27%,37%,12%,19%,21%,20%,35%,24%,24%,44%,33%,44%,49%,7%,33%,24%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,18%,18%,18%,12%,13%,22%,19%,19%,14%,21%,18%,11%,23%,13%,23%,5%,24%,24%,20%,19%,11%,15%,16%,23%,3%,37%,10%,6%,39%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,25%,29%,21%,26%,30%,26%,19%,26%,20%,17%,38%,22%,27%,23%,27%,18%,27%,21%,21%,29%,27%,27%,26%,22%,10%,39%,29%,10%,37%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,16%,13%,19%,24%,19%,12%,16%,15%,12%,23%,20%,17%,16%,17%,13%,20%,19%,14%,16%,15%,21%,15%,19%,14%,20%,11%,23%,18%,10%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,36%,35%,36%,35%,36%,37%,38%,34%,54%,39%,24%,46%,30%,43%,29%,57%,30%,31%,42%,33%,38%,41%,35%,33%,66%,6%,24%,65%,8%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,5%,5%,2%,2%,3%,7%,6%,0%,0%,0%,3%,5%,4%,8%,0%,0%,11%,2%,4%,3%,2%,3%,8%,2%,7%,12%,2%,6%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,43%,47%,40%,38%,43%,48%,38%,45%,34%,38%,56%,34%,49%,37%,49%,23%,51%,45%,40%,47%,38%,42%,43%,45%,13%,76%,40%,16%,76%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,52%,48%,56%,59%,55%,49%,55%,49%,66%,62%,44%,63%,46%,60%,43%,77%,49%,45%,58%,49%,59%,56%,54%,47%,86%,17%,48%,82%,18%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,29%,38%,20%,17%,25%,31%,37%,35%,6%,26%,16%,20%,34%,23%,42%,13%,17%,23%,24%,36%,29%,19%,26%,41%,<1%,56%,23%,4%,68%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,22%,22%,22%,23%,28%,22%,15%,22%,16%,33%,14%,19%,25%,17%,26%,22%,21%,21%,21%,22%,23%,18%,23%,24%,9%,35%,14%,10%,28%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,13%,8%,19%,20%,16%,13%,9%,13%,12%,14%,25%,16%,12%,15%,11%,18%,14%,20%,17%,10%,10%,11%,16%,12%,22%,5%,20%,21%,0%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,33%,29%,37%,37%,30%,32%,39%,30%,64%,23%,44%,44%,28%,43%,20%,45%,45%,34%,35%,30%,36%,50%,35%,19%,66%,3%,38%,62%,4%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,3%,2%,3%,<1%,2%,0%,1%,2%,4%,1%,2%,1%,2%,<.5%,2%,3%,2%,3%,2%,1%,2%,<.5%,4%,2%,1%,6%,3%,0%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,51%,61%,43%,40%,53%,53%,51%,57%,23%,58%,30%,39%,60%,40%,68%,35%,39%,45%,46%,58%,52%,37%,48%,65%,10%,90%,37%,14%,96%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,47%,37%,56%,58%,46%,44%,49%,42%,76%,37%,69%,59%,39%,58%,32%,63%,58%,54%,52%,40%,47%,61%,51%,30%,87%,8%,57%,83%,4%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,49%,18%,22%,31%,24%,64%,12%,11%,9%,39%,58%,27%,37%,12%,19%,21%,20%,35%,24%,24%,44%,33%,44%,49%,7%,33%,24%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Unifying America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Unifying America,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Unifying America,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,19%,21%,16%,21%,16%,17%,21%,20%,9%,19%,20%,13%,22%,13%,24%,8%,20%,31%,13%,18%,13%,16%,17%,23%,2%,37%,14%,6%,35%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,19%,21%,17%,18%,20%,24%,13%,20%,13%,15%,24%,13%,22%,15%,23%,9%,21%,24%,13%,17%,21%,17%,14%,25%,1%,37%,21%,3%,32%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,15%,12%,18%,18%,18%,10%,17%,14%,21%,15%,13%,12%,16%,12%,15%,12%,17%,15%,13%,17%,14%,15%,17%,12%,14%,14%,28%,11%,15%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,43%,40%,45%,41%,42%,45%,42%,40%,57%,49%,38%,59%,34%,55%,31%,71%,39%,28%,57%,39%,48%,50%,47%,33%,81%,7%,20%,77%,10%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,6%,5%,2%,4%,4%,7%,7%,0%,2%,5%,3%,6%,4%,8%,0%,3%,1%,5%,9%,4%,2%,5%,7%,2%,6%,17%,3%,8%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,37%,42%,33%,39%,36%,41%,34%,40%,21%,34%,44%,26%,44%,29%,47%,17%,41%,55%,26%,35%,34%,33%,30%,48%,4%,74%,34%,9%,67%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,58%,52%,62%,59%,60%,55%,59%,53%,79%,64%,52%,71%,50%,67%,45%,83%,56%,44%,69%,56%,62%,65%,65%,45%,95%,20%,48%,88%,25%,60%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The Supreme Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The Supreme Court,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The Supreme Court,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,27%,36%,20%,11%,22%,32%,32%,34%,5%,15%,16%,21%,31%,26%,40%,9%,14%,19%,22%,36%,25%,16%,25%,39%,0%,54%,11%,4%,68%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,17%,19%,15%,21%,21%,18%,12%,16%,13%,31%,5%,13%,19%,12%,19%,17%,15%,16%,15%,16%,21%,12%,15%,23%,5%,29%,15%,6%,21%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,10%,8%,12%,18%,11%,8%,6%,9%,19%,11%,11%,12%,9%,12%,6%,14%,15%,6%,11%,13%,8%,11%,12%,6%,14%,6%,14%,12%,4%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,37%,30%,44%,43%,37%,34%,41%,33%,58%,24%,65%,49%,31%,47%,25%,54%,46%,48%,44%,26%,38%,52%,38%,25%,75%,3%,31%,71%,2%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,8%,8%,9%,7%,8%,7%,9%,8%,5%,18%,3%,5%,10%,4%,11%,7%,10%,12%,8%,8%,7%,8%,10%,6%,6%,7%,29%,6%,5%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,45%,54%,35%,33%,44%,51%,44%,50%,18%,46%,21%,35%,50%,37%,58%,26%,29%,35%,38%,53%,47%,29%,40%,62%,5%,83%,27%,11%,90%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,47%,38%,56%,61%,48%,42%,47%,42%,77%,35%,76%,61%,40%,58%,31%,68%,61%,54%,54%,40%,46%,63%,50%,31%,89%,9%,45%,83%,5%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,49%,18%,22%,31%,24%,64%,12%,11%,9%,39%,58%,27%,37%,12%,19%,21%,20%,35%,24%,24%,44%,33%,44%,49%,7%,33%,24%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Foreign conflicts,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,32%,43%,21%,25%,29%,37%,31%,38%,7%,23%,28%,29%,34%,33%,40%,17%,21%,36%,23%,38%,26%,28%,27%,39%,3%,66%,14%,5%,60%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,17%,15%,18%,18%,19%,16%,14%,17%,9%,14%,20%,11%,20%,9%,21%,16%,13%,21%,8%,20%,15%,9%,19%,18%,8%,24%,25%,9%,25%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,16%,10%,20%,19%,22%,10%,16%,12%,30%,19%,15%,17%,14%,15%,11%,21%,19%,15%,19%,14%,16%,19%,15%,14%,25%,2%,34%,19%,7%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,30%,27%,32%,33%,28%,33%,28%,27%,37%,40%,32%,37%,26%,36%,22%,41%,36%,20%,44%,23%,37%,38%,31%,23%,57%,4%,12%,57%,7%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,4%,8%,6%,3%,4%,11%,6%,17%,4%,5%,6%,7%,7%,6%,5%,10%,8%,6%,6%,7%,5%,8%,6%,8%,3%,15%,11%,<1%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,48%,59%,39%,42%,48%,53%,45%,55%,16%,37%,48%,40%,53%,42%,62%,33%,34%,58%,31%,57%,41%,37%,46%,57%,11%,90%,39%,14%,85%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,45%,37%,52%,52%,49%,43%,44%,39%,67%,59%,47%,54%,40%,51%,33%,62%,56%,35%,63%,37%,53%,57%,46%,37%,82%,7%,46%,76%,14%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Race relations,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,22%,30%,14%,9%,19%,24%,31%,27%,6%,13%,8%,16%,25%,20%,31%,6%,11%,16%,15%,25%,28%,15%,17%,34%,1%,44%,5%,3%,52%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,20%,22%,18%,23%,17%,22%,18%,21%,11%,28%,11%,12%,26%,11%,29%,14%,19%,18%,22%,26%,12%,16%,22%,21%,2%,35%,31%,7%,33%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,13%,12%,14%,14%,22%,7%,10%,12%,10%,18%,21%,13%,12%,10%,13%,21%,11%,10%,14%,13%,13%,8%,14%,14%,14%,12%,5%,11%,6%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,40%,30%,50%,53%,37%,41%,38%,35%,72%,35%,57%,56%,31%,56%,21%,59%,54%,50%,44%,32%,42%,57%,41%,27%,77%,5%,54%,75%,4%,37%
