itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Democratic primary voter)  What comes closer to how you would feel if Joe Biden were the Democratic nominee for president?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Democratic primary voter)  What comes closer to how you would feel if Joe Biden were the Democratic nominee for president?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Enthusiastic,24%,21%,26%,4%,5%,37%,35%,25%,32%,16%,17%,19%,29%,23%,27%,14%,32%,14%,15%,30%,30%,21%,21%,35%,26%,9%,0%,29%,0%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Satisfied, but not enthusiastic",43%,44%,43%,56%,42%,38%,41%,44%,30%,58%,42%,47%,39%,46%,42%,47%,36%,45%,45%,33%,51%,46%,44%,39%,46%,16%,0%,43%,20%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Dissatisfied, but not upset",24%,26%,22%,31%,43%,20%,15%,26%,27%,16%,20%,27%,22%,27%,25%,27%,19%,25%,35%,32%,9%,29%,26%,16%,23%,41%,21%,21%,80%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Angry,6%,6%,6%,9%,10%,4%,4%,5%,5%,6%,21%,7%,5%,4%,5%,12%,5%,15%,5%,<1%,8%,2%,9%,4%,3%,34%,57%,4%,0%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,1%,3%,0%,0%,0%,5%,0%,8%,4%,0%,0%,4%,0%,0%,0%,9%,0%,0%,5%,2%,2%,0%,6%,2%,0%,22%,2%,0%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,224,88,133,41,50,73,52,128,44,33,17,126,98,81,47,44,50,36,56,67,65,63,108,53,201,17,6,170,3,46
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,39%,60%,14%,21%,30%,31%,58%,21%,13%,7%,48%,52%,30%,28%,17%,24%,16%,21%,32%,32%,27%,49%,25%,91%,6%,2%,76%,2%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Republican primary voter)  What comes closer to how you would feel if Donald Trump were the Republican nominee for president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Republican primary voter)  What comes closer to how you would feel if Donald Trump were the Republican nominee for president?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Republican primary voter)  What comes closer to how you would feel if Donald Trump were the Republican nominee for president?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Enthusiastic,47%,52%,42%,39%,45%,53%,43%,48%,36%,54%,32%,40%,51%,37%,53%,54%,36%,47%,39%,52%,42%,54%,40%,51%,0%,55%,3%,28%,54%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Satisfied, but not enthusiastic",33%,27%,38%,46%,30%,34%,31%,31%,37%,37%,41%,26%,37%,22%,36%,35%,41%,38%,42%,26%,35%,31%,35%,31%,0%,38%,6%,18%,33%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Dissatisfied, but not upset",8%,6%,10%,13%,12%,5%,7%,7%,22%,9%,17%,11%,7%,12%,5%,7%,20%,7%,9%,10%,5%,4%,7%,10%,25%,6%,18%,25%,5%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Angry,10%,11%,9%,0%,13%,9%,14%,11%,5%,0%,9%,24%,2%,29%,2%,4%,3%,8%,9%,8%,17%,12%,15%,5%,75%,1%,36%,29%,5%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,4%,<1%,2%,0%,0%,5%,3%,0%,0%,0%,0%,3%,0%,4%,0%,0%,0%,0%,4%,2%,0%,3%,2%,0%,<.5%,37%,0%,3%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,292,155,134,30,59,115,71,220,15,32,17,120,170,91,128,26,38,62,44,119,67,47,108,137,28,250,14,13,181,79
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,9%,19%,38%,29%,81%,4%,8%,5%,35%,64%,27%,53%,7%,10%,23%,16%,40%,22%,13%,40%,48%,10%,86%,5%,5%,65%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of who you support, who do you think will win the 2024 presidential election?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of who you support, who do you think will win the 2024 presidential election?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of who you support, who do you think will win the 2024 presidential election?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,41%,45%,38%,48%,38%,39%,43%,41%,46%,42%,34%,53%,33%,59%,29%,41%,42%,35%,45%,35%,52%,47%,46%,32%,77%,11%,18%,72%,13%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,46%,45%,46%,46%,47%,52%,39%,47%,34%,50%,47%,35%,53%,31%,57%,44%,44%,49%,44%,51%,37%,40%,42%,53%,11%,80%,31%,18%,76%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,13%,10%,16%,6%,16%,9%,18%,13%,20%,8%,19%,12%,15%,10%,15%,15%,15%,17%,11%,14%,11%,13%,12%,15%,12%,9%,51%,11%,11%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,19%,20%,18%,7%,7%,22%,31%,19%,29%,14%,13%,23%,17%,25%,16%,19%,19%,17%,23%,15%,24%,23%,21%,16%,43%,1%,0%,44%,2%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,19%,19%,19%,23%,30%,10%,20%,17%,28%,18%,20%,24%,15%,25%,13%,25%,19%,18%,17%,20%,20%,26%,21%,13%,35%,3%,25%,32%,8%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,12%,12%,12%,21%,18%,11%,5%,9%,17%,21%,27%,10%,14%,9%,9%,12%,27%,12%,15%,12%,11%,17%,12%,10%,13%,10%,18%,12%,7%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,47%,47%,46%,45%,41%,55%,43%,51%,24%,46%,39%,39%,52%,39%,59%,40%,34%,48%,41%,51%,44%,34%,43%,59%,6%,85%,44%,11%,82%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,1%,4%,4%,4%,2%,<1%,3%,4%,1%,1%,3%,2%,3%,3%,4%,<1%,5%,5%,2%,0%,<1%,3%,3%,2%,<1%,13%,1%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,38%,39%,38%,30%,37%,32%,52%,37%,56%,32%,33%,48%,32%,49%,29%,44%,38%,35%,40%,35%,45%,49%,42%,29%,78%,4%,25%,76%,10%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,59%,59%,59%,66%,59%,66%,48%,60%,40%,67%,66%,49%,66%,48%,68%,52%,61%,60%,56%,63%,55%,50%,55%,68%,19%,95%,62%,23%,88%,62%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,23%,24%,22%,11%,21%,26%,25%,27%,9%,16%,17%,14%,29%,15%,34%,12%,15%,22%,19%,27%,21%,18%,19%,30%,<.5%,47%,3%,3%,53%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,20%,22%,19%,25%,26%,23%,12%,19%,13%,28%,28%,15%,24%,14%,22%,18%,26%,23%,17%,21%,20%,13%,19%,26%,3%,38%,10%,6%,31%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,9%,8%,10%,12%,12%,8%,8%,8%,13%,10%,13%,9%,9%,9%,8%,9%,13%,10%,9%,11%,7%,11%,9%,8%,5%,10%,24%,5%,6%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,46%,44%,47%,50%,40%,42%,54%,45%,59%,42%,41%,60%,36%,62%,35%,58%,42%,43%,55%,38%,51%,54%,51%,35%,90%,4%,49%,84%,11%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,1%,2%,1%,<1%,3%,<1%,6%,3%,<1%,2%,2%,<1%,1%,4%,3%,2%,<1%,3%,<1%,4%,1%,2%,1%,<.5%,13%,2%,0%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,44%,46%,41%,36%,48%,49%,36%,46%,22%,44%,45%,29%,53%,29%,57%,30%,42%,45%,36%,49%,41%,32%,38%,56%,4%,85%,13%,9%,83%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,55%,52%,57%,62%,51%,50%,61%,53%,72%,53%,54%,69%,45%,71%,42%,66%,55%,53%,63%,48%,58%,65%,61%,42%,95%,14%,73%,90%,17%,61%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,16%,16%,17%,1%,6%,19%,28%,16%,30%,12%,12%,18%,15%,20%,14%,15%,20%,15%,18%,14%,20%,19%,16%,16%,36%,1%,0%,41%,0%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,24%,25%,24%,31%,36%,17%,23%,22%,34%,21%,38%,34%,18%,33%,14%,35%,25%,24%,28%,21%,27%,36%,28%,13%,46%,5%,18%,40%,10%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,14%,15%,13%,32%,18%,14%,4%,11%,19%,27%,20%,12%,16%,9%,12%,18%,26%,14%,14%,16%,12%,16%,16%,12%,13%,13%,31%,10%,11%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,42%,43%,42%,34%,37%,50%,41%,48%,13%,39%,30%,36%,47%,38%,55%,30%,27%,43%,38%,46%,40%,30%,37%,55%,4%,79%,32%,7%,79%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,1%,4%,1%,4%,<.5%,4%,3%,4%,1%,<1%,<1%,4%,<.5%,5%,2%,2%,4%,2%,3%,<1%,<.5%,2%,4%,1%,1%,19%,1%,1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,41%,41%,41%,32%,42%,36%,51%,38%,64%,33%,49%,52%,33%,53%,28%,50%,45%,39%,46%,34%,47%,54%,45%,29%,82%,7%,18%,81%,10%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,57%,58%,55%,66%,54%,64%,45%,59%,32%,66%,50%,47%,63%,47%,67%,48%,53%,57%,52%,62%,53%,45%,53%,67%,17%,92%,63%,18%,89%,61%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,14%,12%,16%,3%,9%,17%,19%,13%,28%,7%,16%,13%,15%,12%,14%,16%,17%,14%,14%,12%,17%,16%,12%,14%,31%,<.5%,4%,35%,0%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,24%,24%,24%,36%,27%,19%,25%,20%,37%,31%,27%,33%,18%,32%,13%,35%,31%,20%,26%,20%,29%,36%,28%,12%,46%,5%,12%,47%,3%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,16%,18%,14%,33%,18%,15%,7%,16%,15%,18%,14%,16%,16%,17%,14%,13%,18%,17%,18%,15%,13%,14%,16%,17%,14%,15%,33%,9%,15%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,38%,40%,36%,20%,37%,45%,40%,43%,12%,37%,32%,31%,43%,32%,50%,30%,23%,39%,32%,42%,37%,27%,34%,49%,4%,72%,27%,4%,74%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,2%,1%,2%,1%,4%,<1%,2%,1%,3%,5%,1%,<1%,3%,<1%,2%,<1%,5%,3%,1%,3%,<.5%,3%,3%,<.5%,1%,3%,0%,3%,2%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,5%,7%,6%,6%,4%,9%,7%,6%,3%,10%,6%,7%,7%,7%,5%,5%,7%,9%,7%,3%,5%,6%,7%,5%,5%,24%,2%,6%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,38%,35%,40%,39%,35%,36%,43%,34%,65%,38%,44%,46%,32%,44%,27%,51%,48%,34%,40%,32%,46%,52%,40%,27%,76%,6%,16%,82%,3%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,54%,58%,50%,53%,55%,60%,46%,58%,27%,54%,45%,47%,58%,49%,64%,43%,41%,56%,50%,57%,50%,41%,50%,66%,18%,87%,60%,13%,89%,58%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the upcoming presidential election this November, what is ONE word that describes how you feel about it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the upcoming presidential election this November, what is ONE word that describes how you feel about it?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the upcoming presidential election this November, what is ONE word that describes how you feel about it?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Happy/excited/hopeful,16%,13%,18%,10%,12%,18%,18%,14%,17%,19%,20%,11%,18%,9%,18%,15%,19%,16%,9%,18%,18%,7%,17%,18%,10%,23%,4%,14%,27%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Angry/disappointed/resigned,31%,35%,27%,35%,32%,30%,31%,32%,29%,28%,35%,36%,28%,40%,27%,28%,32%,28%,41%,26%,33%,28%,33%,31%,33%,27%,46%,27%,23%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Scared/apprehensive,32%,29%,35%,33%,28%,32%,33%,35%,19%,31%,22%,34%,30%,35%,35%,32%,20%,32%,35%,31%,29%,38%,28%,32%,35%,32%,12%,37%,31%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Confused/unsure/uncertain,10%,10%,11%,11%,12%,9%,11%,11%,15%,8%,5%,8%,12%,9%,12%,8%,12%,12%,8%,11%,9%,9%,11%,10%,11%,9%,16%,8%,10%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Neutral,4%,5%,4%,8%,11%,2%,1%,3%,10%,7%,5%,3%,6%,1%,4%,6%,8%,4%,2%,7%,3%,8%,4%,3%,5%,3%,9%,8%,2%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Other (specify),5%,6%,4%,1%,6%,6%,4%,5%,5%,3%,9%,6%,4%,6%,4%,7%,4%,5%,3%,5%,8%,6%,5%,4%,4%,5%,8%,6%,4%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,1%,2%,<1%,2%,2%,1%,5%,3%,3%,1%,2%,<1%,2%,3%,5%,3%,<1%,2%,2%,4%,<1%,2%,2%,2%,4%,2%,2%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
