itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
Would you consider yourself:,American Indian or Alaska Native,2%,2%,1%,<1%,2%,1%,2%,0%,6%,1%,2%,0%,0%,5%,6%,1%,2%,2%,2%,2%,1%,2%,2%,<1%,2%,2%,1%,2%,NA,NA
Would you consider yourself:,Middle Eastern or North African,<1%,<1%,<.5%,1%,1%,<.5%,<1%,0%,2%,<1%,<1%,0%,0%,3%,2%,<.5%,<1%,<1%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,NA,NA
Would you consider yourself:,Native Hawaiian or Pacific Islander,<1%,<1%,<.5%,<1%,2%,<.5%,<.5%,0%,2%,<.5%,<1%,0%,0%,2%,2%,0%,<.5%,<.5%,2%,<.5%,<1%,2%,<.5%,<1%,<1%,<.5%,<1%,<1%,NA,NA
Would you consider yourself:,[VOL] Some other race (specify),2%,3%,2%,2%,2%,2%,2%,1%,4%,2%,2%,<1%,1%,5%,4%,2%,2%,2%,2%,2%,2%,4%,1%,1%,3%,1%,2%,4%,NA,NA
Would you consider yourself:,[VOL] More than one race,2%,2%,3%,4%,3%,3%,<1%,0%,8%,2%,2%,0%,0%,9%,8%,1%,2%,3%,3%,2%,2%,3%,3%,<1%,3%,3%,2%,3%,NA,NA
Would you consider yourself:,[VOL] Refused,3%,3%,2%,<1%,2%,2%,3%,0%,0%,2%,2%,0%,0%,0%,0%,3%,2%,3%,2%,2%,3%,7%,1%,2%,4%,1%,2%,2%,NA,NA
Would you consider yourself:,Number of respondents,"3,385","1,581","1,779",659,728,"1,098",736,"1,762","1,536","1,459","1,892",841,909,579,944,469,504,"1,800",612,"1,744","1,421",220,"1,130",898,"1,005","1,444","1,021",733,NA,NA
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Yes,4%,4%,3%,5%,5%,3%,2%,3%,5%,3%,4%,2%,3%,4%,5%,2%,3%,4%,5%,4%,3%,7%,4%,3%,3%,3%,4%,4%,NA,NA
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",No,84%,83%,84%,73%,81%,85%,91%,97%,54%,87%,82%,97%,96%,60%,50%,92%,89%,82%,74%,82%,86%,81%,80%,88%,84%,83%,89%,71%,NA,NA
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",[VOL] Don't know/Refused,2%,2%,1%,<1%,1%,<1%,1%,<1%,<.5%,1%,1%,<.5%,<1%,<.5%,<1%,2%,1%,2%,<1%,1%,2%,<.5%,<1%,<1%,3%,<1%,2%,<1%,NA,NA
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",[PREVIOUSLY] Hispanic,11%,11%,11%,21%,13%,11%,6%,0%,41%,9%,13%,0%,0%,35%,44%,4%,7%,12%,20%,14%,9%,12%,16%,8%,10%,13%,6%,24%,NA,NA
"Are you of Hispanic origin or descent, such as Mexican, Dominican, Puerto Rican, Cuban or some other Spanish background?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,31%,24%,38%,32%,26%,29%,38%,27%,44%,38%,27%,36%,20%,45%,44%,29%,36%,27%,36%,61%,2%,12%,100%,0%,0%,62%,3%,21%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,32%,34%,31%,21%,26%,39%,36%,39%,17%,24%,38%,29%,46%,12%,20%,33%,27%,38%,27%,6%,62%,17%,0%,100%,0%,6%,65%,27%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,29%,34%,25%,36%,37%,28%,22%,29%,29%,32%,27%,32%,27%,31%,28%,30%,31%,28%,29%,28%,30%,39%,0%,0%,100%,27%,26%,40%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,4%,2%,4%,6%,2%,<1%,3%,3%,3%,3%,2%,3%,5%,2%,4%,2%,3%,3%,3%,3%,6%,0%,0%,0%,2%,3%,5%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,4%,4%,7%,5%,3%,4%,3%,7%,3%,5%,1%,4%,7%,7%,4%,3%,4%,5%,2%,4%,27%,0%,0%,0%,3%,3%,8%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,41%,34%,49%,57%,38%,38%,40%,41%,44%,48%,36%,50%,34%,49%,41%,44%,50%,34%,42%,87%,2%,11%,-,-,44%,82%,5%,37%,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,41%,47%,34%,27%,42%,43%,45%,46%,30%,35%,46%,38%,52%,25%,34%,33%,32%,44%,50%,3%,86%,6%,-,-,42%,7%,86%,37%,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,18%,19%,17%,16%,20%,18%,15%,13%,26%,17%,19%,13%,14%,27%,25%,23%,18%,21%,8%,9%,12%,83%,-,-,14%,11%,10%,25%,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,"1,045",568,462,250,265,321,160,558,454,476,562,275,282,183,268,165,150,549,181,506,448,91,,,836,393,284,298,NA,NA
Combined: Party identification and leaners,The Democratic Party,46%,38%,53%,59%,45%,41%,48%,41%,62%,56%,39%,53%,32%,66%,59%,45%,54%,39%,51%,90%,2%,20%,100%,0%,44%,88%,4%,40%,NA,NA
Combined: Party identification and leaners,The Republican Party,47%,54%,42%,34%,46%,53%,48%,55%,28%,38%,54%,42%,64%,22%,32%,46%,39%,53%,46%,7%,93%,21%,0%,100%,42%,8%,92%,46%,NA,NA
Combined: Party identification and leaners,[VOL] Don't know/Refused,7%,8%,5%,7%,10%,6%,4%,5%,10%,6%,7%,4%,5%,12%,9%,9%,7%,8%,3%,3%,4%,59%,0%,0%,14%,4%,3%,13%,NA,NA
Combined: Party identification and leaners,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,39%,44%,35%,18%,34%,46%,44%,47%,19%,31%,45%,34%,56%,18%,19%,41%,33%,47%,31%,3%,81%,20%,4%,79%,35%,0%,100%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,44%,38%,49%,39%,41%,45%,49%,39%,56%,58%,34%,57%,27%,64%,51%,43%,50%,37%,48%,83%,4%,15%,86%,8%,40%,100%,0%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,13%,13%,12%,41%,16%,7%,4%,9%,22%,7%,17%,5%,12%,13%,27%,9%,13%,12%,17%,11%,12%,28%,8%,11%,17%,0%,0%,100%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,3%,1%,2%,6%,1%,<1%,2%,2%,2%,2%,2%,1%,2%,1%,2%,<1%,2%,3%,1%,2%,14%,<.5%,1%,4%,0%,0%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,3%,<.5%,4%,<1%,3%,2%,2%,2%,2%,1%,3%,3%,1%,5%,3%,2%,1%,2%,1%,23%,1%,1%,3%,0%,0%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,51%,40%,31%,40%,50%,46%,52%,24%,33%,54%,36%,64%,21%,27%,45%,38%,53%,37%,3%,92%,28%,4%,88%,43%,0%,100%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,50%,43%,55%,66%,48%,48%,51%,44%,71%,63%,41%,60%,31%,73%,70%,47%,58%,42%,58%,94%,5%,21%,94%,9%,49%,100%,0%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,4%,1%,3%,7%,1%,<1%,2%,2%,3%,2%,3%,2%,3%,2%,2%,<1%,3%,3%,1%,2%,19%,<.5%,1%,4%,0%,0%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,2%,3%,<.5%,4%,<1%,3%,2%,3%,2%,3%,1%,3%,3%,1%,5%,3%,2%,2%,2%,1%,32%,1%,2%,4%,0%,0%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"2,181","1,012","1,150",278,439,811,564,"1,306",829,"1,106","1,054",684,615,398,422,321,341,"1,154",365,"1,211",901,69,817,617,620,"1,229",859,,NA,NA
Donald Trump,Very favorable,30%,36%,26%,17%,26%,35%,35%,37%,16%,19%,38%,22%,47%,12%,18%,32%,28%,35%,23%,<1%,65%,6%,1%,67%,23%,1%,69%,18%,NA,NA
Donald Trump,Somewhat favorable,16%,17%,15%,18%,19%,14%,12%,16%,15%,13%,17%,13%,17%,10%,17%,13%,11%,18%,18%,3%,27%,34%,5%,20%,22%,4%,24%,29%,NA,NA
Donald Trump,Somewhat unfavorable,6%,7%,6%,15%,9%,5%,3%,5%,10%,7%,6%,6%,4%,9%,11%,6%,7%,6%,8%,7%,5%,17%,6%,4%,8%,5%,3%,16%,NA,NA
Donald Trump,Very unfavorable,45%,38%,51%,48%,43%,45%,48%,42%,55%,59%,36%,58%,30%,64%,51%,45%,52%,39%,50%,88%,2%,20%,86%,10%,45%,88%,3%,34%,NA,NA
Donald Trump,[VOL] Have not heard of,<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,0%,0%,NA,NA
Donald Trump,[VOL] Don't know/Refused,2%,2%,3%,1%,2%,2%,3%,1%,4%,2%,2%,<1%,2%,5%,3%,4%,2%,2%,1%,1%,<1%,24%,2%,<.5%,2%,2%,<1%,3%,NA,NA
Donald Trump,NET Favorable,46%,53%,40%,35%,45%,49%,46%,52%,30%,32%,55%,35%,64%,22%,35%,45%,39%,53%,41%,4%,92%,40%,6%,86%,45%,5%,93%,47%,NA,NA
Donald Trump,NET Unfavorable,52%,45%,57%,63%,53%,50%,51%,47%,66%,66%,42%,64%,34%,73%,62%,51%,59%,45%,58%,95%,7%,36%,92%,13%,53%,93%,6%,49%,NA,NA
Donald Trump,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
Kamala [COMMA-luh] Harris,Very favorable,30%,23%,35%,19%,21%,30%,41%,27%,37%,36%,25%,36%,20%,39%,37%,29%,35%,27%,31%,60%,<1%,<1%,69%,4%,22%,62%,1%,15%,NA,NA
Kamala [COMMA-luh] Harris,Somewhat favorable,20%,17%,22%,40%,23%,17%,12%,17%,28%,24%,17%,23%,13%,27%,28%,20%,21%,18%,22%,34%,3%,26%,26%,8%,26%,30%,6%,30%,NA,NA
Kamala [COMMA-luh] Harris,Somewhat unfavorable,9%,11%,6%,16%,13%,7%,4%,8%,10%,8%,9%,7%,9%,9%,11%,8%,8%,8%,11%,4%,12%,23%,2%,10%,13%,5%,9%,18%,NA,NA
Kamala [COMMA-luh] Harris,Very unfavorable,39%,45%,34%,24%,38%,45%,40%,46%,21%,30%,46%,32%,56%,21%,21%,39%,33%,45%,35%,<1%,82%,28%,2%,77%,37%,3%,83%,32%,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<.5%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,2%,2%,3%,2%,3%,2%,5%,2%,2%,1%,2%,5%,4%,5%,2%,2%,1%,1%,2%,22%,1%,<1%,2%,1%,1%,5%,NA,NA
Kamala [COMMA-luh] Harris,NET Favorable,49%,40%,57%,59%,45%,47%,53%,44%,65%,60%,42%,59%,33%,65%,65%,48%,56%,45%,53%,94%,4%,27%,95%,11%,47%,91%,7%,45%,NA,NA
Kamala [COMMA-luh] Harris,NET Unfavorable,48%,57%,40%,39%,51%,52%,44%,54%,30%,38%,55%,39%,65%,30%,31%,47%,42%,53%,46%,5%,94%,51%,4%,88%,50%,7%,91%,50%,NA,NA
Kamala [COMMA-luh] Harris,Number of respondents,"2,723","1,289","1,409",528,573,917,598,"1,512","1,158","1,241","1,460",746,758,468,681,383,414,"1,437",489,"1,454","1,146",123,935,743,836,"1,229",859,542,NA,NA
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",Kamala Harris more,49%,41%,56%,60%,46%,45%,53%,43%,64%,59%,42%,58%,33%,65%,64%,48%,56%,43%,52%,94%,3%,26%,95%,10%,47%,91%,6%,45%,NA,NA
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",Donald Trump more,41%,49%,34%,29%,40%,46%,41%,49%,22%,31%,49%,34%,59%,18%,24%,41%,33%,48%,38%,1%,88%,11%,2%,82%,40%,2%,88%,37%,NA,NA
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Both,1%,<1%,1%,3%,1%,<1%,<1%,<1%,2%,1%,1%,1%,<1%,2%,1%,1%,<1%,<1%,1%,<.5%,2%,3%,<.5%,2%,1%,<1%,1%,2%,NA,NA
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Neither,6%,7%,5%,6%,9%,6%,3%,5%,8%,7%,5%,6%,4%,9%,6%,6%,6%,6%,5%,3%,6%,27%,2%,4%,10%,4%,4%,10%,NA,NA
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Don't know/Refused,3%,2%,4%,3%,4%,2%,3%,2%,4%,2%,4%,1%,4%,5%,4%,3%,4%,3%,3%,1%,2%,32%,1%,2%,2%,1%,2%,7%,NA,NA
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares,MARGIN Harris +7 Calculated using candidates’ unrounded vote shares
Is honest and trustworthy,Kamala Harris more,48%,41%,54%,56%,44%,45%,51%,43%,60%,59%,40%,58%,32%,64%,59%,46%,53%,41%,54%,93%,3%,12%,94%,9%,45%,90%,4%,45%,NA,NA
Is honest and trustworthy,Donald Trump more,37%,44%,31%,29%,33%,42%,37%,43%,22%,25%,45%,28%,53%,16%,26%,38%,30%,42%,34%,<1%,80%,4%,2%,75%,33%,2%,80%,33%,NA,NA
Is honest and trustworthy,[VOL] Both,<1%,<.5%,1%,<.5%,0%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<.5%,<1%,4%,<.5%,<1%,<1%,<.5%,<1%,2%,NA,NA
Is honest and trustworthy,[VOL] Neither,12%,13%,11%,14%,18%,10%,9%,11%,12%,13%,11%,12%,11%,14%,11%,11%,12%,14%,10%,5%,16%,45%,3%,12%,19%,7%,14%,15%,NA,NA
Is honest and trustworthy,[VOL] Don't know/Refused,3%,2%,3%,1%,5%,2%,3%,2%,4%,2%,3%,<1%,3%,5%,3%,4%,4%,2%,2%,<1%,1%,35%,1%,2%,2%,1%,1%,6%,NA,NA
Is honest and trustworthy,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares,MARGIN Harris +11 Calculated using candidates’ unrounded vote shares
Is a strong leader,Kamala Harris more,45%,37%,52%,55%,41%,41%,49%,40%,58%,56%,37%,55%,30%,60%,57%,44%,52%,38%,51%,89%,<1%,11%,91%,7%,42%,87%,3%,39%,NA,NA
Is a strong leader,Donald Trump more,48%,57%,41%,40%,49%,53%,46%,54%,33%,37%,56%,39%,64%,26%,36%,47%,41%,55%,44%,5%,97%,33%,5%,89%,49%,8%,95%,48%,NA,NA
Is a strong leader,[VOL] Both,1%,1%,<1%,2%,1%,1%,<.5%,<1%,2%,1%,<1%,<1%,<1%,3%,1%,2%,<.5%,<1%,1%,2%,<.5%,4%,1%,<1%,<1%,1%,<.5%,2%,NA,NA
Is a strong leader,[VOL] Neither,4%,4%,3%,2%,6%,4%,2%,3%,5%,5%,3%,4%,2%,7%,3%,4%,3%,5%,2%,3%,1%,25%,2%,2%,6%,3%,2%,6%,NA,NA
Is a strong leader,[VOL] Don't know/Refused,2%,1%,3%,2%,3%,1%,3%,2%,3%,1%,3%,<.5%,3%,3%,3%,3%,3%,1%,1%,<1%,<1%,27%,<1%,2%,2%,<1%,<.5%,5%,NA,NA
Is a strong leader,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares
Is fun,Kamala Harris more,43%,34%,50%,51%,38%,41%,46%,39%,52%,54%,35%,53%,30%,57%,49%,43%,50%,37%,46%,77%,7%,21%,80%,13%,39%,77%,9%,38%,NA,NA
Is fun,Donald Trump more,35%,42%,28%,33%,39%,36%,30%,38%,27%,25%,42%,26%,46%,22%,31%,32%,28%,40%,34%,7%,67%,22%,7%,61%,35%,7%,65%,39%,NA,NA
Is fun,[VOL] Both,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,2%,1%,1%,1%,3%,<1%,1%,<.5%,1%,1%,2%,1%,<1%,2%,1%,1%,2%,NA,NA
Is fun,[VOL] Neither,11%,13%,10%,8%,13%,12%,8%,10%,11%,12%,10%,11%,10%,13%,10%,11%,9%,13%,9%,8%,12%,25%,5%,11%,17%,9%,12%,11%,NA,NA
Is fun,[VOL] Don't know/Refused,10%,10%,10%,6%,9%,9%,14%,11%,9%,8%,12%,8%,13%,7%,9%,11%,12%,9%,11%,6%,12%,30%,7%,14%,8%,6%,13%,10%,NA,NA
Is fun,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares,MARGIN Harris +8 Calculated using candidates’ unrounded vote shares
Would help you personally,Kamala Harris more,44%,37%,51%,57%,41%,41%,47%,39%,58%,54%,38%,53%,30%,60%,57%,43%,51%,38%,50%,87%,2%,13%,88%,8%,42%,84%,3%,43%,NA,NA
Would help you personally,Donald Trump more,42%,51%,35%,34%,42%,47%,41%,48%,27%,32%,50%,34%,58%,23%,30%,42%,34%,49%,39%,4%,87%,19%,4%,81%,41%,6%,86%,38%,NA,NA
Would help you personally,[VOL] Both,1%,<1%,1%,<.5%,<.5%,<1%,2%,1%,<1%,<1%,1%,<1%,1%,1%,<1%,1%,2%,<1%,<1%,<.5%,<1%,9%,<.5%,<1%,2%,<1%,1%,2%,NA,NA
Would help you personally,[VOL] Neither,9%,9%,8%,8%,10%,10%,7%,8%,9%,11%,7%,10%,7%,11%,8%,10%,9%,9%,8%,7%,8%,27%,5%,8%,12%,8%,8%,11%,NA,NA
Would help you personally,[VOL] Don't know/Refused,3%,2%,4%,2%,6%,2%,3%,3%,4%,3%,4%,2%,4%,5%,4%,4%,5%,4%,2%,2%,2%,32%,1%,3%,3%,2%,2%,6%,NA,NA
