itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_austin,region_dallas_ft_worth,region_houston,region_rest,region_san_antonio_south,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,35%,32%,38%,31%,32%,36%,36%,30%,73%,34%,21%,30%,42%,45%,28%,39%,22%,55%,35%,51%,40%,39%,20%,42%,74%,2%,13%,82%,5%,30%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,17%,18%,15%,47%,23%,7%,7%,8%,20%,35%,28%,8%,29%,10%,22%,7%,9%,15%,38%,13%,18%,16%,14%,26%,17%,14%,47%,13%,11%,20%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,<1%,4%,1%,8%,<.5%,2%,2%,1%,<1%,7%,2%,2%,4%,<1%,5%,<1%,4%,1%,1%,3%,4%,2%,0%,2%,<1%,18%,2%,2%,3%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,2%,1%,<1%,<1%,1%,<1%,1%,2%,<1%,2%,1%,1%,1%,1%,<1%,2%,2%,<1%,0%,<1%,1%,2%,1%,<1%,<1%,9%,0%,<.5%,4%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,54%,58%,50%,37%,48%,60%,59%,64%,5%,45%,60%,64%,36%,43%,62%,52%,73%,28%,41%,40%,46%,48%,72%,42%,8%,95%,24%,3%,92%,53%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,42%,39%,45%,59%,41%,38%,39%,32%,91%,52%,29%,32%,59%,50%,35%,42%,24%,64%,56%,58%,49%,46%,23%,57%,89%,3%,25%,95%,5%,38%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,<1%,4%,2%,10%,<.5%,2%,3%,1%,1%,9%,3%,3%,5%,<1%,5%,<1%,5%,2%,1%,4%,4%,2%,0%,2%,<1%,34%,2%,2%,4%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,1%,2%,<1%,2%,<1%,1%,2%,1%,2%,1%,2%,2%,2%,<1%,2%,3%,1%,0%,<1%,1%,3%,2%,1%,<1%,17%,0%,<.5%,5%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,372,186,184,53,74,149,80,221,40,77,27,221,144,207,163,125,95,78,65,38,75,77,126,56,176,182,14,114,128,106
Donald Trump,Very favorable,35%,39%,32%,25%,26%,41%,44%,43%,4%,34%,25%,43%,24%,25%,42%,32%,51%,13%,29%,26%,20%,37%,48%,31%,<1%,69%,2%,2%,67%,29%
Donald Trump,Somewhat favorable,16%,18%,15%,21%,19%,14%,12%,17%,20%,13%,18%,17%,16%,13%,18%,14%,18%,11%,19%,4%,22%,9%,19%,18%,6%,25%,18%,4%,21%,22%
Donald Trump,Somewhat unfavorable,6%,8%,5%,13%,8%,6%,1%,5%,13%,6%,10%,5%,9%,9%,5%,10%,<.5%,6%,10%,3%,4%,16%,4%,6%,10%,4%,4%,7%,3%,10%
Donald Trump,Very unfavorable,38%,32%,45%,39%,42%,35%,40%,34%,53%,41%,47%,34%,46%,50%,31%,42%,27%,62%,36%,64%,49%,35%,27%,35%,81%,1%,36%,83%,7%,36%
Donald Trump,[VOL] Have not heard of,<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,2%,0%,0%,0%
Donald Trump,[VOL] Don't know/Refused,4%,4%,3%,2%,5%,4%,3%,3%,10%,6%,0%,3%,6%,3%,4%,1%,4%,7%,5%,3%,5%,2%,2%,9%,3%,1%,37%,4%,<1%,2%
Donald Trump,NET Favorable,51%,57%,46%,46%,44%,55%,56%,59%,24%,47%,43%,59%,40%,38%,60%,47%,69%,24%,48%,29%,42%,46%,68%,50%,7%,94%,20%,6%,88%,51%
Donald Trump,NET Unfavorable,45%,39%,51%,52%,50%,41%,41%,38%,65%,47%,57%,38%,54%,58%,36%,52%,27%,69%,46%,68%,53%,51%,30%,41%,90%,5%,41%,90%,11%,47%
Donald Trump,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
Kamala [COMMA-luh] Harris,Very favorable,26%,21%,32%,24%,19%,28%,34%,21%,50%,33%,12%,21%,33%,29%,25%,24%,19%,36%,32%,30%,34%,32%,14%,31%,58%,<1%,2%,71%,2%,18%
Kamala [COMMA-luh] Harris,Somewhat favorable,18%,19%,18%,28%,22%,15%,10%,15%,25%,14%,40%,15%,22%,22%,16%,20%,11%,24%,22%,33%,23%,15%,13%,18%,34%,5%,9%,23%,9%,26%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,8%,10%,7%,16%,10%,5%,5%,7%,13%,6%,15%,7%,10%,11%,6%,12%,4%,11%,9%,4%,10%,9%,7%,9%,5%,10%,21%,3%,7%,16%
Kamala [COMMA-luh] Harris,Very unfavorable,44%,45%,43%,28%,43%,49%,49%,55%,2%,39%,33%,55%,28%,35%,49%,43%,65%,23%,29%,29%,29%,40%,64%,35%,1%,83%,32%,2%,81%,38%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,4%,6%,1%,4%,5%,3%,1%,1%,10%,8%,0%,1%,7%,3%,4%,1%,2%,5%,8%,3%,4%,4%,2%,7%,1%,2%,37%,1%,<1%,3%
Kamala [COMMA-luh] Harris,NET Favorable,44%,39%,49%,52%,41%,43%,44%,36%,75%,47%,52%,36%,56%,50%,40%,45%,30%,60%,54%,64%,57%,47%,27%,49%,92%,6%,10%,94%,11%,43%
Kamala [COMMA-luh] Harris,NET Unfavorable,52%,55%,50%,44%,54%,54%,54%,63%,15%,45%,48%,63%,37%,47%,55%,54%,69%,35%,38%,33%,40%,50%,71%,44%,7%,92%,52%,5%,88%,54%
Kamala [COMMA-luh] Harris,Number of respondents,491,253,234,117,102,167,86,260,57,123,43,260,223,239,250,138,121,96,126,46,96,102,165,82,224,242,25,138,157,149
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",Kamala Harris more,41%,36%,47%,51%,38%,40%,42%,33%,75%,46%,40%,33%,53%,48%,37%,41%,28%,60%,49%,64%,48%,46%,23%,49%,90%,2%,8%,93%,6%,43%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",Donald Trump more,48%,51%,45%,43%,42%,52%,53%,58%,12%,42%,43%,58%,34%,38%,54%,47%,66%,23%,40%,28%,38%,44%,67%,38%,3%,92%,6%,2%,87%,45%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Both,<.5%,<1%,0%,0%,1%,0%,<1%,<.5%,0%,1%,0%,<.5%,<1%,<1%,<.5%,<1%,0%,0%,<1%,0%,<1%,<.5%,0%,1%,0%,<1%,0%,0%,<1%,<1%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Neither,7%,8%,6%,3%,12%,5%,3%,8%,6%,3%,12%,8%,6%,10%,5%,11%,5%,9%,3%,6%,6%,7%,8%,5%,6%,3%,44%,4%,5%,8%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Don't know/Refused,4%,5%,2%,2%,6%,4%,1%,<1%,7%,8%,5%,<1%,7%,3%,4%,<.5%,1%,8%,7%,2%,6%,3%,1%,7%,<1%,1%,42%,1%,2%,3%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares,MARGIN Trump +7 Calculated using candidates’ unrounded vote shares
Is honest and trustworthy,Kamala Harris more,42%,36%,47%,48%,42%,40%,41%,35%,65%,48%,41%,35%,51%,52%,35%,45%,28%,64%,44%,69%,50%,43%,26%,46%,89%,3%,21%,93%,8%,42%
Is honest and trustworthy,Donald Trump more,43%,48%,37%,39%,32%,48%,49%,49%,17%,38%,41%,49%,33%,28%,52%,34%,61%,18%,41%,24%,34%,42%,55%,39%,3%,82%,4%,3%,74%,41%
Is honest and trustworthy,[VOL] Both,<1%,<1%,1%,0%,0%,1%,2%,<1%,2%,2%,0%,<1%,1%,<.5%,1%,<.5%,<1%,0%,2%,0%,0%,0%,2%,3%,0%,1%,6%,0%,2%,1%
Is honest and trustworthy,[VOL] Neither,12%,12%,12%,10%,19%,9%,6%,15%,10%,5%,11%,15%,8%,16%,9%,21%,10%,8%,7%,5%,12%,10%,17%,7%,8%,14%,24%,4%,15%,13%
Is honest and trustworthy,[VOL] Don't know/Refused,3%,3%,2%,2%,7%,2%,1%,<.5%,6%,7%,7%,<.5%,7%,4%,3%,0%,<1%,10%,5%,2%,5%,5%,<.5%,4%,<.5%,<1%,45%,0%,<1%,3%
Is honest and trustworthy,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
Is a strong leader,Kamala Harris more,37%,30%,45%,45%,32%,34%,42%,31%,69%,42%,30%,31%,47%,42%,34%,36%,27%,52%,44%,57%,46%,41%,22%,41%,84%,0%,4%,89%,5%,33%
Is a strong leader,Donald Trump more,53%,61%,46%,47%,50%,59%,56%,62%,15%,49%,50%,62%,40%,45%,58%,54%,68%,29%,46%,35%,41%,49%,70%,50%,8%,97%,17%,8%,90%,52%
Is a strong leader,[VOL] Both,<.5%,<.5%,<.5%,1%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,0%,<.5%
Is a strong leader,[VOL] Neither,6%,7%,6%,3%,15%,2%,2%,6%,4%,6%,14%,6%,7%,9%,5%,10%,4%,9%,6%,5%,10%,4%,7%,5%,7%,1%,50%,3%,3%,11%
Is a strong leader,[VOL] Don't know/Refused,3%,3%,2%,5%,3%,4%,0%,<1%,12%,3%,6%,<1%,6%,4%,2%,0%,1%,10%,4%,3%,3%,6%,<1%,4%,<1%,2%,29%,0%,1%,4%
Is a strong leader,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares,MARGIN Trump +15 Calculated using candidates’ unrounded vote shares
Is fun,Kamala Harris more,35%,27%,43%,45%,35%,30%,38%,33%,45%,37%,32%,33%,38%,48%,26%,46%,24%,53%,30%,51%,45%,36%,24%,34%,69%,7%,17%,78%,10%,31%
Is fun,Donald Trump more,39%,48%,31%,41%,42%,39%,36%,42%,22%,38%,44%,42%,35%,28%,47%,31%,51%,23%,41%,28%,31%,39%,48%,39%,10%,68%,14%,6%,65%,41%
Is fun,[VOL] Both,1%,2%,<1%,<1%,0%,<1%,3%,<1%,6%,<1%,0%,<1%,2%,1%,1%,2%,0%,0%,3%,0%,0%,3%,<1%,2%,2%,<.5%,0%,2%,<1%,1%
Is fun,[VOL] Neither,14%,17%,12%,7%,16%,17%,11%,14%,11%,16%,13%,14%,14%,13%,16%,14%,15%,11%,16%,14%,13%,9%,18%,17%,13%,13%,37%,8%,15%,17%
Is fun,[VOL] Don't know/Refused,10%,7%,12%,6%,6%,13%,12%,9%,16%,9%,11%,9%,11%,10%,10%,9%,10%,14%,10%,7%,11%,13%,9%,8%,6%,11%,31%,6%,9%,10%
Is fun,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares,MARGIN Trump +4 Calculated using candidates’ unrounded vote shares
Would help you personally,Kamala Harris more,37%,30%,44%,43%,35%,36%,39%,28%,67%,45%,38%,28%,49%,42%,34%,31%,26%,60%,43%,58%,45%,37%,23%,43%,80%,2%,13%,87%,7%,32%
Would help you personally,Donald Trump more,50%,57%,44%,48%,48%,52%,53%,61%,17%,41%,45%,61%,35%,43%,55%,54%,66%,24%,41%,29%,38%,52%,67%,41%,8%,90%,23%,4%,84%,53%
Would help you personally,[VOL] Both,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Would help you personally,[VOL] Neither,8%,10%,7%,7%,14%,6%,5%,8%,8%,7%,13%,8%,8%,10%,8%,12%,6%,7%,9%,8%,13%,6%,7%,7%,10%,4%,32%,7%,5%,10%
Would help you personally,[VOL] Don't know/Refused,5%,3%,5%,2%,4%,6%,4%,3%,8%,8%,5%,3%,7%,5%,4%,3%,2%,9%,7%,5%,4%,5%,2%,9%,2%,4%,32%,2%,4%,5%
Would help you personally,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares
(Ask only of Split A)  Would help people like you,Kamala Harris more,38%,36%,40%,51%,24%,33%,45%,28%,79%,54%,40%,28%,58%,41%,35%,33%,23%,59%,57%,50%,50%,43%,17%,49%,90%,<1%,9%,89%,5%,42%
(Ask only of Split A)  Would help people like you,Donald Trump more,55%,58%,54%,49%,59%,63%,50%,64%,8%,43%,59%,64%,38%,48%,61%,54%,72%,34%,41%,29%,47%,51%,75%,48%,3%,96%,35%,7%,90%,50%
(Ask only of Split A)  Would help people like you,[VOL] Both,<.5%,<1%,0%,0%,2%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,<1%,0%,0%,<1%,0%
(Ask only of Split A)  Would help people like you,[VOL] Neither,4%,2%,6%,<1%,5%,4%,3%,5%,3%,2%,<1%,5%,2%,7%,1%,11%,<.5%,<1%,3%,21%,<1%,1%,4%,3%,5%,1%,25%,3%,3%,3%
(Ask only of Split A)  Would help people like you,[VOL] Don't know/Refused,3%,3%,1%,0%,10%,0%,2%,3%,10%,0%,0%,3%,3%,3%,3%,1%,4%,7%,0%,0%,2%,5%,4%,0%,2%,1%,31%,1%,1%,4%
(Ask only of Split A)  Would help people like you,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares,MARGIN Trump +18 Calculated using candidates’ unrounded vote shares
Represents change,Kamala Harris more,44%,39%,50%,52%,47%,39%,44%,35%,81%,51%,40%,35%,57%,48%,42%,37%,34%,64%,53%,63%,53%,46%,31%,48%,90%,8%,11%,90%,13%,46%
Represents change,Donald Trump more,47%,54%,41%,42%,39%,53%,51%,57%,7%,40%,46%,57%,32%,39%,51%,51%,62%,21%,38%,31%,34%,45%,62%,44%,4%,87%,21%,5%,83%,47%
Represents change,[VOL] Both,1%,<1%,2%,1%,<1%,0%,3%,2%,<.5%,<1%,0%,2%,<.5%,3%,<.5%,4%,<.5%,1%,<.5%,3%,0%,3%,<1%,0%,2%,0%,8%,2%,<1%,1%
Represents change,[VOL] Neither,3%,3%,4%,1%,7%,2%,<1%,3%,2%,2%,9%,3%,4%,6%,2%,6%,<1%,6%,2%,0%,5%,2%,3%,4%,4%,<1%,23%,4%,<1%,4%
Represents change,[VOL] Don't know/Refused,4%,4%,4%,3%,5%,5%,1%,3%,10%,6%,5%,3%,7%,4%,4%,2%,3%,8%,6%,3%,8%,4%,3%,4%,<1%,4%,37%,0%,3%,2%
