itm,v1,registered_voters_registered_voters,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,1%,2%,3%,2%,2%,4%,3%,3%,<1%,2%,0%,3%,3%,2%,3%,2%,4%,<.5%,2%,3%,2%,1%,2%,14%,1%,<1%,9%,15%,<.5%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,<1%,<1%,<.5%,2%,1%,<1%,<.5%,<1%,<1%,1%,<1%,0%,1%,<1%,<1%,<1%,1%,1%,<.5%,2%,<.5%,<1%,<.5%,<1%,6%,<1%,<.5%,2%,6%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,45%,46%,43%,53%,38%,32%,42%,53%,42%,49%,8%,37%,33%,52%,35%,57%,21%,24%,23%,40%,57%,4%,90%,36%,3%,94%,42%,20%,4%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,51%,52%,51%,52%,44%,59%,61%,54%,44%,56%,47%,92%,57%,62%,45%,61%,40%,73%,74%,71%,56%,40%,94%,7%,32%,95%,5%,43%,45%,96%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,2%,3%,3%,3%,2%,6%,3%,3%,<1%,3%,0%,4%,4%,2%,4%,2%,5%,<1%,3%,3%,2%,2%,2%,22%,1%,<1%,12%,25%,<.5%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,1%,<.5%,2%,1%,<1%,<.5%,<1%,<1%,1%,1%,0%,2%,<1%,1%,<1%,1%,1%,<1%,3%,<1%,<1%,<1%,<1%,10%,<1%,<1%,3%,10%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,483",419,544,520,677,782,158,327,490,468,"1,211",107,136,739,735,611,599,116,126,239,590,654,782,655,46,751,607,70,55,518
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,23%,21%,23%,26%,17%,29%,9%,15%,24%,35%,23%,33%,17%,28%,21%,28%,21%,26%,23%,30%,22%,21%,46%,<1%,6%,48%,<1%,3%,10%,54%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,19%,17%,20%,19%,17%,20%,20%,26%,15%,17%,18%,23%,21%,24%,16%,23%,15%,27%,20%,27%,19%,15%,36%,2%,9%,36%,2%,12%,14%,32%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,10%,12%,9%,9%,10%,9%,21%,13%,6%,6%,8%,12%,18%,10%,10%,9%,8%,15%,16%,10%,12%,8%,11%,7%,21%,10%,6%,29%,17%,7%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,46%,47%,46%,43%,53%,39%,46%,43%,53%,39%,48%,25%,40%,36%,50%,37%,54%,29%,36%,30%,44%,54%,4%,88%,51%,3%,90%,52%,48%,4%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,3%,3%,3%,3%,3%,3%,4%,3%,3%,3%,2%,7%,3%,2%,3%,2%,2%,3%,6%,4%,3%,2%,3%,2%,13%,3%,2%,3%,11%,3%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,42%,38%,42%,45%,34%,49%,29%,41%,39%,52%,41%,56%,38%,52%,37%,52%,36%,53%,43%,57%,41%,37%,82%,3%,16%,84%,2%,16%,24%,86%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,55%,59%,55%,52%,63%,48%,67%,56%,59%,45%,56%,37%,59%,46%,60%,46%,62%,44%,51%,39%,56%,62%,15%,96%,71%,13%,96%,81%,64%,12%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Donald Trump,Very favorable,32%,29%,34%,33%,36%,28%,25%,28%,35%,32%,34%,5%,32%,21%,37%,21%,42%,18%,21%,19%,28%,40%,<1%,67%,7%,<1%,73%,5%,3%,3%
Donald Trump,Somewhat favorable,14%,17%,14%,13%,18%,11%,19%,18%,14%,10%,13%,19%,15%,15%,14%,15%,13%,16%,17%,7%,15%,16%,2%,27%,15%,2%,24%,30%,24%,3%
Donald Trump,Somewhat unfavorable,5%,7%,5%,3%,5%,5%,12%,5%,4%,2%,4%,11%,6%,5%,5%,5%,4%,3%,11%,6%,7%,3%,4%,4%,23%,4%,1%,27%,21%,3%
Donald Trump,Very unfavorable,47%,45%,47%,51%,38%,56%,44%,46%,44%,54%,46%,62%,46%,59%,42%,59%,40%,62%,49%,65%,48%,40%,92%,1%,47%,93%,<1%,34%,45%,90%
Donald Trump,[VOL] Have not heard of,<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%
Donald Trump,[VOL] Don't know/Refused,2%,3%,<1%,1%,2%,<1%,0%,2%,2%,2%,2%,3%,<.5%,<1%,2%,<1%,2%,<1%,2%,3%,2%,<1%,1%,1%,7%,<1%,2%,4%,6%,<1%
Donald Trump,NET Favorable,46%,45%,47%,46%,54%,39%,44%,46%,49%,42%,48%,24%,47%,36%,51%,36%,55%,34%,38%,26%,43%,56%,3%,94%,22%,3%,96%,35%,27%,6%
Donald Trump,NET Unfavorable,52%,52%,52%,53%,43%,61%,56%,51%,48%,57%,50%,73%,53%,63%,47%,63%,43%,66%,60%,71%,55%,43%,96%,5%,71%,96%,2%,61%,67%,94%
Donald Trump,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Kamala [COMMA-luh] Harris,Very favorable,30%,29%,30%,33%,20%,40%,21%,24%,28%,43%,30%,43%,26%,34%,28%,34%,28%,36%,32%,40%,29%,27%,62%,<1%,2%,64%,1%,2%,3%,71%
Kamala [COMMA-luh] Harris,Somewhat favorable,18%,16%,20%,17%,20%,16%,27%,23%,16%,12%,16%,25%,24%,22%,16%,22%,13%,23%,26%,24%,21%,13%,33%,2%,20%,31%,2%,20%,27%,22%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,9%,9%,8%,8%,10%,7%,14%,13%,8%,3%,8%,10%,11%,9%,8%,9%,8%,9%,11%,8%,10%,8%,3%,12%,26%,2%,10%,30%,25%,3%
Kamala [COMMA-luh] Harris,Very unfavorable,40%,41%,40%,39%,47%,34%,35%,38%,44%,38%,43%,17%,33%,32%,44%,33%,48%,26%,26%,23%,37%,50%,<.5%,81%,40%,<.5%,84%,39%,32%,3%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,1%,<.5%,<1%,0%,1%,<.5%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,3%,5%,2%,2%,3%,2%,2%,2%,3%,3%,2%,4%,5%,2%,3%,<1%,3%,6%,4%,6%,3%,2%,2%,3%,11%,1%,3%,9%,12%,1%
Kamala [COMMA-luh] Harris,NET Favorable,48%,45%,50%,50%,40%,57%,48%,46%,44%,55%,47%,68%,50%,57%,44%,57%,41%,59%,58%,64%,50%,40%,94%,3%,22%,96%,3%,23%,31%,93%
Kamala [COMMA-luh] Harris,NET Unfavorable,49%,50%,48%,48%,57%,41%,50%,51%,53%,41%,51%,28%,44%,41%,52%,42%,55%,35%,38%,30%,47%,58%,4%,93%,66%,3%,94%,69%,56%,6%
Kamala [COMMA-luh] Harris,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
JD Vance,Very favorable,19%,14%,19%,22%,21%,17%,8%,11%,20%,25%,21%,3%,12%,13%,21%,14%,24%,6%,9%,7%,17%,24%,<1%,38%,5%,<1%,42%,2%,4%,2%
JD Vance,Somewhat favorable,18%,21%,17%,15%,22%,15%,21%,20%,23%,11%,19%,10%,17%,17%,19%,16%,21%,19%,11%,12%,17%,21%,6%,32%,8%,5%,32%,21%,11%,6%
JD Vance,Somewhat unfavorable,10%,12%,10%,9%,9%,10%,16%,14%,8%,6%,9%,16%,13%,13%,9%,13%,7%,13%,15%,11%,11%,8%,13%,5%,23%,13%,4%,28%,13%,8%
JD Vance,Very unfavorable,36%,30%,39%,39%,31%,40%,32%,33%,32%,44%,36%,44%,30%,47%,30%,47%,30%,48%,31%,50%,37%,30%,69%,3%,21%,71%,2%,19%,22%,71%
JD Vance,[VOL] Have not heard of,8%,10%,7%,6%,8%,8%,11%,14%,7%,4%,6%,17%,16%,4%,10%,4%,7%,7%,21%,10%,9%,5%,5%,10%,19%,4%,8%,17%,31%,6%
JD Vance,[VOL] Don't know/Refused,10%,12%,9%,9%,10%,10%,13%,8%,10%,11%,9%,10%,12%,7%,11%,6%,11%,7%,13%,10%,8%,12%,6%,12%,23%,6%,12%,13%,19%,7%
JD Vance,NET Favorable,36%,36%,36%,38%,42%,31%,29%,31%,43%,35%,40%,13%,29%,30%,40%,30%,45%,25%,20%,19%,35%,45%,6%,70%,14%,6%,74%,23%,14%,8%
JD Vance,NET Unfavorable,46%,42%,48%,48%,40%,51%,48%,47%,41%,50%,45%,60%,43%,59%,39%,60%,37%,61%,46%,61%,48%,38%,82%,8%,44%,84%,6%,47%,36%,79%
JD Vance,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
(Asked starting Aug. 6)  Tim Walz [walls],Very favorable,20%,17%,19%,26%,17%,23%,16%,18%,20%,23%,21%,21%,11%,28%,15%,29%,17%,24%,12%,24%,20%,17%,39%,1%,5%,41%,2%,8%,2%,43%
(Asked starting Aug. 6)  Tim Walz [walls],Somewhat favorable,17%,16%,18%,14%,16%,17%,26%,15%,12%,18%,17%,13%,18%,21%,14%,20%,15%,25%,11%,14%,17%,17%,26%,8%,4%,26%,8%,11%,11%,19%
(Asked starting Aug. 6)  Tim Walz [walls],Somewhat unfavorable,9%,9%,10%,6%,10%,8%,10%,12%,9%,5%,8%,15%,12%,9%,9%,8%,7%,10%,15%,12%,8%,8%,5%,13%,8%,4%,12%,25%,5%,3%
(Asked starting Aug. 6)  Tim Walz [walls],Very unfavorable,19%,14%,18%,28%,21%,17%,7%,12%,25%,20%,20%,13%,11%,16%,20%,17%,22%,11%,12%,13%,17%,23%,3%,36%,15%,2%,38%,9%,15%,4%
(Asked starting Aug. 6)  Tim Walz [walls],[VOL] Have not heard of,19%,24%,18%,13%,18%,20%,21%,26%,17%,15%,18%,21%,24%,13%,22%,13%,21%,14%,27%,21%,20%,17%,14%,22%,36%,13%,21%,24%,44%,17%
(Asked starting Aug. 6)  Tim Walz [walls],[VOL] Don't know/Refused,17%,20%,17%,13%,18%,16%,20%,16%,17%,19%,16%,17%,24%,14%,19%,12%,18%,16%,23%,15%,18%,18%,14%,19%,32%,14%,19%,23%,23%,14%
(Asked starting Aug. 6)  Tim Walz [walls],NET Favorable,36%,33%,37%,40%,33%,39%,43%,34%,32%,41%,38%,34%,29%,49%,30%,49%,32%,49%,23%,38%,38%,34%,65%,10%,9%,67%,9%,19%,13%,63%
(Asked starting Aug. 6)  Tim Walz [walls],NET Unfavorable,27%,23%,28%,34%,31%,25%,17%,24%,34%,25%,28%,28%,23%,25%,29%,25%,29%,21%,27%,25%,25%,31%,7%,49%,23%,6%,50%,33%,20%,6%
(Asked starting Aug. 6)  Tim Walz [walls],Number of respondents,"1,204",345,600,259,562,619,176,282,402,314,941,103,136,592,606,476,464,103,135,196,523,485,616,535,53,584,488,65,67,407
How much attention are you paying to the upcoming presidential election?,A lot,62%,54%,64%,69%,62%,63%,44%,52%,65%,75%,66%,48%,45%,70%,58%,72%,63%,61%,40%,56%,62%,66%,67%,61%,26%,68%,64%,32%,33%,68%
How much attention are you paying to the upcoming presidential election?,Some,25%,29%,25%,22%,26%,24%,37%,29%,25%,17%,25%,29%,30%,22%,27%,22%,26%,24%,31%,26%,25%,25%,26%,24%,29%,25%,24%,41%,19%,23%
How much attention are you paying to the upcoming presidential election?,Not much,8%,10%,8%,7%,8%,8%,13%,10%,8%,5%,6%,16%,16%,5%,10%,4%,7%,10%,19%,11%,9%,7%,4%,10%,22%,4%,9%,20%,24%,5%
How much attention are you paying to the upcoming presidential election?,None at all,4%,6%,3%,3%,4%,4%,5%,8%,2%,3%,3%,7%,9%,3%,5%,2%,3%,4%,10%,7%,5%,3%,3%,4%,23%,3%,3%,7%,24%,4%
How much attention are you paying to the upcoming presidential election?,[VOL] Don't know/Refused,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Very enthusiastic,57%,50%,58%,63%,55%,58%,35%,46%,63%,67%,61%,41%,45%,59%,56%,61%,61%,55%,38%,49%,55%,61%,60%,58%,15%,63%,62%,13%,10%,69%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Somewhat enthusiastic,24%,26%,24%,23%,25%,24%,34%,29%,19%,21%,22%,25%,34%,23%,25%,22%,23%,24%,33%,28%,25%,22%,26%,22%,15%,26%,22%,29%,16%,21%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not very enthusiastic,11%,12%,12%,8%,11%,10%,21%,12%,10%,7%,10%,19%,11%,11%,11%,11%,10%,13%,15%,13%,11%,10%,9%,12%,25%,7%,10%,28%,33%,5%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not at all enthusiastic,8%,11%,6%,6%,8%,7%,10%,12%,7%,4%,6%,13%,10%,6%,8%,6%,7%,7%,13%,10%,8%,7%,4%,8%,41%,3%,6%,27%,40%,4%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",[VOL] Don’t know/Refused,<1%,1%,<.5%,<.5%,<1%,<.5%,0%,1%,<1%,<1%,<.5%,2%,1%,<.5%,<1%,<.5%,<.5%,1%,2%,1%,<.5%,<1%,<.5%,<.5%,4%,<.5%,<.5%,2%,2%,<.5%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Enthusiastic,81%,75%,81%,86%,80%,82%,69%,75%,83%,88%,83%,66%,78%,82%,80%,83%,83%,79%,70%,77%,80%,83%,87%,80%,30%,89%,84%,43%,25%,90%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Not enthusiastic,19%,24%,18%,14%,19%,18%,31%,24%,17%,11%,16%,32%,20%,17%,19%,16%,16%,20%,28%,22%,19%,17%,13%,19%,66%,11%,15%,55%,72%,10%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Very satisfied,40%,36%,41%,45%,35%,46%,22%,32%,43%,51%,42%,33%,33%,38%,42%,38%,45%,38%,31%,37%,36%,46%,42%,43%,3%,44%,46%,2%,4%,51%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Somewhat satisfied,33%,31%,36%,31%,35%,30%,42%,34%,30%,31%,32%,35%,35%,32%,33%,32%,32%,30%,37%,36%,32%,31%,38%,30%,13%,38%,31%,21%,14%,36%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Not too satisfied,14%,17%,13%,13%,17%,12%,18%,20%,14%,9%,14%,16%,18%,16%,13%,18%,12%,9%,21%,11%,18%,12%,13%,16%,8%,11%,14%,30%,25%,8%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Not at all satisfied,10%,12%,9%,10%,10%,10%,15%,13%,11%,6%,10%,13%,11%,12%,10%,11%,10%,19%,9%,11%,11%,10%,5%,9%,64%,5%,7%,45%,49%,4%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",[VOL] Don't know/Refused,2%,4%,<1%,2%,2%,2%,3%,1%,2%,4%,2%,3%,4%,2%,3%,1%,2%,4%,3%,5%,2%,1%,2%,2%,11%,2%,2%,3%,9%,2%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",NET Satisfied,73%,67%,77%,75%,70%,76%,64%,66%,73%,81%,75%,68%,67%,70%,75%,70%,77%,68%,67%,73%,69%,77%,79%,73%,16%,82%,77%,22%,18%,87%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",NET Not satisfied,25%,29%,22%,23%,28%,22%,33%,33%,25%,15%,24%,29%,29%,29%,23%,28%,21%,28%,30%,22%,29%,22%,19%,25%,73%,16%,21%,75%,73%,12%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",Enthusiastic,19%,15%,19%,22%,21%,16%,8%,12%,20%,25%,21%,4%,11%,15%,21%,16%,24%,8%,8%,9%,16%,25%,<1%,39%,5%,<1%,42%,5%,2%,2%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?","Satisfied, but not enthusiastic",25%,28%,25%,23%,29%,22%,28%,26%,29%,20%,25%,28%,25%,20%,28%,19%,28%,22%,28%,23%,24%,27%,9%,42%,23%,9%,42%,28%,24%,11%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?","Dissatisfied, but not upset",28%,30%,26%,27%,27%,29%,37%,31%,23%,29%,26%,44%,33%,31%,27%,30%,24%,40%,37%,32%,29%,25%,45%,9%,45%,45%,6%,46%,37%,41%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",Angry,20%,16%,23%,22%,15%,25%,22%,22%,17%,21%,21%,19%,15%,30%,15%,32%,16%,23%,14%,27%,22%,16%,40%,1%,8%,41%,<1%,9%,11%,40%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",[VOL] Don't know/Refused,8%,11%,7%,6%,8%,7%,5%,8%,11%,6%,7%,5%,17%,4%,9%,3%,8%,8%,13%,9%,8%,7%,5%,9%,19%,4%,9%,12%,25%,6%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",Enthusiastic,21%,18%,22%,26%,17%,26%,17%,19%,19%,30%,22%,24%,17%,31%,16%,32%,17%,29%,16%,30%,22%,17%,44%,<1%,0%,46%,<1%,0%,2%,49%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?","Satisfied, but not enthusiastic",27%,27%,27%,25%,26%,27%,37%,27%,24%,24%,26%,36%,28%,27%,27%,26%,26%,31%,33%,31%,26%,26%,41%,12%,26%,41%,12%,24%,32%,35%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?","Dissatisfied, but not upset",24%,24%,25%,22%,25%,24%,27%,24%,26%,20%,25%,24%,20%,19%,27%,21%,27%,11%,26%,19%,22%,29%,7%,40%,37%,6%,41%,43%,27%,7%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",Angry,12%,10%,11%,17%,15%,9%,6%,9%,14%,15%,13%,3%,10%,11%,12%,10%,15%,13%,4%,4%,13%,14%,<.5%,24%,7%,0%,25%,9%,6%,0%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",[VOL] Don't know/Refused,16%,22%,14%,11%,17%,14%,13%,21%,18%,12%,14%,14%,25%,13%,17%,12%,16%,17%,21%,16%,17%,15%,8%,22%,31%,7%,21%,24%,32%,8%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",Number of respondents,"1,204",345,600,259,562,619,176,282,402,314,941,103,136,592,606,476,464,103,135,196,523,485,616,535,53,584,488,65,67,407
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Too conservative,33%,29%,38%,32%,29%,37%,50%,40%,29%,26%,33%,41%,32%,44%,28%,45%,27%,44%,33%,46%,35%,26%,57%,9%,24%,58%,7%,29%,31%,58%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not conservative enough,11%,13%,9%,10%,11%,10%,5%,8%,11%,14%,9%,15%,15%,7%,13%,7%,11%,7%,19%,9%,11%,11%,10%,11%,8%,10%,11%,6%,15%,8%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not too far either way,47%,48%,46%,47%,52%,43%,42%,48%,52%,42%,48%,33%,47%,40%,50%,40%,53%,41%,41%,36%,44%,54%,18%,77%,51%,18%,78%,55%,37%,21%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",[VOL] Don’t know/Refused,9%,10%,7%,10%,8%,10%,3%,4%,8%,18%,9%,11%,6%,9%,9%,8%,10%,9%,7%,8%,11%,9%,14%,3%,16%,14%,3%,11%,17%,12%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Too liberal or progressive,42%,36%,44%,47%,49%,36%,31%,37%,48%,43%,47%,13%,29%,38%,44%,40%,51%,25%,20%,24%,38%,54%,10%,77%,37%,9%,79%,40%,30%,7%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not liberal or progressive enough,8%,8%,8%,7%,7%,8%,18%,13%,3%,3%,6%,16%,15%,9%,7%,8%,5%,15%,16%,15%,7%,5%,10%,5%,10%,9%,5%,14%,10%,9%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not too far either way,45%,47%,43%,44%,38%,51%,46%,44%,44%,47%,43%,60%,47%,50%,42%,50%,39%,49%,54%,58%,48%,36%,76%,12%,41%,78%,10%,39%,47%,81%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",[VOL] Don’t know/Refused,6%,10%,4%,3%,6%,5%,4%,6%,5%,7%,4%,12%,9%,4%,7%,2%,6%,10%,11%,4%,7%,5%,4%,6%,12%,4%,6%,6%,13%,3%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Nothing would change,2%,3%,2%,1%,4%,<1%,3%,3%,2%,1%,2%,2%,3%,1%,3%,1%,2%,<1%,4%,3%,2%,2%,2%,1%,9%,2%,1%,6%,6%,<.5%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Minor changes to how things work,14%,17%,14%,12%,17%,12%,25%,19%,13%,7%,14%,18%,12%,16%,13%,16%,12%,16%,14%,16%,15%,12%,7%,21%,23%,6%,19%,37%,20%,7%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Major changes to how things work,46%,43%,48%,46%,49%,42%,46%,45%,47%,43%,47%,26%,50%,44%,47%,44%,49%,44%,37%,34%,42%,54%,25%,69%,35%,25%,72%,34%,31%,23%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",He would tear down the system completely,36%,35%,35%,38%,29%,44%,25%,32%,35%,46%,35%,53%,32%,38%,36%,38%,34%,38%,43%,46%,38%,31%,65%,7%,28%,66%,6%,19%,40%,68%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",[VOL] Don't know/Refused,2%,2%,2%,2%,2%,2%,<1%,1%,3%,2%,2%,<1%,3%,1%,2%,<1%,2%,2%,2%,2%,2%,2%,2%,2%,5%,2%,2%,5%,3%,2%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Very good for the country,33%,29%,33%,36%,38%,28%,22%,30%,37%,33%,36%,6%,27%,25%,36%,26%,41%,17%,18%,15%,31%,41%,<.5%,69%,8%,<.5%,73%,12%,7%,2%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat good for the country,9%,10%,10%,7%,10%,8%,13%,10%,9%,5%,9%,7%,11%,10%,8%,10%,8%,11%,9%,9%,8%,9%,<1%,17%,15%,<1%,15%,20%,19%,2%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat bad for the country,4%,6%,4%,4%,5%,4%,9%,5%,3%,4%,4%,8%,7%,5%,4%,5%,3%,5%,9%,4%,6%,4%,8%,<1%,7%,7%,<1%,7%,7%,6%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Very bad for the country,41%,37%,42%,44%,32%,50%,37%,41%,38%,47%,41%,56%,35%,51%,36%,51%,35%,52%,41%,57%,42%,34%,82%,<1%,22%,84%,<1%,14%,28%,83%
