itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,4%,1%,2%,2%,<1%,2%,2%,2%,1%,1%,3%,2%,2%,1%,3%,2%,2%,1%,2%,3%,1%,1%,1%,3%,0%,1%,12%,0%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Joe Biden,42%,42%,39%,42%,38%,44%,47%,35%,48%,43%,41%,39%,48%,39%,64%,44%,39%,52%,37%,50%,32%,60%,48%,52%,46%,31%,100%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Some chance,4%,3%,6%,4%,5%,3%,3%,4%,4%,8%,5%,2%,2%,3%,5%,9%,8%,4%,4%,3%,2%,8%,7%,4%,5%,3%,5%,0%,18%,4%
How satisfied are you with the way things are going in your life these days?,Not really any chance,46%,47%,42%,45%,43%,47%,50%,38%,53%,44%,45%,44%,50%,42%,69%,47%,43%,56%,41%,53%,36%,64%,52%,57%,49%,34%,93%,0%,70%,95%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,3%,1%,2%,2%,2%,2%,2%,2%,2%,1%,3%,1%,4%,1%,4%,1%,2%,1%,1%,2%,3%,3%,2%,2%,2%,0%,12%,<1%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Donald Trump,48%,49%,49%,49%,50%,47%,45%,56%,41%,45%,47%,52%,45%,54%,22%,42%,45%,38%,54%,42%,61%,27%,38%,36%,44%,61%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If candidate selected in presidential race, including third-party candidates) What is the MAIN reason you are planning to vote for [CANDIDATE SELECTED]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If candidate selected in presidential race, including third-party candidates) What is the MAIN reason you are planning to vote for [CANDIDATE SELECTED]?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If candidate selected in presidential race, including third-party candidates) What is the MAIN reason you are planning to vote for [CANDIDATE SELECTED]?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,[VOL] Positive view of candidate's policies,25%,23%,26%,30%,21%,25%,23%,24%,26%,22%,23%,25%,28%,25%,29%,23%,22%,22%,26%,21%,26%,25%,25%,23%,24%,27%,24%,26%,19%,24%
How satisfied are you with the way things are going in your life these days?,[VOL] Negative view of opponent's policies,5%,7%,3%,5%,7%,4%,5%,6%,5%,4%,5%,6%,4%,5%,5%,7%,5%,5%,5%,6%,5%,4%,6%,7%,4%,5%,4%,6%,5%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Positive view of candidate's character/competence,16%,16%,18%,18%,14%,15%,17%,16%,17%,14%,11%,14%,24%,16%,14%,19%,16%,13%,18%,14%,17%,10%,18%,15%,17%,17%,18%,14%,23%,18%
How satisfied are you with the way things are going in your life these days?,[VOL] Negative view of opponent's character/competence,24%,24%,22%,18%,27%,24%,27%,24%,24%,23%,29%,23%,19%,25%,24%,16%,24%,29%,21%,29%,22%,27%,19%,29%,25%,19%,34%,14%,39%,33%
How satisfied are you with the way things are going in your life these days?,[VOL] Voting to support a political party,5%,2%,7%,6%,5%,3%,6%,4%,6%,6%,4%,5%,5%,5%,6%,3%,4%,4%,5%,4%,6%,6%,4%,3%,6%,5%,6%,4%,5%,6%
How satisfied are you with the way things are going in your life these days?,[VOL] The economy (including jobs and the stock market),11%,13%,12%,11%,11%,11%,8%,13%,9%,10%,12%,13%,8%,11%,4%,14%,12%,11%,11%,11%,12%,11%,9%,8%,10%,14%,2%,19%,<1%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Inflation/the cost of living,2%,1%,<1%,2%,2%,2%,3%,2%,1%,4%,2%,1%,<1%,2%,<1%,1%,1%,1%,2%,2%,2%,<.5%,1%,1%,2%,2%,<.5%,3%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Abortion,1%,1%,<.5%,1%,<1%,3%,1%,<1%,2%,2%,2%,1%,1%,2%,0%,1%,2%,2%,1%,2%,1%,2%,<1%,<1%,2%,1%,2%,<1%,0%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Immigration,3%,4%,2%,3%,3%,3%,2%,4%,2%,1%,2%,4%,4%,3%,<1%,2%,2%,3%,3%,3%,3%,2%,1%,2%,3%,3%,<.5%,5%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] The state of democracy/corruption,2%,2%,<1%,<1%,2%,2%,2%,2%,1%,<1%,<1%,2%,3%,2%,1%,<1%,1%,3%,<1%,3%,<1%,4%,<.5%,2%,2%,<1%,3%,<1%,0%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Other (specify),4%,3%,5%,2%,4%,5%,4%,4%,4%,8%,6%,3%,2%,3%,7%,6%,6%,5%,3%,5%,2%,7%,6%,5%,4%,4%,4%,4%,7%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,4%,4%,3%,3%,1%,2%,4%,5%,4%,3%,<1%,1%,8%,7%,4%,1%,4%,1%,2%,2%,8%,5%,3%,2%,4%,2%,<1%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"2,971",451,392,450,439,756,483,"1,570","1,370",472,646,976,788,"2,205",294,231,175,"1,396","1,564","1,091","1,108",269,428,677,"1,310",984,"1,411","1,458",102,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,16%,17%,16%,17%,17%,49%,50%,15%,22%,32%,27%,71%,11%,9%,7%,35%,64%,26%,45%,8%,18%,24%,41%,35%,44%,52%,4%,39%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,For Robert F. Kennedy Jr.,50%,48%,54%,53%,53%,39%,51%,51%,47%,56%,46%,47%,51%,48%,40%,50%,63%,44%,52%,37%,55%,58%,48%,45%,49%,53%,43%,51%,56%,-
How satisfied are you with the way things are going in your life these days?,Against the other candidates,44%,46%,41%,47%,35%,53%,44%,44%,46%,43%,42%,45%,49%,47%,54%,45%,18%,53%,40%,60%,39%,39%,42%,51%,42%,42%,54%,40%,40%,-
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,6%,6%,5%,0%,12%,8%,5%,5%,7%,1%,12%,8%,0%,5%,6%,5%,19%,3%,7%,3%,6%,3%,10%,4%,9%,5%,3%,9%,5%,-
How satisfied are you with the way things are going in your life these days?,Number of respondents,328,47,48,48,60,83,42,171,152,102,93,89,38,221,37,42,23,130,197,101,119,26,76,70,143,115,104,145,79,
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,15%,14%,16%,20%,18%,16%,50%,50%,31%,30%,27%,11%,64%,12%,15%,9%,30%,70%,22%,41%,7%,28%,24%,40%,36%,32%,43%,25%,
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very satisfied,26%,29%,24%,24%,22%,29%,24%,25%,26%,10%,16%,27%,43%,28%,21%,20%,19%,21%,28%,21%,32%,22%,19%,24%,24%,28%,20%,34%,7%,24%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,33%,31%,35%,33%,37%,29%,33%,35%,32%,37%,33%,33%,31%,33%,34%,37%,29%,32%,34%,33%,33%,32%,35%,34%,31%,34%,36%,34%,15%,39%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,19%,18%,20%,18%,17%,17%,22%,17%,20%,26%,21%,18%,13%,19%,16%,20%,22%,21%,18%,22%,17%,17%,20%,17%,20%,18%,22%,15%,19%,21%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,21%,20%,19%,22%,22%,24%,19%,21%,20%,24%,29%,21%,11%,19%,27%,21%,29%,25%,19%,23%,17%,28%,24%,22%,23%,18%,20%,15%,53%,15%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,3%,1%,1%,2%,2%,2%,1%,2%,2%,3%,2%,3%,3%,2%,1%,2%,1%,2%,<1%,3%,3%,1%,2%,1%,2%,6%,1%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,59%,60%,59%,58%,60%,58%,58%,60%,58%,48%,49%,60%,73%,61%,55%,56%,47%,53%,61%,54%,65%,54%,54%,58%,56%,63%,57%,68%,22%,63%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,39%,38%,39%,39%,39%,41%,40%,39%,40%,51%,50%,38%,24%,38%,43%,40%,51%,45%,36%,45%,34%,45%,43%,39%,43%,35%,42%,30%,73%,36%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Always,35%,37%,32%,31%,34%,36%,38%,39%,30%,13%,24%,40%,49%,37%,27%,21%,34%,42%,31%,43%,34%,39%,22%,34%,35%,35%,34%,37%,24%,39%
How satisfied are you with the way things are going in your life these days?,Most of the time,32%,32%,29%,36%,26%,34%,34%,31%,33%,28%,34%,32%,34%,34%,29%,26%,30%,33%,32%,34%,34%,30%,27%,31%,32%,33%,35%,31%,25%,36%
How satisfied are you with the way things are going in your life these days?,About half of the time,14%,15%,14%,15%,16%,14%,11%,13%,14%,24%,18%,11%,7%,13%,14%,22%,12%,12%,15%,12%,14%,13%,19%,15%,14%,13%,14%,13%,16%,11%
How satisfied are you with the way things are going in your life these days?,Some of the time,15%,11%,20%,12%,20%,14%,14%,12%,18%,27%,19%,12%,8%,13%,22%,24%,17%,11%,17%,9%,14%,16%,23%,15%,15%,15%,14%,14%,24%,12%
How satisfied are you with the way things are going in your life these days?,Never,4%,4%,4%,6%,5%,2%,2%,4%,4%,7%,5%,4%,<1%,3%,7%,6%,6%,2%,5%,2%,3%,1%,9%,5%,3%,4%,2%,4%,8%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<1%,<1%,<.5%,0%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,1%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,<.5%,<.5%,<1%,<.5%,<.5%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Strongly approve,15%,16%,13%,16%,12%,17%,16%,14%,16%,2%,9%,16%,28%,15%,20%,11%,11%,20%,12%,20%,12%,21%,12%,19%,15%,12%,34%,<1%,<.5%,41%
How satisfied are you with the way things are going in your life these days?,Somewhat approve,21%,19%,20%,22%,21%,21%,25%,18%,25%,27%,24%,20%,17%,18%,33%,26%,26%,24%,20%,22%,16%,30%,28%,25%,24%,16%,44%,4%,14%,45%
How satisfied are you with the way things are going in your life these days?,Somewhat disapprove,15%,16%,16%,14%,16%,15%,13%,13%,16%,30%,18%,12%,6%,13%,17%,22%,16%,14%,15%,13%,13%,16%,19%,15%,16%,14%,15%,12%,30%,9%
How satisfied are you with the way things are going in your life these days?,Strongly disapprove,46%,46%,45%,45%,48%,45%,44%,52%,39%,35%,46%,50%,45%,51%,22%,38%,43%,39%,49%,42%,56%,29%,35%,37%,42%,55%,4%,83%,38%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,6%,3%,3%,3%,3%,3%,4%,7%,3%,3%,3%,3%,7%,3%,5%,3%,3%,3%,3%,5%,5%,4%,3%,4%,3%,<1%,18%,2%
How satisfied are you with the way things are going in your life these days?,NET Approve,36%,35%,33%,38%,33%,37%,41%,32%,41%,29%,33%,35%,45%,33%,54%,37%,37%,44%,32%,42%,28%,51%,41%,44%,39%,27%,78%,4%,14%,86%
How satisfied are you with the way things are going in your life these days?,NET Disapprove,60%,62%,61%,59%,64%,60%,56%,66%,55%,64%,64%,62%,52%,64%,39%,60%,59%,53%,64%,55%,69%,45%,54%,52%,58%,69%,19%,95%,68%,12%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Strongly approve,24%,-,-,-,-,24%,-,23%,26%,15%,21%,28%,30%,25%,25%,26%,13%,33%,20%,35%,20%,25%,21%,28%,30%,16%,49%,4%,12%,54%
How satisfied are you with the way things are going in your life these days?,Somewhat approve,33%,-,-,-,-,33%,-,32%,33%,38%,35%,29%,32%,31%,40%,37%,29%,29%,34%,29%,33%,29%,41%,31%,30%,37%,33%,32%,34%,31%
How satisfied are you with the way things are going in your life these days?,Somewhat disapprove,12%,-,-,-,-,12%,-,12%,11%,12%,15%,8%,12%,11%,10%,25%,25%,14%,10%,13%,9%,19%,14%,11%,10%,15%,4%,18%,17%,3%
How satisfied are you with the way things are going in your life these days?,Strongly disapprove,13%,-,-,-,-,13%,-,16%,10%,7%,10%,17%,14%,14%,9%,0%,7%,8%,16%,9%,17%,<1%,10%,7%,14%,15%,<1%,25%,7%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,18%,-,-,-,-,18%,-,17%,20%,28%,19%,19%,13%,18%,16%,12%,26%,16%,20%,14%,21%,26%,15%,23%,17%,18%,14%,21%,30%,12%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,51%,15%,23%,32%,28%,79%,11%,3%,5%,38%,62%,31%,49%,6%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following."
How satisfied are you with the way things are going in your life these days?,Donald Trump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Donald Trump,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Donald Trump,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,26%,27%,26%,27%,27%,27%,22%,28%,24%,14%,21%,30%,32%,30%,8%,21%,20%,17%,31%,19%,37%,14%,17%,21%,23%,34%,<1%,53%,3%,<1%
