itm,v1,ohio_likely_electorate_ohio_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_cleveland_area,region_columbus_area,region_industrial_north_east,region_south_east,region_south_west,region_west_central,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,ohio_likely_electorate_1,men_1,women_5,x18_29_0,x30_44_5,x45_64_0,x65_2,white_1,black_1,oth_0,b_a_0,no_b_a_1,white_college_0,white_no_college_1,non_white_college_0,non_white_no_college_1,cleveland_area_0,columbus_area_1,industrial_north_east_1,south_east_3,south_west_0,west_central_0,city_0,suburb_1,rural_small_town_1,harris_1,trump_1,oth_2,dem_0,rep_1
(Responses reclassified by age group) In what year were you born?,18-29,13%,13%,12%,100%,0%,0%,0%,13%,11%,13%,11%,14%,12%,14%,8%,14%,13%,13%,12%,15%,11%,14%,11%,11%,15%,16%,11%,7%,14%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,30-44,21%,21%,21%,0%,100%,0%,0%,19%,26%,37%,26%,18%,23%,16%,38%,27%,11%,25%,23%,9%,30%,21%,26%,21%,19%,22%,20%,24%,18%,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,45-64,34%,34%,33%,0%,0%,100%,0%,34%,33%,33%,39%,30%,37%,32%,46%,25%,39%,32%,33%,45%,28%,31%,33%,34%,33%,30%,36%,35%,27%,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,65+,30%,29%,30%,0%,0%,0%,100%,32%,27%,17%,23%,34%,27%,35%,6%,32%,35%,26%,33%,27%,29%,26%,30%,31%,28%,29%,30%,26%,38%,32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,Refused,3%,3%,3%,0%,0%,0%,0%,2%,4%,0%,2%,3%,<1%,3%,2%,2%,1%,4%,0%,4%,2%,8%,0%,3%,5%,3%,3%,7%,2%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
(Responses reclassified by age group) In what year were you born?,Number of respondents,687,319,358,116,134,239,179,548,65,54,303,378,243,303,53,66,125,115,136,56,136,119,121,296,270,302,339,46,188,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What is the highest educational level that you have completed?,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31%,32%,32%,36%,26%,26%,39%,31%,36%,33%,0%,51%,0%,51%,0%,55%,27%,18%,33%,50%,31%,40%,33%,24%,38%,26%,37%,24%,28%,35%
What is the highest educational level that you have completed?,Vocational or trade school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6%,8%,5%,6%,3%,7%,7%,6%,7%,<1%,0%,10%,0%,11%,0%,6%,3%,5%,8%,7%,7%,8%,5%,5%,8%,4%,8%,8%,5%,7%
What is the highest educational level that you have completed?,"Some college, no degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15%,14%,15%,17%,14%,14%,15%,14%,19%,15%,0%,24%,0%,23%,0%,28%,14%,14%,19%,9%,16%,13%,14%,16%,14%,15%,15%,14%,13%,15%
What is the highest educational level that you have completed?,Associate’s degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8%,6%,10%,8%,9%,9%,8%,9%,5%,8%,0%,13%,0%,14%,0%,10%,8%,6%,7%,13%,6%,12%,10%,6%,10%,6%,11%,7%,7%,12%
What is the highest educational level that you have completed?,Bachelor's degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22%,21%,23%,23%,33%,24%,14%,23%,16%,27%,59%,0%,60%,0%,58%,0%,27%,31%,14%,11%,26%,19%,23%,28%,16%,25%,20%,21%,26%,22%
What is the highest educational level that you have completed?,Graduate or professional degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15%,16%,15%,10%,13%,20%,15%,15%,16%,15%,41%,0%,40%,0%,42%,0%,20%,23%,16%,8%,15%,6%,16%,20%,11%,23%,8%,19%,21%,8%
What is the highest educational level that you have completed?,[VOL] Refused,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1%,1%,<.5%,0%,<1%,1%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<1%,2%,1%,<1%,3%,0%,<.5%,3%,<.5%,1%,6%,0%,0%
What is the highest educational level that you have completed?,Number of respondents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687,319,358,116,134,239,179,548,65,54,303,378,243,303,53,66,125,115,136,56,136,119,121,296,270,302,339,46,188,228
Would you consider yourself:,White,79%,79%,80%,81%,69%,80%,85%,98%,0%,0%,80%,79%,99%,98%,0%,0%,76%,79%,74%,92%,75%,87%,60%,79%,88%,71%,87%,70%,73%,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Hispanic or Latino,3%,2%,5%,3%,6%,3%,2%,0%,0%,41%,2%,4%,0%,0%,15%,23%,6%,4%,4%,0%,2%,3%,9%,3%,1%,5%,2%,5%,6%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Black or African American,9%,8%,10%,7%,10%,9%,8%,0%,99%,0%,7%,10%,0%,0%,45%,55%,13%,8%,9%,<.5%,16%,<1%,22%,9%,3%,16%,3%,4%,18%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Asian,1%,2%,<1%,<1%,2%,2%,0%,0%,0%,15%,3%,0%,0%,0%,20%,0%,3%,<1%,<1%,2%,0%,2%,2%,2%,<.5%,2%,<1%,3%,1%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,American Indian or Alaska Native,<1%,1%,<.5%,<1%,<.5%,1%,<1%,0%,0%,9%,<1%,<1%,0%,0%,5%,4%,0%,2%,2%,<1%,0%,0%,1%,<.5%,<1%,<1%,<1%,0%,<1%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Middle Eastern or North African,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,0%,0%,0%,4%,<1%,0%,0%,0%,6%,0%,0%,0%,<1%,0%,1%,0%,0%,<1%,<.5%,<.5%,<.5%,0%,<1%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] Some other race (specify),2%,2%,2%,3%,5%,<1%,1%,2%,1%,9%,2%,2%,1%,2%,4%,5%,1%,<1%,1%,1%,6%,1%,2%,3%,1%,2%,2%,4%,2%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] More than one race,2%,3%,<1%,2%,3%,2%,1%,0%,0%,21%,<1%,2%,0%,0%,6%,13%,0%,2%,3%,0%,0%,5%,<.5%,2%,2%,2%,1%,0%,<.5%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] Refused,3%,2%,2%,2%,3%,2%,1%,0%,0%,0%,2%,2%,0%,0%,0%,0%,1%,4%,5%,4%,<1%,2%,4%,2%,3%,1%,3%,15%,0%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Number of respondents,687,319,358,116,134,239,179,548,65,54,303,378,243,303,53,66,125,115,136,56,136,119,121,296,270,302,339,46,188,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,29%,21%,36%,32%,25%,23%,38%,27%,58%,34%,38%,24%,37%,20%,46%,46%,39%,33%,32%,21%,27%,18%,39%,35%,18%,64%,<1%,5%,100%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,34%,39%,31%,25%,25%,43%,35%,40%,9%,17%,26%,40%,28%,47%,21%,8%,35%,23%,27%,47%,34%,47%,18%,31%,45%,5%,63%,6%,0%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,29%,33%,27%,35%,39%,25%,25%,27%,30%,48%,32%,28%,31%,25%,32%,42%,22%,37%,31%,25%,34%,24%,35%,29%,28%,26%,30%,51%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,4%,2%,5%,7%,2%,<.5%,3%,2%,1%,2%,4%,2%,4%,0%,2%,<1%,3%,4%,<.5%,4%,6%,<1%,4%,3%,2%,3%,16%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,4%,3%,4%,3%,4%,6%,2%,3%,2%,<.5%,2%,4%,2%,4%,0%,2%,3%,5%,6%,7%,1%,5%,7%,1%,6%,2%,4%,21%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",The Democratic Party,32%,25%,41%,48%,36%,35%,16%,30%,47%,62%,43%,27%,43%,21%,53%,56%,26%,41%,38%,32%,35%,13%,41%,42%,18%,75%,2%,24%,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",The Republican Party,51%,62%,41%,46%,40%,50%,68%,56%,35%,32%,41%,58%,42%,64%,31%,34%,59%,48%,41%,46%,52%,64%,47%,42%,62%,10%,90%,23%,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",[VOL] Don't know/Refused,17%,13%,18%,6%,24%,15%,15%,15%,18%,6%,16%,16%,15%,15%,16%,9%,15%,11%,21%,22%,12%,23%,11%,16%,20%,14%,8%,53%,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",Number of respondents,220,116,100,44,54,75,40,167,20,20,94,121,78,88,14,26,31,47,41,20,47,34,46,90,84,91,102,27,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,The Democratic Party,41%,31%,49%,52%,43%,35%,42%,37%,73%,64%,54%,34%,52%,27%,64%,72%,46%,51%,47%,31%,41%,22%,57%,49%,25%,87%,2%,27%,100%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,The Republican Party,53%,64%,45%,45%,45%,60%,54%,58%,21%,33%,41%,61%,43%,68%,31%,24%,50%,44%,44%,62%,54%,70%,38%,45%,68%,9%,96%,26%,0%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,[VOL] Don't know/Refused,6%,5%,6%,3%,12%,5%,4%,5%,6%,3%,6%,6%,5%,5%,5%,4%,4%,5%,9%,7%,5%,8%,5%,6%,7%,4%,3%,47%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,54%,37%,30%,41%,48%,49%,50%,12%,22%,32%,52%,34%,61%,22%,14%,43%,29%,40%,59%,42%,62%,35%,36%,57%,2%,86%,9%,<.5%,86%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,41%,33%,48%,35%,40%,40%,46%,37%,74%,60%,58%,31%,57%,24%,64%,69%,41%,53%,46%,30%,43%,27%,57%,49%,25%,85%,2%,36%,93%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,10%,8%,11%,31%,9%,8%,3%,9%,13%,18%,7%,12%,5%,11%,12%,17%,16%,13%,6%,6%,7%,9%,6%,11%,11%,10%,8%,26%,6%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,2%,2%,2%,8%,2%,0%,2%,2%,<.5%,2%,2%,2%,2%,2%,<.5%,<.5%,2%,6%,2%,5%,0%,1%,3%,3%,2%,2%,14%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,2%,2%,1%,2%,1%,2%,0%,0%,2%,2%,2%,2%,0%,0%,0%,3%,1%,3%,3%,2%,<1%,1%,3%,<1%,1%,15%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,49%,59%,42%,44%,45%,52%,51%,55%,13%,27%,34%,60%,36%,68%,25%,16%,51%,34%,43%,63%,46%,68%,37%,41%,64%,3%,94%,12%,<.5%,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,45%,36%,54%,51%,44%,44%,48%,40%,85%,73%,62%,36%,61%,27%,72%,83%,49%,61%,49%,32%,46%,29%,60%,55%,29%,95%,3%,49%,99%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,2%,2%,3%,9%,2%,0%,3%,2%,<.5%,2%,2%,2%,3%,3%,<.5%,<.5%,2%,7%,2%,5%,0%,2%,3%,4%,2%,2%,19%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,3%,2%,3%,1%,2%,1%,2%,0%,0%,2%,2%,2%,2%,0%,0%,0%,3%,1%,3%,3%,3%,<1%,1%,4%,<1%,2%,21%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,491,236,246,63,93,186,137,406,40,33,234,252,197,208,36,37,78,83,95,45,107,83,90,210,191,228,242,21,152,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Very favorable,33%,40%,28%,25%,30%,36%,35%,38%,5%,16%,21%,41%,22%,48%,15%,7%,32%,23%,26%,46%,35%,45%,21%,30%,42%,<1%,66%,0%,2%,66%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Somewhat favorable,15%,16%,14%,15%,14%,17%,13%,15%,16%,10%,14%,15%,16%,15%,6%,17%,13%,12%,16%,15%,16%,15%,13%,12%,18%,<.5%,27%,19%,<1%,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Somewhat unfavorable,7%,6%,6%,8%,12%,5%,3%,6%,8%,8%,6%,7%,5%,6%,12%,5%,6%,10%,4%,1%,7%,9%,4%,6%,8%,5%,6%,24%,6%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Very unfavorable,44%,37%,51%,53%,42%,39%,49%,40%,72%,66%,57%,37%,56%,31%,67%,71%,48%,53%,52%,35%,41%,30%,62%,51%,29%,93%,1%,43%,91%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,[VOL] Don't know/Refused,1%,1%,<1%,0%,1%,3%,0%,<1%,0%,0%,1%,<1%,1%,<1%,0%,0%,<1%,2%,3%,3%,<1%,0%,<1%,<1%,2%,1%,<.5%,13%,1%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,NET Favorable,48%,56%,42%,39%,44%,53%,48%,53%,20%,26%,36%,55%,38%,62%,21%,24%,45%,35%,42%,61%,51%,60%,34%,42%,60%,<1%,93%,19%,2%,89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,NET Unfavorable,51%,43%,57%,61%,54%,44%,52%,46%,80%,74%,63%,44%,60%,37%,79%,76%,54%,63%,55%,36%,48%,40%,66%,57%,37%,98%,7%,68%,97%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Very favorable,29%,23%,34%,21%,26%,23%,42%,26%,58%,39%,38%,24%,37%,20%,47%,49%,35%,40%,33%,17%,27%,17%,42%,35%,17%,64%,<1%,12%,78%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Somewhat favorable,16%,13%,20%,30%,18%,19%,8%,15%,21%,26%,20%,14%,20%,12%,21%,25%,14%,21%,20%,12%,18%,11%,20%,19%,12%,33%,1%,23%,20%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Somewhat unfavorable,7%,8%,6%,9%,12%,5%,6%,7%,10%,2%,7%,7%,8%,7%,3%,8%,9%,3%,5%,10%,7%,9%,2%,7%,8%,2%,10%,22%,<1%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Very unfavorable,46%,54%,39%,40%,42%,51%,43%,50%,10%,32%,34%,53%,34%,60%,28%,17%,41%,33%,39%,59%,47%,63%,34%,38%,58%,<1%,87%,28%,<.5%,82%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,1%,<.5%,2%,3%,1%,1%,1%,1%,1%,1%,<1%,1%,2%,<1%,1%,3%,3%,2%,<1%,<.5%,1%,<.5%,3%,<1%,1%,15%,<1%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
