itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,region_maricopa_county,region_north_east,region_pima_county,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,party_reg_dem,party_reg_rep,party_reg_oth,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
Would you consider yourself:,[VOL] More than one race,3%,3%,2%,6%,7%,2%,<1%,0%,0%,19%,2%,4%,3%,3%,2%,3%,4%,2%,8%,4%,<1%,4%,4%,1%,4%,3%,2%,5%,NA,NA
Would you consider yourself:,[VOL] Refused,3%,5%,1%,1%,<1%,4%,2%,0%,0%,0%,3%,2%,3%,3%,2%,4%,1%,4%,10%,<1%,2%,3%,2%,4%,3%,<1%,4%,2%,NA,NA
Would you consider yourself:,Number of respondents,808,386,417,147,166,230,230,519,148,116,342,459,479,105,119,105,369,411,28,210,242,295,240,280,288,299,301,168,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,27%,20%,34%,27%,26%,24%,32%,20%,40%,44%,26%,29%,27%,34%,30%,18%,58%,1%,10%,100%,0%,0%,78%,1%,9%,58%,1%,18%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,33%,34%,31%,25%,27%,31%,40%,43%,21%,10%,27%,36%,31%,34%,25%,50%,4%,59%,7%,0%,100%,0%,2%,74%,11%,5%,65%,22%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,35%,40%,30%,40%,39%,40%,26%,34%,33%,37%,41%,31%,36%,23%,45%,28%,34%,35%,41%,0%,0%,100%,17%,23%,69%,33%,31%,53%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,3%,3%,2%,3%,4%,3%,2%,3%,2%,6%,4%,2%,3%,5%,<1%,2%,1%,4%,11%,0%,0%,0%,<1%,1%,7%,2%,2%,4%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,2%,3%,2%,5%,4%,2%,<1%,<1%,5%,4%,2%,2%,3%,3%,<.5%,2%,3%,<1%,31%,0%,0%,0%,2%,1%,4%,2%,<1%,4%,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",The Democratic Party,40%,33%,49%,52%,40%,38%,38%,37%,55%,46%,47%,35%,41%,28%,57%,16%,87%,5%,6%,-,-,42%,75%,8%,44%,78%,5%,32%,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",The Republican Party,47%,55%,37%,35%,42%,55%,47%,52%,43%,29%,43%,50%,46%,43%,36%,74%,4%,86%,23%,-,-,48%,16%,87%,39%,14%,88%,44%,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",[VOL] Don't know/Refused,13%,12%,14%,13%,18%,7%,15%,11%,2%,25%,10%,15%,12%,30%,7%,10%,10%,9%,70%,-,-,10%,9%,5%,17%,8%,7%,24%,NA,NA
"(If independent, another party or not sure) And as of today, do you lean more to:",Number of respondents,321,173,144,61,75,106,69,202,51,54,155,162,190,37,55,39,140,158,23,,,276,50,64,207,112,101,90,NA,NA
Combined: Party identification and leaners,The Democratic Party,44%,35%,51%,52%,45%,41%,43%,34%,61%,66%,48%,41%,45%,43%,56%,23%,90%,3%,15%,100%,0%,42%,93%,3%,44%,87%,3%,37%,NA,NA
Combined: Party identification and leaners,The Republican Party,51%,59%,44%,42%,46%,56%,53%,62%,38%,23%,47%,54%,50%,48%,41%,73%,6%,93%,26%,0%,100%,48%,5%,96%,42%,10%,95%,48%,NA,NA
Combined: Party identification and leaners,[VOL] Don't know/Refused,5%,5%,5%,6%,9%,3%,4%,4%,<1%,11%,4%,5%,5%,9%,3%,3%,4%,4%,58%,0%,0%,10%,2%,1%,14%,3%,3%,15%,NA,NA
Combined: Party identification and leaners,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,42%,48%,36%,18%,33%,50%,49%,55%,18%,16%,38%,44%,39%,43%,39%,56%,4%,77%,11%,2%,83%,37%,2%,82%,32%,0%,100%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,42%,34%,49%,34%,44%,41%,44%,35%,54%,60%,50%,37%,45%,47%,45%,21%,83%,7%,11%,89%,6%,40%,90%,7%,38%,100%,0%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,13%,14%,11%,47%,16%,6%,4%,8%,25%,19%,5%,18%,13%,7%,13%,15%,11%,13%,38%,8%,9%,19%,7%,9%,25%,0%,0%,100%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,2%,2%,6%,<1%,<.5%,1%,3%,2%,3%,<1%,2%,<1%,<1%,5%,2%,1%,7%,<.5%,2%,<1%,<.5%,1%,4%,0%,0%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,1%,2%,0%,1%,2%,2%,1%,0%,4%,3%,<1%,1%,2%,2%,3%,<.5%,1%,33%,<1%,<1%,2%,1%,2%,2%,0%,0%,0%,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,48%,56%,40%,33%,39%,54%,51%,59%,24%,19%,41%,53%,45%,47%,45%,65%,4%,89%,18%,2%,91%,46%,2%,90%,42%,0%,100%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,48%,40%,56%,63%,53%,43%,46%,38%,72%,74%,53%,45%,51%,51%,51%,25%,93%,9%,18%,97%,7%,50%,96%,7%,50%,100%,0%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,2%,4%,7%,<1%,<.5%,1%,4%,3%,3%,1%,2%,<1%,<1%,6%,2%,1%,11%,<.5%,2%,1%,<.5%,2%,5%,0%,0%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,2%,0%,1%,2%,2%,1%,0%,4%,3%,<1%,1%,2%,3%,4%,<.5%,1%,53%,<1%,<1%,3%,2%,2%,3%,0%,0%,-,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,598,284,311,54,117,198,201,424,82,77,294,300,342,84,94,78,282,302,14,175,192,204,203,229,166,293,280,,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,18%,15%,20%,7%,7%,17%,28%,15%,21%,24%,18%,18%,17%,23%,21%,12%,37%,2%,2%,43%,3%,14%,40%,3%,13%,39%,2%,5%,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,22%,17%,25%,34%,25%,20%,15%,17%,29%,32%,23%,21%,23%,26%,21%,9%,43%,2%,18%,41%,5%,20%,40%,5%,23%,39%,2%,29%,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,9%,9%,10%,20%,16%,6%,5%,9%,15%,7%,9%,10%,8%,8%,14%,11%,12%,6%,11%,11%,5%,13%,10%,5%,14%,10%,5%,15%,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,49%,56%,42%,35%,48%,53%,51%,57%,34%,30%,46%,50%,48%,42%,41%,68%,3%,89%,49%,3%,87%,48%,5%,87%,45%,8%,91%,45%,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,3%,3%,3%,4%,4%,3%,1%,2%,2%,7%,4%,2%,4%,2%,3%,<1%,5%,<.5%,19%,2%,<.5%,5%,4%,<1%,5%,4%,<.5%,5%,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,39%,33%,45%,41%,33%,37%,43%,33%,50%,56%,41%,38%,40%,49%,42%,21%,80%,4%,21%,84%,8%,34%,81%,8%,36%,78%,3%,35%,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,58%,64%,52%,55%,63%,60%,56%,65%,49%,37%,55%,60%,56%,49%,55%,78%,15%,96%,60%,14%,92%,61%,15%,91%,59%,18%,96%,60%,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
Donald Trump,Very favorable,34%,40%,29%,27%,23%,33%,44%,41%,25%,17%,27%,39%,32%,30%,30%,55%,<.5%,66%,2%,1%,70%,30%,3%,67%,25%,3%,69%,29%,NA,NA
Donald Trump,Somewhat favorable,15%,16%,14%,16%,22%,19%,5%,17%,12%,9%,15%,15%,16%,16%,9%,14%,2%,27%,19%,2%,20%,19%,2%,23%,19%,4%,23%,25%,NA,NA
Donald Trump,Somewhat unfavorable,6%,6%,6%,8%,11%,5%,3%,5%,7%,8%,8%,4%,6%,3%,7%,5%,5%,6%,20%,2%,2%,10%,3%,3%,12%,6%,4%,10%,NA,NA
Donald Trump,Very unfavorable,43%,36%,50%,47%,43%,41%,45%,36%,54%,64%,48%,41%,44%,48%,52%,25%,92%,1%,24%,93%,7%,39%,90%,7%,42%,87%,4%,33%,NA,NA
Donald Trump,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
Donald Trump,[VOL] Don't know/Refused,2%,2%,1%,1%,<.5%,2%,3%,<1%,1%,2%,2%,1%,2%,3%,2%,<1%,<1%,<.5%,35%,1%,<.5%,2%,2%,<1%,2%,<1%,<1%,4%,NA,NA
Donald Trump,NET Favorable,49%,56%,43%,44%,46%,53%,50%,58%,37%,26%,42%,54%,48%,47%,39%,69%,2%,93%,21%,4%,90%,49%,5%,89%,44%,7%,91%,54%,NA,NA
Donald Trump,NET Unfavorable,49%,42%,56%,55%,54%,45%,48%,41%,62%,72%,56%,45%,50%,51%,59%,31%,97%,7%,44%,95%,9%,50%,93%,10%,54%,92%,8%,42%,NA,NA
Donald Trump,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
Kamala [COMMA-luh] Harris,Very favorable,29%,23%,36%,17%,25%,28%,36%,26%,38%,36%,32%,28%,31%,35%,32%,13%,63%,1%,0%,72%,4%,21%,67%,4%,23%,64%,2%,13%,NA,NA
Kamala [COMMA-luh] Harris,Somewhat favorable,17%,16%,18%,31%,25%,16%,8%,12%,25%,29%,17%,17%,17%,16%,19%,13%,32%,3%,24%,23%,5%,22%,24%,4%,26%,25%,4%,31%,NA,NA
Kamala [COMMA-luh] Harris,Somewhat unfavorable,8%,9%,6%,19%,10%,8%,3%,8%,9%,6%,8%,7%,7%,7%,8%,11%,3%,12%,7%,1%,8%,11%,2%,9%,12%,5%,8%,16%,NA,NA
Kamala [COMMA-luh] Harris,Very unfavorable,44%,50%,37%,31%,39%,46%,48%,53%,27%,23%,40%,46%,43%,35%,35%,63%,<.5%,83%,27%,1%,81%,43%,3%,81%,38%,6%,85%,33%,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,3%,1%,<.5%,2%,5%,1%,<1%,5%,3%,2%,1%,7%,5%,<1%,2%,<1%,42%,2%,1%,2%,3%,2%,2%,<.5%,2%,7%,NA,NA
Kamala [COMMA-luh] Harris,NET Favorable,46%,38%,54%,49%,50%,44%,45%,37%,63%,65%,49%,45%,48%,50%,52%,26%,95%,4%,24%,95%,9%,44%,91%,8%,48%,88%,6%,44%,NA,NA
Kamala [COMMA-luh] Harris,NET Unfavorable,51%,60%,43%,50%,50%,54%,50%,61%,36%,29%,48%,53%,51%,43%,43%,73%,3%,95%,35%,3%,89%,54%,6%,90%,49%,11%,93%,50%,NA,NA
Kamala [COMMA-luh] Harris,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],Very favorable,24%,20%,28%,14%,19%,21%,33%,19%,37%,32%,25%,24%,25%,25%,26%,16%,48%,4%,12%,59%,4%,18%,56%,4%,18%,53%,3%,4%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],Somewhat favorable,25%,23%,28%,42%,34%,27%,13%,23%,29%,30%,28%,24%,26%,28%,27%,18%,40%,12%,27%,33%,11%,33%,34%,11%,35%,36%,11%,38%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],Somewhat unfavorable,15%,17%,14%,19%,16%,22%,9%,18%,11%,11%,16%,15%,15%,19%,11%,18%,4%,26%,16%,1%,23%,17%,3%,22%,20%,5%,25%,16%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],Very unfavorable,24%,29%,20%,11%,18%,22%,33%,29%,16%,10%,21%,25%,25%,18%,16%,34%,<1%,45%,6%,<1%,50%,20%,<1%,50%,14%,1%,50%,15%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],[VOL] Have not heard of,2%,2%,3%,6%,2%,<.5%,3%,2%,2%,5%,2%,3%,2%,3%,3%,4%,2%,3%,7%,2%,1%,4%,1%,2%,4%,1%,2%,5%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],[VOL] Don't know/Refused,9%,10%,8%,7%,12%,7%,8%,8%,5%,12%,9%,9%,7%,7%,18%,10%,5%,10%,31%,3%,10%,9%,5%,11%,9%,3%,9%,21%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],NET Favorable,50%,43%,56%,56%,53%,48%,47%,42%,66%,62%,53%,48%,51%,54%,52%,34%,88%,16%,39%,93%,16%,50%,89%,15%,53%,89%,13%,42%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],NET Unfavorable,39%,45%,33%,30%,34%,44%,42%,47%,27%,21%,37%,41%,40%,37%,27%,52%,5%,71%,23%,2%,72%,37%,4%,72%,34%,7%,75%,31%,NA,NA
(Ask only in AZ) Ruben Gallego [gah-YEH-go],Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,Very favorable,22%,26%,18%,15%,13%,22%,30%,29%,10%,11%,17%,25%,20%,17%,21%,38%,<1%,42%,9%,2%,48%,15%,2%,45%,13%,2%,45%,15%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,Somewhat favorable,19%,20%,17%,14%,26%,23%,12%,20%,19%,10%,18%,19%,19%,23%,11%,23%,2%,35%,9%,2%,30%,23%,2%,33%,20%,2%,35%,24%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,Somewhat unfavorable,8%,9%,8%,21%,11%,6%,4%,6%,16%,8%,8%,9%,8%,8%,10%,10%,9%,7%,16%,7%,4%,11%,7%,5%,14%,7%,6%,20%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,Very unfavorable,44%,39%,50%,38%,46%,46%,44%,39%,53%,60%,52%,40%,48%,44%,46%,25%,85%,9%,26%,86%,11%,45%,85%,10%,47%,87%,8%,25%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,[VOL] Have not heard of,1%,1%,1%,4%,<1%,<.5%,2%,1%,<1%,3%,<1%,2%,1%,1%,2%,3%,1%,1%,4%,1%,<1%,2%,1%,1%,2%,2%,<1%,1%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,[VOL] Don't know/Refused,5%,4%,6%,8%,4%,4%,7%,5%,1%,9%,3%,6%,4%,6%,10%,<1%,2%,6%,36%,2%,7%,3%,3%,6%,5%,<1%,6%,14%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,NET Favorable,41%,47%,36%,29%,39%,44%,42%,49%,29%,21%,35%,44%,39%,40%,32%,61%,3%,77%,18%,4%,78%,38%,4%,78%,32%,4%,80%,39%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,NET Unfavorable,53%,48%,57%,59%,57%,52%,49%,45%,69%,68%,60%,48%,55%,53%,56%,35%,94%,16%,42%,93%,14%,56%,92%,15%,60%,94%,14%,45%,NA,NA
(Ask only in AZ) Kari [care-ee] Lake,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
"Regardless of who you support, who do you think will win the 2024 presidential election?",Kamala [COMMA-luh] Harris,45%,40%,49%,55%,43%,43%,44%,39%,55%,62%,48%,43%,46%,52%,48%,28%,86%,9%,42%,88%,12%,42%,85%,13%,45%,81%,9%,45%,NA,NA
"Regardless of who you support, who do you think will win the 2024 presidential election?",Donald Trump,44%,51%,38%,40%,41%,45%,47%,50%,38%,27%,40%,47%,43%,39%,39%,60%,7%,79%,8%,6%,80%,42%,9%,77%,39%,11%,80%,42%,NA,NA
"Regardless of who you support, who do you think will win the 2024 presidential election?",[VOL] Don't know/Refused,11%,9%,13%,5%,15%,12%,9%,12%,7%,11%,12%,10%,10%,9%,13%,12%,7%,12%,51%,6%,8%,16%,7%,11%,15%,8%,11%,13%,NA,NA
"Regardless of who you support, who do you think will win the 2024 presidential election?",MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares,MARGIN Harris +1 Calculated using candidates’ unrounded vote shares
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),25%,30%,20%,18%,26%,31%,22%,27%,22%,20%,25%,25%,25%,26%,19%,32%,13%,37%,7%,10%,29%,34%,11%,34%,28%,16%,35%,24%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Immigration,20%,20%,19%,15%,10%,20%,26%,22%,18%,11%,17%,21%,18%,23%,18%,28%,4%,35%,2%,6%,39%,14%,6%,35%,15%,5%,38%,12%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Abortion,17%,8%,25%,24%,22%,16%,10%,13%,25%,21%,18%,16%,18%,14%,21%,10%,32%,3%,20%,34%,5%,13%,33%,5%,16%,31%,3%,15%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,7%,8%,6%,6%,4%,7%,10%,7%,7%,10%,10%,5%,6%,8%,11%,8%,11%,3%,11%,12%,5%,6%,10%,6%,5%,11%,4%,8%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,7%,7%,7%,5%,4%,7%,10%,6%,7%,9%,9%,6%,8%,4%,7%,1%,14%,<1%,0%,17%,2%,4%,15%,2%,4%,15%,<1%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,3%,4%,3%,0%,2%,3%,4%,4%,2%,2%,3%,3%,3%,2%,5%,5%,5%,2%,0%,3%,3%,4%,4%,2%,5%,4%,3%,2%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,3%,3%,2%,6%,6%,2%,<.5%,3%,2%,4%,1%,4%,3%,<1%,3%,3%,<.5%,5%,0%,<.5%,4%,3%,0%,4%,3%,<1%,3%,6%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,2%,2%,2%,3%,4%,1%,2%,3%,2%,2%,3%,2%,3%,2%,<.5%,2%,1%,3%,3%,0%,3%,2%,<.5%,3%,3%,<1%,3%,2%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Taxes,2%,3%,2%,6%,3%,1%,1%,2%,4%,0%,2%,2%,2%,2%,4%,<.5%,2%,2%,2%,2%,1%,3%,2%,2%,3%,1%,2%,7%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,2%,2%,<.5%,4%,3%,<1%,3%,0%,<.5%,3%,1%,2%,2%,0%,2%,2%,1%,0%,1%,<.5%,4%,3%,<1%,2%,2%,2%,<1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,1%,1%,1%,2%,4%,0%,<.5%,<1%,<1%,4%,2%,<1%,1%,0%,3%,0%,<1%,<.5%,20%,<.5%,0%,2%,<.5%,0%,4%,2%,0%,3%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Health care,<1%,2%,<.5%,3%,2%,<.5%,<1%,<1%,<1%,1%,<.5%,1%,1%,0%,0%,2%,2%,<.5%,0%,2%,<.5%,<1%,2%,<.5%,<1%,2%,<.5%,<1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,1%,<.5%,3%,<1%,<.5%,<.5%,<1%,<.5%,2%,<.5%,<1%,1%,0%,0%,0%,<.5%,1%,0%,0%,<.5%,2%,0%,1%,<1%,<.5%,1%,<.5%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Climate change,<1%,<1%,<.5%,<.5%,0%,<.5%,<1%,<1%,0%,1%,<1%,<.5%,<.5%,0%,2%,0%,1%,0%,0%,1%,0%,<1%,<1%,0%,1%,<1%,<.5%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,<1%,<1%,1%,<.5%,0%,<.5%,<.5%,1%,<1%,<.5%,<1%,0%,0%,<1%,<1%,0%,0%,<1%,0%,<1%,1%,0%,<.5%,<1%,0%,<1%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,<.5%,<1%,<1%,<1%,<1%,0%,<.5%,0%,<1%,<.5%,<.5%,<1%,0%,0%,0%,<1%,<.5%,0%,<.5%,0%,<1%,<1%,0%,<.5%,<.5%,0%,2%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,0%,2%,<1%,0%,<1%,0%,0%,1%,0%,<.5%,<1%,0%,<.5%,<1%,0%,<.5%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,<.5%,<1%,0%,0%,<1%,<.5%,0%,0%,0%,<.5%,0%,0%,1%,<1%,<.5%,<.5%,0%,0%,<.5%,<.5%,0%,<.5%,<1%,<.5%,<.5%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,<1%,0%,<.5%,0%,3%,<.5%,0%,<.5%,<.5%,0%,0%,<.5%,0%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<1%,<.5%,0%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",3%,4%,2%,2%,3%,2%,4%,2%,5%,4%,2%,3%,2%,8%,3%,2%,3%,2%,9%,4%,3%,1%,5%,2%,2%,3%,2%,4%,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,5%,2%,7%,6%,2%,4%,6%,4%,5%,6%,3%,6%,5%,7%,3%,3%,5%,3%,25%,6%,4%,4%,5%,3%,6%,4%,3%,12%,NA,NA
What one issue is most important in deciding your vote this November?,Number of respondents,745,358,382,128,155,218,214,488,130,107,326,414,433,98,113,101,346,372,27,203,221,276,228,259,258,293,280,147,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",44%,35%,52%,49%,42%,41%,45%,36%,57%,62%,47%,42%,45%,48%,52%,24%,94%,<.5%,11%,95%,6%,40%,91%,6%,43%,88%,3%,36%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",53%,60%,46%,46%,53%,57%,51%,62%,40%,31%,48%,56%,52%,47%,44%,74%,2%,99%,29%,4%,93%,55%,6%,93%,51%,10%,96%,56%,NA,NA
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,2%,3%,1%,3%,4%,0%,2%,<1%,3%,4%,3%,1%,2%,1%,3%,2%,2%,<.5%,33%,<.5%,<.5%,3%,1%,<.5%,4%,1%,<1%,4%,NA,NA
