itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Have not heard of,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,0%,0%,0%,0%,<.5%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Don't know/Refused,2%,2%,2%,3%,1%,2%,2%,2%,7%,1%,0%,2%,3%,1%,2%,3%,3%,<1%,3%,3%,1%,2%,2%,2%,2%,<1%,8%,2%,<.5%,2%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Favorable,40%,40%,41%,39%,36%,38%,48%,34%,64%,51%,49%,49%,34%,45%,26%,59%,52%,40%,47%,35%,43%,56%,42%,30%,83%,3%,31%,86%,6%,35%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Unfavorable,57%,59%,56%,57%,62%,60%,50%,64%,30%,47%,51%,50%,63%,54%,72%,38%,44%,59%,50%,62%,56%,42%,56%,68%,15%,96%,61%,12%,94%,63%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
How much attention are you paying to the upcoming presidential election?,A lot,55%,57%,54%,28%,42%,63%,65%,60%,45%,36%,45%,60%,52%,63%,58%,52%,36%,57%,48%,59%,53%,47%,51%,63%,55%,59%,29%,54%,65%,47%
How much attention are you paying to the upcoming presidential election?,Some,31%,30%,32%,47%,39%,27%,24%,28%,41%,39%,36%,29%,32%,27%,30%,37%,39%,30%,33%,29%,34%,36%,35%,24%,33%,28%,41%,32%,26%,36%
How much attention are you paying to the upcoming presidential election?,Not much,10%,10%,10%,16%,12%,8%,9%,9%,10%,15%,13%,8%,11%,8%,9%,6%,17%,9%,14%,9%,8%,12%,8%,10%,9%,9%,21%,10%,7%,14%
How much attention are you paying to the upcoming presidential election?,None at all,3%,3%,4%,9%,7%,2%,1%,2%,4%,6%,6%,3%,4%,2%,3%,4%,6%,3%,3%,3%,5%,2%,4%,3%,3%,3%,9%,2%,2%,4%
How much attention are you paying to the upcoming presidential election?,[VOL] Don't know/Refused,<.5%,<.5%,<1%,<.5%,0%,0%,1%,0%,<1%,3%,0%,<.5%,<1%,0%,0%,<1%,2%,<.5%,1%,<.5%,<.5%,2%,<.5%,0%,<1%,<.5%,<1%,1%,0%,0%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Joe Biden should remain the Democratic nominee,33%,37%,30%,12%,25%,36%,42%,31%,46%,34%,27%,38%,29%,37%,26%,40%,36%,28%,33%,32%,38%,40%,34%,27%,51%,19%,15%,57%,22%,23%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",There should be a different Democratic nominee,61%,57%,64%,83%,71%,55%,50%,61%,51%,60%,65%,55%,65%,56%,66%,53%,62%,66%,61%,60%,57%,55%,60%,65%,45%,72%,79%,41%,68%,71%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",[VOL] Don't know/Refused,7%,6%,7%,5%,4%,9%,7%,8%,2%,5%,8%,7%,6%,7%,8%,7%,2%,6%,6%,8%,6%,4%,6%,9%,4%,9%,6%,3%,10%,6%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Donald Trump should remain the Republican nominee,41%,42%,40%,27%,35%,45%,43%,47%,26%,32%,20%,34%,45%,38%,53%,24%,29%,38%,39%,46%,36%,26%,40%,50%,7%,77%,13%,10%,82%,32%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",There should be a different Republican nominee,54%,53%,54%,69%,59%,51%,49%,48%,71%,58%,77%,60%,50%,56%,42%,71%,66%,56%,54%,50%,58%,64%,58%,45%,87%,20%,80%,83%,16%,64%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",[VOL] Don't know/Refused,5%,4%,6%,4%,6%,3%,8%,5%,2%,11%,2%,6%,5%,6%,4%,5%,6%,6%,7%,4%,6%,10%,3%,5%,7%,4%,7%,7%,3%,4%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Do you intend to watch the presidential debate on Thursday, June 27?",Yes,77%,77%,77%,67%,74%,75%,85%,78%,78%,77%,75%,75%,79%,75%,80%,76%,77%,80%,75%,77%,77%,74%,78%,78%,75%,80%,68%,76%,83%,73%
"Do you intend to watch the presidential debate on Thursday, June 27?",No,19%,20%,18%,31%,24%,19%,10%,18%,18%,18%,24%,22%,17%,21%,16%,22%,19%,16%,21%,19%,20%,20%,18%,18%,21%,15%,28%,19%,13%,23%
"Do you intend to watch the presidential debate on Thursday, June 27?",[VOL] Don't know/Refused,4%,3%,5%,2%,2%,6%,5%,4%,4%,5%,1%,4%,5%,4%,4%,2%,4%,4%,4%,5%,4%,6%,3%,4%,4%,4%,4%,5%,4%,4%
"Do you intend to watch the presidential debate on Thursday, June 27?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
How well do you think Joe Biden will do in the upcoming presidential debate?,Very well,13%,13%,13%,2%,8%,14%,20%,12%,20%,9%,12%,13%,12%,13%,11%,13%,13%,11%,12%,11%,17%,15%,12%,12%,26%,2%,4%,31%,2%,6%
How well do you think Joe Biden will do in the upcoming presidential debate?,Somewhat well,36%,35%,36%,43%,37%,32%,38%,31%,49%,55%,40%,40%,33%,38%,26%,46%,50%,35%,41%,32%,37%,48%,37%,27%,55%,18%,34%,57%,16%,37%
How well do you think Joe Biden will do in the upcoming presidential debate?,Not too well,21%,22%,21%,33%,24%,20%,16%,22%,18%,20%,29%,19%,23%,19%,24%,19%,23%,23%,20%,22%,19%,20%,21%,22%,12%,27%,35%,8%,26%,27%
How well do you think Joe Biden will do in the upcoming presidential debate?,Not well at all,26%,26%,26%,19%,26%,31%,21%,31%,10%,16%,14%,23%,28%,25%,35%,16%,12%,25%,23%,31%,22%,14%,24%,34%,3%,49%,15%,2%,53%,23%
How well do you think Joe Biden will do in the upcoming presidential debate?,[VOL] Don't know/Refused,5%,4%,5%,4%,5%,3%,4%,5%,3%,<1%,5%,5%,4%,5%,5%,5%,2%,5%,4%,4%,5%,4%,5%,5%,5%,3%,12%,2%,2%,7%
How well do you think Joe Biden will do in the upcoming presidential debate?,NET Well,48%,48%,49%,45%,45%,46%,58%,43%,68%,63%,52%,53%,45%,51%,37%,59%,63%,47%,53%,43%,54%,63%,50%,39%,81%,20%,38%,88%,19%,43%
How well do you think Joe Biden will do in the upcoming presidential debate?,NET Not well,47%,48%,47%,51%,50%,51%,38%,52%,28%,36%,44%,41%,51%,44%,59%,36%,35%,48%,43%,53%,41%,34%,45%,56%,14%,77%,51%,10%,79%,50%
How well do you think Joe Biden will do in the upcoming presidential debate?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
How well do you think Donald Trump will do in the upcoming presidential debate?,Very well,28%,27%,29%,17%,19%,32%,32%,33%,18%,17%,12%,19%,34%,21%,42%,11%,19%,24%,23%,36%,24%,17%,28%,34%,2%,56%,6%,3%,64%,18%
How well do you think Donald Trump will do in the upcoming presidential debate?,Somewhat well,31%,37%,26%,35%,38%,32%,24%,29%,27%,46%,38%,33%,30%,32%,27%,37%,36%,28%,31%,29%,36%,30%,29%,33%,23%,37%,43%,21%,27%,42%
How well do you think Donald Trump will do in the upcoming presidential debate?,Not too well,16%,14%,17%,27%,14%,15%,14%,14%,19%,16%,24%,16%,16%,17%,13%,14%,23%,23%,16%,12%,14%,19%,18%,11%,27%,3%,25%,29%,5%,15%
How well do you think Donald Trump will do in the upcoming presidential debate?,Not well at all,20%,17%,23%,14%,22%,17%,24%,19%,32%,15%,20%,27%,16%,25%,14%,32%,18%,20%,23%,19%,19%,25%,21%,17%,42%,1%,9%,43%,2%,17%
How well do you think Donald Trump will do in the upcoming presidential debate?,[VOL] Don't know/Refused,5%,5%,5%,6%,6%,4%,6%,5%,4%,6%,5%,6%,5%,5%,5%,5%,5%,4%,6%,5%,6%,8%,5%,5%,6%,3%,16%,5%,2%,8%
How well do you think Donald Trump will do in the upcoming presidential debate?,NET Well,59%,63%,56%,52%,58%,64%,56%,62%,45%,62%,50%,52%,64%,53%,68%,49%,55%,52%,54%,64%,61%,48%,57%,67%,25%,92%,49%,24%,91%,60%
How well do you think Donald Trump will do in the upcoming presidential debate?,NET Not well,36%,32%,39%,42%,37%,32%,38%,33%,51%,31%,44%,43%,31%,42%,27%,46%,40%,43%,39%,31%,33%,45%,38%,28%,70%,4%,34%,72%,7%,32%
How well do you think Donald Trump will do in the upcoming presidential debate?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),23%,26%,20%,17%,14%,30%,23%,23%,25%,16%,25%,23%,22%,22%,25%,28%,17%,20%,19%,28%,22%,24%,22%,23%,15%,29%,26%,17%,31%,22%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,6%,6%,5%,5%,9%,6%,3%,6%,9%,3%,6%,4%,7%,4%,8%,5%,5%,6%,5%,6%,5%,6%,5%,7%,3%,9%,3%,2%,9%,5%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,10%,3%,16%,10%,12%,9%,7%,10%,12%,5%,15%,12%,8%,11%,8%,14%,8%,16%,9%,8%,7%,10%,12%,7%,18%,3%,7%,18%,4%,8%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,17%,17%,17%,9%,12%,21%,21%,18%,9%,27%,4%,13%,20%,14%,21%,11%,16%,17%,16%,18%,17%,9%,18%,21%,6%,29%,8%,6%,30%,15%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<1%,<1%,<1%,0%,<1%,<1%,<.5%,<1%,0%,1%,0%,<1%,<1%,1%,<1%,0%,<1%,1%,<1%,<1%,0%,2%,0%,<1%,<1%,<1%,0%,1%,<1%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,<.5%,0%,<1%,0%,0%,0%,<.5%,<1%,0%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Health care,<1%,<.5%,2%,<1%,1%,2%,<.5%,1%,1%,<1%,<1%,2%,<1%,2%,<1%,2%,<1%,1%,<1%,<1%,1%,1%,1%,<1%,1%,<1%,3%,1%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Education,<1%,<.5%,1%,2%,<.5%,<1%,0%,<.5%,4%,<1%,0%,1%,<.5%,<1%,<.5%,3%,1%,<.5%,1%,<1%,<1%,<1%,<1%,<.5%,<1%,<.5%,4%,<1%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,6%,8%,5%,11%,9%,3%,7%,7%,9%,3%,6%,6%,7%,7%,6%,2%,9%,7%,6%,5%,8%,6%,6%,7%,5%,6%,15%,5%,5%,9%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<1%,1%,<.5%,2%,<.5%,<1%,<.5%,<1%,0%,<1%,0%,<1%,<1%,<1%,<1%,0%,<.5%,1%,1%,<.5%,<1%,<1%,1%,<.5%,1%,0%,3%,<1%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,<1%,2%,5%,3%,<1%,0%,2%,<.5%,0%,1%,2%,1%,2%,2%,1%,0%,3%,<.5%,1%,<1%,2%,2%,<1%,2%,1%,1%,1%,<.5%,3%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,6%,9%,3%,2%,4%,6%,8%,6%,5%,2%,4%,8%,4%,9%,4%,4%,4%,5%,7%,4%,9%,8%,5%,5%,12%,1%,1%,13%,1%,4%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<.5%,<1%,0%,0%,<.5%,1%,<1%,0%,0%,0%,<1%,<.5%,<1%,<1%,0%,0%,<.5%,<.5%,<1%,0%,0%,<.5%,<1%,<.5%,<1%,0%,<.5%,1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,1%,<1%,2%,5%,2%,1%,0%,1%,0%,1%,3%,2%,<1%,2%,<1%,2%,<1%,2%,1%,2%,<1%,1%,2%,1%,3%,<.5%,<.5%,3%,0%,1%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<.5%,<.5%,<1%,<.5%,1%,0%,<.5%,<1%,0%,0%,<.5%,<.5%,<1%,<1%,<1%,0%,<.5%,0%,<1%,<.5%,<1%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,1%,0%,<.5%,<.5%,<.5%,0%,0%,<1%,<1%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate (Trump or Biden),4%,4%,3%,2%,8%,2%,3%,4%,3%,4%,6%,4%,4%,4%,4%,3%,5%,4%,5%,4%,3%,6%,4%,3%,6%,2%,2%,6%,2%,4%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate (Trump or Biden),5%,6%,5%,3%,3%,3%,11%,6%,5%,4%,5%,7%,5%,7%,5%,5%,5%,4%,6%,6%,5%,5%,5%,6%,7%,4%,5%,6%,4%,7%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,2%,1%,2%,5%,4%,1%,0%,2%,<.5%,2%,6%,3%,<1%,3%,<1%,5%,<1%,1%,5%,<1%,1%,3%,2%,1%,2%,<1%,5%,2%,<.5%,2%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,1%,<1%,2%,2%,2%,2%,<1%,<1%,4%,3%,0%,<1%,2%,<.5%,1%,1%,4%,<1%,1%,1%,2%,3%,<1%,<1%,1%,1%,2%,1%,<1%,2%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Other (specify),6%,8%,5%,8%,6%,4%,8%,5%,8%,10%,10%,5%,7%,5%,5%,5%,11%,5%,8%,7%,6%,6%,7%,6%,7%,5%,6%,7%,5%,7%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,7%,6%,7%,12%,9%,5%,5%,5%,6%,15%,8%,5%,8%,4%,6%,7%,11%,6%,7%,5%,10%,6%,6%,7%,8%,5%,8%,8%,4%,6%
What one issue is most important in deciding your vote this November?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Which candidate do you think would do a better job of handling the issue you think is most important?,"Joe Biden, the Democrat",40%,36%,44%,45%,39%,35%,46%,36%,52%,51%,42%,49%,34%,47%,28%,54%,47%,43%,48%,33%,42%,55%,42%,30%,87%,1%,13%,86%,3%,37%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",50%,55%,47%,37%,49%,57%,48%,57%,30%,41%,37%,42%,56%,46%,65%,32%,37%,51%,42%,57%,47%,36%,46%,63%,5%,96%,30%,6%,94%,50%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,6%,5%,6%,9%,9%,3%,4%,4%,10%,4%,12%,5%,6%,4%,4%,7%,9%,4%,5%,7%,5%,5%,7%,5%,4%,1%,40%,3%,2%,9%
Which candidate do you think would do a better job of handling the issue you think is most important?,"[VOL] Someone else, specify",<1%,1%,<.5%,2%,<1%,<.5%,<.5%,<1%,0%,0%,2%,<1%,<1%,<1%,1%,1%,0%,<1%,2%,0%,<1%,0%,1%,<1%,<.5%,<1%,4%,0%,<1%,1%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,3%,3%,3%,6%,2%,4%,2%,2%,7%,4%,7%,4%,3%,3%,1%,5%,7%,2%,3%,3%,4%,3%,4%,2%,4%,<1%,13%,6%,<1%,3%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Regardless of who you support, who do you think will win the 2024 presidential election?",Joe Biden,40%,40%,41%,37%,41%,38%,45%,38%,52%,47%,42%,44%,38%,43%,34%,48%,46%,44%,46%,33%,44%,51%,40%,34%,74%,12%,25%,74%,12%,39%
"Regardless of who you support, who do you think will win the 2024 presidential election?",Donald Trump,47%,47%,47%,45%,47%,51%,43%,51%,30%,45%,44%,39%,53%,41%,58%,36%,42%,46%,41%,53%,45%,32%,47%,55%,15%,79%,33%,16%,81%,43%
"Regardless of who you support, who do you think will win the 2024 presidential election?",[VOL] Don't know/Refused,13%,13%,12%,18%,12%,11%,11%,11%,18%,8%,15%,17%,9%,17%,7%,16%,12%,11%,13%,15%,11%,16%,13%,10%,11%,9%,42%,10%,7%,18%
"Regardless of who you support, who do you think will win the 2024 presidential election?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Joe Biden is just too old to be an effective president.,Strongly agree,46%,46%,46%,49%,50%,43%,47%,49%,31%,44%,37%,42%,49%,45%,52%,33%,40%,49%,41%,46%,48%,37%,50%,47%,22%,67%,53%,21%,67%,48%
Joe Biden is just too old to be an effective president.,Somewhat agree,22%,23%,21%,39%,26%,18%,18%,21%,28%,21%,29%,25%,20%,24%,19%,29%,24%,29%,22%,21%,16%,23%,21%,22%,32%,14%,20%,27%,14%,26%
Joe Biden is just too old to be an effective president.,Somewhat disagree,16%,15%,16%,10%,13%,21%,14%,14%,25%,19%,18%,16%,15%,16%,12%,16%,24%,11%,20%,19%,11%,22%,14%,15%,23%,9%,14%,27%,10%,11%
Joe Biden is just too old to be an effective president.,Strongly disagree,14%,14%,14%,2%,10%,16%,19%,14%,15%,14%,14%,15%,13%,14%,14%,19%,11%,8%,15%,10%,24%,16%,14%,13%,22%,8%,7%,23%,7%,13%
Joe Biden is just too old to be an effective president.,[VOL] Don’t know/Refused,2%,2%,2%,<1%,1%,1%,3%,2%,1%,1%,2%,2%,2%,1%,2%,2%,1%,2%,1%,3%,1%,2%,1%,3%,2%,2%,6%,1%,2%,2%
Joe Biden is just too old to be an effective president.,NET Agree,68%,69%,67%,87%,76%,62%,64%,70%,59%,66%,66%,67%,69%,69%,71%,63%,64%,78%,63%,67%,64%,60%,71%,69%,53%,81%,73%,48%,81%,74%
Joe Biden is just too old to be an effective president.,NET Disagree,30%,30%,30%,12%,23%,37%,33%,28%,40%,33%,32%,31%,28%,30%,26%,35%,35%,20%,35%,29%,35%,38%,27%,28%,45%,17%,21%,51%,17%,24%
Joe Biden is just too old to be an effective president.,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Donald Trump is just too old to be an effective president.,Strongly agree,19%,17%,22%,30%,22%,13%,22%,17%,25%,26%,16%,19%,20%,19%,15%,18%,26%,20%,17%,17%,23%,21%,23%,14%,32%,6%,27%,30%,7%,20%
Donald Trump is just too old to be an effective president.,Somewhat agree,19%,21%,17%,36%,22%,17%,14%,18%,20%,26%,31%,22%,17%,20%,16%,30%,22%,19%,18%,18%,22%,19%,21%,18%,26%,12%,30%,24%,9%,25%
Donald Trump is just too old to be an effective president.,Somewhat disagree,24%,25%,23%,22%,26%,24%,24%,23%,29%,27%,28%,26%,23%,25%,21%,28%,29%,25%,32%,21%,20%,31%,23%,21%,25%,23%,25%,28%,17%,28%
Donald Trump is just too old to be an effective president.,Strongly disagree,35%,35%,35%,12%,29%,44%,38%,40%,25%,17%,25%,30%,37%,33%,45%,23%,21%,33%,29%,41%,32%,25%,32%,43%,13%,58%,13%,15%,66%,23%
Donald Trump is just too old to be an effective president.,[VOL] Don’t know/Refused,3%,2%,3%,<1%,3%,2%,3%,3%,2%,4%,0%,3%,3%,2%,3%,2%,2%,2%,4%,2%,3%,4%,2%,3%,4%,2%,5%,3%,<.5%,4%
Donald Trump is just too old to be an effective president.,NET Agree,39%,38%,39%,66%,43%,30%,36%,35%,44%,52%,46%,41%,37%,39%,31%,47%,48%,40%,36%,35%,45%,40%,44%,32%,58%,17%,57%,55%,16%,45%
Donald Trump is just too old to be an effective president.,NET Disagree,59%,60%,58%,33%,54%,68%,61%,63%,54%,44%,54%,56%,60%,58%,66%,50%,50%,58%,60%,62%,52%,56%,54%,65%,38%,81%,38%,43%,84%,51%
Donald Trump is just too old to be an effective president.,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Joe Biden’s age makes him ineffective, but he is still able to handle the job of president well enough",22%,22%,22%,31%,29%,18%,19%,19%,35%,26%,27%,27%,19%,24%,16%,35%,26%,26%,23%,21%,19%,27%,24%,18%,41%,5%,23%,36%,7%,25%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Joe Biden’s age is such a problem that he is not capable of handling the job of president,44%,43%,44%,56%,46%,39%,43%,48%,23%,39%,37%,39%,48%,43%,52%,27%,37%,50%,39%,45%,41%,32%,46%,48%,12%,73%,48%,12%,70%,46%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,3%,1%,<.5%,<.5%,4%,3%,3%,<1%,<1%,3%,2%,3%,2%,3%,<1%,1%,3%,<1%,2%,3%,1%,1%,4%,<1%,3%,2%,<1%,3%,3%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,16%,15%,16%,10%,13%,21%,14%,14%,25%,19%,18%,16%,15%,16%,12%,16%,24%,11%,20%,19%,11%,22%,14%,15%,23%,9%,14%,27%,10%,11%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,14%,14%,14%,2%,10%,16%,19%,14%,15%,14%,14%,15%,13%,14%,14%,19%,11%,8%,15%,10%,24%,16%,14%,13%,22%,8%,7%,23%,7%,13%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,2%,2%,2%,<1%,1%,1%,3%,2%,1%,1%,2%,2%,2%,1%,2%,2%,1%,2%,1%,3%,1%,2%,1%,3%,2%,2%,6%,1%,2%,2%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Donald Trump’s age makes him ineffective, but he is still able to handle the job of president well enough",19%,21%,18%,33%,24%,14%,17%,17%,18%,31%,22%,17%,21%,16%,18%,19%,27%,19%,18%,17%,22%,19%,21%,17%,22%,14%,32%,20%,12%,24%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Donald Trump’s age  is such a problem that he is not capable of handling the job of president,18%,16%,19%,32%,19%,14%,15%,15%,25%,20%,23%,22%,14%,21%,10%,26%,21%,20%,15%,16%,19%,20%,21%,12%,34%,2%,23%,33%,2%,18%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,2%,2%,<.5%,<1%,2%,4%,3%,1%,<1%,2%,2%,2%,2%,3%,2%,<.5%,1%,2%,2%,3%,1%,2%,3%,3%,2%,2%,2%,2%,2%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,24%,25%,23%,22%,26%,24%,24%,23%,29%,27%,28%,26%,23%,25%,21%,28%,29%,25%,32%,21%,20%,31%,23%,21%,25%,23%,25%,28%,17%,28%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,35%,35%,35%,12%,29%,44%,38%,40%,25%,17%,25%,30%,37%,33%,45%,23%,21%,33%,29%,41%,32%,25%,32%,43%,13%,58%,13%,15%,66%,23%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,3%,2%,3%,<1%,3%,2%,3%,3%,2%,4%,0%,3%,3%,2%,3%,2%,2%,2%,4%,2%,3%,4%,2%,3%,4%,2%,5%,3%,<.5%,4%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Do you think Joe Biden has the personality and temperament to be an effective president?,Yes,50%,48%,51%,57%,50%,46%,51%,44%,72%,57%,61%,59%,43%,55%,35%,73%,59%,49%,57%,45%,50%,69%,51%,37%,89%,12%,53%,93%,11%,50%
Do you think Joe Biden has the personality and temperament to be an effective president?,No,49%,49%,48%,40%,49%,52%,46%,55%,25%,39%,35%,39%,55%,44%,64%,24%,37%,47%,41%,54%,48%,30%,47%,61%,9%,87%,41%,5%,89%,48%
