itm,v1,mi_oh_and_wi_likely_electorate_mi_oh_and_wi_likely_electorate,state_mi,state_oh,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump
Combined: Party identification and leaners,The Democratic Party,45%,45%,41%,49%,34%,56%,45%,48%,39%,51%,43%,77%,51%,54%,40%,54%,36%,62%,65%,66%,49%,34%,91%,2%,24%,100%,0%,39%,90%,3%
Combined: Party identification and leaners,The Republican Party,49%,47%,53%,46%,60%,39%,50%,43%,54%,45%,52%,15%,43%,40%,54%,41%,58%,31%,29%,28%,45%,59%,6%,95%,18%,0%,100%,49%,6%,94%
Combined: Party identification and leaners,[VOL] Don't know/Refused,6%,7%,6%,5%,6%,5%,5%,9%,6%,4%,5%,7%,5%,6%,6%,5%,5%,7%,6%,5%,6%,6%,3%,3%,57%,0%,0%,11%,3%,4%
Combined: Party identification and leaners,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,42%,40%,45%,41%,49%,35%,31%,34%,48%,43%,46%,8%,30%,32%,47%,33%,52%,23%,18%,23%,37%,52%,3%,82%,17%,<1%,86%,39%,0%,100%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,43%,43%,41%,46%,35%,51%,24%,47%,42%,51%,41%,74%,43%,56%,36%,56%,33%,57%,59%,64%,48%,32%,85%,3%,27%,91%,5%,38%,100%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,10%,12%,10%,9%,11%,10%,39%,12%,7%,3%,9%,13%,22%,8%,12%,6%,11%,15%,19%,10%,11%,10%,9%,11%,18%,6%,7%,18%,0%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,3%,<1%,2%,1%,2%,4%,2%,<1%,2%,3%,<1%,2%,1%,2%,1%,4%,<1%,<1%,2%,2%,1%,2%,10%,<1%,<.5%,3%,0%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,3%,2%,4%,3%,3%,4%,3%,2%,3%,3%,2%,3%,2%,3%,2%,3%,<1%,4%,3%,3%,3%,1%,2%,28%,1%,2%,3%,0%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,46%,45%,49%,45%,56%,38%,51%,39%,51%,44%,50%,10%,39%,35%,54%,36%,59%,27%,22%,25%,41%,58%,3%,92%,21%,<1%,92%,47%,0%,100%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,48%,49%,45%,50%,39%,57%,39%,53%,45%,52%,45%,85%,56%,61%,41%,60%,37%,68%,73%,71%,54%,36%,94%,4%,33%,98%,5%,46%,100%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,3%,<1%,2%,1%,4%,4%,2%,<1%,2%,3%,1%,2%,2%,2%,2%,4%,<1%,<1%,2%,2%,1%,2%,12%,<1%,<.5%,4%,0%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,4%,2%,4%,3%,3%,6%,4%,2%,3%,3%,2%,4%,2%,4%,2%,3%,<1%,5%,3%,3%,4%,1%,2%,35%,1%,2%,3%,0%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,439",446,491,502,666,752,147,282,530,437,"1,198",103,103,663,767,549,646,100,106,257,524,658,735,642,62,471,412,450,742,624
Donald Trump,Very favorable,33%,34%,33%,30%,38%,28%,28%,27%,36%,34%,36%,5%,31%,20%,40%,21%,44%,15%,20%,18%,30%,40%,1%,67%,3%,2%,74%,25%,2%,69%
Donald Trump,Somewhat favorable,14%,10%,15%,17%,18%,11%,23%,16%,15%,9%,14%,12%,11%,16%,13%,16%,13%,11%,12%,8%,13%,17%,1%,27%,14%,1%,19%,20%,2%,23%
Donald Trump,Somewhat unfavorable,6%,8%,7%,4%,6%,6%,8%,9%,6%,5%,6%,7%,9%,7%,6%,6%,5%,11%,6%,5%,7%,6%,5%,5%,26%,4%,1%,11%,5%,4%
Donald Trump,Very unfavorable,45%,45%,44%,47%,36%,54%,40%,47%,41%,51%,43%,73%,46%,55%,40%,55%,37%,60%,59%,66%,49%,35%,91%,<1%,39%,91%,6%,42%,89%,3%
Donald Trump,[VOL] Have not heard of,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%
Donald Trump,[VOL] Don't know/Refused,2%,2%,1%,1%,2%,1%,1%,1%,2%,1%,<1%,3%,2%,1%,1%,1%,<1%,2%,4%,2%,2%,1%,1%,<.5%,18%,1%,<.5%,2%,1%,<.5%
Donald Trump,NET Favorable,47%,45%,48%,48%,56%,39%,51%,43%,51%,43%,50%,17%,42%,36%,53%,37%,57%,27%,32%,26%,42%,57%,2%,93%,17%,3%,93%,45%,4%,92%
Donald Trump,NET Unfavorable,52%,53%,51%,51%,42%,60%,48%,55%,47%,56%,49%,79%,56%,63%,45%,61%,42%,71%,65%,72%,56%,41%,96%,6%,65%,96%,7%,53%,95%,7%
Donald Trump,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
Kamala [COMMA-luh] Harris,Very favorable,31%,29%,29%,35%,23%,39%,19%,24%,29%,44%,30%,54%,32%,36%,29%,36%,26%,40%,44%,45%,34%,24%,64%,1%,10%,74%,3%,21%,64%,3%
Kamala [COMMA-luh] Harris,Somewhat favorable,17%,19%,16%,16%,14%,19%,27%,25%,16%,9%,16%,25%,22%,22%,14%,22%,13%,26%,22%,24%,18%,14%,33%,2%,15%,23%,5%,22%,28%,3%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,7%,7%,7%,9%,9%,6%,17%,12%,4%,5%,7%,7%,9%,8%,7%,9%,7%,6%,10%,5%,8%,7%,2%,11%,23%,<1%,8%,13%,4%,9%
Kamala [COMMA-luh] Harris,Very unfavorable,42%,43%,46%,38%,51%,35%,36%,38%,49%,41%,46%,11%,35%,33%,48%,33%,52%,27%,21%,24%,38%,52%,<1%,84%,35%,1%,83%,43%,3%,85%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,1%,2%,2%,<1%,2%,1%,2%,<1%,3%,1%,1%,3%,<.5%,2%,18%,<.5%,2%,2%,<1%,2%
Kamala [COMMA-luh] Harris,NET Favorable,48%,48%,46%,51%,38%,58%,46%,48%,45%,53%,46%,79%,54%,58%,43%,57%,39%,66%,66%,69%,52%,38%,97%,3%,25%,98%,8%,43%,92%,5%
Kamala [COMMA-luh] Harris,NET Unfavorable,50%,50%,53%,47%,60%,41%,52%,50%,53%,45%,53%,18%,44%,41%,55%,42%,59%,33%,31%,29%,47%,60%,3%,95%,58%,2%,91%,55%,7%,93%
Kamala [COMMA-luh] Harris,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
JD Vance,Very favorable,24%,25%,25%,23%,29%,20%,16%,15%,30%,27%,27%,5%,18%,17%,29%,18%,31%,12%,12%,14%,23%,29%,1%,49%,2%,1%,56%,17%,2%,52%
JD Vance,Somewhat favorable,18%,15%,20%,20%,22%,15%,25%,20%,17%,15%,19%,10%,14%,19%,18%,19%,18%,11%,12%,11%,16%,22%,3%,33%,19%,2%,27%,24%,4%,30%
JD Vance,Somewhat unfavorable,9%,10%,8%,9%,10%,9%,14%,11%,9%,6%,9%,13%,9%,9%,9%,9%,9%,8%,12%,9%,9%,9%,11%,6%,20%,9%,6%,13%,9%,6%
JD Vance,Very unfavorable,39%,37%,39%,40%,31%,46%,32%,43%,34%,44%,37%,55%,41%,50%,32%,50%,31%,57%,42%,53%,43%,30%,77%,2%,26%,80%,4%,36%,78%,3%
JD Vance,[VOL] Have not heard of,4%,5%,2%,4%,3%,4%,7%,4%,4%,2%,3%,9%,7%,1%,5%,1%,4%,3%,10%,6%,3%,4%,3%,4%,6%,4%,3%,3%,3%,4%
JD Vance,[VOL] Don't know/Refused,6%,8%,5%,5%,6%,6%,7%,5%,6%,6%,5%,8%,11%,4%,7%,3%,7%,8%,11%,8%,6%,5%,4%,5%,27%,4%,5%,7%,4%,5%
JD Vance,NET Favorable,42%,40%,45%,43%,51%,35%,40%,36%,47%,42%,45%,15%,32%,35%,46%,37%,50%,24%,24%,25%,39%,51%,4%,82%,21%,3%,83%,41%,6%,82%
JD Vance,NET Unfavorable,48%,48%,47%,48%,40%,55%,46%,54%,43%,50%,46%,68%,50%,59%,41%,59%,39%,65%,54%,62%,52%,40%,88%,8%,46%,88%,9%,49%,87%,9%
JD Vance,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
Tim Walz [walls],Very favorable,27%,24%,26%,30%,21%,32%,21%,30%,23%,32%,27%,30%,21%,36%,21%,37%,22%,37%,18%,38%,28%,22%,55%,1%,7%,63%,2%,19%,55%,2%
Tim Walz [walls],Somewhat favorable,17%,19%,15%,17%,13%,19%,24%,21%,16%,13%,16%,20%,24%,21%,15%,21%,13%,22%,22%,19%,19%,14%,28%,6%,17%,19%,8%,24%,25%,7%
Tim Walz [walls],Somewhat unfavorable,8%,7%,9%,7%,8%,7%,9%,10%,8%,5%,7%,15%,8%,8%,7%,8%,7%,8%,13%,7%,8%,7%,3%,11%,14%,3%,10%,10%,4%,10%
Tim Walz [walls],Very unfavorable,33%,31%,33%,35%,42%,25%,29%,27%,36%,34%,36%,6%,24%,25%,37%,26%,41%,14%,17%,18%,29%,42%,1%,66%,15%,2%,64%,33%,3%,67%
Tim Walz [walls],[VOL] Have not heard of,7%,9%,8%,4%,6%,7%,8%,5%,7%,8%,6%,13%,9%,3%,9%,3%,8%,7%,13%,7%,7%,7%,6%,7%,14%,7%,7%,5%,6%,6%
Tim Walz [walls],[VOL] Don't know/Refused,9%,9%,9%,8%,9%,9%,10%,7%,11%,7%,7%,16%,14%,6%,10%,5%,9%,12%,17%,10%,10%,8%,6%,9%,33%,5%,9%,9%,6%,9%
Tim Walz [walls],NET Favorable,44%,43%,41%,47%,35%,52%,44%,50%,39%,46%,44%,50%,45%,58%,36%,58%,36%,59%,40%,58%,46%,37%,83%,7%,24%,82%,10%,43%,80%,9%
Tim Walz [walls],NET Unfavorable,41%,39%,42%,41%,50%,32%,38%,37%,44%,39%,43%,21%,32%,33%,45%,35%,48%,22%,30%,25%,37%,49%,5%,77%,29%,5%,74%,43%,7%,77%
Tim Walz [walls],Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),27%,24%,28%,28%,32%,22%,25%,22%,31%,26%,28%,17%,19%,25%,28%,24%,30%,26%,13%,24%,23%,30%,12%,43%,11%,12%,43%,26%,12%,43%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,18%,17%,19%,19%,8%,27%,21%,21%,15%,19%,18%,23%,23%,21%,16%,21%,16%,26%,21%,23%,21%,14%,32%,4%,14%,36%,6%,14%,31%,5%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,13%,14%,15%,12%,16%,11%,8%,7%,16%,17%,15%,2%,6%,10%,15%,12%,17%,3%,4%,5%,14%,16%,2%,26%,5%,2%,26%,13%,2%,26%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,6%,6%,5%,6%,6%,6%,2%,6%,6%,7%,6%,5%,6%,7%,5%,8%,5%,3%,6%,6%,5%,6%,10%,2%,6%,8%,3%,8%,10%,2%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,6%,7%,6%,5%,6%,5%,2%,6%,5%,7%,6%,6%,5%,9%,3%,9%,3%,10%,3%,6%,7%,4%,11%,<1%,3%,10%,<1%,6%,12%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,4%,5%,5%,3%,4%,4%,7%,5%,5%,2%,4%,9%,4%,2%,5%,2%,5%,2%,9%,4%,4%,4%,2%,6%,3%,2%,5%,5%,2%,6%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,4%,5%,2%,5%,4%,3%,3%,2%,4%,5%,4%,5%,1%,4%,4%,4%,4%,4%,3%,5%,3%,4%,5%,3%,1%,6%,3%,3%,6%,3%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,3%,3%,4%,3%,4%,3%,3%,4%,3%,2%,3%,3%,7%,4%,3%,3%,3%,7%,4%,3%,4%,2%,2%,4%,10%,2%,4%,4%,3%,4%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,3%,2%,2%,2%,2%,5%,5%,1%,<1%,3%,<.5%,2%,3%,2%,3%,2%,3%,<.5%,4%,2%,2%,4%,<1%,4%,4%,<.5%,2%,3%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,1%,<1%,1%,2%,2%,<1%,3%,2%,1%,<.5%,<1%,2%,6%,2%,1%,2%,<1%,2%,5%,4%,<1%,1%,<1%,1%,4%,<1%,1%,2%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Health care,1%,1%,<.5%,2%,<1%,2%,2%,2%,1%,<.5%,1%,2%,1%,1%,1%,1%,<1%,<1%,3%,2%,1%,1%,2%,0%,<1%,1%,<.5%,2%,2%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,<1%,<.5%,1%,1%,<1%,<1%,1%,2%,<1%,<.5%,1%,0%,0%,2%,<.5%,2%,<.5%,0%,0%,<1%,<1%,<1%,2%,0%,0%,2%,<.5%,<1%,2%,0%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<1%,<1%,1%,<.5%,<.5%,1%,0%,<.5%,1%,<.5%,<1%,3%,<1%,<1%,<1%,<.5%,<1%,2%,1%,<1%,<1%,<1%,1%,0%,2%,1%,<.5%,<.5%,1%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<1%,<1%,<1%,<.5%,<.5%,1%,1%,1%,<.5%,<1%,<1%,0%,1%,1%,<.5%,1%,<1%,2%,0%,1%,<1%,<.5%,<1%,<.5%,6%,<1%,0%,<1%,1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<1%,<1%,<.5%,<1%,<1%,<.5%,<.5%,0%,<.5%,2%,<.5%,3%,<1%,<1%,<1%,<.5%,<.5%,3%,2%,<.5%,1%,<.5%,<1%,<.5%,5%,1%,<.5%,<1%,1%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,<1%,<1%,<.5%,<.5%,<1%,2%,1%,<.5%,<.5%,<1%,0%,<.5%,<1%,<1%,<1%,<1%,0%,<.5%,<1%,<1%,<.5%,<1%,<1%,0%,<1%,<1%,<1%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,2%,<.5%,0%,<1%,<1%,0%,<1%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,<1%,1%,0%,0%,1%,<.5%,<.5%,<1%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,<1%,<.5%,<1%,<.5%,0%,<.5%,<.5%,<1%,<.5%,0%,1%,<.5%,<.5%,<.5%,<.5%,0%,1%,<1%,<.5%,<.5%,<.5%,<.5%,2%,<.5%,<1%,<.5%,<.5%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,<1%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,1%,<.5%,0%,<.5%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,0%,<.5%,0%,0%,<.5%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",6%,8%,4%,6%,7%,4%,7%,6%,6%,5%,5%,7%,12%,5%,6%,5%,6%,6%,12%,8%,6%,5%,6%,5%,5%,5%,4%,6%,6%,5%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,3%,3%,4%,4%,2%,4%,6%,4%,2%,3%,3%,12%,2%,1%,5%,2%,3%,0%,11%,2%,3%,4%,3%,2%,16%,3%,2%,4%,3%,2%
What one issue is most important in deciding your vote this November?,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",46%,46%,43%,48%,35%,56%,44%,48%,42%,50%,44%,75%,46%,56%,40%,56%,37%,60%,60%,66%,50%,35%,94%,<1%,20%,95%,5%,40%,90%,3%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",49%,50%,51%,46%,59%,40%,51%,44%,54%,45%,52%,17%,42%,40%,54%,40%,58%,31%,29%,27%,45%,60%,3%,97%,21%,2%,94%,50%,5%,95%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,2%,3%,3%,1%,2%,2%,1%,4%,2%,3%,2%,2%,7%,2%,2%,<1%,2%,6%,4%,2%,2%,3%,1%,<.5%,28%,<.5%,<1%,4%,2%,<1%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<.5%,0%,<1%,<1%,<1%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<1%,0%,<1%,<.5%,<1%,<.5%,<1%,0%,<1%,<.5%,<.5%,<.5%,0%,5%,<.5%,0%,<1%,<1%,0%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,3%,2%,2%,4%,3%,2%,4%,4%,3%,2%,2%,6%,5%,2%,3%,2%,3%,2%,7%,4%,2%,3%,2%,1%,26%,2%,<.5%,5%,2%,1%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always legal,36%,39%,33%,37%,29%,43%,37%,39%,37%,35%,35%,54%,45%,40%,34%,40%,32%,48%,49%,51%,38%,30%,62%,11%,37%,70%,13%,29%,61%,12%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly legal,29%,30%,30%,29%,29%,30%,31%,29%,29%,29%,30%,29%,26%,32%,28%,32%,28%,33%,24%,27%,31%,29%,30%,29%,28%,23%,27%,37%,31%,28%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly illegal,20%,17%,22%,20%,22%,17%,16%,20%,19%,22%,21%,6%,11%,19%,20%,20%,22%,10%,7%,11%,17%,24%,4%,35%,13%,3%,35%,21%,4%,36%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always illegal,6%,6%,6%,6%,7%,5%,7%,4%,7%,6%,6%,4%,5%,3%,8%,3%,8%,<1%,7%,4%,5%,7%,<1%,11%,6%,<1%,13%,4%,<1%,11%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",[VOL] Don't know/Refused,9%,9%,9%,8%,13%,5%,10%,8%,9%,8%,8%,7%,13%,6%,10%,5%,10%,8%,12%,8%,8%,9%,3%,13%,16%,3%,12%,9%,4%,13%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Legal,66%,69%,62%,66%,58%,72%,68%,68%,66%,63%,64%,83%,71%,73%,62%,72%,60%,81%,74%,77%,69%,59%,92%,40%,65%,94%,40%,66%,91%,40%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Illegal,26%,23%,28%,26%,29%,22%,23%,24%,25%,29%,28%,10%,16%,22%,28%,23%,30%,11%,14%,15%,23%,32%,5%,47%,19%,4%,48%,25%,4%,47%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly favor,48%,49%,47%,48%,39%,56%,67%,63%,44%,37%,49%,41%,54%,61%,41%,63%,41%,52%,45%,61%,50%,42%,76%,22%,38%,78%,17%,52%,74%,19%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat favor,17%,16%,18%,16%,17%,17%,12%,14%,19%,18%,16%,19%,17%,19%,15%,18%,16%,23%,15%,14%,17%,18%,11%,23%,16%,9%,23%,19%,11%,23%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat oppose,9%,8%,8%,10%,10%,8%,6%,6%,9%,11%,9%,8%,4%,6%,10%,6%,11%,8%,5%,4%,9%,10%,3%,14%,12%,3%,16%,8%,4%,14%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly oppose,17%,18%,18%,15%,22%,13%,9%,11%,17%,24%,17%,22%,17%,9%,22%,8%,21%,15%,22%,14%,16%,19%,5%,29%,18%,5%,33%,12%,6%,31%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",[VOL] Don't know/Refused,9%,9%,9%,11%,12%,7%,6%,6%,11%,9%,9%,11%,7%,5%,11%,5%,11%,2%,13%,8%,9%,11%,5%,13%,16%,4%,11%,10%,5%,13%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Favor,65%,65%,65%,64%,56%,73%,79%,76%,62%,55%,65%,59%,71%,80%,57%,81%,57%,75%,60%,75%,67%,60%,87%,44%,54%,87%,39%,71%,85%,42%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Oppose,26%,26%,26%,25%,32%,20%,15%,18%,27%,35%,26%,30%,22%,15%,32%,14%,33%,23%,27%,18%,25%,30%,8%,42%,30%,9%,49%,20%,10%,45%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Number of respondents,"1,690",557,567,566,800,865,261,338,589,457,"1,370",133,147,731,950,592,775,122,158,302,629,759,841,761,88,520,460,576,742,624
The economy,Kamala Harris,42%,42%,40%,44%,32%,52%,34%,45%,39%,48%,41%,71%,39%,52%,36%,52%,34%,58%,53%,62%,46%,31%,88%,<1%,12%,93%,4%,33%,87%,2%
The economy,Donald Trump,54%,55%,56%,53%,64%,45%,62%,52%,57%,48%,57%,24%,55%,45%,60%,45%,63%,39%,41%,34%,51%,64%,9%,99%,48%,6%,95%,60%,10%,97%
The economy,[VOL] Don’t know/Refused,4%,3%,5%,3%,4%,3%,3%,4%,4%,4%,3%,5%,6%,3%,4%,2%,3%,4%,7%,4%,3%,4%,3%,<.5%,40%,1%,<1%,6%,3%,<1%
The economy,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares
Abortion,Kamala Harris,54%,57%,52%,54%,45%,63%,61%,58%,51%,54%,51%,83%,65%,66%,48%,65%,44%,75%,74%,72%,59%,44%,97%,14%,38%,98%,13%,53%,95%,14%
Abortion,Donald Trump,40%,37%,41%,41%,48%,31%,35%,36%,42%,39%,43%,11%,29%,28%,46%,30%,50%,19%,21%,22%,35%,49%,2%,80%,12%,2%,81%,37%,2%,79%
