itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Have not heard of,<.5%,0%,<.5%,0%,0%,0%,0%,0%,0%,1%,0%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,<.5%,<.5%,0%,0%,0%,0%,<.5%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Don't know/Refused,3%,3%,4%,5%,4%,2%,3%,3%,8%,3%,0%,2%,4%,2%,3%,3%,5%,<1%,5%,4%,3%,4%,4%,2%,3%,2%,10%,2%,<1%,4%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Favorable,38%,36%,39%,35%,32%,36%,47%,32%,59%,43%,45%,45%,33%,41%,25%,55%,45%,40%,44%,32%,38%,52%,38%,28%,79%,4%,24%,82%,6%,32%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Unfavorable,59%,61%,57%,60%,64%,61%,50%,65%,33%,52%,55%,52%,63%,57%,72%,42%,49%,59%,51%,63%,59%,45%,58%,69%,17%,94%,66%,16%,94%,64%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
How much attention are you paying to the upcoming presidential election?,A lot,48%,51%,47%,23%,36%,58%,63%,56%,39%,28%,36%,55%,45%,59%,53%,46%,28%,52%,43%,50%,47%,39%,45%,58%,50%,53%,21%,49%,62%,39%
How much attention are you paying to the upcoming presidential election?,Some,32%,29%,33%,41%,39%,29%,23%,30%,37%,35%,38%,31%,32%,28%,31%,39%,35%,32%,32%,30%,34%,38%,34%,25%,34%,29%,37%,32%,26%,36%
How much attention are you paying to the upcoming presidential election?,Not much,13%,13%,13%,23%,14%,10%,10%,10%,17%,22%,17%,9%,15%,9%,11%,9%,24%,11%,17%,12%,11%,16%,12%,12%,11%,12%,23%,15%,7%,17%
How much attention are you paying to the upcoming presidential election?,None at all,6%,6%,6%,12%,11%,4%,2%,5%,6%,13%,9%,5%,7%,4%,5%,5%,11%,4%,6%,7%,8%,6%,8%,5%,4%,6%,17%,3%,4%,8%
How much attention are you paying to the upcoming presidential election?,[VOL] Don't know/Refused,<1%,<1%,<1%,1%,0%,0%,1%,0%,<1%,3%,0%,<.5%,<1%,0%,0%,<1%,2%,<.5%,1%,<.5%,<1%,1%,<1%,0%,<1%,<.5%,1%,1%,0%,0%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Joe Biden should remain the Democratic nominee,29%,32%,27%,11%,23%,33%,40%,28%,42%,26%,21%,35%,25%,34%,24%,36%,28%,26%,30%,28%,31%,36%,29%,24%,46%,18%,10%,52%,21%,21%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",There should be a different Democratic nominee,64%,62%,65%,82%,72%,59%,51%,64%,55%,66%,69%,58%,68%,58%,68%,57%,67%,69%,61%,64%,62%,58%,64%,67%,48%,74%,80%,45%,70%,72%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",[VOL] Don't know/Refused,7%,6%,8%,8%,5%,8%,8%,8%,3%,8%,11%,7%,7%,7%,8%,7%,5%,5%,9%,8%,7%,5%,7%,9%,6%,8%,10%,3%,9%,7%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Donald Trump should remain the Republican nominee,39%,41%,38%,31%,34%,43%,43%,46%,28%,28%,19%,33%,42%,37%,52%,24%,27%,36%,37%,44%,35%,24%,38%,49%,6%,73%,11%,11%,80%,31%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",There should be a different Republican nominee,55%,55%,55%,62%,59%,54%,49%,49%,70%,61%,75%,60%,52%,56%,43%,70%,66%,59%,53%,51%,58%,66%,58%,45%,87%,22%,79%,82%,17%,64%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",[VOL] Don't know/Refused,6%,5%,7%,7%,7%,3%,8%,6%,2%,11%,6%,6%,6%,6%,5%,5%,7%,5%,10%,4%,7%,10%,4%,6%,7%,5%,9%,7%,3%,5%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Do you intend to watch the presidential debate on Thursday, June 27?",Yes,74%,74%,74%,63%,69%,74%,84%,75%,77%,69%,70%,72%,75%,73%,77%,72%,72%,78%,71%,74%,73%,71%,75%,76%,73%,78%,60%,74%,83%,70%
"Do you intend to watch the presidential debate on Thursday, June 27?",No,22%,22%,22%,35%,28%,19%,11%,20%,20%,26%,28%,24%,21%,23%,19%,25%,24%,18%,24%,21%,24%,24%,22%,20%,23%,18%,36%,21%,13%,26%
"Do you intend to watch the presidential debate on Thursday, June 27?",[VOL] Don't know/Refused,4%,4%,5%,2%,3%,7%,5%,5%,4%,5%,2%,4%,5%,4%,5%,3%,4%,4%,5%,5%,3%,5%,4%,4%,4%,4%,5%,5%,4%,4%
"Do you intend to watch the presidential debate on Thursday, June 27?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
How well do you think Joe Biden will do in the upcoming presidential debate?,Very well,11%,12%,11%,1%,7%,13%,19%,11%,17%,6%,10%,12%,10%,12%,10%,12%,10%,11%,13%,9%,13%,14%,10%,10%,24%,2%,3%,28%,3%,6%
How well do you think Joe Biden will do in the upcoming presidential debate?,Somewhat well,35%,32%,37%,40%,34%,31%,39%,30%,47%,48%,34%,38%,33%,36%,26%,43%,45%,33%,39%,32%,36%,45%,35%,28%,53%,20%,29%,56%,16%,35%
How well do you think Joe Biden will do in the upcoming presidential debate?,Not too well,24%,25%,22%,37%,25%,22%,16%,22%,21%,25%,38%,22%,25%,21%,24%,26%,28%,25%,20%,26%,22%,23%,25%,22%,14%,29%,39%,10%,25%,31%
How well do you think Joe Biden will do in the upcoming presidential debate?,Not well at all,25%,26%,25%,18%,26%,31%,21%,31%,11%,17%,13%,22%,27%,25%,35%,15%,14%,26%,22%,28%,23%,14%,24%,34%,4%,46%,15%,3%,53%,21%
How well do you think Joe Biden will do in the upcoming presidential debate?,[VOL] Don't know/Refused,5%,5%,5%,4%,7%,3%,5%,6%,4%,3%,4%,6%,5%,6%,6%,5%,3%,5%,6%,5%,6%,4%,6%,5%,5%,3%,14%,2%,3%,7%
How well do you think Joe Biden will do in the upcoming presidential debate?,NET Well,46%,44%,48%,41%,41%,44%,58%,41%,64%,55%,44%,50%,43%,48%,36%,55%,55%,44%,52%,41%,50%,59%,45%,38%,77%,22%,32%,84%,19%,40%
How well do you think Joe Biden will do in the upcoming presidential debate?,NET Not well,49%,51%,47%,55%,52%,53%,38%,53%,32%,43%,51%,44%,52%,46%,58%,41%,42%,51%,42%,54%,45%,37%,49%,56%,18%,75%,54%,14%,79%,52%
How well do you think Joe Biden will do in the upcoming presidential debate?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
How well do you think Donald Trump will do in the upcoming presidential debate?,Very well,27%,27%,27%,17%,21%,32%,33%,33%,22%,17%,11%,18%,33%,21%,40%,12%,20%,24%,24%,34%,22%,16%,27%,34%,3%,53%,5%,4%,64%,19%
How well do you think Donald Trump will do in the upcoming presidential debate?,Somewhat well,33%,38%,28%,39%,39%,32%,25%,29%,28%,50%,42%,34%,32%,33%,27%,40%,41%,30%,31%,31%,39%,34%,30%,34%,23%,38%,42%,23%,28%,42%
How well do you think Donald Trump will do in the upcoming presidential debate?,Not too well,15%,13%,17%,26%,14%,15%,12%,15%,16%,13%,25%,16%,15%,17%,14%,15%,18%,23%,15%,13%,12%,17%,18%,11%,27%,3%,25%,27%,4%,15%
How well do you think Donald Trump will do in the upcoming presidential debate?,Not well at all,19%,16%,21%,11%,19%,17%,24%,17%,29%,14%,16%,25%,15%,24%,13%,28%,15%,19%,22%,16%,19%,24%,18%,16%,41%,1%,8%,41%,2%,16%
How well do you think Donald Trump will do in the upcoming presidential debate?,[VOL] Don't know/Refused,6%,5%,7%,7%,7%,4%,6%,6%,4%,7%,5%,6%,6%,6%,6%,5%,6%,4%,8%,6%,8%,8%,6%,5%,6%,4%,19%,5%,2%,8%
How well do you think Donald Trump will do in the upcoming presidential debate?,NET Well,60%,65%,55%,56%,60%,64%,58%,62%,50%,67%,54%,52%,64%,53%,67%,52%,61%,53%,55%,65%,61%,50%,58%,68%,26%,92%,47%,27%,92%,61%
How well do you think Donald Trump will do in the upcoming presidential debate?,NET Not well,34%,30%,38%,37%,33%,32%,36%,32%,45%,26%,41%,41%,30%,41%,27%,43%,34%,43%,37%,29%,31%,41%,36%,27%,68%,5%,33%,68%,6%,31%
How well do you think Donald Trump will do in the upcoming presidential debate?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),22%,25%,19%,17%,16%,28%,22%,23%,22%,16%,23%,24%,20%,23%,23%,27%,16%,19%,19%,26%,21%,22%,21%,22%,14%,28%,22%,16%,31%,20%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,6%,7%,6%,6%,10%,7%,3%,7%,9%,4%,5%,4%,8%,4%,9%,5%,5%,6%,6%,7%,6%,6%,5%,8%,3%,10%,2%,3%,10%,6%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,8%,2%,14%,6%,10%,9%,7%,9%,10%,4%,11%,11%,7%,10%,8%,12%,6%,14%,7%,7%,6%,9%,10%,7%,16%,2%,4%,17%,4%,7%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,16%,17%,16%,8%,12%,20%,21%,17%,9%,23%,3%,13%,18%,14%,19%,11%,14%,15%,15%,16%,17%,10%,16%,20%,6%,27%,7%,7%,29%,13%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<1%,<1%,<.5%,0%,<1%,1%,<.5%,<1%,0%,2%,0%,<1%,<1%,1%,<.5%,0%,1%,1%,<1%,<1%,0%,2%,0%,<1%,<1%,<1%,0%,<1%,<1%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,<1%,0%,<1%,0%,0%,0%,<.5%,<1%,0%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<1%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Health care,1%,<.5%,2%,2%,1%,2%,<.5%,1%,<1%,1%,<1%,2%,<1%,2%,1%,2%,<.5%,1%,<1%,1%,1%,1%,1%,1%,1%,<1%,3%,1%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Education,<1%,<1%,1%,2%,<1%,<1%,0%,<1%,3%,1%,0%,1%,<1%,<.5%,<1%,3%,1%,<1%,<1%,<1%,1%,1%,1%,<.5%,1%,<.5%,3%,1%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,6%,8%,5%,10%,8%,3%,7%,6%,12%,3%,5%,6%,7%,7%,6%,3%,9%,7%,6%,6%,7%,5%,7%,7%,5%,6%,13%,6%,4%,8%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<1%,1%,<.5%,1%,<1%,<1%,<.5%,1%,0%,<.5%,0%,<1%,<1%,1%,<1%,0%,<.5%,1%,2%,<.5%,<1%,<1%,1%,<.5%,1%,0%,2%,<1%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,<1%,2%,4%,2%,<1%,0%,2%,<1%,0%,<1%,2%,1%,2%,2%,1%,0%,3%,<.5%,1%,<1%,1%,2%,<1%,1%,1%,<1%,1%,<.5%,3%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,5%,7%,3%,1%,3%,5%,7%,5%,3%,1%,3%,7%,3%,8%,3%,3%,2%,5%,5%,3%,7%,7%,4%,4%,10%,<1%,<1%,11%,1%,3%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<.5%,<.5%,<1%,0%,0%,<.5%,<1%,<1%,0%,0%,0%,<.5%,<.5%,<1%,<1%,0%,0%,<.5%,<.5%,<1%,0%,0%,<.5%,<1%,<.5%,<1%,0%,<.5%,1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,<1%,2%,5%,2%,1%,0%,1%,0%,<1%,5%,3%,<1%,3%,<1%,3%,<1%,2%,2%,2%,<1%,<1%,2%,1%,3%,<.5%,1%,3%,0%,2%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<1%,<.5%,<1%,<.5%,1%,0%,<1%,<1%,0%,0%,<1%,<.5%,<1%,<1%,<1%,0%,<.5%,0%,<1%,<1%,<1%,1%,<.5%,<.5%,<1%,<.5%,<1%,<1%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,<.5%,1%,<.5%,<.5%,0%,0%,2%,0%,1%,<.5%,<.5%,0%,0%,<1%,1%,0%,<1%,<.5%,<1%,<1%,<.5%,0%,<1%,0%,1%,<.5%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate (Trump or Biden),4%,5%,3%,2%,8%,2%,4%,4%,4%,3%,6%,4%,4%,4%,4%,4%,5%,4%,6%,4%,3%,6%,4%,4%,7%,2%,3%,6%,3%,5%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate (Trump or Biden),6%,6%,6%,3%,3%,4%,11%,6%,5%,5%,6%,7%,5%,7%,6%,6%,5%,4%,6%,7%,4%,4%,6%,6%,6%,5%,9%,5%,5%,8%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,2%,1%,2%,5%,4%,1%,0%,2%,1%,1%,7%,4%,<1%,3%,1%,7%,<1%,1%,5%,1%,1%,3%,2%,<1%,3%,<1%,5%,2%,<.5%,3%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,1%,<1%,2%,1%,2%,2%,<.5%,<1%,4%,2%,0%,<1%,2%,<.5%,1%,2%,3%,<1%,1%,1%,2%,2%,<1%,1%,1%,1%,1%,2%,<1%,2%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Other (specify),7%,9%,6%,10%,6%,5%,9%,5%,8%,12%,13%,5%,9%,4%,5%,5%,14%,5%,8%,7%,7%,9%,7%,6%,8%,6%,9%,8%,6%,6%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,8%,8%,9%,14%,10%,6%,5%,6%,7%,20%,9%,5%,10%,4%,7%,7%,15%,7%,8%,7%,12%,9%,7%,9%,10%,6%,11%,9%,4%,8%
What one issue is most important in deciding your vote this November?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Which candidate do you think would do a better job of handling the issue you think is most important?,"Joe Biden, the Democrat",37%,31%,42%,37%,34%,33%,44%,34%,46%,41%,35%,46%,32%,45%,27%,48%,38%,42%,44%,29%,38%,51%,38%,27%,83%,1%,13%,80%,3%,34%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",51%,57%,46%,45%,51%,57%,49%,57%,34%,47%,39%,44%,56%,47%,65%,36%,42%,51%,43%,57%,49%,38%,48%,63%,6%,95%,31%,9%,93%,50%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,8%,7%,8%,10%,11%,6%,4%,5%,11%,6%,18%,6%,8%,5%,6%,9%,12%,5%,8%,9%,7%,8%,9%,6%,5%,2%,43%,4%,2%,11%
Which candidate do you think would do a better job of handling the issue you think is most important?,"[VOL] Someone else, specify",<1%,1%,<.5%,1%,<1%,<.5%,<.5%,<1%,0%,0%,2%,<1%,<1%,<1%,1%,1%,0%,<1%,1%,0%,<1%,0%,<1%,<1%,<.5%,<.5%,3%,0%,<1%,1%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,4%,3%,4%,7%,3%,4%,2%,2%,9%,6%,7%,4%,4%,3%,1%,5%,8%,2%,4%,4%,5%,3%,5%,3%,5%,1%,10%,7%,<1%,3%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"Regardless of who you support, who do you think will win the 2024 presidential election?",Joe Biden,38%,36%,39%,34%,37%,36%,44%,37%,46%,36%,38%,41%,35%,41%,34%,43%,38%,41%,45%,30%,39%,47%,37%,33%,71%,12%,23%,70%,12%,35%
"Regardless of who you support, who do you think will win the 2024 presidential election?",Donald Trump,48%,49%,47%,50%,49%,52%,44%,51%,35%,52%,42%,41%,53%,42%,57%,39%,47%,48%,39%,54%,47%,35%,49%,55%,17%,78%,36%,20%,80%,46%
"Regardless of who you support, who do you think will win the 2024 presidential election?",[VOL] Don't know/Refused,14%,14%,14%,16%,14%,13%,12%,12%,18%,12%,20%,18%,12%,17%,9%,18%,16%,11%,16%,16%,14%,19%,14%,12%,12%,10%,41%,10%,8%,19%
"Regardless of who you support, who do you think will win the 2024 presidential election?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Joe Biden is just too old to be an effective president.,Strongly agree,48%,49%,46%,48%,53%,46%,47%,50%,36%,47%,42%,44%,51%,46%,53%,38%,44%,52%,41%,48%,49%,40%,51%,49%,24%,66%,57%,24%,67%,50%
Joe Biden is just too old to be an effective president.,Somewhat agree,22%,22%,21%,35%,25%,18%,17%,21%,26%,21%,28%,25%,19%,24%,19%,29%,23%,28%,22%,21%,17%,22%,22%,21%,31%,15%,18%,27%,14%,25%
Joe Biden is just too old to be an effective president.,Somewhat disagree,15%,14%,17%,13%,11%,20%,14%,14%,24%,15%,16%,16%,15%,16%,13%,15%,20%,10%,20%,18%,11%,21%,12%,15%,23%,9%,12%,26%,9%,11%
Joe Biden is just too old to be an effective president.,Strongly disagree,13%,14%,12%,3%,10%,15%,19%,13%,13%,14%,12%,14%,12%,13%,12%,16%,10%,8%,15%,10%,21%,14%,12%,13%,20%,8%,5%,21%,8%,10%
Joe Biden is just too old to be an effective president.,[VOL] Don’t know/Refused,3%,1%,4%,2%,2%,1%,4%,2%,1%,3%,2%,2%,3%,2%,3%,2%,3%,2%,2%,4%,3%,3%,2%,3%,2%,2%,7%,1%,2%,3%
Joe Biden is just too old to be an effective president.,NET Agree,69%,71%,67%,83%,77%,64%,64%,71%,62%,68%,70%,69%,70%,70%,72%,67%,67%,79%,63%,69%,66%,62%,73%,69%,55%,80%,76%,51%,81%,75%
Joe Biden is just too old to be an effective president.,NET Disagree,28%,28%,29%,16%,20%,35%,33%,27%,36%,29%,28%,29%,27%,28%,25%,31%,30%,18%,35%,28%,32%,36%,24%,27%,43%,17%,17%,48%,17%,22%
Joe Biden is just too old to be an effective president.,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Donald Trump is just too old to be an effective president.,Strongly agree,19%,17%,21%,26%,20%,13%,20%,16%,22%,24%,14%,20%,19%,19%,15%,19%,22%,20%,17%,18%,21%,22%,21%,14%,33%,6%,23%,30%,7%,20%
Donald Trump is just too old to be an effective president.,Somewhat agree,20%,22%,18%,35%,22%,17%,14%,17%,23%,28%,31%,22%,19%,20%,15%,31%,26%,20%,17%,18%,26%,19%,23%,17%,25%,13%,32%,25%,9%,25%
Donald Trump is just too old to be an effective president.,Somewhat disagree,25%,26%,24%,24%,26%,25%,23%,24%,27%,25%,32%,26%,24%,26%,23%,28%,28%,26%,30%,24%,18%,31%,23%,22%,25%,24%,26%,28%,18%,27%
Donald Trump is just too old to be an effective president.,Strongly disagree,33%,34%,33%,13%,28%,43%,39%,39%,26%,17%,23%,29%,35%,32%,44%,21%,20%,30%,30%,38%,31%,24%,30%,43%,14%,55%,12%,15%,65%,23%
Donald Trump is just too old to be an effective president.,[VOL] Don’t know/Refused,3%,2%,4%,2%,4%,2%,4%,3%,2%,6%,0%,3%,3%,3%,4%,2%,3%,3%,5%,2%,4%,4%,3%,4%,4%,2%,7%,3%,<.5%,5%
Donald Trump is just too old to be an effective president.,NET Agree,39%,39%,39%,61%,42%,30%,34%,34%,45%,52%,45%,42%,37%,39%,30%,50%,48%,41%,34%,35%,47%,41%,45%,31%,58%,19%,55%,55%,16%,45%
Donald Trump is just too old to be an effective president.,NET Disagree,58%,59%,57%,37%,54%,68%,62%,63%,53%,42%,55%,55%,59%,58%,66%,49%,49%,57%,60%,62%,49%,55%,52%,65%,38%,79%,38%,42%,83%,50%
Donald Trump is just too old to be an effective president.,Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Joe Biden’s age makes him ineffective, but he is still able to handle the job of president well enough",22%,22%,22%,27%,29%,18%,18%,19%,34%,24%,24%,27%,18%,24%,15%,36%,24%,24%,23%,20%,21%,26%,24%,16%,40%,6%,21%,35%,7%,25%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Joe Biden’s age is such a problem that he is not capable of handling the job of president,45%,46%,45%,55%,47%,42%,43%,49%,27%,43%,43%,40%,49%,43%,54%,30%,42%,52%,39%,47%,42%,35%,48%,49%,14%,71%,53%,15%,70%,48%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,3%,1%,1%,1%,3%,3%,3%,<1%,1%,3%,2%,2%,2%,3%,2%,2%,3%,1%,2%,3%,<1%,1%,4%,<1%,3%,2%,<1%,3%,2%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,15%,14%,17%,13%,11%,20%,14%,14%,24%,15%,16%,16%,15%,16%,13%,15%,20%,10%,20%,18%,11%,21%,12%,15%,23%,9%,12%,26%,9%,11%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,13%,14%,12%,3%,10%,15%,19%,13%,13%,14%,12%,14%,12%,13%,12%,16%,10%,8%,15%,10%,21%,14%,12%,13%,20%,8%,5%,21%,8%,10%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,3%,1%,4%,2%,2%,1%,4%,2%,1%,3%,2%,2%,3%,2%,3%,2%,3%,2%,2%,4%,3%,3%,2%,3%,2%,2%,7%,1%,2%,3%
"(If Biden is too old to be effective) Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Donald Trump’s age makes him ineffective, but he is still able to handle the job of president well enough",20%,22%,19%,34%,25%,15%,15%,18%,20%,31%,25%,19%,22%,17%,18%,23%,28%,20%,18%,19%,25%,21%,23%,17%,23%,16%,34%,20%,12%,27%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Donald Trump’s age  is such a problem that he is not capable of handling the job of president,16%,14%,18%,26%,16%,14%,14%,14%,23%,20%,18%,21%,13%,20%,9%,24%,18%,20%,13%,15%,19%,19%,19%,12%,32%,2%,19%,32%,2%,17%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,2%,2%,1%,<1%,1%,4%,2%,3%,1%,2%,2%,2%,2%,2%,2%,2%,<1%,2%,2%,3%,<1%,2%,3%,3%,2%,3%,3%,2%,2%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,25%,26%,24%,24%,26%,25%,23%,24%,27%,25%,32%,26%,24%,26%,23%,28%,28%,26%,30%,24%,18%,31%,23%,22%,25%,24%,26%,28%,18%,27%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,33%,34%,33%,13%,28%,43%,39%,39%,26%,17%,23%,29%,35%,32%,44%,21%,20%,30%,30%,38%,31%,24%,30%,43%,14%,55%,12%,15%,65%,23%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,3%,2%,4%,2%,4%,2%,4%,3%,2%,6%,0%,3%,3%,3%,4%,2%,3%,3%,5%,2%,4%,4%,3%,4%,4%,2%,7%,3%,<.5%,5%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,991,496,482,155,213,332,258,668,112,111,74,486,499,354,312,121,173,214,209,347,221,232,407,352,443,460,88,291,277,348
Do you think Joe Biden has the personality and temperament to be an effective president?,Yes,47%,45%,49%,48%,47%,44%,50%,42%,70%,48%,54%,56%,41%,52%,34%,69%,52%,50%,54%,42%,46%,63%,48%,36%,86%,13%,43%,89%,11%,48%
Do you think Joe Biden has the personality and temperament to be an effective president?,No,51%,53%,49%,47%,52%,54%,47%,57%,27%,47%,41%,42%,56%,47%,64%,27%,44%,47%,43%,57%,52%,36%,49%,63%,11%,85%,49%,9%,88%,49%
Do you think Joe Biden has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,2%,2%,3%,5%,<1%,2%,3%,1%,3%,5%,5%,2%,3%,<1%,2%,4%,4%,3%,3%,2%,3%,2%,4%,2%,3%,1%,8%,2%,<1%,3%
