itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Unfavorable,54%,48%,60%,60%,59%,49%,55%,51%,76%,55%,64%,69%,45%,68%,38%,74%,62%,53%,64%,47%,59%,72%,57%,39%,96%,14%,79%,98%,8%,75%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very favorable,17%,14%,21%,4%,6%,17%,30%,16%,31%,18%,15%,19%,17%,19%,13%,17%,26%,16%,16%,16%,21%,20%,20%,13%,39%,1%,3%,43%,<1%,6%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat favorable,20%,17%,21%,22%,25%,19%,17%,17%,39%,17%,27%,28%,13%,27%,9%,34%,25%,23%,23%,16%,18%,26%,20%,15%,40%,2%,17%,40%,2%,26%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat unfavorable,17%,18%,16%,40%,26%,12%,8%,17%,10%,24%,24%,17%,18%,18%,17%,16%,21%,14%,24%,15%,18%,20%,19%,14%,16%,17%,25%,12%,13%,38%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very unfavorable,43%,49%,38%,30%,42%,51%,41%,49%,13%,36%,30%,34%,49%,36%,59%,28%,22%,45%,36%,49%,38%,30%,38%,57%,3%,78%,40%,2%,83%,29%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Don't know/Refused,3%,2%,3%,4%,1%,2%,4%,1%,7%,5%,4%,2%,3%,<1%,2%,4%,7%,1%,1%,4%,4%,4%,4%,1%,3%,1%,14%,2%,1%,<1%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Favorable,37%,31%,43%,26%,31%,36%,47%,32%,71%,35%,42%,47%,30%,46%,22%,51%,50%,39%,40%,33%,39%,46%,40%,28%,79%,3%,20%,83%,3%,32%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Unfavorable,60%,67%,55%,70%,68%,62%,49%,67%,23%,60%,54%,51%,67%,53%,76%,44%,43%,60%,59%,64%,57%,50%,57%,71%,19%,96%,65%,15%,96%,67%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
How much attention are you paying to the upcoming presidential election?,A lot,63%,64%,62%,33%,52%,69%,76%,68%,48%,49%,53%,69%,59%,72%,66%,57%,45%,64%,68%,60%,63%,58%,62%,67%,64%,65%,47%,67%,67%,43%
How much attention are you paying to the upcoming presidential election?,Some,26%,25%,28%,45%,34%,23%,18%,24%,32%,32%,30%,22%,30%,20%,28%,30%,34%,28%,23%,28%,25%,30%,26%,24%,27%,25%,28%,25%,24%,41%
How much attention are you paying to the upcoming presidential election?,Not much,8%,8%,7%,18%,12%,4%,5%,6%,11%,15%,9%,6%,9%,6%,6%,5%,15%,6%,8%,8%,8%,9%,9%,6%,7%,8%,11%,7%,7%,11%
How much attention are you paying to the upcoming presidential election?,None at all,3%,3%,3%,5%,2%,4%,1%,1%,9%,4%,8%,3%,3%,2%,1%,9%,6%,2%,1%,4%,4%,3%,3%,2%,2%,2%,14%,2%,1%,6%
How much attention are you paying to the upcoming presidential election?,[VOL] Don't know/Refused,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,<1%,0%,<.5%,0%,0%,<.5%,0%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Joe Biden should remain the Democratic nominee,34%,37%,31%,20%,21%,34%,49%,34%,49%,28%,26%,36%,33%,38%,32%,33%,37%,36%,32%,34%,33%,35%,35%,33%,48%,26%,7%,53%,28%,9%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",There should be a different Democratic nominee,57%,54%,60%,72%,74%,57%,40%,58%,43%,65%,61%,54%,58%,54%,60%,57%,54%,56%,58%,56%,57%,56%,57%,57%,45%,64%,77%,40%,60%,88%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",[VOL] Don't know/Refused,9%,9%,9%,8%,5%,10%,12%,8%,9%,8%,13%,9%,9%,8%,8%,10%,10%,8%,10%,10%,10%,10%,9%,10%,7%,11%,16%,7%,12%,3%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Donald Trump should remain the Republican nominee,43%,50%,38%,40%,40%,47%,44%,49%,19%,36%,28%,33%,50%,35%,60%,28%,26%,48%,37%,48%,38%,28%,42%,55%,7%,81%,8%,7%,87%,15%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",There should be a different Republican nominee,50%,43%,57%,54%,54%,48%,49%,47%,70%,60%,54%,61%,43%,62%,35%,63%,64%,48%,60%,43%,55%,64%,53%,38%,87%,14%,73%,87%,9%,80%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",[VOL] Don't know/Refused,6%,7%,6%,6%,6%,5%,7%,4%,11%,3%,17%,5%,6%,4%,4%,9%,10%,4%,3%,9%,7%,8%,5%,6%,6%,5%,19%,6%,4%,5%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Watched on debate night,63%,68%,60%,41%,53%,66%,76%,66%,55%,57%,56%,65%,62%,66%,66%,58%,56%,64%,65%,63%,61%,59%,64%,64%,58%,69%,55%,60%,71%,50%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Watched clips afterward,15%,14%,16%,25%,23%,13%,8%,16%,14%,15%,15%,18%,14%,18%,14%,18%,12%,15%,14%,15%,17%,19%,13%,15%,18%,13%,14%,16%,12%,26%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Heard about the debate,14%,13%,15%,23%,15%,14%,10%,13%,16%,18%,15%,13%,16%,13%,14%,14%,19%,14%,13%,14%,16%,15%,13%,16%,17%,12%,16%,18%,11%,9%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",No,7%,5%,9%,11%,8%,7%,4%,5%,15%,10%,13%,5%,8%,3%,6%,10%,14%,6%,9%,7%,7%,7%,9%,5%,7%,6%,15%,6%,5%,15%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",[VOL] Don't know/Refused,<.5%,<.5%,0%,0%,0%,<.5%,<1%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<1%,0%,<1%,0%,0%,<.5%,<1%,0%,<1%,0%,0%,<1%,0%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",NET Watched or heard about,93%,94%,91%,89%,92%,93%,95%,95%,85%,90%,87%,95%,92%,96%,94%,90%,86%,93%,91%,92%,93%,93%,91%,95%,93%,94%,85%,94%,94%,85%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Very well,3%,4%,2%,2%,2%,2%,3%,2%,4%,3%,4%,2%,3%,1%,3%,4%,4%,4%,2%,3%,3%,3%,4%,2%,4%,2%,<1%,5%,2%,<1%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Somewhat well,13%,9%,18%,9%,13%,11%,18%,10%,41%,16%,12%,13%,14%,13%,8%,15%,30%,14%,10%,12%,17%,19%,14%,9%,28%,2%,3%,28%,2%,11%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Not too well,23%,20%,26%,32%,28%,17%,23%,22%,26%,29%,28%,26%,21%,24%,20%,34%,25%,23%,22%,24%,23%,26%,22%,22%,33%,16%,12%,32%,13%,25%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Not well at all,58%,65%,51%,54%,52%,68%,53%,63%,24%,49%,53%,56%,59%,60%,66%,43%,39%,57%,63%,58%,54%,51%,56%,64%,32%,78%,68%,32%,82%,62%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,[VOL] Don't know/Refused,3%,3%,3%,3%,4%,2%,3%,3%,5%,3%,3%,3%,3%,2%,3%,5%,3%,3%,3%,3%,3%,2%,4%,3%,3%,1%,17%,3%,1%,2%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,NET Well,16%,13%,19%,11%,15%,13%,21%,12%,45%,19%,16%,15%,17%,14%,11%,19%,34%,18%,13%,15%,20%,22%,18%,11%,32%,4%,4%,33%,4%,12%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,NET Not well,81%,84%,78%,86%,81%,86%,76%,85%,49%,78%,81%,82%,80%,84%,86%,77%,63%,79%,85%,82%,77%,76%,78%,86%,65%,94%,80%,64%,95%,86%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Number of respondents,"1,132",542,577,176,258,382,287,783,117,113,87,595,531,429,351,145,169,238,232,411,251,278,482,372,511,522,99,442,436,108
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Very well,25%,28%,22%,13%,15%,28%,31%,29%,7%,20%,16%,17%,30%,18%,37%,12%,14%,26%,19%,27%,25%,17%,22%,33%,2%,47%,3%,2%,52%,6%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Somewhat well,28%,31%,24%,31%,32%,33%,19%,29%,16%,30%,27%,25%,30%,27%,30%,21%,26%,27%,31%,28%,24%,22%,29%,30%,12%,42%,22%,12%,40%,35%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Not too well,15%,15%,16%,30%,22%,12%,10%,13%,23%,17%,24%,18%,13%,17%,11%,22%,21%,16%,16%,16%,14%,20%,15%,13%,25%,7%,13%,25%,5%,27%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Not well at all,27%,22%,32%,20%,26%,23%,36%,25%,46%,29%,29%,34%,23%,34%,18%,39%,34%,25%,31%,24%,31%,36%,30%,19%,55%,2%,44%,56%,1%,31%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,[VOL] Don't know/Refused,5%,4%,5%,6%,5%,4%,4%,4%,8%,5%,4%,5%,5%,4%,4%,6%,6%,6%,4%,4%,5%,5%,4%,5%,6%,2%,17%,5%,2%,2%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,NET Well,52%,59%,47%,44%,47%,61%,50%,57%,23%,50%,43%,43%,59%,45%,67%,33%,40%,53%,50%,56%,49%,39%,51%,63%,15%,89%,25%,14%,92%,41%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,NET Not well,43%,37%,48%,50%,48%,35%,46%,38%,69%,46%,53%,52%,36%,51%,29%,61%,55%,41%,46%,40%,46%,56%,45%,32%,80%,9%,58%,81%,6%,58%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Number of respondents,"1,132",542,577,176,258,382,287,783,117,113,87,595,531,429,351,145,169,238,232,411,251,278,482,372,511,522,99,442,436,108
(If watched or heard about debate) Who do you think did better in the debate?,Joe Biden,23%,18%,27%,22%,18%,18%,31%,19%,51%,20%,29%,24%,22%,22%,16%,32%,37%,25%,24%,19%,25%,32%,23%,16%,50%,<1%,8%,50%,<.5%,22%
(If watched or heard about debate) Who do you think did better in the debate?,Donald Trump,61%,70%,54%,59%,66%,70%,52%,67%,28%,60%,50%,56%,65%,60%,73%,44%,44%,60%,64%,66%,54%,49%,60%,71%,23%,96%,47%,23%,98%,59%
(If watched or heard about debate) Who do you think did better in the debate?,[VOL] About the same,2%,1%,2%,2%,1%,<1%,3%,<1%,2%,3%,6%,2%,<1%,2%,0%,3%,4%,<1%,<1%,2%,2%,1%,3%,<.5%,2%,<1%,7%,2%,<.5%,1%
(If watched or heard about debate) Who do you think did better in the debate?,[VOL] Neither did better,9%,8%,10%,6%,10%,7%,11%,8%,13%,11%,10%,12%,7%,11%,6%,15%,10%,8%,7%,8%,12%,13%,8%,8%,17%,1%,19%,17%,<1%,12%
(If watched or heard about debate) Who do you think did better in the debate?,[VOL] Don't know/Refused,5%,3%,7%,11%,5%,4%,4%,5%,6%,6%,5%,5%,5%,5%,5%,6%,5%,6%,4%,5%,7%,4%,6%,5%,8%,1%,18%,8%,<1%,6%
(If watched or heard about debate) Who do you think did better in the debate?,Number of respondents,"1,132",542,577,176,258,382,287,783,117,113,87,595,531,429,351,145,169,238,232,411,251,278,482,372,511,522,99,442,436,108
Do you think Donald Trump left the country better or worse than when he took office?,Better,48%,52%,44%,42%,44%,55%,46%,54%,20%,48%,30%,34%,58%,36%,67%,24%,37%,52%,42%,54%,40%,30%,44%,64%,4%,90%,21%,4%,93%,34%
Do you think Donald Trump left the country better or worse than when he took office?,Worse,47%,41%,51%,53%,49%,40%,50%,43%,72%,43%,55%,60%,37%,59%,31%,66%,53%,42%,55%,41%,52%,64%,49%,32%,93%,5%,54%,95%,3%,52%
Do you think Donald Trump left the country better or worse than when he took office?,[VOL] The same,1%,2%,<1%,<1%,3%,<1%,1%,<1%,1%,4%,2%,2%,1%,1%,<.5%,3%,2%,<1%,2%,<1%,3%,2%,2%,<.5%,<1%,1%,5%,0%,1%,5%
Do you think Donald Trump left the country better or worse than when he took office?,[VOL] Don't know/Refused,4%,4%,4%,4%,4%,4%,3%,2%,7%,5%,13%,4%,4%,3%,2%,8%,7%,5%,2%,4%,5%,4%,5%,3%,2%,4%,20%,<1%,3%,9%
Do you think Donald Trump left the country better or worse than when he took office?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Do you think Joe Biden has made the country better or worse since taking office?,Better,36%,31%,41%,32%,33%,32%,47%,34%,59%,37%,32%,48%,29%,49%,23%,48%,43%,35%,44%,29%,43%,47%,40%,26%,81%,2%,7%,87%,2%,18%
Do you think Joe Biden has made the country better or worse since taking office?,Worse,57%,64%,51%,58%,60%,63%,48%,62%,30%,55%,45%,45%,65%,47%,73%,39%,45%,59%,52%,62%,51%,44%,52%,70%,11%,95%,65%,9%,96%,67%
Do you think Joe Biden has made the country better or worse since taking office?,[VOL] The same,4%,3%,5%,5%,5%,3%,4%,3%,4%,3%,15%,3%,4%,2%,3%,7%,6%,2%,3%,5%,4%,5%,5%,2%,5%,1%,15%,3%,<.5%,13%
Do you think Joe Biden has made the country better or worse since taking office?,[VOL] Don't know/Refused,3%,3%,3%,5%,2%,2%,2%,2%,6%,4%,8%,3%,3%,2%,1%,6%,6%,4%,<1%,4%,3%,4%,3%,2%,3%,1%,13%,1%,1%,3%
Do you think Joe Biden has made the country better or worse since taking office?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Joe Biden is just too old to be an effective president.,Strongly agree,52%,57%,47%,62%,52%,55%,44%,55%,26%,57%,50%,46%,55%,47%,61%,44%,42%,49%,50%,53%,54%,48%,51%,55%,28%,70%,64%,23%,70%,65%
Joe Biden is just too old to be an effective president.,Somewhat agree,22%,17%,26%,23%,30%,20%,19%,21%,22%,27%,25%,26%,19%,25%,18%,29%,23%,24%,26%,18%,22%,25%,23%,19%,33%,13%,20%,35%,12%,23%
Joe Biden is just too old to be an effective president.,Somewhat disagree,11%,9%,13%,8%,9%,11%,12%,10%,23%,6%,12%,14%,9%,15%,7%,12%,16%,11%,13%,12%,9%,13%,10%,10%,18%,6%,4%,19%,6%,7%
Joe Biden is just too old to be an effective president.,Strongly disagree,11%,13%,11%,6%,6%,11%,19%,10%,26%,10%,8%,11%,12%,10%,10%,13%,16%,11%,9%,13%,11%,12%,12%,10%,19%,6%,5%,21%,6%,4%
Joe Biden is just too old to be an effective president.,[VOL] Don’t know/Refused,4%,4%,3%,2%,2%,3%,6%,4%,2%,<1%,5%,3%,4%,3%,5%,2%,3%,5%,2%,4%,4%,1%,4%,6%,2%,5%,7%,2%,6%,1%
Joe Biden is just too old to be an effective president.,NET Agree,74%,74%,73%,84%,83%,75%,63%,76%,48%,84%,75%,72%,75%,72%,78%,73%,65%,73%,76%,71%,76%,74%,73%,74%,61%,83%,84%,58%,82%,88%
Joe Biden is just too old to be an effective president.,NET Disagree,22%,22%,23%,14%,15%,21%,32%,20%,49%,16%,20%,24%,21%,25%,17%,25%,32%,22%,22%,25%,20%,25%,23%,20%,37%,11%,9%,40%,12%,11%
Joe Biden is just too old to be an effective president.,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Donald Trump is just too old to be an effective president.,Strongly agree,22%,22%,21%,31%,21%,17%,25%,20%,24%,29%,29%,24%,20%,23%,17%,28%,27%,22%,22%,15%,29%,32%,22%,15%,40%,4%,30%,38%,3%,33%
Donald Trump is just too old to be an effective president.,Somewhat agree,20%,16%,24%,31%,24%,20%,12%,20%,19%,24%,22%,25%,18%,25%,17%,25%,20%,23%,20%,17%,22%,23%,24%,14%,26%,14%,31%,27%,12%,26%
Donald Trump is just too old to be an effective president.,Somewhat disagree,20%,20%,19%,18%,25%,19%,17%,19%,26%,16%,23%,23%,17%,25%,15%,20%,23%,16%,22%,22%,16%,18%,18%,23%,20%,20%,17%,20%,19%,20%
Donald Trump is just too old to be an effective president.,Strongly disagree,34%,39%,31%,18%,25%,42%,39%,38%,27%,29%,21%,24%,41%,25%,47%,20%,27%,34%,33%,39%,28%,25%,32%,43%,10%,59%,11%,11%,62%,19%
Donald Trump is just too old to be an effective president.,[VOL] Don’t know/Refused,4%,3%,4%,2%,4%,1%,7%,3%,4%,2%,5%,4%,4%,3%,4%,7%,3%,4%,2%,5%,4%,3%,4%,5%,4%,3%,12%,4%,4%,2%
Donald Trump is just too old to be an effective president.,NET Agree,42%,38%,46%,62%,46%,37%,36%,40%,43%,53%,51%,49%,38%,47%,34%,53%,47%,46%,43%,33%,52%,54%,46%,29%,66%,18%,60%,65%,15%,59%
Donald Trump is just too old to be an effective president.,NET Disagree,54%,59%,50%,36%,50%,62%,57%,57%,53%,45%,44%,47%,59%,50%,62%,40%,50%,51%,55%,62%,45%,42%,50%,66%,31%,78%,28%,31%,81%,39%
Donald Trump is just too old to be an effective president.,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Joe Biden’s age makes him ineffective, but he is still able to handle the job of president well enough",22%,18%,26%,25%,27%,22%,20%,21%,26%,28%,26%,29%,18%,28%,16%,33%,24%,24%,25%,19%,24%,27%,25%,16%,43%,5%,17%,43%,4%,26%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Joe Biden’s age is such a problem that he is not capable of handling the job of president,48%,53%,44%,57%,53%,50%,40%,52%,18%,51%,46%,40%,54%,41%,60%,34%,37%,47%,46%,50%,48%,43%,46%,55%,14%,75%,63%,11%,74%,62%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,3%,3%,3%,2%,3%,3%,3%,2%,4%,5%,3%,4%,3%,3%,2%,5%,4%,2%,5%,2%,4%,4%,2%,3%,3%,3%,4%,3%,3%,<.5%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,11%,9%,13%,8%,9%,11%,12%,10%,23%,6%,12%,14%,9%,15%,7%,12%,16%,11%,13%,12%,9%,13%,10%,10%,18%,6%,4%,19%,6%,7%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,11%,13%,11%,6%,6%,11%,19%,10%,26%,10%,8%,11%,12%,10%,10%,13%,16%,11%,9%,13%,11%,12%,12%,10%,19%,6%,5%,21%,6%,4%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,4%,4%,3%,2%,2%,3%,6%,4%,2%,<1%,5%,3%,4%,3%,5%,2%,3%,5%,2%,4%,4%,1%,4%,6%,2%,5%,7%,2%,6%,1%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Donald Trump’s age makes him ineffective, but he is still able to handle the job of president well enough",20%,18%,21%,36%,22%,20%,12%,20%,13%,31%,17%,22%,19%,22%,19%,22%,20%,22%,22%,15%,23%,19%,24%,15%,21%,16%,35%,20%,14%,38%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Donald Trump’s age  is such a problem that he is not capable of handling the job of president,20%,17%,22%,23%,21%,16%,22%,18%,22%,20%,29%,25%,16%,24%,14%,27%,23%,21%,17%,16%,25%,31%,19%,13%,41%,<1%,21%,41%,<1%,20%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,2%,3%,3%,3%,1%,3%,2%,7%,2%,4%,2%,3%,1%,2%,4%,5%,2%,3%,2%,4%,5%,3%,1%,4%,<1%,4%,4%,<1%,<.5%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,20%,20%,19%,18%,25%,19%,17%,19%,26%,16%,23%,23%,17%,25%,15%,20%,23%,16%,22%,22%,16%,18%,18%,23%,20%,20%,17%,20%,19%,20%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,34%,39%,31%,18%,25%,42%,39%,38%,27%,29%,21%,24%,41%,25%,47%,20%,27%,34%,33%,39%,28%,25%,32%,43%,10%,59%,11%,11%,62%,19%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,4%,3%,4%,2%,4%,1%,7%,3%,4%,2%,5%,4%,4%,3%,4%,7%,3%,4%,2%,5%,4%,3%,4%,5%,4%,3%,12%,4%,4%,2%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Do you think Joe Biden has the personality and temperament to be an effective president?,Yes,50%,45%,55%,48%,50%,46%,55%,45%,77%,47%,61%,61%,43%,59%,36%,68%,60%,48%,57%,44%,53%,63%,52%,39%,90%,15%,45%,93%,12%,53%
Do you think Joe Biden has the personality and temperament to be an effective president?,No,49%,54%,44%,49%,50%,53%,43%,54%,20%,52%,36%,38%,56%,40%,63%,29%,38%,50%,42%,53%,46%,36%,46%,60%,8%,84%,45%,7%,87%,47%
Do you think Joe Biden has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,2%,2%,1%,2%,<1%,1%,2%,<1%,3%,<1%,3%,1%,1%,<1%,1%,3%,2%,2%,1%,2%,<.5%,2%,2%,1%,1%,<1%,10%,<1%,<1%,0%
Do you think Joe Biden has the personality and temperament to be an effective president?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Do you think Donald Trump has the personality and temperament to be an effective president?,Yes,46%,53%,39%,40%,43%,52%,42%,51%,19%,45%,33%,32%,55%,34%,64%,24%,34%,48%,37%,52%,41%,29%,41%,61%,4%,86%,17%,3%,90%,30%
Do you think Donald Trump has the personality and temperament to be an effective president?,No,53%,45%,60%,59%,56%,47%,56%,48%,77%,55%,66%,66%,44%,65%,36%,74%,63%,51%,62%,45%,58%,68%,57%,38%,95%,12%,75%,97%,8%,68%
Do you think Donald Trump has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,2%,2%,1%,1%,1%,<1%,2%,<1%,4%,<.5%,1%,2%,1%,1%,<.5%,2%,2%,1%,<1%,3%,1%,2%,1%,1%,<1%,2%,8%,<1%,2%,2%
Do you think Donald Trump has the personality and temperament to be an effective president?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),20%,23%,18%,13%,20%,29%,15%,21%,15%,20%,24%,19%,21%,17%,24%,25%,15%,19%,23%,23%,16%,17%,19%,24%,12%,28%,18%,11%,28%,26%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,6%,7%,5%,7%,11%,4%,4%,6%,5%,4%,5%,3%,7%,4%,7%,2%,6%,7%,4%,5%,7%,4%,5%,7%,2%,9%,4%,2%,8%,7%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,9%,4%,13%,15%,8%,8%,9%,10%,7%,8%,8%,13%,6%,14%,6%,9%,7%,8%,11%,9%,9%,10%,9%,8%,16%,4%,6%,16%,3%,6%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,16%,19%,14%,8%,7%,23%,19%,19%,3%,19%,10%,12%,20%,12%,23%,9%,12%,19%,17%,17%,12%,9%,16%,21%,4%,28%,11%,3%,30%,12%
