itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,"(If candidate selected in presidential race, including third-party candidates) What is the MAIN reason you are planning to vote for [CANDIDATE SELECTED]?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,[VOL] Positive view of candidate's policies,25%,24%,27%,16%,22%,24%,34%,24%,30%,30%,25%,26%,22%,26%,42%,24%,29%,26%,34%,16%,23%,25%,20%,21%,25%,27%,23%,28%,13%,25%
How satisfied are you with the way things are going in your life these days?,[VOL] Negative view of opponent's policies,4%,4%,4%,6%,6%,3%,2%,4%,4%,5%,5%,4%,5%,3%,4%,5%,3%,7%,3%,2%,6%,2%,4%,3%,4%,5%,3%,6%,0%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Positive view of candidate's character/competence,15%,14%,16%,10%,9%,16%,18%,14%,11%,21%,14%,15%,14%,14%,10%,17%,6%,14%,17%,25%,11%,14%,20%,19%,11%,17%,17%,12%,20%,18%
How satisfied are you with the way things are going in your life these days?,[VOL] Negative view of opponent's character/competence,24%,23%,26%,25%,30%,24%,20%,25%,23%,18%,24%,25%,26%,25%,9%,27%,29%,16%,22%,34%,32%,23%,14%,28%,29%,17%,35%,13%,49%,32%
How satisfied are you with the way things are going in your life these days?,[VOL] Voting to support a political party,3%,3%,3%,4%,3%,2%,4%,3%,7%,0%,3%,3%,3%,3%,7%,3%,7%,3%,1%,2%,3%,3%,3%,3%,3%,2%,4%,2%,0%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] The economy (including jobs and the stock market),11%,13%,8%,9%,11%,13%,9%,12%,3%,2%,8%,12%,9%,14%,0%,3%,7%,22%,8%,4%,5%,15%,16%,4%,8%,17%,1%,20%,0%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Inflation/the cost of living,2%,3%,<.5%,2%,3%,<1%,<1%,2%,0%,0%,2%,2%,2%,2%,0%,0%,1%,3%,<1%,0%,2%,2%,2%,<1%,2%,2%,0%,3%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Abortion,3%,3%,4%,5%,4%,2%,3%,3%,0%,9%,4%,3%,4%,3%,7%,2%,4%,<1%,4%,7%,3%,<1%,6%,4%,4%,2%,6%,2%,0%,6%
How satisfied are you with the way things are going in your life these days?,[VOL] Immigration,3%,5%,<1%,3%,<1%,5%,4%,4%,<.5%,<1%,3%,4%,3%,4%,<1%,<.5%,4%,1%,2%,4%,3%,4%,3%,3%,4%,2%,0%,6%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] The state of democracy/corruption,2%,2%,1%,<1%,1%,2%,2%,2%,4%,1%,4%,<1%,3%,<1%,9%,0%,4%,0%,<1%,1%,3%,0%,3%,3%,3%,0%,3%,<1%,0%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Other (specify),5%,4%,6%,15%,6%,2%,2%,4%,9%,12%,8%,3%,8%,1%,9%,12%,5%,3%,4%,5%,5%,8%,6%,5%,5%,5%,5%,4%,12%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,1%,4%,4%,2%,5%,<1%,2%,8%,<1%,<1%,4%,<1%,4%,1%,7%,0%,5%,3%,<1%,4%,3%,4%,5%,2%,2%,2%,3%,6%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,756,427,315,110,156,252,223,632,65,43,399,356,341,291,48,60,63,78,104,57,301,77,76,106,431,219,393,344,19,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,22%,33%,29%,82%,10%,7%,38%,61%,32%,50%,5%,11%,11%,14%,17%,10%,22%,13%,13%,17%,48%,35%,47%,50%,4%,41%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,For Robert F. Kennedy Jr.,39%,39%,39%,52%,37%,31%,45%,30%,70%,84%,26%,46%,21%,36%,61%,83%,0%,46%,44%,30%,37%,68%,0%,35%,41%,39%,49%,34%,34%,-
How satisfied are you with the way things are going in your life these days?,Against the other candidates,53%,49%,56%,44%,59%,55%,55%,60%,30%,16%,71%,44%,76%,51%,39%,17%,69%,54%,28%,70%,59%,32%,100%,65%,44%,61%,51%,58%,47%,-
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,8%,11%,6%,4%,4%,14%,0%,9%,0%,0%,3%,10%,3%,13%,0%,0%,31%,0%,28%,0%,4%,0%,0%,0%,15%,0%,0%,8%,19%,-
How satisfied are you with the way things are going in your life these days?,Number of respondents,83,41,40,24,18,30,10,68,6,9,39,44,34,34,5,10,3,6,14,6,34,12,8,11,48,24,29,39,15,
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,40%,58%,25%,22%,40%,12%,81%,8%,11%,34%,66%,29%,52%,4%,14%,3%,10%,20%,11%,27%,18%,10%,17%,51%,33%,35%,42%,23%,
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very satisfied,29%,29%,29%,11%,18%,29%,46%,30%,19%,23%,22%,32%,23%,35%,17%,23%,30%,40%,34%,21%,21%,25%,32%,23%,27%,35%,21%,41%,2%,24%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,29%,30%,27%,28%,29%,31%,25%,31%,25%,14%,27%,30%,28%,32%,19%,21%,39%,29%,17%,24%,33%,31%,30%,31%,30%,26%,33%,28%,11%,36%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,17%,18%,17%,20%,20%,18%,13%,16%,20%,24%,21%,15%,20%,14%,26%,20%,13%,13%,22%,19%,20%,15%,14%,17%,18%,16%,22%,11%,29%,22%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,24%,23%,25%,40%,31%,21%,14%,21%,34%,38%,29%,21%,27%,18%,38%,34%,17%,18%,27%,33%,23%,26%,23%,27%,24%,21%,23%,20%,51%,17%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,<1%,2%,1%,1%,<1%,3%,2%,2%,0%,<1%,2%,1%,2%,0%,2%,0%,0%,0%,3%,2%,4%,1%,2%,1%,2%,1%,<1%,7%,1%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,58%,59%,56%,39%,47%,60%,71%,61%,44%,38%,49%,62%,51%,67%,36%,44%,70%,69%,51%,45%,54%,56%,63%,54%,57%,60%,54%,68%,13%,60%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,41%,41%,42%,60%,52%,39%,26%,38%,54%,62%,50%,36%,47%,31%,64%,54%,30%,31%,49%,52%,44%,41%,36%,44%,42%,38%,44%,31%,80%,39%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Always,36%,40%,32%,20%,25%,38%,52%,37%,33%,27%,41%,33%,40%,35%,46%,24%,49%,33%,33%,35%,35%,30%,42%,35%,36%,37%,33%,42%,21%,37%
How satisfied are you with the way things are going in your life these days?,Most of the time,34%,34%,34%,32%,39%,35%,28%,35%,29%,27%,34%,34%,37%,34%,21%,32%,27%,44%,40%,31%,36%,29%,22%,29%,34%,36%,37%,31%,29%,39%
How satisfied are you with the way things are going in your life these days?,About half of the time,14%,13%,15%,23%,19%,10%,9%,13%,12%,24%,13%,14%,13%,13%,14%,18%,9%,7%,13%,14%,13%,20%,19%,16%,14%,12%,14%,12%,20%,10%
How satisfied are you with the way things are going in your life these days?,Some of the time,14%,11%,16%,22%,14%,13%,11%,13%,19%,20%,10%,16%,9%,15%,16%,21%,13%,12%,11%,16%,14%,18%,13%,15%,15%,11%,13%,12%,28%,12%
How satisfied are you with the way things are going in your life these days?,Never,2%,2%,2%,4%,2%,3%,<1%,2%,7%,2%,2%,3%,2%,2%,2%,6%,2%,4%,2%,3%,<1%,2%,4%,4%,1%,3%,3%,2%,2%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,<.5%,<1%,<1%,<.5%,0%,1%,<.5%,<1%,0%,<1%,2%,0%,0%,0%,0%,0%,<1%,2%,<1%,0%,<1%,<1%,<.5%,<1%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Strongly approve,17%,13%,20%,2%,7%,23%,26%,18%,18%,4%,23%,13%,23%,14%,23%,7%,30%,12%,13%,19%,19%,9%,17%,20%,17%,15%,37%,<1%,0%,43%
How satisfied are you with the way things are going in your life these days?,Somewhat approve,21%,18%,24%,26%,28%,17%,15%,18%,37%,27%,24%,19%,24%,15%,27%,35%,28%,11%,22%,35%,22%,16%,14%,30%,23%,13%,40%,2%,26%,42%
How satisfied are you with the way things are going in your life these days?,Somewhat disapprove,15%,14%,15%,29%,20%,12%,7%,14%,16%,24%,17%,14%,17%,12%,13%,22%,9%,11%,18%,16%,16%,19%,12%,15%,17%,12%,18%,9%,27%,12%
How satisfied are you with the way things are going in your life these days?,Strongly disapprove,45%,53%,37%,37%,42%,46%,49%,47%,22%,42%,34%,51%,34%,56%,29%,31%,33%,63%,46%,24%,39%,53%,55%,30%,42%,57%,3%,87%,24%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,4%,6%,3%,2%,3%,3%,8%,3%,2%,4%,1%,4%,8%,5%,<1%,3%,2%,7%,5%,3%,1%,5%,2%,4%,1%,2%,22%,<1%
How satisfied are you with the way things are going in your life these days?,NET Approve,37%,31%,44%,28%,35%,40%,42%,36%,54%,31%,47%,32%,47%,29%,50%,42%,58%,23%,34%,54%,40%,25%,32%,50%,39%,27%,77%,2%,26%,85%
How satisfied are you with the way things are going in your life these days?,NET Disapprove,60%,66%,52%,66%,62%,58%,55%,61%,38%,66%,51%,64%,52%,67%,42%,53%,42%,74%,63%,40%,55%,72%,67%,45%,58%,69%,22%,96%,52%,14%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Strongly approve,24%,23%,26%,15%,21%,28%,30%,25%,25%,18%,33%,20%,35%,20%,25%,21%,41%,18%,25%,23%,27%,19%,19%,28%,30%,16%,49%,4%,12%,54%
How satisfied are you with the way things are going in your life these days?,Somewhat approve,33%,32%,33%,38%,35%,29%,32%,31%,40%,32%,29%,34%,29%,33%,29%,41%,18%,32%,32%,36%,33%,34%,41%,31%,30%,37%,33%,32%,34%,31%
How satisfied are you with the way things are going in your life these days?,Somewhat disapprove,12%,12%,11%,12%,15%,8%,12%,11%,10%,25%,14%,10%,13%,9%,19%,14%,7%,14%,11%,9%,9%,14%,17%,11%,10%,15%,4%,18%,17%,3%
How satisfied are you with the way things are going in your life these days?,Strongly disapprove,13%,16%,10%,7%,10%,17%,14%,14%,9%,4%,8%,16%,9%,17%,<1%,10%,14%,16%,15%,6%,11%,14%,14%,7%,14%,15%,<1%,25%,7%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,18%,17%,20%,28%,19%,19%,13%,18%,16%,21%,16%,20%,14%,21%,26%,15%,20%,20%,17%,25%,20%,18%,10%,23%,17%,18%,14%,21%,30%,12%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following."
How satisfied are you with the way things are going in your life these days?,Donald Trump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Donald Trump,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Donald Trump,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,27%,30%,24%,13%,21%,29%,36%,29%,11%,17%,17%,33%,17%,37%,10%,15%,23%,39%,31%,9%,20%,30%,37%,12%,25%,37%,<.5%,56%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,16%,23%,11%,28%,18%,16%,10%,17%,4%,29%,14%,18%,14%,19%,15%,14%,11%,26%,12%,15%,16%,19%,17%,13%,15%,20%,2%,30%,14%,<1%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,10%,10%,9%,18%,9%,11%,4%,8%,17%,20%,8%,11%,7%,8%,14%,20%,2%,10%,13%,21%,7%,5%,11%,19%,8%,8%,6%,9%,32%,6%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,45%,36%,54%,39%,52%,44%,47%,45%,63%,34%,59%,37%,61%,34%,57%,49%,62%,23%,43%,54%,56%,44%,36%,54%,51%,33%,91%,4%,42%,92%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,1%,2%,1%,<.5%,2%,3%,1%,4%,<1%,2%,1%,1%,1%,4%,1%,2%,2%,<.5%,2%,2%,3%,0%,1%,1%,2%,<.5%,<1%,12%,<.5%
How satisfied are you with the way things are going in your life these days?,NET Favorable,43%,53%,35%,41%,39%,44%,45%,46%,16%,45%,31%,51%,31%,56%,24%,29%,34%,65%,43%,23%,36%,49%,54%,25%,40%,57%,2%,87%,14%,<1%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,55%,46%,63%,57%,61%,54%,52%,52%,81%,54%,67%,48%,67%,43%,71%,69%,65%,32%,57%,75%,62%,49%,46%,73%,59%,40%,97%,13%,74%,99%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Joe Biden,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Joe Biden,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,19%,17%,22%,10%,12%,21%,29%,18%,30%,13%,24%,16%,24%,15%,27%,21%,35%,15%,18%,27%,21%,7%,15%,30%,19%,13%,42%,1%,0%,49%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,22%,19%,26%,26%,28%,22%,16%,19%,43%,28%,25%,21%,24%,16%,31%,40%,24%,11%,22%,34%,26%,25%,15%,29%,24%,17%,41%,2%,37%,39%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,11%,11%,12%,20%,19%,9%,3%,12%,4%,15%,15%,9%,17%,9%,8%,10%,10%,8%,13%,8%,14%,12%,13%,10%,12%,11%,12%,9%,23%,9%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,45%,52%,39%,41%,40%,47%,50%,49%,16%,43%,34%,52%,34%,58%,28%,27%,31%,65%,46%,26%,37%,54%,58%,27%,44%,57%,4%,87%,29%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
