itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,<1%,2%,2%,2%,<1%,<1%,<1%,1%,1%,4%,<1%,2%,<1%,1%,<.5%,1%,2%,<1%,2%,1%,<1%,1%,<1%,<1%,13%,<.5%,1%,2%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,53%,39%,36%,40%,50%,47%,52%,6%,33%,48%,52%,26%,37%,51%,40%,62%,27%,26%,48%,35%,53%,40%,2%,91%,14%,4%,93%,39%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,52%,44%,58%,56%,56%,48%,52%,46%,92%,63%,44%,46%,69%,60%,46%,58%,36%,69%,71%,48%,63%,44%,58%,96%,6%,56%,95%,5%,57%,100%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,1%,2%,<1%,5%,2%,1%,<.5%,1%,<.5%,2%,3%,1%,2%,2%,1%,2%,<1%,2%,2%,2%,<.5%,2%,<1%,1%,1%,9%,<1%,<1%,2%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,1%,2%,3%,2%,<1%,<1%,<1%,2%,2%,5%,<1%,2%,1%,1%,<.5%,1%,2%,<1%,2%,2%,1%,2%,<1%,1%,21%,<.5%,1%,2%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,735",812,906,204,363,627,482,"1,216",197,162,113,"1,216",472,917,807,666,545,228,240,367,372,620,376,890,788,57,586,538,521,940
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,19%,15%,22%,5%,11%,21%,29%,18%,35%,18%,10%,18%,22%,21%,17%,22%,14%,19%,24%,19%,23%,16%,20%,38%,1%,0%,44%,2%,12%,39%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,21%,19%,23%,29%,27%,19%,16%,19%,30%,28%,21%,19%,27%,24%,19%,22%,17%,29%,25%,20%,26%,17%,23%,40%,2%,21%,36%,3%,24%,38%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,10%,11%,9%,24%,14%,6%,6%,10%,13%,12%,12%,10%,12%,13%,9%,14%,7%,12%,13%,10%,12%,9%,11%,13%,7%,19%,10%,6%,14%,10%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,46%,52%,41%,36%,43%,52%,47%,52%,14%,38%,52%,52%,33%,38%,51%,39%,60%,34%,31%,49%,36%,53%,42%,4%,89%,50%,6%,88%,46%,8%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,4%,3%,4%,7%,4%,2%,3%,2%,8%,4%,5%,2%,6%,4%,4%,3%,2%,5%,6%,2%,3%,5%,4%,5%,1%,10%,5%,<1%,4%,5%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,40%,33%,45%,33%,38%,40%,45%,36%,65%,46%,31%,36%,49%,45%,36%,44%,31%,49%,50%,39%,49%,33%,43%,78%,3%,21%,79%,5%,36%,77%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,57%,63%,50%,60%,57%,58%,53%,61%,27%,49%,64%,61%,45%,51%,60%,53%,67%,46%,44%,59%,48%,62%,53%,17%,95%,69%,16%,94%,60%,18%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
Donald Trump,Very favorable,31%,34%,29%,18%,26%,34%,37%,36%,5%,24%,34%,36%,20%,21%,37%,22%,46%,18%,20%,32%,26%,37%,27%,1%,64%,0%,3%,73%,18%,2%
Donald Trump,Somewhat favorable,17%,21%,14%,25%,19%,18%,12%,18%,10%,19%,15%,18%,15%,16%,18%,17%,19%,14%,15%,18%,14%,18%,18%,3%,31%,17%,5%,19%,27%,7%
Donald Trump,Somewhat unfavorable,6%,8%,5%,11%,8%,5%,4%,5%,8%,14%,8%,5%,10%,7%,6%,6%,4%,9%,10%,7%,7%,5%,7%,7%,3%,30%,5%,2%,11%,6%
Donald Trump,Very unfavorable,44%,35%,51%,44%,44%,42%,46%,40%,74%,39%,41%,40%,52%,54%,37%,54%,31%,56%,52%,41%,52%,39%,47%,87%,<1%,37%,86%,5%,43%,84%
Donald Trump,[VOL] Have not heard of,<.5%,<.5%,0%,0%,<1%,0%,0%,0%,0%,1%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<.5%
Donald Trump,[VOL] Don't know/Refused,2%,2%,1%,2%,2%,<1%,2%,1%,3%,2%,2%,1%,2%,1%,2%,<1%,1%,2%,3%,2%,2%,2%,2%,2%,<1%,15%,1%,<1%,2%,1%
Donald Trump,NET Favorable,48%,55%,42%,43%,46%,52%,49%,54%,15%,43%,49%,54%,35%,38%,55%,39%,64%,32%,35%,50%,40%,54%,44%,4%,95%,17%,8%,92%,45%,9%
Donald Trump,NET Unfavorable,50%,43%,56%,55%,52%,48%,50%,45%,82%,53%,49%,45%,62%,61%,43%,60%,34%,65%,62%,48%,58%,44%,54%,94%,4%,68%,91%,7%,54%,90%
Donald Trump,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
Kamala [COMMA-luh] Harris,Very favorable,29%,22%,37%,18%,23%,29%,39%,26%,59%,35%,18%,26%,39%,32%,28%,31%,22%,37%,41%,26%,32%,27%,33%,60%,<1%,5%,67%,3%,20%,60%
Kamala [COMMA-luh] Harris,Somewhat favorable,19%,18%,19%,34%,27%,16%,10%,17%,26%,25%,24%,17%,25%,24%,16%,23%,12%,26%,25%,18%,23%,16%,21%,35%,2%,19%,27%,3%,27%,30%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,8%,9%,6%,16%,10%,6%,4%,8%,5%,9%,12%,8%,8%,8%,8%,7%,8%,8%,9%,9%,8%,7%,8%,3%,10%,26%,3%,7%,13%,5%
Kamala [COMMA-luh] Harris,Very unfavorable,42%,49%,36%,29%,38%,47%,46%,49%,6%,28%,46%,49%,25%,35%,46%,38%,57%,28%,22%,45%,34%,49%,37%,<.5%,85%,36%,3%,87%,38%,5%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<.5%,0%,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,0%,0%,0%,0%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,2%,2%,1%,<1%,2%,1%,5%,3%,0%,1%,3%,2%,2%,1%,<1%,2%,3%,2%,2%,2%,1%,<1%,2%,14%,<1%,1%,2%,<1%
Kamala [COMMA-luh] Harris,NET Favorable,48%,40%,56%,52%,50%,45%,48%,42%,84%,60%,42%,42%,64%,56%,44%,54%,34%,63%,66%,45%,56%,43%,54%,95%,3%,24%,94%,5%,47%,90%
Kamala [COMMA-luh] Harris,NET Unfavorable,50%,58%,42%,46%,48%,54%,50%,57%,11%,38%,58%,57%,33%,43%,54%,45%,65%,36%,31%,53%,43%,55%,45%,4%,95%,62%,6%,93%,51%,9%
Kamala [COMMA-luh] Harris,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
What one issue is most important in deciding your vote this November for president?,[VOL] The economy (including jobs and the stock market),27%,31%,24%,19%,30%,32%,23%,29%,12%,28%,28%,29%,22%,26%,28%,27%,31%,23%,22%,25%,23%,29%,30%,12%,42%,29%,12%,41%,28%,14%
What one issue is most important in deciding your vote this November for president?,[VOL] Abortion,15%,6%,24%,25%,21%,13%,10%,15%,18%,14%,16%,15%,16%,21%,12%,19%,12%,24%,12%,16%,21%,12%,15%,29%,3%,4%,28%,4%,15%,26%
What one issue is most important in deciding your vote this November for president?,[VOL] Immigration,15%,17%,13%,11%,7%,16%,20%,17%,4%,12%,16%,17%,10%,13%,16%,13%,19%,11%,9%,16%,16%,15%,13%,2%,28%,12%,4%,29%,13%,4%
What one issue is most important in deciding your vote this November for president?,[VOL] The state of democracy/corruption,7%,8%,6%,<.5%,6%,8%,9%,7%,7%,4%,6%,7%,6%,11%,4%,12%,4%,9%,3%,6%,7%,4%,10%,13%,<1%,2%,13%,<1%,7%,14%
What one issue is most important in deciding your vote this November for president?,[VOL] Character/competence of candidate,6%,6%,6%,5%,4%,6%,9%,6%,10%,11%,2%,6%,8%,6%,7%,6%,5%,5%,10%,7%,5%,7%,5%,9%,4%,6%,10%,4%,6%,8%
What one issue is most important in deciding your vote this November for president?,[VOL] Dislike of opposing candidate,5%,6%,4%,2%,5%,5%,7%,5%,7%,4%,2%,5%,5%,3%,7%,4%,6%,2%,6%,5%,5%,7%,3%,8%,3%,4%,7%,3%,5%,8%
What one issue is most important in deciding your vote this November for president?,[VOL] Inflation and the cost of living,4%,4%,3%,6%,4%,2%,3%,4%,4%,3%,1%,4%,3%,2%,5%,2%,5%,2%,3%,5%,2%,4%,3%,2%,5%,7%,2%,5%,4%,2%
What one issue is most important in deciding your vote this November for president?,[VOL] Foreign policy,3%,3%,2%,4%,2%,3%,2%,3%,<.5%,1%,5%,3%,2%,3%,3%,2%,3%,3%,2%,3%,3%,2%,3%,2%,4%,3%,<1%,3%,3%,1%
What one issue is most important in deciding your vote this November for president?,[VOL] Equality/inequality,2%,2%,3%,2%,3%,2%,1%,2%,5%,1%,2%,2%,3%,2%,2%,3%,2%,1%,4%,2%,4%,2%,1%,4%,<1%,3%,4%,<1%,3%,4%
What one issue is most important in deciding your vote this November for president?,[VOL] Taxes,2%,2%,1%,4%,2%,<1%,<1%,1%,4%,<1%,2%,1%,2%,<.5%,2%,<1%,2%,<.5%,3%,2%,<1%,2%,<1%,1%,2%,2%,1%,2%,2%,<1%
What one issue is most important in deciding your vote this November for president?,[VOL] The Middle East/Israel/Palestinians,1%,1%,1%,2%,1%,2%,<.5%,1%,<.5%,<1%,5%,1%,2%,2%,<1%,2%,<1%,3%,1%,1%,2%,1%,1%,2%,<.5%,5%,1%,<.5%,2%,2%
What one issue is most important in deciding your vote this November for president?,[VOL] Climate change,1%,<1%,1%,2%,2%,<.5%,<1%,1%,<1%,<1%,0%,1%,<1%,2%,<.5%,3%,<1%,2%,0%,<1%,<1%,1%,2%,2%,0%,0%,3%,<.5%,<1%,2%
What one issue is most important in deciding your vote this November for president?,[VOL] Crime,1%,1%,<1%,0%,<1%,<1%,2%,1%,<.5%,2%,<1%,1%,1%,1%,<1%,1%,<1%,<.5%,1%,<.5%,1%,1%,2%,<.5%,2%,0%,<.5%,2%,1%,<.5%
What one issue is most important in deciding your vote this November for president?,[VOL] Health care,<1%,<1%,1%,3%,1%,<1%,<.5%,<1%,<1%,3%,<.5%,<1%,2%,<1%,<1%,<1%,<1%,2%,2%,1%,1%,<1%,<1%,1%,<.5%,1%,2%,<.5%,<1%,<1%
What one issue is most important in deciding your vote this November for president?,[VOL] Polarization/division,<1%,<1%,<1%,<1%,0%,<1%,<1%,<.5%,1%,<.5%,<1%,<.5%,<1%,<1%,<1%,<.5%,<1%,2%,<.5%,<1%,<1%,<1%,<.5%,1%,0%,0%,<1%,0%,<1%,<1%
What one issue is most important in deciding your vote this November for president?,[VOL] Gun policies,<1%,<1%,<.5%,2%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,3%,<.5%,1%,<.5%,<1%,<.5%,<1%,1%,<1%,<.5%,<1%,<1%,<1%,<.5%,<1%,2%,<.5%,<1%,<.5%,<.5%
What one issue is most important in deciding your vote this November for president?,[VOL] Education,<.5%,<.5%,<1%,1%,<1%,<.5%,<.5%,<.5%,2%,<.5%,0%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,1%,<1%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,0%,<1%,<.5%,<1%,<1%
What one issue is most important in deciding your vote this November for president?,[VOL] Racism/racial issues,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,2%,2%,0%,<.5%,1%,<.5%,<1%,<.5%,<.5%,<1%,2%,<.5%,<.5%,<.5%,1%,<1%,0%,<1%,1%,0%,<.5%,<1%
What one issue is most important in deciding your vote this November for president?,[VOL] Election integrity,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,2%,0%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,0%,<.5%,1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<.5%
What one issue is most important in deciding your vote this November for president?,[VOL] Russia/the war in Ukraine,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<1%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%
What one issue is most important in deciding your vote this November for president?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November for president?,[VOL] Student loans,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November for president?,"[VOL] Other, specify",4%,4%,5%,4%,5%,4%,4%,3%,11%,3%,7%,3%,7%,3%,5%,3%,4%,5%,9%,3%,5%,6%,4%,5%,3%,8%,5%,3%,4%,6%
What one issue is most important in deciding your vote this November for president?,[VOL] Don't know/Refused,3%,3%,3%,5%,3%,2%,3%,2%,6%,7%,3%,2%,6%,2%,4%,2%,3%,2%,7%,4%,2%,3%,4%,4%,2%,11%,5%,2%,3%,3%
What one issue is most important in deciding your vote this November for president?,Number of respondents,"2,097","1,013","1,061",371,447,701,510,"1,409",248,226,158,"1,409",632,"1,015","1,069",722,682,269,357,444,440,746,467,"1,056",947,94,677,617,673,940
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",46%,38%,54%,51%,47%,44%,48%,41%,80%,50%,43%,41%,59%,56%,40%,54%,32%,62%,58%,43%,53%,41%,52%,94%,<1%,17%,91%,4%,45%,88%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",49%,56%,43%,45%,47%,52%,49%,55%,10%,45%,52%,55%,34%,40%,54%,43%,64%,33%,34%,50%,42%,55%,44%,2%,97%,33%,6%,94%,47%,7%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,2%,3%,1%,2%,3%,2%,<1%,2%,3%,1%,3%,2%,2%,2%,2%,3%,2%,2%,2%,3%,3%,2%,2%,1%,1%,26%,<1%,1%,4%,2%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<.5%,<.5%,<.5%,<.5%,0%,<1%,<.5%,<.5%,0%,0%,1%,<.5%,<.5%,<.5%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,2%,<.5%,<.5%,<.5%,<.5%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,2%,3%,2%,1%,3%,1%,3%,1%,7%,4%,1%,1%,4%,1%,3%,<1%,2%,3%,5%,4%,2%,2%,1%,2%,<.5%,21%,1%,<.5%,3%,2%
Which candidate do you think would do a better job of handling the issue you think is most important?,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares
(Ask only split A)  The economy,Kamala Harris,45%,37%,53%,47%,42%,45%,48%,40%,79%,46%,42%,40%,57%,53%,41%,52%,32%,53%,61%,45%,53%,39%,48%,92%,<1%,19%,89%,6%,42%,87%
(Ask only split A)  The economy,Donald Trump,52%,59%,45%,50%,55%,53%,50%,58%,15%,51%,51%,58%,37%,44%,56%,45%,68%,42%,34%,52%,42%,58%,50%,6%,99%,42%,10%,93%,54%,11%
(Ask only split A)  The economy,[VOL] Don’t know/Refused,3%,4%,2%,3%,3%,3%,2%,2%,6%,3%,7%,2%,5%,3%,3%,2%,<1%,5%,6%,3%,5%,3%,2%,2%,<.5%,39%,1%,<1%,5%,2%
(Ask only split A)  The economy,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
(Ask only split A)  Abortion,Kamala Harris,55%,48%,61%,73%,55%,53%,50%,50%,81%,66%,57%,50%,69%,63%,50%,63%,41%,66%,71%,56%,64%,47%,60%,97%,13%,48%,96%,14%,56%,93%
(Ask only split A)  Abortion,Donald Trump,40%,44%,36%,26%,39%,41%,44%,46%,14%,26%,35%,46%,24%,32%,44%,33%,56%,28%,21%,38%,31%,48%,36%,2%,80%,15%,3%,80%,36%,5%
(Ask only split A)  Abortion,[VOL] Don’t know/Refused,5%,8%,3%,<1%,6%,5%,6%,4%,5%,8%,9%,4%,7%,5%,5%,4%,3%,5%,8%,5%,6%,5%,5%,1%,7%,37%,<1%,5%,8%,2%
(Ask only split A)  Abortion,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares,MARGIN Harris +16 Calculated using candidates’ unrounded vote shares
(Ask only split B)  Immigration,Kamala Harris,43%,34%,50%,49%,44%,38%,46%,38%,72%,52%,40%,38%,56%,50%,38%,49%,30%,55%,57%,39%,45%,39%,49%,86%,1%,21%,87%,2%,40%,82%
(Ask only split B)  Immigration,Donald Trump,54%,63%,47%,48%,50%,58%,53%,59%,21%,46%,59%,59%,40%,45%,60%,47%,67%,41%,39%,58%,51%,58%,48%,10%,98%,58%,11%,97%,54%,13%
(Ask only split B)  Immigration,[VOL] Don’t know/Refused,3%,3%,3%,3%,6%,3%,1%,3%,7%,2%,1%,3%,4%,5%,3%,5%,2%,4%,3%,3%,4%,3%,3%,5%,<.5%,21%,2%,<1%,6%,4%
(Ask only split B)  Immigration,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares
Democracy,Kamala Harris,51%,44%,57%,60%,55%,46%,50%,45%,86%,63%,47%,45%,67%,60%,45%,58%,36%,67%,68%,47%,59%,46%,57%,97%,6%,45%,96%,8%,53%,93%
Democracy,Donald Trump,45%,51%,39%,35%,41%,50%,46%,52%,7%,32%,48%,52%,27%,36%,50%,38%,61%,30%,25%,49%,36%,50%,40%,1%,91%,18%,4%,89%,40%,4%
Democracy,[VOL] Don’t know/Refused,4%,5%,3%,5%,5%,4%,4%,3%,7%,5%,5%,3%,6%,4%,5%,4%,3%,3%,7%,5%,5%,4%,4%,2%,4%,37%,<1%,3%,7%,2%
