itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Democratic primary voter)  What comes closer to how you would feel if Joe Biden were the Democratic nominee for president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Democratic primary voter)  What comes closer to how you would feel if Joe Biden were the Democratic nominee for president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Democratic primary voter)  What comes closer to how you would feel if Joe Biden were the Democratic nominee for president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Enthusiastic,23%,20%,25%,6%,5%,36%,32%,23%,27%,18%,16%,18%,27%,21%,26%,13%,28%,16%,14%,27%,28%,19%,20%,32%,24%,7%,0%,28%,0%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Satisfied, but not enthusiastic",43%,45%,42%,52%,43%,37%,41%,43%,33%,54%,41%,46%,40%,44%,41%,47%,38%,44%,44%,35%,50%,44%,43%,41%,46%,14%,0%,43%,17%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Dissatisfied, but not upset",26%,27%,25%,31%,42%,23%,18%,29%,28%,17%,24%,29%,24%,30%,28%,29%,21%,26%,38%,34%,10%,31%,28%,17%,25%,47%,26%,23%,83%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Angry,6%,7%,6%,11%,10%,4%,4%,5%,5%,8%,19%,7%,6%,5%,5%,12%,6%,15%,5%,<1%,10%,3%,9%,4%,3%,33%,56%,4%,0%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,1%,2%,0%,0%,0%,5%,0%,7%,3%,0%,0%,4%,0%,0%,0%,7%,0%,0%,4%,2%,2%,0%,6%,2%,0%,19%,2%,0%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,224,88,133,41,50,73,52,128,44,33,17,126,98,81,47,44,50,36,56,67,65,63,108,53,201,17,6,170,3,46
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,39%,60%,18%,20%,29%,30%,56%,22%,15%,7%,46%,54%,29%,27%,16%,27%,15%,21%,34%,30%,26%,49%,24%,91%,7%,3%,75%,2%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Republican primary voter)  What comes closer to how you would feel if Donald Trump were the Republican nominee for president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Republican primary voter)  What comes closer to how you would feel if Donald Trump were the Republican nominee for president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(If Republican primary voter)  What comes closer to how you would feel if Donald Trump were the Republican nominee for president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Enthusiastic,48%,51%,45%,35%,46%,55%,46%,49%,39%,52%,39%,41%,52%,36%,55%,58%,38%,48%,44%,53%,43%,54%,41%,52%,0%,56%,3%,30%,54%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Satisfied, but not enthusiastic",32%,28%,35%,44%,32%,32%,29%,30%,37%,36%,35%,25%,35%,23%,34%,31%,39%,37%,38%,24%,35%,31%,35%,30%,0%,36%,5%,19%,33%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Dissatisfied, but not upset",9%,8%,11%,19%,11%,5%,8%,8%,20%,11%,18%,12%,8%,14%,6%,6%,20%,7%,10%,13%,5%,6%,7%,12%,30%,6%,23%,23%,6%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Angry,9%,9%,8%,0%,11%,8%,12%,10%,5%,0%,8%,22%,2%,27%,2%,5%,2%,8%,8%,6%,14%,10%,14%,4%,70%,<1%,33%,28%,5%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,4%,<1%,2%,0%,0%,5%,3%,0%,0%,0%,0%,3%,0%,4%,0%,0%,0%,0%,4%,2%,0%,3%,2%,0%,<1%,36%,0%,3%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,292,155,134,30,59,115,71,220,15,32,17,120,170,91,128,26,38,62,44,119,67,47,108,137,28,250,14,13,181,79
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,51%,49%,11%,20%,37%,27%,78%,4%,10%,5%,33%,67%,25%,53%,7%,12%,22%,16%,41%,21%,14%,38%,48%,9%,86%,4%,4%,62%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of who you support, who do you think will win the 2024 presidential election?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of who you support, who do you think will win the 2024 presidential election?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Regardless of who you support, who do you think will win the 2024 presidential election?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden,39%,42%,35%,47%,36%,36%,40%,38%,41%,39%,34%,51%,31%,57%,27%,39%,38%,32%,42%,34%,48%,42%,44%,30%,74%,11%,19%,69%,13%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump,48%,47%,48%,44%,48%,55%,41%,49%,38%,52%,47%,36%,55%,33%,59%,43%,49%,51%,45%,52%,41%,45%,44%,55%,14%,81%,36%,19%,77%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,14%,10%,16%,9%,15%,9%,19%,13%,21%,9%,19%,13%,14%,10%,14%,19%,13%,17%,12%,14%,11%,13%,12%,15%,12%,8%,45%,12%,11%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you approve or disapprove of the way Joe Biden is handling his job as president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,17%,18%,17%,8%,7%,20%,29%,18%,22%,13%,12%,21%,15%,23%,15%,17%,16%,15%,20%,13%,22%,18%,19%,14%,39%,1%,0%,39%,2%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,19%,18%,20%,21%,28%,10%,21%,17%,29%,18%,19%,25%,15%,24%,13%,26%,18%,17%,18%,21%,18%,25%,21%,13%,36%,3%,21%,34%,9%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,14%,15%,14%,24%,19%,11%,6%,11%,18%,20%,29%,11%,16%,11%,11%,12%,27%,14%,17%,12%,14%,21%,13%,11%,16%,11%,21%,13%,8%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,47%,47%,46%,43%,42%,56%,44%,51%,27%,47%,37%,39%,51%,39%,58%,39%,38%,49%,40%,50%,45%,35%,43%,58%,7%,83%,44%,12%,79%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,2%,4%,5%,4%,2%,<1%,3%,5%,2%,3%,4%,3%,3%,4%,6%,1%,6%,4%,3%,0%,1%,4%,4%,3%,1%,14%,2%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,36%,36%,36%,29%,35%,30%,50%,35%,51%,31%,31%,46%,30%,47%,27%,43%,34%,32%,39%,34%,40%,43%,40%,27%,74%,5%,21%,73%,10%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,61%,62%,59%,67%,61%,67%,49%,62%,45%,67%,66%,51%,67%,50%,69%,51%,65%,62%,57%,63%,60%,56%,56%,69%,22%,94%,65%,25%,88%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,22%,23%,22%,10%,21%,26%,25%,26%,12%,15%,17%,13%,28%,14%,33%,12%,16%,21%,19%,26%,21%,18%,17%,31%,<1%,45%,6%,3%,51%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,21%,23%,19%,25%,27%,23%,11%,19%,14%,31%,27%,16%,25%,15%,22%,18%,28%,24%,19%,21%,21%,17%,20%,25%,4%,38%,13%,6%,32%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,11%,11%,12%,17%,13%,9%,10%,10%,17%,13%,16%,10%,12%,10%,10%,11%,16%,10%,11%,13%,10%,13%,12%,10%,9%,12%,21%,8%,7%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,43%,41%,44%,47%,36%,41%,51%,44%,49%,38%,38%,59%,33%,61%,33%,55%,35%,42%,50%,35%,48%,48%,49%,32%,85%,5%,44%,80%,10%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,2%,2%,3%,<1%,3%,1%,9%,4%,1%,2%,3%,<1%,1%,5%,5%,2%,1%,4%,<1%,3%,2%,3%,2%,<.5%,16%,3%,0%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,44%,46%,41%,35%,48%,49%,36%,45%,25%,46%,44%,29%,52%,28%,55%,29%,44%,45%,38%,47%,42%,36%,37%,56%,5%,83%,19%,9%,83%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,54%,52%,57%,64%,49%,50%,60%,53%,66%,51%,55%,69%,45%,71%,43%,66%,51%,52%,61%,48%,58%,61%,61%,41%,93%,16%,65%,88%,17%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,14%,13%,15%,2%,5%,18%,26%,14%,23%,11%,9%,16%,13%,18%,12%,12%,15%,14%,15%,12%,17%,14%,15%,13%,32%,1%,0%,36%,0%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,24%,25%,23%,29%,34%,17%,24%,22%,33%,20%,37%,34%,18%,33%,15%,35%,24%,23%,28%,21%,25%,34%,27%,14%,46%,6%,17%,41%,11%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,17%,17%,15%,35%,20%,14%,4%,13%,24%,28%,21%,13%,19%,11%,14%,19%,29%,14%,17%,18%,17%,20%,18%,13%,16%,14%,30%,14%,12%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,42%,43%,42%,32%,37%,51%,41%,48%,15%,39%,31%,36%,46%,38%,54%,30%,29%,43%,38%,45%,41%,31%,37%,55%,5%,77%,33%,8%,76%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,2%,4%,3%,4%,<.5%,5%,3%,6%,2%,1%,1%,4%,<.5%,5%,4%,3%,6%,2%,4%,<1%,<1%,3%,5%,2%,1%,20%,1%,1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,38%,38%,38%,30%,39%,35%,50%,36%,56%,31%,47%,50%,31%,51%,26%,47%,39%,37%,43%,33%,42%,48%,42%,27%,78%,7%,17%,77%,11%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,59%,60%,57%,67%,57%,65%,46%,61%,39%,67%,52%,49%,65%,49%,68%,49%,58%,57%,55%,62%,57%,51%,55%,68%,21%,92%,63%,21%,88%,64%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very favorable,12%,10%,15%,3%,8%,16%,18%,12%,22%,7%,14%,12%,13%,11%,13%,14%,13%,12%,13%,10%,15%,13%,11%,13%,28%,<.5%,3%,32%,0%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat favorable,24%,24%,25%,36%,26%,19%,24%,20%,37%,29%,30%,33%,19%,32%,13%,35%,31%,20%,27%,22%,28%,34%,28%,14%,45%,7%,15%,48%,4%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat unfavorable,17%,20%,14%,32%,18%,15%,8%,16%,14%,20%,18%,17%,17%,18%,15%,14%,20%,19%,19%,16%,15%,15%,17%,18%,16%,16%,29%,9%,15%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very unfavorable,38%,39%,35%,21%,37%,44%,40%,43%,16%,36%,27%,31%,41%,32%,49%,29%,25%,38%,32%,40%,38%,30%,33%,48%,4%,69%,29%,5%,72%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Have not heard of,2%,1%,3%,2%,3%,1%,2%,2%,2%,4%,1%,<.5%,3%,<.5%,2%,<1%,4%,3%,<1%,3%,<.5%,2%,3%,<.5%,1%,3%,0%,3%,3%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,7%,5%,9%,7%,7%,4%,9%,7%,8%,4%,10%,7%,7%,7%,8%,7%,6%,7%,9%,9%,3%,5%,7%,8%,5%,5%,24%,3%,6%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Favorable,36%,34%,39%,39%,34%,35%,41%,32%,59%,36%,44%,45%,32%,43%,26%,49%,44%,32%,39%,33%,43%,47%,39%,27%,73%,7%,17%,80%,4%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Unfavorable,55%,60%,49%,53%,55%,59%,48%,59%,31%,56%,45%,48%,58%,50%,64%,43%,45%,58%,51%,56%,53%,45%,50%,65%,20%,85%,59%,14%,87%,60%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the upcoming presidential election this November, what is ONE word that describes how you feel about it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the upcoming presidential election this November, what is ONE word that describes how you feel about it?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking about the upcoming presidential election this November, what is ONE word that describes how you feel about it?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Happy/excited/hopeful,14%,12%,16%,8%,11%,17%,18%,13%,15%,15%,18%,11%,16%,8%,16%,14%,16%,14%,9%,16%,16%,6%,16%,17%,10%,20%,4%,13%,23%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Angry/disappointed/resigned,32%,36%,29%,36%,31%,34%,30%,34%,29%,29%,37%,38%,30%,41%,29%,31%,31%,30%,41%,26%,36%,30%,35%,31%,34%,29%,44%,27%,24%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Scared/apprehensive,30%,26%,34%,27%,28%,30%,33%,33%,20%,29%,18%,32%,28%,34%,33%,30%,20%,30%,32%,30%,27%,33%,27%,31%,34%,30%,12%,36%,31%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Confused/unsure/uncertain,11%,11%,11%,14%,11%,8%,11%,11%,14%,10%,7%,8%,12%,9%,12%,7%,13%,12%,8%,13%,9%,10%,11%,11%,11%,10%,13%,9%,12%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Neutral,5%,6%,5%,10%,11%,2%,1%,4%,10%,8%,4%,3%,7%,2%,5%,7%,9%,6%,4%,8%,3%,9%,5%,4%,7%,4%,8%,9%,3%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Other (specify),5%,6%,4%,2%,6%,6%,4%,4%,7%,4%,10%,6%,4%,5%,3%,8%,6%,5%,5%,4%,7%,8%,5%,4%,4%,4%,11%,5%,5%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,2%,3%,1%,3%,2%,1%,6%,4%,6%,1%,3%,<1%,2%,3%,6%,4%,2%,3%,2%,5%,1%,2%,1%,3%,8%,2%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
