itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Previous question, classified by sentiment) Thinking back to when Donald Trump was president, what one thing do you remember most about Donald Trump’s presidency?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Previous question, classified by sentiment) Thinking back to when Donald Trump was president, what one thing do you remember most about Donald Trump’s presidency?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Previous question, classified by sentiment) Thinking back to when Donald Trump was president, what one thing do you remember most about Donald Trump’s presidency?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Positive sentiment,35%,45%,26%,29%,32%,39%,30%,39%,7%,33%,20%,26%,41%,28%,47%,20%,21%,38%,30%,35%,36%,26%,30%,46%,4%,66%,33%,6%,62%,39%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Negative sentiment,36%,27%,44%,29%,37%,38%,40%,36%,41%,33%,42%,47%,29%,50%,26%,43%,36%,39%,43%,28%,37%,43%,40%,26%,67%,5%,36%,66%,7%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Neither positive nor negative sentiment,25%,25%,25%,36%,27%,22%,22%,23%,34%,25%,34%,25%,24%,22%,24%,34%,28%,21%,25%,29%,22%,26%,25%,25%,24%,26%,21%,22%,27%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Other (specify),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,4%,3%,6%,6%,4%,1%,8%,2%,17%,8%,4%,2%,6%,1%,3%,3%,15%,2%,2%,7%,5%,6%,5%,4%,5%,3%,11%,6%,4%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you generally remember the years that Donald Trump was president as mostly good years for America, mostly bad years for America, or not really good or bad?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you generally remember the years that Donald Trump was president as mostly good years for America, mostly bad years for America, or not really good or bad?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you generally remember the years that Donald Trump was president as mostly good years for America, mostly bad years for America, or not really good or bad?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Mostly good for America,43%,54%,34%,32%,41%,47%,44%,50%,10%,38%,23%,34%,50%,37%,59%,24%,24%,46%,34%,49%,41%,32%,39%,56%,4%,85%,28%,6%,84%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Mostly bad for America,35%,29%,40%,39%,37%,35%,34%,32%,48%,36%,55%,49%,26%,48%,21%,55%,41%,35%,46%,25%,41%,45%,39%,24%,71%,2%,19%,68%,3%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not really good or bad,20%,16%,23%,28%,22%,16%,20%,17%,42%,23%,20%,16%,22%,14%,19%,21%,32%,16%,20%,24%,18%,20%,21%,18%,23%,13%,39%,26%,13%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,<1%,3%,1%,<.5%,2%,2%,1%,<1%,2%,2%,<1%,2%,<.5%,2%,0%,3%,3%,<1%,3%,<.5%,2%,2%,1%,<1%,<1%,15%,<1%,<1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think the years that Joe Biden has been president have been mostly good years for America, mostly bad years for America, or not really good or bad?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think the years that Joe Biden has been president have been mostly good years for America, mostly bad years for America, or not really good or bad?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you think the years that Joe Biden has been president have been mostly good years for America, mostly bad years for America, or not really good or bad?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Mostly good for America,27%,24%,31%,11%,21%,30%,40%,26%,43%,21%,37%,36%,22%,37%,19%,36%,31%,26%,33%,22%,31%,34%,32%,18%,56%,2%,7%,57%,3%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Mostly bad for America,46%,55%,38%,40%,44%,50%,44%,53%,17%,38%,25%,37%,52%,41%,61%,26%,28%,47%,36%,53%,45%,36%,41%,59%,6%,86%,44%,8%,86%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not really good or bad,25%,19%,30%,49%,34%,20%,15%,21%,40%,39%,36%,27%,24%,22%,20%,38%,38%,26%,31%,22%,24%,28%,25%,23%,36%,12%,40%,34%,11%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,1%,<1%,1%,0%,<1%,<1%,<1%,<.5%,1%,2%,3%,<.5%,1%,<.5%,<.5%,<1%,3%,<.5%,0%,3%,0%,2%,1%,0%,<1%,<.5%,10%,<1%,0%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump left the country better off or worse off than when he took office?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump left the country better off or worse off than when he took office?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump left the country better off or worse off than when he took office?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Better off,48%,57%,39%,40%,43%,51%,47%,54%,17%,40%,32%,36%,55%,38%,64%,29%,30%,50%,39%,52%,45%,34%,43%,62%,5%,92%,36%,9%,88%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Worse off,47%,37%,55%,55%,48%,46%,47%,42%,76%,48%,64%,59%,39%,58%,31%,64%,60%,46%,57%,38%,50%,59%,50%,35%,90%,6%,35%,86%,9%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] The same,3%,2%,3%,3%,6%,<1%,3%,3%,1%,4%,3%,2%,4%,2%,4%,2%,3%,2%,1%,5%,1%,2%,3%,3%,2%,2%,11%,3%,3%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,3%,3%,2%,3%,2%,3%,2%,6%,8%,1%,3%,3%,3%,1%,5%,6%,1%,2%,4%,3%,4%,4%,1%,3%,<1%,17%,3%,<.5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:,Tell me whether you approve or disapprove of the way Donald Trump handled each of the following issues when he was president:
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The economy,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,45%,57%,34%,33%,47%,50%,42%,51%,12%,45%,23%,32%,54%,33%,64%,23%,27%,36%,38%,54%,46%,31%,41%,61%,4%,84%,29%,9%,85%,48%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,17%,15%,19%,32%,19%,14%,12%,14%,31%,33%,15%,17%,17%,16%,12%,21%,28%,13%,17%,18%,19%,16%,20%,14%,20%,12%,36%,16%,13%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,14%,11%,16%,20%,13%,11%,16%,14%,10%,11%,28%,20%,9%,20%,9%,23%,11%,20%,23%,5%,14%,19%,15%,9%,28%,1%,12%,25%,<.5%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,22%,17%,26%,14%,20%,22%,28%,19%,47%,8%,33%,30%,17%,28%,12%,33%,31%,27%,21%,21%,20%,33%,22%,14%,44%,2%,20%,45%,0%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,<1%,4%,1%,1%,2%,3%,2%,0%,3%,2%,2%,2%,3%,2%,0%,3%,5%,<.5%,3%,<1%,1%,3%,2%,4%,<.5%,3%,4%,1%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,62%,71%,54%,65%,66%,64%,54%,65%,43%,78%,37%,48%,71%,49%,77%,44%,56%,49%,56%,72%,65%,47%,60%,75%,24%,97%,65%,25%,99%,66%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,36%,28%,43%,34%,33%,33%,43%,33%,57%,19%,60%,50%,26%,48%,21%,56%,42%,46%,44%,25%,34%,52%,37%,23%,72%,3%,32%,70%,<.5%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,20%,33%,27%,67%,11%,8%,9%,42%,56%,29%,37%,11%,17%,22%,19%,34%,26%,24%,42%,34%,45%,50%,6%,34%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The coronavirus pandemic,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,18%,18%,17%,9%,12%,21%,17%,19%,11%,16%,17%,12%,22%,14%,22%,4%,22%,25%,20%,16%,12%,13%,16%,23%,2%,37%,11%,3%,37%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,23%,27%,21%,23%,31%,23%,21%,27%,15%,12%,23%,21%,25%,23%,29%,17%,15%,22%,21%,28%,20%,22%,24%,23%,8%,39%,33%,7%,39%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,17%,13%,21%,23%,21%,14%,18%,15%,14%,26%,26%,18%,17%,18%,13%,19%,25%,12%,15%,18%,23%,15%,21%,14%,21%,12%,24%,21%,11%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,36%,37%,36%,42%,35%,39%,37%,33%,60%,45%,34%,46%,30%,42%,27%,60%,38%,31%,43%,34%,40%,48%,35%,31%,68%,6%,14%,66%,7%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,5%,5%,3%,2%,4%,7%,7%,0%,0%,0%,3%,6%,4%,9%,0%,0%,11%,1%,4%,4%,2%,4%,9%,2%,6%,19%,2%,6%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,41%,45%,38%,32%,43%,44%,38%,46%,26%,28%,40%,33%,47%,37%,51%,21%,37%,47%,41%,44%,32%,35%,40%,46%,10%,75%,43%,10%,76%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,54%,50%,57%,65%,56%,52%,55%,47%,74%,72%,60%,64%,47%,59%,40%,79%,63%,42%,57%,52%,64%,63%,56%,45%,88%,19%,38%,87%,18%,58%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,44%,55%,11%,23%,33%,29%,71%,8%,12%,6%,38%,61%,26%,44%,10%,16%,21%,21%,35%,22%,21%,43%,36%,48%,44%,8%,33%,29%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Maintaining law and order,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,30%,41%,20%,17%,24%,32%,36%,35%,8%,27%,17%,20%,36%,23%,43%,13%,19%,24%,24%,38%,30%,19%,28%,42%,<1%,57%,26%,4%,70%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,21%,23%,20%,25%,29%,21%,14%,21%,14%,36%,13%,18%,24%,17%,25%,23%,19%,18%,23%,20%,24%,18%,22%,23%,8%,34%,17%,8%,27%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,13%,7%,19%,20%,17%,13%,10%,13%,10%,17%,23%,14%,12%,13%,12%,15%,14%,20%,17%,9%,11%,9%,16%,13%,22%,5%,20%,21%,0%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,34%,28%,39%,36%,29%,32%,40%,30%,66%,16%,45%,45%,26%,45%,20%,48%,45%,36%,34%,31%,34%,52%,35%,19%,68%,3%,32%,65%,3%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,1%,2%,1%,2%,<.5%,3%,0%,1%,1%,4%,2%,2%,<1%,2%,<.5%,1%,2%,2%,2%,1%,<1%,1%,<.5%,3%,1%,1%,5%,2%,0%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,52%,64%,40%,43%,54%,52%,50%,56%,23%,63%,30%,39%,61%,39%,68%,36%,39%,42%,47%,58%,54%,37%,50%,65%,9%,91%,42%,12%,97%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,47%,35%,59%,56%,46%,45%,50%,43%,76%,33%,69%,59%,39%,58%,32%,63%,59%,56%,51%,40%,45%,62%,50%,32%,90%,8%,52%,86%,3%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,455,223,225,84,110,151,88,305,51,46,38,228,222,158,145,64,70,92,88,169,106,117,187,151,203,221,31,149,107,155
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,20%,33%,27%,67%,11%,8%,9%,42%,56%,29%,37%,11%,17%,22%,19%,34%,26%,24%,42%,34%,45%,50%,6%,34%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Unifying America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Unifying America,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Unifying America,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly approve,20%,21%,18%,19%,19%,16%,23%,22%,9%,15%,20%,14%,24%,15%,26%,8%,19%,35%,14%,19%,13%,16%,18%,24%,2%,40%,21%,4%,35%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat approve,16%,20%,13%,14%,16%,22%,12%,19%,5%,13%,15%,13%,18%,16%,21%,10%,12%,20%,13%,14%,19%,12%,12%,24%,1%,34%,11%,2%,31%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disapprove,14%,11%,17%,21%,17%,10%,15%,12%,20%,18%,15%,11%,16%,10%,13%,14%,19%,14%,11%,15%,14%,13%,17%,11%,12%,14%,26%,12%,13%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disapprove,44%,42%,46%,43%,44%,48%,43%,40%,66%,53%,48%,59%,36%,55%,31%,69%,49%,30%,57%,42%,50%,57%,48%,32%,84%,6%,18%,79%,11%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,6%,5%,2%,4%,5%,6%,7%,0%,1%,2%,4%,7%,4%,9%,0%,2%,1%,5%,10%,4%,2%,5%,9%,2%,7%,25%,2%,10%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Approve,36%,41%,32%,33%,35%,38%,36%,41%,14%,28%,35%,27%,42%,31%,47%,18%,31%,55%,27%,33%,32%,28%,30%,48%,3%,73%,31%,7%,66%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disapprove,58%,53%,63%,64%,61%,58%,58%,52%,86%,71%,63%,69%,51%,65%,44%,82%,67%,44%,68%,57%,64%,69%,65%,44%,96%,20%,44%,91%,24%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,44%,55%,11%,23%,33%,29%,71%,8%,12%,6%,38%,61%,26%,44%,10%,16%,21%,21%,35%,22%,21%,43%,36%,48%,44%,8%,33%,29%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The Supreme Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The Supreme Court,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
