itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
Would you consider yourself:,American Indian or Alaska Native,<.5%,<.5%,<.5%,0%,0%,<1%,<.5%,0%,0%,5%,<1%,<.5%,0%,0%,4%,1%,1%,<1%,0%,0%,0%,1%,0%,<1%,0%,<1%,<.5%,<1%,<.5%,<.5%
Would you consider yourself:,Middle Eastern or North African,<.5%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,1%,<.5%,0%,0%,0%,1%,0%,0%,0%,0%,<1%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,0%
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,<1%,0%,<1%,0%,1%,0%,0%,0%,6%,0%,<1%,0%,0%,0%,4%,0%,1%,1%,0%,0%,<1%,0%,0%,<.5%,1%,<.5%,<.5%,3%,<.5%
Would you consider yourself:,[VOL] Some other race (specify),<1%,<1%,<1%,2%,<.5%,1%,<.5%,<.5%,0%,6%,<1%,<1%,<.5%,<.5%,4%,<1%,<1%,0%,2%,0%,0%,1%,<1%,<.5%,1%,<.5%,<.5%,1%,1%,<.5%
Would you consider yourself:,[VOL] More than one race,1%,2%,1%,7%,1%,<.5%,<1%,0%,0%,20%,<1%,2%,0%,0%,4%,11%,2%,1%,1%,3%,<1%,2%,0%,2%,2%,<1%,1%,1%,3%,<1%
Would you consider yourself:,[VOL] Refused,2%,3%,<1%,1%,3%,1%,3%,0%,0%,0%,3%,2%,0%,0%,0%,0%,2%,2%,5%,<1%,4%,1%,0%,1%,3%,2%,1%,3%,5%,<1%
Would you consider yourself:,Number of respondents,872,453,410,121,193,288,254,688,96,63,424,435,338,339,73,85,92,117,149,98,193,114,109,166,417,289,412,395,65,354
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,38%,28%,46%,35%,37%,32%,44%,34%,73%,37%,42%,35%,39%,30%,59%,58%,40%,25%,33%,68%,41%,30%,34%,58%,35%,32%,74%,6%,14%,78%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,36%,42%,31%,24%,32%,40%,39%,41%,7%,20%,28%,41%,31%,48%,10%,13%,24%,58%,37%,9%,31%,43%,43%,11%,33%,51%,4%,68%,19%,2%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,22%,27%,18%,32%,27%,22%,16%,23%,14%,26%,27%,19%,27%,20%,23%,16%,34%,15%,28%,16%,23%,22%,16%,22%,27%,15%,19%,23%,42%,18%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,2%,1%,2%,5%,3%,2%,<.5%,2%,<1%,5%,2%,2%,2%,1%,2%,3%,2%,<1%,<.5%,2%,2%,5%,3%,3%,2%,<1%,2%,2%,5%,1%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,2%,2%,3%,4%,2%,4%,<1%,1%,5%,13%,1%,3%,<1%,1%,5%,10%,<1%,1%,2%,5%,4%,<.5%,4%,5%,2%,<1%,<1%,1%,20%,<1%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,42%,46%,38%,22%,36%,47%,48%,48%,8%,17%,32%,49%,35%,56%,11%,12%,32%,60%,43%,12%,35%,51%,56%,17%,40%,56%,2%,83%,15%,2%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,47%,40%,55%,44%,51%,44%,49%,44%,85%,43%,59%,40%,57%,35%,78%,62%,59%,33%,44%,80%,54%,40%,30%,74%,48%,35%,92%,7%,41%,95%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,8%,10%,7%,31%,11%,6%,<1%,7%,5%,34%,5%,10%,4%,9%,10%,20%,6%,5%,11%,7%,9%,9%,9%,7%,10%,6%,5%,9%,24%,3%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,<1%,2%,<.5%,3%,<1%,1%,<.5%,1%,0%,0%,2%,<.5%,2%,<1%,0%,0%,<.5%,1%,1%,0%,2%,0%,1%,<.5%,1%,<1%,<.5%,<.5%,8%,<.5%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,2%,<.5%,0%,<1%,2%,2%,<1%,2%,6%,2%,<1%,1%,<.5%,<.5%,5%,3%,<1%,<1%,<.5%,<.5%,0%,4%,3%,<1%,<1%,<.5%,<.5%,13%,0%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,46%,52%,41%,32%,41%,50%,49%,51%,9%,26%,34%,54%,37%,61%,12%,15%,34%,63%,49%,13%,39%,56%,62%,18%,44%,60%,2%,92%,19%,2%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,52%,44%,59%,64%,58%,47%,49%,47%,89%,66%,63%,44%,60%,38%,87%,78%,63%,35%,49%,87%,59%,44%,33%,79%,53%,38%,97%,7%,53%,98%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,1%,2%,<.5%,4%,<1%,1%,<.5%,1%,0%,0%,2%,<1%,2%,<1%,0%,0%,<.5%,1%,2%,0%,2%,0%,1%,<.5%,1%,<1%,<.5%,<1%,11%,<.5%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,3%,<.5%,0%,<1%,2%,2%,<1%,2%,8%,2%,1%,1%,<.5%,<1%,6%,3%,<1%,<1%,<.5%,<.5%,0%,4%,3%,1%,<1%,<.5%,<.5%,16%,0%
"(Excluding “I did not vote”) Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,696,349,341,72,149,241,223,563,82,33,358,330,289,267,58,57,77,88,114,82,157,88,90,131,335,230,352,309,35,316
(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,Some chance,3%,3%,3%,4%,5%,3%,<.5%,2%,3%,12%,5%,1%,4%,<1%,10%,4%,5%,2%,2%,<1%,2%,4%,2%,2%,3%,3%,0%,3%,18%,0%
(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,Not really any chance,51%,58%,43%,39%,49%,55%,51%,56%,12%,36%,39%,58%,42%,66%,21%,22%,37%,69%,58%,21%,42%,54%,64%,25%,49%,64%,0%,96%,62%,0%
(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,[VOL] Don't know/Refused,2%,2%,1%,2%,2%,2%,1%,1%,3%,6%,1%,2%,1%,1%,<.5%,6%,4%,0%,0%,<.5%,2%,1%,5%,3%,3%,<.5%,0%,<1%,20%,0%
(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,[PREVIOUSLY] Joe Biden,45%,37%,52%,56%,43%,40%,47%,41%,83%,47%,55%,39%,53%,33%,69%,68%,53%,29%,40%,77%,53%,41%,29%,70%,46%,34%,100%,0%,0%,100%
(If not supporting Biden) Would you say there’s some chance you will support Joe Biden or not really any chance?,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,Some chance,3%,3%,3%,6%,5%,3%,1%,2%,5%,7%,4%,2%,4%,<1%,6%,6%,4%,2%,2%,3%,4%,1%,3%,4%,2%,3%,4%,0%,19%,3%
(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,Not really any chance,47%,39%,54%,54%,48%,43%,48%,43%,81%,50%,58%,40%,56%,34%,73%,67%,55%,26%,45%,76%,52%,45%,34%,70%,49%,34%,94%,0%,64%,94%
(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,[VOL] Don't know/Refused,2%,2%,3%,1%,1%,2%,3%,2%,3%,6%,2%,3%,2%,2%,0%,6%,5%,3%,0%,0%,3%,2%,3%,2%,3%,2%,3%,0%,17%,2%
(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,[PREVIOUSLY] Donald Trump,48%,55%,41%,39%,47%,53%,48%,53%,11%,37%,36%,56%,39%,63%,21%,21%,37%,69%,53%,21%,40%,51%,60%,24%,46%,62%,0%,100%,0%,0%
(If not supporting Trump)  Would you say there’s some chance you will support Donald Trump or not really any chance?,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,20%,16%,23%,9%,7%,21%,31%,19%,32%,11%,21%,19%,22%,17%,20%,26%,23%,19%,20%,32%,20%,14%,14%,26%,18%,20%,43%,<1%,<.5%,47%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,18%,16%,20%,25%,24%,17%,14%,16%,34%,30%,27%,13%,25%,10%,43%,26%,25%,7%,16%,32%,21%,20%,11%,31%,20%,11%,36%,2%,14%,36%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,11%,10%,12%,23%,16%,8%,5%,11%,14%,6%,13%,9%,14%,9%,9%,12%,14%,8%,9%,10%,14%,13%,7%,11%,12%,9%,12%,8%,18%,10%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,50%,56%,44%,42%,52%,53%,48%,53%,19%,53%,37%,58%,38%,63%,28%,35%,35%,64%,54%,23%,45%,52%,67%,30%,49%,60%,8%,88%,60%,6%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,1%,1%,1%,1%,2%,<1%,2%,1%,<1%,0%,2%,<1%,2%,<1%,0%,<1%,3%,3%,<.5%,3%,<.5%,<1%,<1%,2%,1%,1%,1%,<1%,8%,1%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,38%,33%,43%,34%,30%,38%,45%,35%,66%,41%,48%,31%,46%,27%,63%,52%,48%,26%,36%,64%,41%,34%,25%,57%,37%,31%,79%,3%,14%,83%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,61%,66%,56%,65%,68%,61%,53%,64%,33%,59%,50%,68%,51%,72%,37%,47%,49%,71%,63%,33%,59%,66%,74%,41%,61%,68%,20%,96%,78%,16%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Donald Trump,Very favorable,29%,31%,27%,19%,22%,34%,32%,33%,5%,14%,16%,37%,17%,43%,10%,8%,17%,46%,38%,15%,20%,28%,33%,17%,22%,43%,<1%,59%,0%,1%
Donald Trump,Somewhat favorable,17%,22%,12%,17%,21%,17%,13%,18%,6%,23%,16%,17%,17%,18%,11%,14%,17%,18%,14%,7%,16%,20%,24%,9%,18%,18%,2%,31%,14%,1%
Donald Trump,Somewhat unfavorable,7%,7%,7%,14%,9%,6%,5%,6%,9%,15%,9%,6%,8%,5%,12%,11%,6%,9%,4%,3%,9%,11%,5%,5%,10%,4%,4%,6%,33%,3%
Donald Trump,Very unfavorable,46%,36%,54%,50%,47%,41%,48%,42%,76%,41%,58%,37%,57%,33%,67%,58%,56%,26%,44%,72%,55%,39%,31%,65%,48%,34%,92%,3%,39%,93%
Donald Trump,[VOL] Have not heard of,<.5%,<.5%,0%,0%,0%,0%,<1%,0%,2%,0%,0%,<.5%,0%,0%,0%,2%,2%,0%,0%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%
Donald Trump,[VOL] Don't know/Refused,2%,3%,<1%,<1%,1%,2%,3%,1%,3%,6%,1%,2%,<1%,1%,0%,7%,1%,<1%,<1%,3%,<.5%,2%,6%,5%,1%,2%,1%,<1%,15%,1%
Donald Trump,NET Favorable,45%,53%,39%,35%,43%,51%,45%,50%,11%,37%,32%,54%,34%,61%,21%,22%,34%,64%,52%,22%,36%,49%,57%,26%,41%,61%,2%,90%,14%,2%
Donald Trump,NET Unfavorable,52%,44%,61%,64%,56%,46%,52%,49%,85%,56%,67%,43%,65%,37%,79%,69%,62%,35%,48%,75%,64%,50%,37%,69%,58%,38%,96%,9%,72%,96%
Donald Trump,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Joe Biden,Very favorable,20%,15%,26%,6%,9%,21%,32%,19%,34%,13%,19%,21%,19%,19%,20%,29%,20%,17%,22%,34%,20%,15%,18%,27%,19%,19%,44%,1%,0%,48%
Joe Biden,Somewhat favorable,19%,19%,19%,28%,23%,18%,15%,16%,39%,27%,27%,14%,25%,11%,43%,28%,27%,10%,15%,33%,24%,21%,8%,31%,20%,12%,37%,2%,18%,37%
Joe Biden,Somewhat unfavorable,14%,14%,14%,30%,24%,10%,4%,14%,15%,11%,18%,11%,19%,11%,14%,13%,19%,11%,8%,13%,15%,18%,14%,13%,16%,10%,14%,12%,26%,11%
Joe Biden,Very unfavorable,45%,49%,41%,36%,43%,48%,48%,50%,13%,43%,34%,52%,36%,58%,23%,26%,33%,62%,55%,20%,39%,43%,56%,26%,43%,57%,5%,84%,48%,4%
Joe Biden,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Joe Biden,[VOL] Don't know/Refused,1%,3%,<.5%,<.5%,1%,2%,<1%,1%,0%,6%,<1%,2%,1%,1%,0%,4%,1%,0%,<.5%,0%,<1%,3%,4%,2%,1%,1%,<.5%,2%,8%,<.5%
Joe Biden,NET Favorable,39%,34%,45%,34%,32%,39%,47%,35%,72%,41%,47%,35%,44%,30%,64%,57%,47%,27%,36%,67%,45%,36%,26%,58%,39%,32%,81%,3%,18%,85%
Joe Biden,NET Unfavorable,59%,63%,55%,66%,67%,59%,53%,63%,28%,54%,52%,64%,55%,69%,36%,39%,52%,73%,63%,33%,55%,61%,70%,39%,60%,67%,19%,95%,74%,15%
Joe Biden,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Kamala [COMMA-luh] Harris,Very favorable,18%,13%,22%,8%,12%,19%,25%,17%,32%,10%,19%,17%,18%,16%,21%,25%,19%,12%,18%,27%,21%,14%,14%,22%,19%,15%,38%,1%,0%,41%
Kamala [COMMA-luh] Harris,Somewhat favorable,24%,22%,25%,30%,31%,21%,20%,21%,41%,40%,33%,17%,31%,14%,50%,35%,28%,17%,19%,40%,25%,28%,16%,37%,23%,19%,46%,4%,21%,46%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,14%,11%,17%,30%,16%,10%,9%,14%,12%,17%,15%,13%,15%,13%,12%,15%,15%,10%,13%,13%,14%,18%,13%,15%,16%,11%,11%,14%,28%,9%
Kamala [COMMA-luh] Harris,Very unfavorable,41%,48%,34%,26%,38%,47%,42%,45%,11%,26%,31%,47%,34%,53%,15%,18%,35%,58%,45%,15%,37%,38%,49%,19%,40%,52%,2%,78%,33%,1%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<.5%,<1%,2%,0%,<.5%,0%,0%,3%,<.5%,0%,<.5%,0%,0%,0%,3%,0%,0%,<.5%,3%,0%,0%,0%,2%,0%,<.5%,<1%,<.5%,0%,<1%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,4%,5%,2%,4%,3%,3%,5%,4%,1%,7%,2%,4%,2%,5%,2%,4%,4%,2%,6%,2%,2%,2%,8%,6%,3%,3%,2%,3%,18%,2%
Kamala [COMMA-luh] Harris,NET Favorable,42%,36%,47%,38%,42%,40%,44%,37%,73%,50%,52%,35%,49%,30%,71%,59%,47%,29%,37%,67%,47%,41%,30%,59%,42%,34%,84%,5%,21%,87%
Kamala [COMMA-luh] Harris,NET Unfavorable,55%,59%,50%,56%,55%,58%,51%,59%,23%,43%,46%,60%,49%,66%,27%,33%,49%,69%,57%,28%,52%,57%,62%,33%,55%,63%,13%,92%,61%,10%
Kamala [COMMA-luh] Harris,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Joe Biden is just too old to be an effective president.,Strongly agree,49%,54%,44%,49%,50%,52%,44%,52%,30%,38%,43%,53%,47%,56%,24%,39%,35%,59%,50%,33%,48%,53%,56%,35%,48%,55%,21%,75%,51%,18%
Joe Biden is just too old to be an effective president.,Somewhat agree,24%,20%,27%,30%,28%,22%,21%,23%,25%,30%,28%,21%,28%,20%,32%,24%,30%,16%,21%,28%,27%,27%,18%,27%,26%,19%,36%,12%,26%,37%
Joe Biden is just too old to be an effective president.,Somewhat disagree,9%,9%,9%,11%,7%,11%,9%,8%,14%,15%,13%,7%,11%,6%,20%,11%,9%,7%,8%,12%,10%,12%,8%,11%,10%,9%,15%,4%,9%,15%
Joe Biden is just too old to be an effective president.,Strongly disagree,15%,13%,17%,6%,12%,10%,26%,14%,29%,4%,13%,17%,12%,16%,16%,20%,20%,16%,19%,27%,10%,9%,13%,25%,12%,16%,26%,7%,5%,28%
Joe Biden is just too old to be an effective president.,[VOL] Don’t know/Refused,3%,4%,2%,4%,2%,5%,<1%,2%,2%,13%,3%,3%,2%,2%,8%,5%,6%,2%,1%,0%,4%,0%,5%,2%,4%,2%,2%,3%,10%,2%
Joe Biden is just too old to be an effective president.,NET Agree,72%,74%,71%,79%,79%,74%,65%,76%,55%,68%,71%,74%,75%,76%,56%,63%,65%,75%,71%,61%,76%,79%,73%,63%,74%,74%,57%,86%,76%,55%
Joe Biden is just too old to be an effective president.,NET Disagree,25%,22%,27%,17%,19%,21%,34%,23%,43%,19%,26%,24%,23%,22%,36%,31%,29%,23%,28%,39%,20%,21%,21%,35%,22%,24%,41%,11%,14%,43%
Joe Biden is just too old to be an effective president.,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Donald Trump is just too old to be an effective president.,Strongly agree,21%,21%,22%,27%,22%,16%,24%,19%,32%,29%,22%,21%,22%,17%,25%,34%,19%,11%,25%,33%,22%,24%,16%,29%,24%,14%,37%,6%,25%,37%
Donald Trump is just too old to be an effective president.,Somewhat agree,21%,22%,19%,33%,24%,21%,13%,20%,26%,23%,26%,17%,26%,17%,28%,22%,23%,17%,18%,19%,24%,20%,22%,20%,24%,17%,26%,15%,28%,25%
Donald Trump is just too old to be an effective president.,Somewhat disagree,19%,18%,20%,20%,20%,19%,19%,20%,14%,18%,20%,19%,20%,20%,17%,14%,22%,22%,13%,18%,22%,22%,15%,19%,20%,18%,19%,19%,21%,19%
Donald Trump is just too old to be an effective president.,Strongly disagree,34%,34%,33%,17%,33%,38%,36%,36%,19%,22%,28%,38%,28%,42%,23%,19%,31%,46%,38%,24%,28%,30%,40%,25%,28%,46%,11%,58%,21%,11%
Donald Trump is just too old to be an effective president.,[VOL] Don’t know/Refused,5%,4%,6%,3%,2%,6%,6%,4%,9%,9%,3%,5%,3%,4%,6%,11%,5%,4%,5%,6%,4%,3%,6%,7%,4%,5%,7%,2%,5%,8%
Donald Trump is just too old to be an effective president.,NET Agree,42%,43%,42%,60%,46%,37%,38%,40%,58%,51%,48%,38%,48%,34%,53%,56%,42%,27%,44%,52%,46%,44%,38%,49%,48%,31%,63%,21%,53%,62%
Donald Trump is just too old to be an effective president.,NET Disagree,53%,53%,53%,38%,52%,58%,56%,57%,33%,40%,48%,57%,49%,62%,41%,33%,53%,68%,51%,42%,50%,52%,55%,44%,48%,64%,30%,77%,42%,30%
Donald Trump is just too old to be an effective president.,Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should he drop out, and there should be a different Democratic nominee for president?",Joe Biden should remain the Democratic nominee,39%,42%,35%,21%,26%,43%,47%,38%,51%,23%,36%,40%,37%,38%,28%,47%,42%,37%,43%,45%,35%,35%,35%,41%,37%,40%,51%,31%,12%,55%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should he drop out, and there should be a different Democratic nominee for president?",Joe Biden should drop out and there should be a different Democratic nominee,55%,50%,59%,76%,71%,48%,44%,55%,46%,73%,57%,53%,56%,55%,68%,50%,48%,54%,50%,52%,57%,59%,59%,56%,56%,52%,42%,62%,82%,38%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should he drop out, and there should be a different Democratic nominee for president?",[VOL] Don't know/Refused,7%,8%,6%,3%,3%,9%,8%,8%,3%,3%,7%,7%,8%,7%,3%,3%,10%,9%,7%,2%,7%,5%,6%,3%,7%,8%,7%,7%,6%,7%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should he drop out, and there should be a different Democratic nominee for president?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should he drop out, and there should  be a different Republican nominee for president?",Donald Trump should remain the Republican nominee,47%,54%,40%,28%,45%,51%,50%,51%,11%,40%,37%,53%,39%,59%,21%,24%,35%,61%,55%,19%,39%,50%,59%,25%,46%,58%,8%,86%,28%,8%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should he drop out, and there should  be a different Republican nominee for president?",Donald Trump should drop out and there should be a different Republican nominee,49%,40%,57%,68%,49%,44%,47%,45%,85%,53%,56%,44%,54%,39%,76%,70%,52%,32%,42%,78%,59%,46%,36%,68%,51%,38%,88%,11%,56%,87%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should he drop out, and there should  be a different Republican nominee for president?",[VOL] Don't know/Refused,4%,6%,3%,3%,5%,5%,4%,4%,4%,7%,7%,3%,8%,2%,3%,6%,13%,6%,3%,3%,2%,4%,5%,7%,4%,4%,5%,3%,15%,5%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should he drop out, and there should  be a different Republican nominee for president?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has committed serious federal crimes,53%,46%,59%,62%,54%,49%,52%,49%,85%,61%,64%,45%,62%,40%,79%,73%,60%,38%,48%,88%,60%,46%,38%,78%,52%,42%,97%,10%,55%,98%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Donald Trump has not committed serious federal crimes,40%,47%,34%,26%,38%,44%,43%,44%,10%,27%,31%,46%,33%,52%,18%,17%,30%,53%,45%,10%,38%,42%,53%,15%,41%,50%,<1%,79%,29%,<.5%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",[VOL] Don't know/Refused,7%,7%,7%,12%,8%,7%,5%,7%,5%,12%,5%,8%,6%,8%,3%,11%,10%,9%,8%,2%,3%,12%,9%,7%,6%,8%,2%,11%,16%,2%
"Thinking about the investigations into Donald Trump, do you think that Donald Trump has or has not committed any serious federal crimes?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,11%,6%,14%,20%,16%,7%,8%,10%,11%,18%,16%,8%,15%,8%,22%,9%,12%,6%,8%,13%,9%,21%,11%,19%,11%,8%,21%,2%,7%,21%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,11%,10%,13%,15%,12%,13%,8%,11%,15%,11%,13%,10%,13%,10%,11%,14%,14%,4%,6%,26%,17%,9%,5%,20%,12%,7%,20%,4%,7%,21%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,37%,38%,36%,35%,38%,39%,34%,35%,46%,47%,45%,32%,42%,30%,53%,43%,50%,31%,28%,42%,43%,34%,32%,39%,40%,32%,44%,28%,49%,43%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,19%,24%,14%,10%,18%,19%,22%,21%,7%,8%,17%,19%,19%,21%,5%,9%,10%,23%,31%,6%,15%,18%,22%,8%,20%,23%,8%,29%,18%,8%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,17%,18%,17%,12%,14%,17%,23%,19%,10%,6%,8%,24%,9%,26%,3%,12%,12%,29%,20%,7%,12%,17%,24%,8%,14%,26%,1%,34%,6%,2%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,5%,4%,6%,7%,3%,6%,5%,4%,11%,9%,2%,7%,1%,5%,5%,14%,2%,7%,7%,6%,4%,2%,6%,7%,4%,6%,6%,3%,13%,6%
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,793,407,377,111,180,262,227,629,89,56,392,393,311,311,70,75,83,101,131,92,179,102,105,150,382,261,376,364,53,325
Which of the following general income categories is your total household income before taxes?,"Under $25,000",8%,7%,10%,12%,6%,7%,10%,7%,16%,11%,2%,12%,2%,10%,2%,22%,2%,10%,13%,22%,1%,9%,8%,16%,6%,8%,10%,7%,7%,11%
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",14%,10%,17%,17%,9%,13%,18%,13%,18%,18%,7%,19%,6%,18%,12%,22%,13%,19%,11%,16%,11%,14%,17%,16%,11%,17%,15%,14%,8%,14%
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",29%,26%,32%,23%,33%,20%,38%,29%,32%,23%,24%,32%,24%,33%,27%,30%,26%,32%,25%,24%,29%,24%,40%,22%,28%,33%,31%,28%,20%,33%
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",27%,34%,21%,30%,29%,36%,16%,28%,21%,24%,37%,21%,36%,23%,39%,12%,28%,26%,30%,19%,26%,33%,24%,24%,28%,27%,26%,27%,34%,25%
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",12%,14%,10%,8%,19%,15%,5%,13%,5%,11%,23%,5%,25%,6%,19%,0%,22%,3%,8%,13%,20%,12%,3%,13%,16%,6%,13%,11%,15%,13%
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,10%,8%,10%,11%,5%,9%,13%,9%,8%,12%,7%,11%,7%,10%,1%,14%,9%,11%,12%,5%,12%,8%,7%,8%,11%,9%,5%,13%,16%,5%
