itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,[VOL] Negative view of opponent's policies,5%,6%,3%,5%,8%,4%,5%,6%,4%,3%,6%,6%,4%,5%,6%,5%,7%,5%,5%,5%,5%,5%,6%,7%,4%,5%,4%,6%,7%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Positive view of candidate's character/competence,16%,16%,18%,19%,13%,15%,17%,16%,17%,14%,10%,14%,25%,16%,14%,18%,17%,13%,18%,14%,18%,11%,19%,14%,17%,17%,18%,15%,20%,18%
How satisfied are you with the way things are going in your life these days?,[VOL] Negative view of opponent's character/competence,24%,24%,23%,19%,28%,24%,26%,24%,24%,26%,30%,24%,18%,25%,24%,17%,26%,29%,21%,29%,22%,28%,19%,29%,25%,20%,34%,14%,39%,34%
How satisfied are you with the way things are going in your life these days?,[VOL] Voting to support a political party,5%,2%,8%,7%,5%,3%,6%,4%,6%,6%,5%,5%,5%,5%,7%,4%,4%,4%,6%,4%,6%,6%,5%,4%,6%,5%,6%,4%,5%,6%
How satisfied are you with the way things are going in your life these days?,[VOL] The economy (including jobs and the stock market),11%,12%,12%,11%,11%,11%,9%,13%,9%,10%,12%,13%,9%,11%,4%,15%,12%,11%,11%,11%,12%,10%,10%,8%,10%,14%,2%,20%,1%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Inflation/the cost of living,2%,1%,<1%,<1%,1%,2%,4%,2%,<1%,4%,2%,1%,<1%,2%,<.5%,1%,<1%,1%,2%,1%,2%,<.5%,<1%,1%,1%,2%,<.5%,3%,<1%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Abortion,1%,2%,<.5%,1%,<1%,4%,1%,<1%,2%,2%,2%,1%,1%,2%,0%,1%,2%,2%,1%,2%,2%,2%,<1%,<1%,2%,1%,2%,<1%,0%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Immigration,3%,4%,2%,3%,3%,3%,2%,4%,2%,<1%,1%,4%,4%,3%,<.5%,2%,2%,3%,3%,3%,4%,3%,<1%,2%,3%,3%,<.5%,6%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] The state of democracy/corruption,2%,2%,<.5%,1%,2%,2%,2%,2%,2%,<1%,<1%,2%,3%,2%,2%,1%,1%,3%,<1%,3%,<1%,4%,<.5%,3%,2%,1%,3%,<1%,0%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Other (specify),4%,3%,5%,2%,4%,4%,4%,3%,4%,7%,6%,3%,2%,3%,7%,6%,5%,5%,3%,5%,2%,5%,6%,5%,3%,3%,4%,4%,5%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,3%,2%,3%,3%,1%,1%,3%,4%,3%,3%,<1%,1%,5%,6%,2%,1%,3%,<1%,1%,2%,6%,3%,2%,1%,3%,2%,1%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"2,971",451,392,450,439,756,483,"1,570","1,370",472,646,976,788,"2,205",294,231,175,"1,396","1,564","1,091","1,108",269,428,677,"1,310",984,"1,411","1,458",102,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,16%,17%,17%,17%,17%,48%,51%,12%,21%,35%,29%,75%,9%,8%,6%,37%,62%,28%,46%,8%,15%,22%,41%,36%,45%,51%,4%,41%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If supporting Kennedy in presidential race) Are you mostly voting FOR Robert F. Kennedy Jr. or AGAINST the other candidates in the race?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,For Robert F. Kennedy Jr.,49%,52%,50%,48%,53%,40%,50%,46%,50%,58%,43%,47%,49%,46%,43%,52%,67%,39%,54%,34%,54%,54%,52%,49%,46%,51%,43%,46%,58%,-
How satisfied are you with the way things are going in your life these days?,Against the other candidates,45%,41%,47%,52%,35%,54%,44%,48%,43%,41%,43%,47%,51%,48%,53%,43%,14%,57%,39%,63%,39%,44%,38%,47%,45%,44%,55%,43%,38%,-
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,6%,7%,3%,0%,13%,6%,6%,6%,7%,<1%,14%,6%,0%,6%,4%,5%,19%,3%,8%,4%,7%,3%,10%,4%,9%,5%,2%,11%,4%,-
How satisfied are you with the way things are going in your life these days?,Number of respondents,328,47,48,48,60,83,42,171,152,102,93,89,38,221,37,42,23,130,197,101,119,26,76,70,143,115,104,145,79,
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,14%,13%,15%,21%,19%,18%,47%,52%,26%,29%,31%,12%,68%,10%,13%,8%,33%,67%,25%,42%,7%,24%,22%,38%,40%,30%,41%,28%,
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very satisfied,28%,33%,28%,26%,25%,32%,24%,27%,29%,12%,17%,28%,44%,30%,25%,22%,22%,22%,32%,21%,35%,24%,23%,26%,26%,31%,22%,37%,9%,25%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,33%,30%,35%,32%,37%,29%,34%,35%,31%,36%,33%,33%,31%,33%,35%,35%,28%,33%,33%,33%,32%,34%,34%,35%,31%,33%,37%,33%,14%,39%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,19%,18%,20%,19%,17%,16%,22%,17%,20%,29%,22%,18%,13%,19%,16%,22%,22%,21%,18%,22%,17%,17%,21%,17%,20%,18%,22%,16%,21%,21%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,19%,18%,15%,20%,20%,22%,18%,19%,18%,22%,26%,20%,10%,17%,22%,19%,26%,23%,16%,22%,14%,24%,20%,20%,21%,16%,19%,13%,51%,15%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,2%,<1%,1%,2%,1%,2%,1%,1%,1%,2%,1%,2%,3%,<1%,1%,2%,1%,2%,<.5%,2%,2%,1%,2%,1%,2%,5%,1%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,61%,63%,63%,58%,63%,60%,58%,62%,60%,47%,50%,61%,75%,62%,60%,56%,51%,55%,65%,54%,67%,58%,57%,61%,58%,64%,58%,70%,23%,63%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,37%,35%,35%,40%,36%,38%,40%,37%,38%,51%,49%,38%,22%,36%,38%,41%,49%,44%,34%,44%,31%,42%,41%,37%,41%,34%,41%,29%,73%,36%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,How often do you pay attention to what's going on in government and politics?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Always,38%,41%,37%,35%,38%,39%,39%,43%,34%,13%,27%,43%,50%,40%,31%,23%,40%,44%,35%,44%,37%,40%,26%,38%,38%,38%,36%,41%,30%,41%
How satisfied are you with the way things are going in your life these days?,Most of the time,33%,34%,30%,37%,29%,34%,34%,33%,34%,30%,36%,33%,34%,34%,32%,29%,28%,33%,33%,34%,35%,31%,29%,32%,33%,34%,36%,32%,25%,37%
How satisfied are you with the way things are going in your life these days?,About half of the time,13%,13%,12%,15%,13%,13%,11%,12%,13%,26%,17%,11%,7%,12%,12%,21%,11%,11%,14%,11%,13%,12%,17%,13%,13%,12%,13%,12%,17%,10%
How satisfied are you with the way things are going in your life these days?,Some of the time,13%,10%,18%,10%,17%,12%,13%,10%,16%,26%,17%,11%,8%,11%,19%,22%,16%,11%,15%,9%,12%,14%,22%,13%,14%,13%,13%,12%,23%,11%
How satisfied are you with the way things are going in your life these days?,Never,2%,1%,3%,3%,3%,2%,2%,2%,3%,5%,3%,3%,<1%,2%,4%,4%,5%,2%,3%,2%,2%,1%,6%,3%,2%,2%,2%,3%,4%,1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<1%,<1%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,0%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<1%,<.5%,<.5%,<.5%,<.5%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Do you approve or disapprove of the way Joe Biden is handling his job as president?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Strongly approve,16%,17%,15%,19%,14%,18%,16%,15%,18%,2%,9%,17%,28%,17%,25%,12%,12%,21%,14%,21%,14%,22%,15%,21%,17%,13%,37%,<1%,<.5%,43%
How satisfied are you with the way things are going in your life these days?,Somewhat approve,21%,18%,21%,22%,21%,21%,24%,18%,24%,28%,25%,20%,16%,18%,39%,26%,25%,25%,19%,23%,15%,32%,31%,24%,25%,15%,43%,2%,15%,44%
How satisfied are you with the way things are going in your life these days?,Somewhat disapprove,13%,13%,12%,14%,13%,13%,12%,11%,15%,29%,16%,11%,6%,12%,14%,18%,13%,13%,13%,12%,12%,13%,16%,12%,14%,13%,13%,10%,30%,9%
How satisfied are you with the way things are going in your life these days?,Strongly disapprove,47%,49%,48%,43%,50%,46%,45%,54%,40%,36%,47%,50%,47%,51%,17%,42%,47%,39%,51%,42%,57%,30%,35%,40%,42%,56%,4%,86%,39%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,4%,2%,3%,2%,2%,2%,3%,5%,2%,2%,3%,2%,6%,2%,3%,3%,3%,2%,2%,3%,3%,4%,2%,3%,3%,<1%,15%,2%
How satisfied are you with the way things are going in your life these days?,NET Approve,38%,36%,36%,41%,34%,39%,40%,33%,42%,30%,34%,37%,44%,34%,64%,38%,37%,45%,33%,43%,29%,54%,46%,45%,41%,29%,80%,3%,16%,87%
How satisfied are you with the way things are going in your life these days?,NET Disapprove,60%,62%,60%,57%,63%,59%,58%,65%,55%,64%,63%,61%,53%,63%,30%,60%,60%,52%,64%,54%,69%,43%,51%,52%,57%,68%,17%,96%,69%,11%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) Do you approve or disapprove of the way Josh Shapiro is handling his job as governor?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Strongly approve,26%,-,-,-,-,26%,-,24%,28%,16%,21%,30%,30%,27%,24%,35%,15%,34%,21%,36%,21%,25%,21%,29%,32%,16%,51%,4%,13%,56%
How satisfied are you with the way things are going in your life these days?,Somewhat approve,33%,-,-,-,-,33%,-,32%,34%,38%,36%,29%,33%,32%,46%,37%,30%,29%,35%,28%,34%,31%,45%,35%,29%,38%,32%,33%,43%,30%
How satisfied are you with the way things are going in your life these days?,Somewhat disapprove,11%,-,-,-,-,11%,-,12%,10%,12%,15%,8%,12%,11%,7%,8%,26%,14%,10%,13%,10%,21%,8%,6%,10%,15%,4%,18%,12%,2%
How satisfied are you with the way things are going in your life these days?,Strongly disapprove,13%,-,-,-,-,13%,-,17%,10%,7%,10%,17%,14%,14%,8%,0%,6%,9%,16%,10%,17%,1%,10%,8%,14%,15%,<1%,26%,7%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,16%,-,-,-,-,16%,-,15%,18%,27%,18%,16%,12%,16%,15%,20%,22%,14%,18%,13%,18%,22%,15%,22%,15%,16%,13%,19%,25%,11%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,52%,12%,22%,34%,30%,83%,9%,2%,4%,39%,60%,33%,50%,6%,10%,16%,48%,36%,45%,48%,7%,38%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following.","Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of each of the following."
How satisfied are you with the way things are going in your life these days?,Donald Trump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Donald Trump,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Donald Trump,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,28%,30%,30%,26%,30%,29%,23%,30%,27%,16%,22%,31%,34%,32%,7%,24%,22%,18%,34%,20%,39%,14%,18%,24%,24%,35%,<1%,56%,4%,<1%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,18%,19%,19%,14%,21%,16%,19%,23%,14%,23%,22%,18%,13%,19%,9%,20%,24%,17%,19%,17%,20%,14%,18%,15%,18%,20%,2%,33%,13%,2%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,8%,5%,11%,9%,8%,8%,9%,9%,7%,18%,9%,9%,3%,7%,13%,11%,11%,10%,7%,10%,5%,10%,13%,8%,8%,8%,6%,8%,22%,4%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,44%,44%,38%,49%,39%,46%,47%,37%,50%,42%,46%,41%,47%,42%,66%,41%,42%,54%,38%,53%,35%,60%,47%,52%,48%,35%,89%,3%,50%,92%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,1%,2%,1%,1%,<1%,2%,2%,<1%,1%,3%,<1%,5%,3%,1%,1%,2%,<1%,1%,2%,3%,2%,1%,2%,1%,<1%,10%,1%
How satisfied are you with the way things are going in your life these days?,NET Favorable,46%,49%,49%,40%,51%,45%,42%,52%,40%,38%,45%,49%,47%,50%,16%,45%,46%,35%,53%,37%,58%,28%,37%,38%,42%,55%,3%,89%,18%,2%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,52%,49%,49%,59%,47%,54%,56%,47%,57%,60%,55%,50%,51%,49%,79%,52%,53%,64%,45%,62%,41%,70%,60%,60%,56%,43%,96%,10%,72%,96%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Joe Biden,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Joe Biden,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very favorable,18%,18%,16%,20%,14%,20%,16%,16%,19%,4%,8%,18%,31%,17%,30%,15%,14%,21%,16%,20%,14%,23%,20%,21%,18%,14%,39%,<1%,<.5%,46%
How satisfied are you with the way things are going in your life these days?,Somewhat favorable,23%,21%,23%,23%,22%,21%,28%,19%,27%,32%,28%,22%,17%,19%,44%,29%,25%,27%,21%,24%,17%,37%,32%,28%,26%,16%,46%,3%,19%,45%
How satisfied are you with the way things are going in your life these days?,Somewhat unfavorable,13%,12%,14%,12%,14%,10%,12%,12%,13%,29%,17%,10%,5%,12%,10%,18%,15%,14%,11%,15%,10%,12%,16%,11%,13%,13%,11%,11%,32%,7%
How satisfied are you with the way things are going in your life these days?,Very unfavorable,46%,47%,45%,44%,49%,47%,43%,53%,40%,34%,46%,50%,46%,51%,13%,37%,44%,37%,51%,40%,58%,27%,30%,38%,41%,56%,3%,85%,40%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,1%,2%,<1%,1%,<1%,<1%,<1%,1%,2%,<1%,<1%,2%,<1%,3%,1%,2%,<1%,1%,<1%,1%,1%,2%,1%,<1%,1%,<.5%,<1%,9%,<.5%
How satisfied are you with the way things are going in your life these days?,NET Favorable,40%,39%,39%,43%,36%,42%,44%,34%,46%,36%,37%,39%,48%,36%,74%,44%,39%,48%,36%,44%,31%,60%,52%,49%,45%,30%,85%,4%,19%,91%
How satisfied are you with the way things are going in your life these days?,NET Unfavorable,58%,59%,60%,56%,63%,57%,55%,65%,52%,62%,63%,60%,51%,63%,23%,55%,60%,52%,63%,55%,68%,39%,46%,50%,54%,69%,14%,95%,72%,9%
