itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Michelle Obama,5%,0%,10%,26%,5%,0%,0%,5%,9%,0%,0%,6%,4%,9%,0%,0%,11%,9%,0%,6%,4%,11%,0%,4%,8%,0%,0%,6%,0%,0%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Pete Buttigieg,3%,7%,0%,5%,0%,9%,0%,6%,0%,0%,0%,6%,1%,10%,2%,0%,0%,0%,4%,3%,5%,4%,6%,0%,4%,3%,0%,6%,5%,0%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Josh Shapiro,2%,5%,0%,0%,6%,0%,0%,2%,0%,15%,0%,0%,5%,0%,4%,0%,7%,0%,12%,0%,0%,4%,3%,0%,2%,0%,15%,3%,0%,5%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Cory Booker,<1%,2%,0%,0%,2%,0%,0%,1%,0%,0%,0%,2%,0%,3%,0%,0%,0%,0%,5%,0%,0%,0%,0%,3%,0%,3%,0%,0%,5%,0%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,"[VOL] Other, specify:",13%,16%,6%,22%,18%,4%,12%,14%,14%,0%,16%,12%,14%,16%,14%,6%,17%,29%,0%,8%,14%,11%,11%,16%,16%,8%,0%,22%,14%,0%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,[VOL] Don't know/Refused,53%,52%,60%,43%,47%,51%,78%,61%,39%,58%,45%,49%,61%,49%,80%,48%,41%,52%,59%,70%,43%,53%,44%,64%,56%,40%,85%,49%,37%,62%
(If Democrat or lean toward the Democratic party and want to nominate someone other than Harris)  Who would you prefer to be the Democratic Party’s nominee for president in 2024?,Number of respondents,69,34,33,10,28,21,8,41,11,9,7,40,28,26,14,14,13,14,13,17,25,22,29,18,48,18,3,35,10,12
"(If Democrat or lean toward the Democratic party)  Which of the following comes closer to your view, even if neither is exactly right?",The Democrats should unite behind Kamala [COMMA-luh] Harris and quickly make her the party’s nominee,73%,70%,75%,58%,61%,75%,86%,71%,78%,70%,74%,71%,74%,74%,68%,61%,82%,79%,73%,75%,65%,74%,74%,70%,76%,19%,18%,79%,28%,9%
"(If Democrat or lean toward the Democratic party)  Which of the following comes closer to your view, even if neither is exactly right?",The Democrats should encourage a competitive process to select the party’s nominee,25%,27%,22%,40%,37%,20%,12%,26%,17%,29%,23%,25%,24%,22%,32%,35%,16%,19%,26%,22%,31%,24%,23%,28%,22%,67%,67%,19%,51%,86%
"(If Democrat or lean toward the Democratic party)  Which of the following comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,3%,3%,3%,2%,2%,5%,2%,3%,4%,<1%,3%,3%,1%,3%,0%,3%,2%,3%,<1%,3%,4%,2%,3%,2%,2%,15%,15%,2%,21%,5%
"(If Democrat or lean toward the Democratic party)  Which of the following comes closer to your view, even if neither is exactly right?",Number of respondents,531,217,309,103,135,170,111,315,91,65,52,325,203,224,90,97,110,112,119,162,138,137,259,135,497,26,8,460,17,23
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,24%,21%,28%,7%,14%,27%,37%,21%,39%,29%,24%,29%,21%,28%,17%,30%,31%,23%,25%,23%,27%,24%,29%,19%,49%,1%,13%,52%,1%,7%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,18%,17%,19%,31%,27%,15%,11%,16%,21%,24%,26%,23%,14%,24%,10%,25%,24%,19%,19%,15%,21%,24%,18%,15%,34%,3%,16%,32%,2%,15%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,9%,8%,11%,20%,16%,6%,4%,7%,17%,11%,14%,11%,8%,9%,6%,18%,12%,8%,8%,8%,13%,12%,8%,10%,10%,8%,13%,9%,5%,25%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,46%,52%,41%,39%,42%,50%,45%,53%,19%,31%,35%,36%,53%,40%,64%,24%,30%,48%,45%,52%,36%,38%,43%,55%,5%,87%,43%,4%,90%,51%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,2%,3%,2%,2%,2%,3%,3%,2%,4%,5%,1%,1%,3%,<1%,3%,3%,3%,2%,1%,2%,4%,2%,3%,2%,2%,2%,15%,2%,2%,2%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,42%,38%,47%,38%,41%,42%,47%,37%,60%,53%,50%,52%,36%,51%,26%,55%,54%,42%,45%,37%,48%,48%,47%,33%,82%,4%,29%,85%,3%,22%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,55%,59%,51%,60%,58%,56%,50%,61%,37%,42%,49%,47%,61%,48%,71%,42%,43%,56%,54%,60%,48%,50%,51%,65%,16%,94%,56%,14%,95%,76%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very favorable,32%,39%,27%,17%,21%,36%,42%,39%,7%,21%,22%,17%,43%,19%,53%,8%,21%,34%,27%,39%,26%,20%,30%,43%,2%,65%,3%,2%,70%,11%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat favorable,15%,17%,13%,19%,19%,13%,12%,15%,8%,15%,16%,16%,13%,17%,14%,12%,13%,14%,15%,15%,14%,15%,15%,14%,2%,27%,17%,2%,24%,33%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat unfavorable,7%,8%,6%,12%,9%,6%,3%,5%,10%,13%,14%,9%,5%,7%,3%,16%,11%,4%,7%,8%,8%,9%,6%,6%,5%,6%,27%,4%,4%,24%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very unfavorable,45%,35%,54%,53%,50%,44%,43%,41%,74%,49%,48%,57%,38%,56%,30%,62%,54%,48%,50%,37%,52%,55%,49%,35%,90%,1%,42%,92%,1%,32%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Don't know/Refused,<1%,<1%,1%,0%,<1%,1%,<1%,<.5%,2%,<1%,<.5%,<1%,<1%,<.5%,<1%,1%,1%,<1%,1%,1%,<1%,2%,<.5%,1%,<1%,<.5%,12%,<1%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Favorable,47%,56%,39%,36%,40%,48%,54%,54%,14%,37%,38%,33%,56%,37%,67%,21%,34%,48%,42%,54%,40%,34%,45%,58%,4%,92%,20%,4%,95%,44%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Unfavorable,52%,43%,60%,64%,59%,50%,45%,46%,83%,62%,62%,66%,43%,63%,33%,78%,65%,51%,57%,44%,59%,64%,55%,41%,95%,8%,68%,96%,5%,56%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very favorable,23%,16%,29%,4%,12%,29%,31%,19%,50%,29%,19%,24%,22%,22%,16%,32%,33%,20%,24%,22%,25%,21%,28%,17%,46%,1%,7%,49%,1%,2%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat favorable,21%,19%,23%,39%,31%,16%,12%,19%,24%,27%,28%,29%,16%,29%,11%,29%,25%,24%,18%,17%,26%,28%,20%,18%,39%,3%,13%,39%,2%,10%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat unfavorable,14%,14%,14%,26%,21%,8%,11%,14%,14%,14%,19%,17%,12%,16%,12%,20%,13%,14%,17%,12%,16%,18%,13%,14%,11%,16%,26%,10%,14%,48%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very unfavorable,40%,50%,32%,30%,34%,45%,44%,47%,10%,25%,33%,28%,49%,32%,59%,17%,26%,42%,40%,46%,32%,31%,38%,49%,2%,78%,40%,2%,82%,40%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Don't know/Refused,2%,1%,2%,<.5%,2%,2%,2%,1%,2%,4%,<.5%,1%,2%,<1%,1%,1%,3%,<1%,1%,3%,<1%,2%,1%,2%,<1%,2%,13%,<1%,1%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Favorable,43%,34%,52%,43%,44%,44%,43%,38%,74%,56%,47%,53%,37%,51%,28%,62%,58%,44%,42%,39%,51%,49%,48%,35%,86%,4%,20%,88%,3%,12%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Unfavorable,55%,64%,46%,56%,55%,54%,55%,61%,25%,40%,52%,46%,61%,48%,71%,37%,39%,56%,57%,58%,48%,49%,51%,63%,14%,94%,67%,11%,96%,88%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Very favorable,26%,18%,33%,15%,22%,27%,33%,22%,56%,39%,19%,28%,25%,27%,17%,31%,42%,29%,26%,23%,27%,27%,29%,21%,54%,<1%,3%,58%,<1%,2%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Somewhat favorable,20%,19%,21%,41%,29%,16%,10%,17%,24%,27%,32%,28%,15%,26%,10%,36%,24%,17%,21%,15%,29%,28%,21%,15%,38%,2%,26%,37%,2%,26%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Somewhat unfavorable,11%,11%,10%,18%,13%,8%,7%,11%,4%,12%,17%,12%,10%,11%,10%,13%,10%,8%,13%,11%,11%,14%,10%,10%,5%,15%,26%,3%,13%,32%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Very unfavorable,39%,48%,31%,24%,32%,45%,44%,47%,11%,18%,30%,29%,46%,32%,58%,18%,20%,44%,33%,46%,29%,27%,37%,49%,<.5%,78%,32%,<.5%,82%,37%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",[VOL] Have not heard of,<1%,<1%,<.5%,0%,<.5%,<.5%,2%,<1%,0%,<.5%,0%,<.5%,<1%,<.5%,1%,<.5%,0%,0%,2%,<1%,0%,<.5%,<.5%,<1%,0%,1%,0%,0%,<1%,1%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",[VOL] Don't know/Refused,3%,3%,4%,1%,4%,4%,3%,3%,5%,4%,3%,3%,3%,2%,3%,3%,4%,2%,4%,4%,3%,4%,2%,4%,3%,3%,13%,3%,2%,<1%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",NET Favorable,46%,37%,55%,56%,51%,43%,44%,39%,80%,66%,51%,56%,40%,54%,28%,66%,66%,46%,47%,39%,57%,55%,50%,36%,92%,3%,29%,94%,3%,29%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",NET Unfavorable,50%,59%,41%,42%,45%,53%,51%,58%,15%,30%,47%,41%,56%,44%,68%,31%,30%,52%,46%,57%,40%,41%,47%,59%,5%,93%,58%,3%,95%,69%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",Very favorable,19%,22%,16%,7%,7%,22%,26%,23%,5%,6%,11%,15%,22%,16%,28%,8%,7%,20%,13%,25%,13%,17%,15%,25%,<1%,38%,3%,<1%,41%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",Somewhat favorable,17%,22%,13%,18%,20%,17%,15%,19%,8%,15%,21%,16%,19%,17%,20%,14%,15%,19%,19%,16%,15%,12%,19%,18%,4%,31%,7%,3%,30%,33%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",Somewhat unfavorable,11%,9%,12%,16%,18%,8%,7%,9%,16%,10%,16%,15%,8%,13%,6%,17%,12%,6%,12%,13%,11%,13%,14%,6%,17%,5%,15%,16%,4%,12%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",Very unfavorable,29%,25%,31%,24%,26%,30%,33%,27%,37%,39%,28%,36%,24%,36%,20%,37%,34%,35%,31%,20%,32%,31%,32%,23%,56%,3%,15%,59%,2%,8%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",[VOL] Have not heard of,13%,11%,15%,25%,15%,9%,13%,11%,21%,23%,13%,10%,15%,8%,12%,17%,20%,8%,15%,14%,16%,17%,10%,15%,12%,12%,34%,11%,11%,27%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",[VOL] Don't know/Refused,11%,11%,12%,9%,13%,14%,6%,11%,13%,7%,12%,9%,12%,9%,13%,7%,11%,11%,10%,12%,12%,10%,10%,14%,10%,12%,26%,9%,11%,20%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",NET Favorable,36%,44%,29%,26%,27%,39%,41%,41%,13%,21%,31%,31%,40%,33%,48%,22%,22%,39%,32%,41%,29%,29%,34%,43%,5%,69%,11%,4%,72%,33%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",NET Unfavorable,39%,34%,44%,40%,45%,38%,40%,36%,53%,49%,44%,50%,32%,50%,26%,54%,47%,42%,43%,33%,43%,44%,46%,29%,73%,7%,29%,75%,6%,20%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of JD Vance.",Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",Very favorable,6%,7%,5%,2%,9%,6%,6%,6%,6%,5%,6%,6%,7%,5%,7%,7%,5%,8%,5%,7%,5%,4%,9%,4%,4%,7%,18%,4%,6%,36%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",Somewhat favorable,30%,33%,28%,37%,30%,32%,25%,30%,21%,37%,35%,25%,34%,26%,35%,26%,33%,30%,29%,29%,32%,33%,28%,30%,16%,43%,33%,14%,43%,55%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",Somewhat unfavorable,24%,20%,26%,31%,20%,26%,19%,25%,21%,21%,23%,26%,21%,28%,21%,23%,21%,26%,19%,23%,26%,23%,26%,21%,29%,19%,11%,30%,20%,7%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",Very unfavorable,20%,22%,19%,13%,16%,19%,28%,22%,14%,17%,16%,25%,17%,26%,19%,23%,12%,21%,23%,17%,23%,19%,21%,20%,34%,8%,4%,37%,8%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",[VOL] Have not heard of,6%,6%,6%,10%,5%,5%,7%,5%,11%,8%,11%,6%,6%,4%,5%,11%,9%,4%,7%,7%,6%,7%,5%,7%,5%,7%,5%,5%,7%,2%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",[VOL] Don't know/Refused,14%,12%,16%,7%,20%,12%,15%,12%,28%,12%,10%,12%,15%,11%,13%,11%,19%,11%,17%,18%,8%,14%,11%,17%,12%,15%,28%,11%,16%,<.5%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",NET Favorable,36%,40%,32%,39%,39%,38%,31%,36%,27%,42%,41%,31%,40%,31%,41%,32%,39%,37%,34%,35%,37%,37%,37%,35%,20%,50%,51%,18%,50%,91%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",NET Unfavorable,44%,42%,45%,44%,37%,45%,47%,47%,34%,38%,39%,52%,38%,54%,41%,46%,33%,47%,42%,40%,48%,42%,47%,41%,63%,27%,15%,66%,27%,7%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Robert F. Kennedy Jr.",Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
How much attention are you paying to the upcoming presidential election?,A lot,69%,73%,67%,44%,58%,76%,79%,71%,70%,53%,68%,71%,68%,73%,70%,66%,62%,70%,70%,72%,64%,66%,72%,68%,70%,70%,52%,73%,72%,41%
How much attention are you paying to the upcoming presidential election?,Some,23%,20%,24%,41%,32%,18%,15%,23%,16%,33%,21%,23%,23%,23%,24%,24%,23%,23%,24%,19%,28%,26%,19%,25%,22%,24%,24%,20%,22%,49%
How much attention are you paying to the upcoming presidential election?,Not much,6%,5%,7%,13%,6%,5%,4%,4%,9%,10%,9%,5%,7%,4%,5%,6%,11%,5%,4%,6%,6%,6%,7%,5%,6%,4%,15%,5%,4%,9%
How much attention are you paying to the upcoming presidential election?,None at all,2%,2%,2%,3%,3%,1%,3%,1%,5%,4%,2%,1%,3%,<1%,2%,2%,4%,1%,2%,3%,2%,2%,2%,2%,2%,2%,6%,2%,2%,2%
How much attention are you paying to the upcoming presidential election?,[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,0%,<.5%,<1%,0%,<.5%,0%,0%,0%,1%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,2%,0%,0%,0%
"Thinking about the nation's economy, how would you rate economic conditions today?",Excellent,5%,5%,4%,0%,<1%,6%,6%,4%,2%,9%,5%,6%,4%,6%,2%,3%,7%,4%,2%,4%,7%,7%,4%,4%,10%,0%,0%,10%,0%,0%
"Thinking about the nation's economy, how would you rate economic conditions today?",Good,23%,20%,26%,13%,22%,23%,30%,23%,30%,23%,23%,31%,18%,31%,16%,31%,22%,23%,27%,20%,25%,24%,27%,18%,44%,4%,13%,46%,3%,16%
"Thinking about the nation's economy, how would you rate economic conditions today?",Only fair,24%,26%,23%,34%,27%,22%,22%,23%,29%,28%,30%,32%,19%,30%,17%,44%,22%,27%,23%,22%,24%,23%,28%,20%,27%,20%,34%,26%,18%,27%
"Thinking about the nation's economy, how would you rate economic conditions today?",Poor,48%,48%,47%,52%,50%,49%,42%,50%,39%,39%,41%,31%,59%,33%,63%,22%,48%,46%,48%,53%,43%,46%,41%,57%,19%,76%,52%,17%,79%,57%
"Thinking about the nation's economy, how would you rate economic conditions today?",[VOL] Don't know/Refused,<1%,<.5%,<1%,1%,<1%,0%,0%,<.5%,0%,1%,0%,<.5%,<1%,0%,<1%,0%,<1%,0%,<.5%,<1%,<1%,<1%,<1%,<.5%,<1%,0%,1%,<1%,0%,0%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Excellent/good,28%,26%,30%,13%,23%,29%,36%,27%,32%,31%,28%,37%,22%,38%,18%,34%,29%,27%,29%,24%,32%,31%,31%,22%,53%,4%,13%,56%,3%,16%
"Thinking about the nation's economy, how would you rate economic conditions today?",NET Fair/poor,72%,74%,69%,86%,77%,71%,64%,73%,68%,67%,72%,63%,77%,62%,81%,66%,70%,73%,71%,75%,67%,68%,69%,78%,46%,96%,86%,43%,97%,84%
"Thinking about the nation's economy, how would you rate economic conditions today?",Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",[VOL] Happy/excited/hopeful,25%,29%,22%,17%,18%,25%,33%,25%,28%,23%,22%,18%,30%,19%,31%,15%,29%,24%,24%,30%,20%,20%,24%,30%,22%,29%,10%,23%,31%,6%
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",[VOL] Angry/disappointed/resigned,19%,22%,17%,12%,28%,23%,11%,19%,23%,17%,24%,23%,17%,21%,17%,31%,16%,23%,19%,18%,18%,19%,20%,18%,14%,23%,28%,14%,22%,32%
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",[VOL] Scared/apprehensive,38%,28%,47%,52%,38%,34%,39%,39%,30%,45%,36%,41%,36%,45%,33%,31%,41%,38%,37%,34%,45%,41%,39%,35%,49%,29%,25%,49%,30%,26%
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",[VOL] Confused/unsure/uncertain,7%,8%,7%,13%,8%,7%,5%,8%,9%,6%,8%,8%,7%,7%,8%,12%,5%,6%,9%,8%,7%,10%,7%,7%,7%,8%,8%,6%,7%,15%
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",[VOL] Neutral,2%,3%,1%,2%,<.5%,2%,3%,2%,<1%,4%,2%,2%,2%,1%,2%,2%,2%,<.5%,5%,2%,1%,3%,1%,2%,2%,<1%,16%,2%,<1%,8%
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",[VOL] Other (specify),5%,6%,5%,2%,5%,6%,5%,5%,8%,2%,7%,6%,5%,5%,4%,6%,5%,5%,4%,5%,7%,6%,6%,4%,5%,6%,4%,5%,6%,6%
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",[VOL] Don't know/Refused,3%,4%,3%,2%,2%,3%,5%,3%,2%,3%,2%,2%,4%,1%,5%,2%,2%,4%,2%,4%,2%,2%,2%,5%,<1%,5%,10%,<1%,4%,7%
"Thinking about the upcoming presidential election this November, what is ONE WORD that describes how you feel about it?",Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,Strongly approve,64%,63%,66%,68%,64%,65%,62%,66%,62%,60%,63%,69%,61%,70%,63%,68%,60%,67%,73%,60%,60%,72%,59%,67%,65%,63%,68%,64%,62%,81%
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,Somewhat approve,23%,21%,25%,24%,21%,24%,26%,23%,24%,28%,23%,21%,25%,20%,25%,22%,26%,21%,14%,26%,30%,20%,26%,22%,27%,21%,8%,28%,21%,7%
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,Somewhat disapprove,3%,4%,2%,3%,4%,4%,1%,2%,6%,<1%,6%,2%,4%,2%,3%,2%,5%,3%,2%,4%,3%,2%,4%,2%,2%,3%,7%,2%,4%,0%
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,Strongly disapprove,5%,7%,4%,2%,7%,4%,7%,5%,6%,6%,6%,4%,7%,4%,6%,4%,7%,6%,9%,5%,3%,3%,6%,6%,4%,8%,2%,3%,8%,7%
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,[VOL] Don't know/Refused,4%,5%,3%,2%,5%,3%,4%,4%,2%,5%,2%,4%,4%,3%,4%,3%,3%,3%,2%,5%,4%,3%,5%,3%,2%,4%,15%,2%,5%,4%
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,NET Approve,88%,84%,91%,92%,85%,89%,88%,89%,86%,89%,87%,90%,86%,90%,87%,90%,86%,88%,88%,86%,90%,92%,85%,88%,92%,84%,76%,92%,84%,88%
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,NET Disapprove,9%,11%,6%,6%,10%,8%,8%,8%,12%,6%,11%,6%,10%,6%,9%,6%,12%,8%,11%,9%,6%,6%,10%,9%,6%,11%,9%,6%,12%,7%
Do you approve or disapprove of Joe Biden’s decision to drop out of the presidential race?,Number of respondents,"1,004",484,512,148,263,356,204,685,104,95,93,517,480,379,304,125,165,222,210,351,221,206,458,340,486,470,48,439,415,53
What comes closer to how you would feel if Kamala Harris were the Democratic nominee for president?,Enthusiastic,27%,21%,33%,18%,25%,30%,29%,23%,47%,36%,24%,33%,23%,31%,18%,37%,36%,28%,27%,21%,34%,31%,31%,20%,55%,2%,3%,59%,2%,<1%
What comes closer to how you would feel if Kamala Harris were the Democratic nominee for president?,"Satisfied, but not enthusiastic",25%,23%,27%,52%,33%,20%,18%,23%,36%,25%,33%,30%,21%,30%,17%,34%,30%,23%,30%,23%,29%,32%,25%,23%,40%,12%,23%,38%,10%,33%
What comes closer to how you would feel if Kamala Harris were the Democratic nominee for president?,"Dissatisfied, but not upset",30%,38%,23%,24%,32%,29%,30%,33%,12%,24%,31%,24%,34%,25%,40%,22%,23%,30%,28%,35%,24%,24%,29%,35%,5%,52%,54%,3%,51%,62%
