itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very favorable,16%,12%,19%,3%,6%,17%,29%,15%,25%,15%,13%,17%,15%,17%,13%,14%,20%,15%,16%,14%,18%,17%,16%,13%,36%,1%,3%,40%,1%,7%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat favorable,20%,18%,22%,20%,25%,18%,19%,17%,38%,17%,25%,28%,15%,26%,11%,34%,23%,26%,22%,17%,17%,25%,21%,16%,40%,4%,16%,42%,3%,24%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Somewhat unfavorable,20%,20%,19%,41%,27%,12%,8%,19%,13%,27%,24%,19%,20%,20%,19%,17%,23%,17%,24%,18%,20%,23%,21%,15%,18%,19%,28%,13%,15%,38%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Very unfavorable,41%,47%,36%,30%,40%,50%,39%,47%,17%,34%,32%,34%,45%,35%,56%,30%,26%,41%,37%,47%,37%,29%,37%,54%,3%,73%,39%,2%,80%,29%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",[VOL] Don't know/Refused,4%,3%,4%,6%,2%,2%,5%,2%,7%,7%,6%,3%,4%,2%,2%,5%,8%,2%,2%,4%,7%,5%,5%,2%,3%,2%,13%,3%,2%,1%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Favorable,36%,30%,41%,24%,30%,36%,48%,32%,63%,31%,38%,45%,30%,44%,23%,47%,43%,40%,38%,32%,36%,43%,37%,29%,76%,5%,19%,82%,4%,32%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",NET Unfavorable,61%,67%,55%,70%,67%,62%,48%,66%,30%,61%,56%,53%,66%,55%,74%,47%,49%,58%,61%,64%,57%,52%,58%,69%,20%,92%,68%,15%,95%,67%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Joe Biden.",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
How much attention are you paying to the upcoming presidential election?,A lot,57%,59%,56%,29%,47%,66%,72%,63%,44%,42%,48%,65%,52%,69%,60%,53%,39%,58%,60%,57%,55%,50%,56%,63%,60%,58%,42%,64%,63%,36%
How much attention are you paying to the upcoming presidential election?,Some,28%,27%,29%,44%,34%,24%,20%,27%,32%,33%,27%,23%,31%,22%,30%,28%,33%,29%,25%,29%,27%,32%,28%,25%,29%,27%,29%,26%,25%,42%
How much attention are you paying to the upcoming presidential election?,Not much,10%,10%,8%,18%,13%,6%,5%,8%,12%,16%,10%,7%,11%,8%,8%,7%,16%,10%,10%,10%,9%,10%,10%,9%,8%,10%,13%,8%,9%,14%
How much attention are you paying to the upcoming presidential election?,None at all,5%,4%,7%,9%,6%,4%,2%,2%,11%,9%,14%,4%,6%,2%,2%,12%,12%,3%,5%,4%,9%,7%,6%,3%,4%,4%,16%,3%,2%,9%
How much attention are you paying to the upcoming presidential election?,[VOL] Don't know/Refused,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Joe Biden should remain the Democratic nominee,31%,34%,28%,18%,18%,32%,47%,32%,43%,23%,23%,35%,29%,36%,28%,31%,30%,33%,28%,31%,30%,31%,30%,31%,47%,22%,10%,53%,25%,9%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",There should be a different Democratic nominee,60%,57%,63%,73%,76%,58%,42%,60%,47%,69%,62%,56%,62%,56%,63%,57%,60%,59%,64%,59%,60%,59%,61%,59%,47%,68%,73%,40%,63%,89%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",[VOL] Don't know/Refused,9%,9%,9%,9%,6%,10%,11%,8%,9%,8%,14%,9%,9%,7%,9%,11%,10%,8%,9%,10%,10%,10%,8%,10%,6%,10%,17%,7%,11%,3%
"Do you think Joe Biden should remain the Democratic Party’s nominee for president, or should there be a different Democratic nominee for president?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Donald Trump should remain the Republican nominee,42%,49%,35%,41%,38%,45%,42%,48%,22%,40%,28%,32%,47%,33%,57%,29%,29%,46%,35%,47%,36%,26%,41%,53%,7%,78%,8%,7%,87%,17%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",There should be a different Republican nominee,51%,43%,58%,51%,55%,50%,51%,48%,66%,57%,53%,62%,45%,63%,38%,61%,59%,50%,60%,44%,56%,64%,53%,40%,87%,17%,72%,87%,9%,77%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",[VOL] Don't know/Refused,7%,7%,6%,9%,8%,5%,7%,4%,13%,3%,20%,6%,7%,4%,5%,10%,12%,4%,5%,9%,8%,10%,5%,7%,6%,6%,20%,6%,4%,6%
"Do you think Donald Trump should remain the Republican Party’s nominee for president, or should there be a different Republican nominee for president?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Watched on debate night,59%,63%,56%,38%,49%,64%,74%,62%,50%,51%,52%,62%,57%,64%,61%,55%,50%,60%,58%,60%,56%,54%,60%,61%,56%,63%,48%,58%,67%,45%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Watched clips afterward,16%,15%,16%,23%,23%,13%,9%,16%,16%,13%,16%,18%,14%,18%,15%,19%,13%,14%,16%,16%,17%,20%,14%,15%,18%,14%,13%,17%,12%,25%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Heard about the debate,15%,15%,16%,25%,16%,13%,11%,14%,18%,19%,15%,14%,16%,14%,14%,15%,19%,16%,13%,16%,16%,15%,14%,17%,17%,12%,22%,18%,12%,12%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",No,10%,7%,12%,13%,12%,9%,6%,7%,16%,17%,17%,6%,12%,4%,9%,11%,18%,9%,13%,8%,11%,11%,12%,7%,9%,9%,17%,7%,7%,18%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",[VOL] Don't know/Refused,<.5%,<.5%,0%,0%,0%,<1%,<1%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<1%,0%,<.5%,0%,0%,<.5%,<.5%,0%,<1%,0%,0%,<1%,0%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",NET Watched or heard about,90%,92%,88%,87%,88%,90%,93%,93%,84%,83%,83%,94%,88%,96%,91%,89%,82%,91%,87%,91%,89%,89%,87%,93%,91%,90%,83%,93%,92%,82%
"Did you watch or hear about the presidential debate that took place on Thursday, June 27?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Very well,3%,4%,2%,2%,2%,2%,3%,2%,4%,2%,4%,2%,3%,1%,3%,3%,3%,3%,2%,3%,2%,3%,3%,2%,4%,2%,<.5%,5%,2%,<.5%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Somewhat well,14%,9%,18%,9%,12%,12%,19%,10%,35%,17%,10%,12%,15%,13%,9%,12%,27%,14%,11%,12%,17%,18%,14%,10%,28%,3%,4%,28%,3%,13%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Not too well,24%,21%,27%,36%,29%,17%,22%,22%,28%,30%,26%,27%,22%,24%,21%,34%,26%,25%,22%,25%,24%,28%,22%,24%,33%,17%,21%,32%,14%,25%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Not well at all,57%,63%,50%,51%,53%,68%,52%,62%,26%,49%,58%,55%,57%,59%,64%,45%,41%,55%,62%,56%,53%,49%,56%,61%,32%,76%,61%,32%,79%,60%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,[VOL] Don't know/Refused,3%,3%,3%,3%,5%,2%,3%,3%,6%,3%,2%,3%,3%,3%,3%,5%,3%,3%,3%,4%,3%,2%,4%,3%,3%,2%,14%,3%,1%,2%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,NET Well,16%,13%,19%,11%,13%,14%,23%,13%,40%,19%,14%,14%,17%,14%,12%,16%,30%,17%,13%,15%,19%,21%,18%,12%,32%,5%,4%,33%,5%,14%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,NET Not well,81%,84%,77%,86%,81%,85%,74%,84%,55%,78%,84%,83%,79%,83%,85%,80%,67%,80%,84%,81%,78%,77%,79%,85%,65%,93%,82%,64%,94%,85%
(If watched or heard about debate) How well do you think Joe Biden did in the presidential debate?,Number of respondents,"1,132",542,577,176,258,382,287,783,117,113,87,595,531,429,351,145,169,238,232,411,251,278,482,372,511,522,99,442,436,108
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Very well,22%,26%,19%,12%,15%,26%,29%,26%,7%,18%,16%,16%,26%,17%,33%,12%,13%,23%,16%,25%,23%,15%,20%,30%,2%,43%,3%,2%,49%,5%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Somewhat well,29%,32%,25%,34%,32%,34%,19%,29%,17%,38%,25%,26%,31%,27%,31%,24%,29%,27%,33%,29%,26%,23%,30%,31%,13%,44%,19%,12%,42%,34%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Not too well,16%,15%,17%,27%,22%,12%,12%,15%,23%,18%,21%,19%,15%,18%,13%,21%,20%,17%,16%,17%,15%,20%,16%,15%,26%,8%,18%,26%,5%,28%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Not well at all,27%,22%,33%,22%,26%,25%,36%,25%,46%,23%,31%,34%,23%,33%,19%,36%,32%,26%,30%,25%,30%,37%,29%,19%,53%,3%,46%,55%,2%,31%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,[VOL] Don't know/Refused,5%,5%,5%,6%,6%,4%,4%,5%,7%,4%,7%,6%,5%,5%,5%,8%,5%,7%,4%,5%,5%,5%,5%,6%,5%,3%,15%,5%,3%,2%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,NET Well,51%,58%,44%,45%,46%,59%,48%,55%,24%,56%,41%,42%,57%,43%,64%,35%,43%,50%,49%,53%,49%,38%,50%,60%,15%,87%,22%,14%,91%,39%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,NET Not well,44%,37%,50%,49%,48%,36%,48%,40%,68%,40%,52%,52%,38%,52%,32%,57%,52%,43%,46%,42%,45%,57%,45%,34%,79%,10%,64%,81%,6%,59%
(If watched or heard about debate) How well do you think Donald Trump did in the presidential debate?,Number of respondents,"1,132",542,577,176,258,382,287,783,117,113,87,595,531,429,351,145,169,238,232,411,251,278,482,372,511,522,99,442,436,108
(If watched or heard about debate) Who do you think did better in the debate?,Joe Biden,22%,16%,29%,20%,17%,19%,31%,19%,47%,16%,26%,23%,22%,22%,17%,27%,32%,25%,25%,20%,23%,31%,22%,18%,51%,<1%,12%,51%,<.5%,20%
(If watched or heard about debate) Who do you think did better in the debate?,Donald Trump,60%,69%,51%,59%,63%,68%,51%,66%,29%,66%,47%,56%,63%,59%,70%,46%,47%,57%,63%,64%,54%,47%,60%,69%,24%,94%,41%,23%,97%,57%
(If watched or heard about debate) Who do you think did better in the debate?,[VOL] About the same,1%,1%,2%,1%,1%,<1%,3%,<1%,1%,2%,5%,2%,<1%,2%,0%,3%,3%,<1%,<1%,2%,2%,1%,3%,<.5%,2%,<1%,4%,2%,<.5%,1%
(If watched or heard about debate) Who do you think did better in the debate?,[VOL] Neither did better,10%,9%,11%,6%,12%,8%,11%,8%,14%,10%,14%,12%,8%,11%,7%,16%,11%,10%,8%,9%,12%,15%,9%,8%,17%,2%,21%,17%,1%,15%
(If watched or heard about debate) Who do you think did better in the debate?,[VOL] Don't know/Refused,6%,4%,7%,13%,6%,4%,5%,6%,9%,5%,8%,6%,6%,6%,5%,8%,7%,7%,4%,5%,8%,6%,7%,5%,7%,2%,21%,8%,1%,7%
(If watched or heard about debate) Who do you think did better in the debate?,Number of respondents,"1,132",542,577,176,258,382,287,783,117,113,87,595,531,429,351,145,169,238,232,411,251,278,482,372,511,522,99,442,436,108
Do you think Donald Trump left the country better or worse than when he took office?,Better,47%,52%,43%,46%,44%,54%,45%,53%,22%,50%,33%,34%,56%,36%,65%,26%,40%,51%,41%,54%,39%,30%,45%,61%,4%,88%,22%,4%,92%,36%
Do you think Donald Trump left the country better or worse than when he took office?,Worse,46%,39%,51%,48%,46%,42%,49%,43%,69%,38%,50%,59%,38%,59%,31%,61%,49%,42%,55%,40%,49%,62%,46%,34%,91%,6%,54%,94%,3%,50%
Do you think Donald Trump left the country better or worse than when he took office?,[VOL] The same,2%,2%,1%,2%,4%,<1%,1%,1%,2%,2%,1%,2%,2%,2%,1%,2%,2%,<1%,2%,<1%,4%,2%,3%,<.5%,<1%,2%,5%,0%,1%,6%
Do you think Donald Trump left the country better or worse than when he took office?,[VOL] Don't know/Refused,5%,6%,5%,5%,6%,4%,5%,3%,6%,10%,16%,5%,5%,3%,3%,11%,9%,7%,2%,5%,8%,5%,6%,5%,4%,4%,19%,2%,4%,8%
Do you think Donald Trump left the country better or worse than when he took office?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Do you think Joe Biden has made the country better or worse since taking office?,Better,34%,28%,38%,26%,28%,32%,46%,33%,53%,28%,25%,45%,27%,47%,23%,43%,34%,36%,39%,27%,37%,42%,35%,26%,78%,2%,7%,86%,2%,17%
Do you think Joe Biden has made the country better or worse since taking office?,Worse,58%,66%,52%,62%,62%,64%,47%,62%,35%,61%,52%,47%,65%,48%,72%,43%,52%,58%,54%,63%,53%,47%,55%,69%,13%,94%,68%,9%,96%,70%
Do you think Joe Biden has made the country better or worse since taking office?,[VOL] The same,5%,3%,6%,7%,7%,3%,5%,3%,7%,4%,13%,4%,5%,3%,3%,8%,7%,3%,6%,5%,5%,6%,6%,3%,6%,2%,13%,3%,<1%,11%
Do you think Joe Biden has made the country better or worse since taking office?,[VOL] Don't know/Refused,4%,3%,4%,5%,3%,2%,3%,2%,5%,7%,10%,3%,3%,2%,1%,7%,7%,3%,<1%,5%,5%,5%,4%,3%,4%,2%,12%,2%,1%,2%
Do you think Joe Biden has made the country better or worse since taking office?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Joe Biden is just too old to be an effective president.,Strongly agree,53%,60%,48%,64%,57%,55%,44%,56%,32%,61%,54%,49%,56%,49%,60%,49%,48%,50%,54%,54%,56%,52%,53%,55%,29%,71%,64%,23%,71%,69%
Joe Biden is just too old to be an effective president.,Somewhat agree,21%,17%,25%,20%,27%,19%,20%,21%,21%,22%,19%,25%,19%,25%,19%,26%,19%,25%,23%,17%,21%,23%,22%,19%,32%,12%,19%,35%,12%,20%
Joe Biden is just too old to be an effective president.,Somewhat disagree,11%,9%,14%,9%,9%,12%,13%,10%,21%,7%,16%,13%,10%,15%,7%,11%,17%,11%,13%,12%,8%,14%,10%,11%,19%,6%,5%,20%,6%,6%
Joe Biden is just too old to be an effective president.,Strongly disagree,10%,11%,10%,4%,5%,11%,18%,9%,23%,8%,6%,10%,10%,9%,9%,12%,13%,11%,7%,12%,10%,10%,11%,9%,18%,5%,4%,20%,6%,4%
Joe Biden is just too old to be an effective president.,[VOL] Don’t know/Refused,4%,4%,4%,3%,2%,3%,6%,4%,3%,2%,5%,3%,4%,3%,4%,3%,4%,4%,3%,5%,4%,1%,4%,6%,2%,5%,7%,2%,5%,2%
Joe Biden is just too old to be an effective president.,NET Agree,74%,77%,73%,84%,84%,74%,64%,77%,53%,83%,73%,74%,75%,74%,79%,74%,67%,74%,77%,71%,78%,75%,75%,74%,61%,84%,83%,57%,83%,88%
Joe Biden is just too old to be an effective president.,NET Disagree,22%,20%,24%,13%,14%,23%,31%,19%,44%,15%,22%,23%,21%,24%,17%,23%,29%,22%,20%,24%,18%,24%,22%,20%,37%,12%,9%,41%,12%,10%
Joe Biden is just too old to be an effective president.,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Donald Trump is just too old to be an effective president.,Strongly agree,22%,21%,22%,29%,20%,18%,24%,20%,24%,26%,28%,24%,21%,23%,18%,27%,26%,22%,23%,17%,28%,31%,20%,17%,39%,6%,31%,36%,4%,33%
Donald Trump is just too old to be an effective president.,Somewhat agree,21%,17%,24%,31%,24%,19%,12%,20%,20%,25%,21%,25%,18%,24%,17%,27%,20%,23%,19%,18%,24%,23%,25%,14%,25%,15%,29%,26%,13%,27%
Donald Trump is just too old to be an effective president.,Somewhat disagree,21%,22%,21%,21%,27%,20%,19%,21%,25%,17%,27%,24%,20%,27%,16%,19%,25%,19%,24%,23%,19%,20%,20%,24%,21%,22%,19%,21%,20%,23%
Donald Trump is just too old to be an effective president.,Strongly disagree,33%,37%,29%,18%,24%,42%,39%,36%,26%,29%,21%,23%,38%,23%,45%,21%,26%,33%,32%,37%,27%,23%,32%,40%,11%,55%,11%,13%,60%,16%
Donald Trump is just too old to be an effective president.,[VOL] Don’t know/Refused,4%,3%,4%,2%,4%,1%,6%,3%,5%,3%,4%,4%,4%,3%,4%,6%,3%,4%,2%,6%,3%,3%,4%,5%,4%,3%,10%,4%,3%,1%
Donald Trump is just too old to be an effective president.,NET Agree,42%,38%,46%,60%,44%,37%,36%,40%,44%,51%,49%,49%,39%,47%,35%,54%,46%,45%,42%,35%,52%,54%,45%,31%,64%,21%,60%,62%,17%,60%
Donald Trump is just too old to be an effective president.,NET Disagree,54%,59%,50%,39%,52%,61%,58%,57%,51%,46%,47%,47%,58%,50%,61%,40%,51%,52%,56%,60%,45%,43%,51%,64%,33%,76%,30%,34%,80%,39%
Donald Trump is just too old to be an effective president.,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Joe Biden’s age makes him ineffective, but he is still able to handle the job of president well enough",22%,18%,25%,23%,23%,21%,22%,21%,27%,21%,20%,28%,18%,28%,17%,30%,20%,25%,24%,18%,21%,25%,24%,17%,43%,5%,18%,43%,5%,23%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Joe Biden’s age is such a problem that he is not capable of handling the job of president,50%,55%,45%,59%,58%,49%,39%,53%,22%,56%,52%,43%,54%,43%,60%,40%,44%,48%,48%,51%,53%,47%,49%,54%,16%,76%,63%,11%,75%,65%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,3%,3%,3%,2%,2%,4%,2%,2%,4%,5%,2%,3%,2%,3%,2%,4%,4%,2%,5%,2%,4%,3%,3%,3%,3%,3%,3%,3%,3%,<1%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,11%,9%,14%,9%,9%,12%,13%,10%,21%,7%,16%,13%,10%,15%,7%,11%,17%,11%,13%,12%,8%,14%,10%,11%,19%,6%,5%,20%,6%,6%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,10%,11%,10%,4%,5%,11%,18%,9%,23%,8%,6%,10%,10%,9%,9%,12%,13%,11%,7%,12%,10%,10%,11%,9%,18%,5%,4%,20%,6%,4%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,4%,4%,4%,3%,2%,3%,6%,4%,3%,2%,5%,3%,4%,3%,4%,3%,4%,4%,3%,5%,4%,1%,4%,6%,2%,5%,7%,2%,5%,2%
"(If Biden is too old to be effective)  Thinking again about Joe Biden’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?","Donald Trump’s age makes him ineffective, but he is still able to handle the job of president well enough",21%,20%,22%,37%,22%,19%,13%,21%,16%,30%,18%,24%,20%,23%,20%,25%,20%,23%,22%,17%,25%,20%,25%,16%,21%,18%,33%,20%,15%,40%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Donald Trump’s age  is such a problem that he is not capable of handling the job of president,19%,16%,21%,20%,20%,17%,20%,17%,21%,19%,28%,23%,16%,23%,14%,26%,22%,20%,17%,16%,24%,30%,17%,13%,39%,2%,23%,38%,1%,20%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[VOL] Don't know/Refused,2%,2%,3%,3%,2%,2%,3%,2%,7%,2%,3%,2%,3%,1%,2%,3%,5%,2%,3%,2%,3%,4%,2%,<1%,3%,1%,4%,4%,<1%,<.5%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Somewhat disagree,21%,22%,21%,21%,27%,20%,19%,21%,25%,17%,27%,24%,20%,27%,16%,19%,25%,19%,24%,23%,19%,20%,20%,24%,21%,22%,19%,21%,20%,23%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Strongly disagree,33%,37%,29%,18%,24%,42%,39%,36%,26%,29%,21%,23%,38%,23%,45%,21%,26%,33%,32%,37%,27%,23%,32%,40%,11%,55%,11%,13%,60%,16%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",[PREVIOUSLY] Don't know/Refused,4%,3%,4%,2%,4%,1%,6%,3%,5%,3%,4%,4%,4%,3%,4%,6%,3%,4%,2%,6%,3%,3%,4%,5%,4%,3%,10%,4%,3%,1%
"(If Trump is too old to be effective) Thinking again about Donald Trump’s age, which of the following statements comes closer to your view, even if neither is exactly right?",Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Do you think Joe Biden has the personality and temperament to be an effective president?,Yes,48%,43%,54%,46%,47%,45%,56%,45%,76%,40%,55%,60%,42%,58%,35%,64%,54%,47%,55%,44%,50%,61%,49%,39%,89%,17%,41%,92%,13%,48%
Do you think Joe Biden has the personality and temperament to be an effective president?,No,50%,55%,45%,52%,52%,54%,42%,54%,21%,57%,43%,39%,57%,40%,64%,33%,44%,51%,44%,53%,49%,37%,49%,59%,10%,82%,51%,7%,87%,52%
Do you think Joe Biden has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,2%,2%,2%,2%,1%,<1%,2%,1%,3%,3%,2%,2%,2%,1%,1%,3%,3%,2%,1%,3%,<.5%,2%,2%,2%,1%,<1%,8%,<1%,<1%,0%
Do you think Joe Biden has the personality and temperament to be an effective president?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
Do you think Donald Trump has the personality and temperament to be an effective president?,Yes,45%,53%,38%,41%,45%,51%,40%,49%,20%,52%,37%,32%,53%,33%,60%,27%,40%,44%,38%,51%,42%,32%,42%,57%,5%,83%,18%,3%,89%,32%
Do you think Donald Trump has the personality and temperament to be an effective president?,No,53%,45%,61%,56%,54%,49%,57%,50%,74%,47%,62%,66%,45%,65%,39%,71%,57%,54%,60%,45%,57%,66%,56%,41%,94%,15%,72%,96%,10%,65%
Do you think Donald Trump has the personality and temperament to be an effective president?,[VOL] Don’t know/Refused,2%,2%,2%,2%,2%,<1%,2%,1%,6%,1%,<1%,2%,2%,2%,<1%,2%,4%,1%,1%,4%,1%,2%,2%,2%,<1%,2%,9%,<1%,2%,3%
Do you think Donald Trump has the personality and temperament to be an effective president?,Number of respondents,"1,235",580,641,198,285,419,301,834,135,132,100,629,598,447,384,161,202,259,257,444,275,300,536,399,549,569,117,468,467,127
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),20%,23%,18%,15%,19%,27%,16%,20%,16%,22%,21%,19%,21%,17%,23%,25%,17%,20%,21%,22%,16%,18%,19%,24%,12%,28%,16%,11%,28%,23%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,6%,8%,5%,7%,11%,4%,4%,6%,4%,7%,7%,4%,8%,4%,8%,4%,7%,8%,5%,5%,8%,5%,5%,7%,3%,9%,4%,3%,8%,9%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,8%,3%,13%,13%,7%,7%,8%,9%,8%,6%,7%,12%,6%,14%,6%,7%,7%,7%,11%,7%,8%,10%,8%,7%,15%,4%,4%,15%,4%,5%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,14%,17%,13%,7%,8%,21%,17%,17%,4%,15%,8%,11%,16%,12%,21%,10%,9%,17%,15%,15%,11%,8%,14%,19%,4%,24%,8%,4%,27%,9%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,0%,1%,0%,<.5%,<.5%,<.5%,<.5%,0%,<1%,0%,<.5%,<.5%,<1%,0%,<1%,<.5%,<1%,<.5%,0%,<1%,<.5%,0%
