itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,sub_poll_phil,sub_poll_rest_of_pa,sub_poll_rest_of_u_s,x2024_vote_head_to_head_harris
Donald Trump,NET Unfavorable,51%,45%,55%,65%,53%,49%,47%,47%,78%,52%,53%,47%,62%,66%,41%,65%,34%,72%,56%,47%,57%,46%,54%,61%,59%,34%,78%,50%,50%,95%
Donald Trump,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Kamala [COMMA-luh] Harris,Very favorable,30%,24%,35%,16%,27%,33%,36%,29%,51%,31%,18%,29%,35%,40%,24%,41%,20%,40%,32%,26%,34%,30%,30%,36%,36%,19%,48%,33%,30%,62%
Kamala [COMMA-luh] Harris,Somewhat favorable,18%,17%,20%,43%,23%,15%,8%,14%,28%,26%,28%,14%,27%,22%,16%,21%,10%,27%,28%,17%,21%,17%,20%,25%,21%,11%,29%,15%,18%,33%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,8%,10%,6%,16%,11%,8%,3%,7%,4%,13%,16%,7%,10%,8%,8%,7%,7%,12%,10%,8%,9%,8%,8%,9%,8%,8%,6%,9%,8%,2%
Kamala [COMMA-luh] Harris,Very unfavorable,41%,46%,36%,21%,37%,44%,50%,48%,15%,22%,35%,48%,23%,29%,50%,32%,61%,20%,24%,48%,35%,43%,37%,27%,34%,59%,13%,42%,41%,<1%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<.5%,<.5%,<.5%,0%,<1%,<1%,0%,0%,3%,<.5%,0%,1%,<.5%,<1%,0%,0%,<.5%,2%,0%,<.5%,0%,1%,<1%,0%,<.5%,0%,<.5%,<.5%,<.5%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,2%,3%,2%,<1%,2%,1%,2%,4%,3%,1%,3%,<1%,3%,<.5%,2%,1%,5%,1%,<1%,2%,3%,3%,1%,2%,4%,<1%,2%,1%
Kamala [COMMA-luh] Harris,NET Favorable,48%,41%,55%,59%,51%,47%,44%,43%,79%,57%,46%,43%,62%,62%,40%,61%,30%,67%,60%,43%,56%,47%,50%,60%,57%,30%,77%,48%,48%,96%
Kamala [COMMA-luh] Harris,NET Unfavorable,49%,57%,42%,37%,47%,52%,53%,56%,19%,36%,50%,56%,33%,37%,57%,39%,68%,32%,33%,56%,43%,52%,45%,36%,41%,67%,19%,51%,50%,3%
Kamala [COMMA-luh] Harris,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
Taylor Swift,Very favorable,17%,13%,21%,14%,19%,14%,23%,18%,17%,21%,12%,18%,17%,22%,14%,24%,13%,18%,17%,15%,19%,18%,15%,23%,18%,13%,21%,18%,17%,30%
Taylor Swift,Somewhat favorable,27%,28%,26%,35%,31%,28%,20%,27%,35%,21%,30%,27%,29%,34%,22%,36%,20%,31%,28%,27%,31%,23%,29%,29%,29%,23%,30%,27%,27%,39%
Taylor Swift,Somewhat unfavorable,11%,13%,10%,22%,12%,9%,7%,11%,8%,12%,10%,11%,10%,9%,12%,9%,13%,10%,10%,12%,9%,11%,12%,10%,12%,11%,11%,12%,11%,7%
Taylor Swift,Very unfavorable,23%,23%,22%,20%,21%,26%,23%,24%,17%,20%,30%,24%,21%,14%,29%,13%,32%,14%,26%,21%,22%,27%,20%,18%,21%,29%,12%,22%,23%,5%
Taylor Swift,[VOL] Have not heard of,4%,5%,3%,1%,2%,5%,6%,3%,6%,13%,2%,3%,7%,3%,5%,3%,3%,5%,9%,4%,2%,4%,7%,7%,3%,4%,5%,2%,4%,3%
Taylor Swift,[VOL] Don't know/Refused,18%,18%,17%,9%,16%,19%,21%,18%,18%,14%,15%,18%,15%,18%,17%,15%,19%,22%,11%,21%,16%,17%,17%,14%,16%,21%,22%,18%,17%,15%
Taylor Swift,NET Favorable,44%,41%,48%,48%,50%,42%,43%,45%,52%,42%,43%,45%,46%,56%,36%,60%,33%,49%,44%,43%,51%,42%,44%,52%,48%,36%,51%,46%,44%,69%
Taylor Swift,NET Unfavorable,34%,36%,32%,42%,32%,35%,30%,35%,25%,32%,40%,35%,31%,23%,42%,22%,45%,24%,36%,32%,31%,38%,32%,27%,33%,39%,23%,34%,34%,12%
Taylor Swift,Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Very enthusiastic,59%,59%,60%,31%,51%,60%,77%,64%,58%,44%,43%,64%,49%,63%,57%,66%,62%,55%,45%,59%,60%,62%,55%,59%,58%,61%,59%,63%,59%,63%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Somewhat enthusiastic,23%,22%,24%,37%,26%,25%,13%,21%,24%,33%,28%,21%,28%,21%,25%,19%,21%,23%,32%,25%,26%,20%,24%,23%,24%,22%,25%,21%,23%,24%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not very enthusiastic,9%,10%,9%,23%,11%,7%,6%,9%,7%,12%,14%,9%,11%,10%,9%,9%,9%,12%,9%,8%,7%,9%,13%,10%,10%,8%,6%,10%,9%,7%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not at all enthusiastic,7%,9%,6%,9%,12%,7%,4%,6%,11%,11%,14%,6%,12%,7%,8%,6%,6%,10%,13%,7%,6%,9%,7%,9%,7%,8%,8%,6%,8%,5%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",[VOL] Don’t know/Refused,<1%,<1%,<1%,<.5%,0%,<1%,2%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,0%,1%,0%,2%,0%,<.5%,<.5%,1%,1%,<.5%,<.5%,1%,<1%,1%,<1%,<1%,<1%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Enthusiastic,82%,81%,84%,68%,77%,85%,89%,84%,82%,76%,71%,84%,77%,83%,82%,86%,83%,78%,77%,85%,86%,81%,79%,81%,82%,84%,85%,84%,82%,87%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Not enthusiastic,17%,19%,15%,32%,23%,14%,9%,15%,18%,23%,28%,15%,23%,17%,17%,14%,15%,22%,22%,15%,13%,18%,21%,19%,17%,16%,14%,15%,17%,12%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
"Did you watch or hear about the presidential debate that took place on Tuesday, September 10?",Watched on debate night,69%,68%,70%,47%,60%,72%,81%,71%,73%,56%,65%,71%,65%,74%,65%,75%,68%,73%,60%,66%,73%,68%,69%,71%,71%,65%,69%,71%,69%,72%
"Did you watch or hear about the presidential debate that took place on Tuesday, September 10?",Watched clips afterward,12%,12%,12%,27%,17%,10%,4%,11%,7%,14%,22%,11%,14%,11%,13%,11%,12%,12%,15%,10%,11%,11%,15%,11%,13%,11%,11%,10%,12%,13%
"Did you watch or hear about the presidential debate that took place on Tuesday, September 10?",Heard about the debate,11%,11%,11%,17%,11%,8%,9%,10%,10%,11%,8%,10%,10%,9%,12%,9%,11%,7%,11%,15%,11%,8%,9%,6%,11%,14%,9%,10%,11%,8%
"Did you watch or hear about the presidential debate that took place on Tuesday, September 10?",No,8%,9%,8%,9%,12%,9%,5%,7%,9%,20%,5%,7%,12%,6%,10%,5%,8%,8%,14%,8%,5%,11%,7%,10%,6%,10%,11%,8%,8%,7%
"Did you watch or hear about the presidential debate that took place on Tuesday, September 10?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,0%,<1%,<.5%,<.5%
"Did you watch or hear about the presidential debate that took place on Tuesday, September 10?",NET Watched or heard about,91%,91%,92%,91%,88%,91%,95%,93%,91%,80%,95%,93%,88%,94%,90%,94%,92%,92%,86%,92%,95%,88%,93%,89%,94%,90%,89%,92%,91%,93%
"Did you watch or hear about the presidential debate that took place on Tuesday, September 10?",Number of respondents,"2,003",921,"1,050",350,511,632,429,"1,329",268,185,156,"1,329",609,"1,014",972,714,607,270,336,262,"1,053",414,274,607,817,579,304,556,"1,143","1,077"
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,Very well,35%,31%,39%,25%,35%,34%,41%,34%,61%,31%,22%,34%,40%,44%,28%,44%,26%,47%,35%,30%,40%,36%,33%,44%,39%,24%,55%,38%,35%,67%
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,Somewhat well,32%,37%,27%,50%,35%,32%,21%,30%,26%,41%,48%,30%,37%,34%,30%,34%,27%,35%,39%,33%,35%,26%,36%,31%,36%,27%,32%,28%,32%,30%
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,Not too well,13%,12%,14%,14%,15%,14%,11%,14%,7%,12%,9%,14%,9%,10%,15%,10%,17%,7%,10%,10%,12%,15%,14%,11%,10%,19%,9%,10%,13%,<1%
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,Not well at all,16%,18%,15%,5%,11%,17%,24%,18%,5%,12%,18%,18%,11%,9%,22%,9%,25%,9%,12%,22%,9%,21%,12%,12%,12%,24%,2%,19%,16%,<.5%
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,[VOL] Don’t know/Refused,4%,3%,5%,7%,3%,3%,4%,4%,2%,5%,3%,4%,3%,4%,4%,3%,4%,2%,4%,5%,4%,3%,4%,2%,3%,6%,3%,4%,4%,3%
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,NET Well,67%,68%,66%,75%,70%,66%,62%,63%,87%,71%,70%,63%,77%,78%,59%,78%,53%,82%,74%,63%,75%,61%,69%,75%,75%,51%,87%,67%,66%,96%
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,NET Not well,29%,30%,29%,18%,27%,30%,34%,33%,12%,24%,28%,33%,20%,18%,37%,19%,43%,17%,22%,32%,21%,35%,26%,23%,22%,43%,11%,29%,30%,<1%
(If watched or heard about the debate)  How well do you think Kamala Harris did in the presidential debate?,Number of respondents,"1,829",840,961,319,457,579,398,"1,241",243,148,141,"1,241",532,955,858,679,554,250,280,241,973,366,249,548,760,521,278,513,"1,038","1,005"
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,Very well,13%,15%,11%,7%,9%,13%,16%,14%,4%,10%,11%,14%,8%,8%,16%,8%,19%,6%,9%,13%,7%,15%,14%,9%,10%,19%,4%,12%,13%,<.5%
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,Somewhat well,27%,30%,24%,22%,29%,26%,28%,29%,15%,22%,30%,29%,22%,18%,34%,18%,38%,18%,24%,31%,24%,29%,24%,18%,24%,37%,11%,25%,27%,3%
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,Not too well,18%,18%,17%,26%,21%,16%,12%,16%,12%,33%,20%,16%,21%,20%,16%,20%,13%,19%,23%,20%,20%,12%,21%,23%,18%,13%,26%,18%,18%,18%
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,Not well at all,39%,33%,44%,37%,40%,41%,39%,37%,66%,31%,34%,37%,45%,52%,30%,52%,27%,56%,38%,32%,45%,40%,37%,47%,45%,25%,56%,42%,38%,76%
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,[VOL] Don’t know/Refused,4%,4%,4%,7%,2%,4%,4%,3%,3%,5%,5%,3%,4%,3%,5%,2%,4%,2%,6%,4%,5%,3%,4%,3%,3%,6%,3%,3%,4%,3%
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,NET Well,40%,45%,35%,30%,37%,39%,45%,44%,18%,32%,41%,44%,29%,26%,50%,26%,56%,24%,33%,44%,31%,44%,38%,27%,33%,56%,15%,38%,40%,3%
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,NET Not well,56%,51%,60%,63%,61%,57%,51%,53%,78%,64%,54%,53%,67%,71%,46%,72%,40%,75%,61%,52%,64%,53%,58%,70%,63%,39%,82%,59%,56%,94%
(If watched or heard about the debate)  How well do you think Donald Trump did in the presidential debate?,Number of respondents,"1,829",840,961,319,457,579,398,"1,241",243,148,141,"1,241",532,955,858,679,554,250,280,241,973,366,249,548,760,521,278,513,"1,038","1,005"
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,Very fair,33%,29%,37%,32%,32%,29%,38%,29%,59%,42%,23%,29%,43%,38%,29%,36%,24%,46%,42%,27%,35%,35%,32%,39%,38%,23%,47%,33%,33%,61%
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,Somewhat fair,19%,19%,20%,33%,23%,21%,11%,19%,17%,24%,25%,19%,21%,21%,18%,22%,16%,18%,24%,22%,21%,14%,23%,25%,22%,13%,26%,19%,19%,26%
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,Somewhat unfair,12%,14%,10%,11%,13%,11%,12%,13%,8%,7%,15%,13%,10%,13%,11%,13%,13%,12%,8%,11%,14%,10%,13%,12%,12%,12%,10%,12%,12%,5%
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,Very unfair,30%,33%,26%,14%,23%,34%,35%,33%,13%,22%,28%,33%,20%,23%,35%,24%,40%,20%,20%,31%,24%,36%,25%,19%,24%,44%,10%,30%,30%,<1%
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,[VOL] Don’t know/Refused,6%,5%,8%,10%,9%,5%,4%,6%,3%,5%,9%,6%,5%,6%,7%,5%,7%,4%,6%,8%,6%,5%,7%,5%,5%,9%,7%,6%,6%,6%
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,NET Generally fair,52%,48%,57%,65%,55%,50%,49%,48%,75%,66%,48%,48%,65%,59%,47%,59%,40%,63%,66%,49%,56%,49%,56%,64%,59%,36%,73%,52%,52%,87%
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,NET Generally unfair,42%,47%,36%,24%,36%,45%,47%,46%,21%,29%,43%,46%,30%,35%,46%,37%,53%,32%,28%,42%,38%,46%,37%,31%,36%,55%,20%,43%,42%,6%
(If watched or heard about the debate)  Do you think the debate moderators were generally fair or unfair?,Number of respondents,"1,829",840,961,319,457,579,398,"1,241",243,148,141,"1,241",532,955,858,679,554,250,280,241,973,366,249,548,760,521,278,513,"1,038","1,005"
The economy,Kamala Harris,41%,34%,47%,43%,43%,41%,42%,39%,67%,41%,35%,39%,49%,55%,32%,56%,27%,56%,45%,35%,47%,40%,42%,53%,49%,24%,72%,44%,41%,86%
The economy,Donald Trump,54%,60%,49%,46%,53%,54%,56%,58%,30%,47%,56%,58%,43%,41%,63%,41%,70%,40%,45%,61%,47%,58%,48%,41%,45%,73%,23%,54%,54%,9%
The economy,[VOL] Don’t know/Refused,5%,5%,4%,11%,4%,5%,2%,3%,3%,12%,9%,3%,8%,4%,5%,3%,3%,4%,11%,4%,5%,1%,10%,6%,5%,3%,5%,2%,5%,5%
The economy,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares,MARGIN Trump +13 Calculated using candidates’ unrounded vote shares
Abortion,Kamala Harris,54%,47%,60%,73%,58%,53%,45%,48%,83%,63%,59%,48%,69%,67%,45%,64%,36%,77%,65%,47%,63%,50%,57%,65%,63%,35%,83%,56%,53%,97%
Abortion,Donald Trump,41%,45%,37%,21%,37%,41%,50%,47%,13%,28%,38%,47%,25%,29%,49%,32%,58%,21%,27%,45%,32%,45%,38%,26%,32%,60%,12%,37%,41%,1%
Abortion,[VOL] Don’t know/Refused,6%,8%,3%,6%,5%,6%,5%,5%,3%,9%,3%,5%,6%,4%,7%,4%,6%,2%,8%,8%,5%,5%,5%,9%,5%,5%,4%,7%,6%,2%
Abortion,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares,MARGIN Harris +13 Calculated using candidates’ unrounded vote shares
Immigration,Kamala Harris,42%,34%,50%,57%,42%,41%,40%,38%,66%,51%,43%,38%,54%,57%,33%,57%,25%,60%,51%,35%,48%,39%,48%,54%,51%,24%,71%,41%,42%,86%
Immigration,Donald Trump,54%,63%,46%,38%,52%,54%,59%,59%,31%,39%,53%,59%,40%,39%,63%,40%,72%,37%,41%,60%,48%,58%,46%,39%,45%,73%,26%,56%,54%,10%
Immigration,[VOL] Don’t know/Refused,4%,4%,4%,4%,6%,5%,2%,3%,3%,10%,4%,3%,6%,4%,4%,3%,2%,3%,8%,4%,4%,2%,6%,8%,3%,3%,3%,3%,4%,4%
Immigration,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares,MARGIN Trump +11 Calculated using candidates’ unrounded vote shares
Democracy,Kamala Harris,50%,43%,56%,65%,53%,48%,44%,44%,80%,58%,51%,44%,64%,65%,40%,63%,31%,70%,61%,44%,57%,47%,52%,63%,59%,31%,78%,49%,50%,98%
Democracy,Donald Trump,46%,50%,41%,31%,41%,47%,52%,52%,15%,32%,47%,52%,30%,32%,54%,33%,65%,27%,31%,51%,38%,49%,42%,32%,37%,63%,18%,47%,46%,<1%
Democracy,[VOL] Don’t know/Refused,5%,7%,3%,4%,6%,5%,4%,4%,5%,10%,2%,4%,6%,4%,6%,3%,4%,3%,8%,5%,4%,4%,6%,5%,4%,6%,3%,4%,5%,2%
Democracy,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares
The Ukraine-Russia war,Kamala Harris,43%,36%,50%,47%,46%,43%,42%,41%,72%,40%,41%,41%,52%,59%,33%,60%,27%,59%,48%,40%,51%,39%,46%,54%,53%,26%,68%,44%,43%,88%
The Ukraine-Russia war,Donald Trump,51%,58%,44%,43%,47%,51%,55%,56%,21%,49%,49%,56%,38%,36%,60%,37%,69%,35%,41%,55%,44%,55%,46%,37%,42%,69%,23%,51%,51%,5%
The Ukraine-Russia war,[VOL] Don’t know/Refused,6%,6%,6%,10%,7%,5%,3%,4%,8%,11%,10%,4%,10%,5%,7%,3%,4%,6%,11%,5%,5%,6%,8%,10%,5%,5%,9%,5%,6%,6%
