itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,46%,53%,41%,41%,38%,51%,49%,55%,8%,35%,35%,36%,54%,42%,65%,18%,28%,52%,36%,52%,41%,32%,38%,65%,2%,91%,28%,3%,92%,43%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,49%,42%,55%,50%,57%,45%,48%,42%,90%,54%,57%,60%,41%,55%,32%,75%,65%,45%,58%,44%,54%,63%,57%,32%,94%,6%,35%,95%,7%,48%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,5%,2%,6%,5%,4%,<1%,2%,2%,8%,6%,3%,3%,3%,2%,4%,6%,2%,4%,3%,4%,2%,4%,3%,2%,2%,35%,<.5%,<.5%,9%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,1%,1%,3%,<1%,0%,2%,1%,<1%,3%,2%,<1%,1%,<1%,1%,2%,<.5%,<.5%,2%,1%,1%,2%,2%,<1%,2%,<1%,2%,2%,<1%,<1%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,139",570,556,106,272,411,313,801,115,103,90,624,505,437,360,169,135,248,243,403,245,263,474,402,565,541,33,369,369,342
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,17%,14%,20%,2%,13%,19%,29%,17%,33%,12%,11%,24%,13%,26%,11%,22%,18%,18%,21%,15%,18%,20%,21%,11%,37%,<.5%,<1%,46%,<1%,10%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,20%,18%,21%,22%,25%,17%,18%,18%,30%,19%,24%,26%,16%,24%,14%,32%,20%,20%,25%,18%,18%,27%,22%,12%,40%,2%,9%,37%,5%,21%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,14%,13%,15%,35%,16%,7%,6%,10%,16%,27%,18%,9%,16%,7%,12%,16%,23%,9%,10%,15%,19%,13%,15%,12%,14%,11%,32%,8%,6%,24%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,46%,52%,40%,38%,43%,53%,46%,53%,18%,34%,41%,37%,51%,40%,61%,26%,33%,52%,41%,49%,40%,34%,39%,62%,6%,85%,32%,6%,87%,42%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,4%,3%,3%,4%,4%,4%,2%,2%,4%,8%,6%,3%,3%,3%,2%,5%,5%,3%,2%,4%,5%,5%,4%,2%,3%,1%,26%,3%,2%,4%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,37%,32%,42%,24%,38%,36%,46%,35%,62%,31%,35%,50%,29%,50%,25%,53%,38%,37%,46%,32%,36%,48%,42%,24%,77%,3%,10%,82%,6%,31%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,59%,65%,55%,72%,59%,60%,51%,63%,34%,61%,59%,46%,68%,47%,73%,42%,57%,60%,51%,64%,58%,47%,54%,74%,20%,96%,64%,15%,93%,66%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very favorable,27%,30%,25%,16%,19%,32%,35%,33%,5%,18%,19%,17%,33%,20%,42%,11%,15%,28%,25%,30%,22%,19%,22%,38%,<1%,55%,2%,2%,63%,16%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat favorable,19%,23%,15%,29%,23%,17%,12%,19%,9%,31%,16%,18%,20%,20%,18%,13%,23%,20%,19%,20%,17%,18%,18%,21%,3%,35%,12%,3%,24%,25%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Somewhat unfavorable,10%,11%,10%,19%,12%,9%,4%,8%,22%,9%,9%,9%,11%,7%,9%,15%,13%,11%,8%,10%,13%,13%,9%,10%,11%,7%,32%,8%,5%,18%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Very unfavorable,42%,34%,48%,35%,46%,39%,47%,39%,62%,37%,52%,54%,35%,52%,30%,61%,44%,39%,48%,38%,45%,48%,49%,29%,85%,2%,37%,87%,6%,40%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Have not heard of,<.5%,0%,0%,0%,0%,<1%,0%,0%,0%,2%,0%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,3%,0%,0%,0%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",[VOL] Don't know/Refused,2%,1%,2%,2%,<1%,2%,2%,<1%,2%,4%,4%,1%,2%,1%,<1%,<1%,4%,<1%,<1%,2%,3%,2%,1%,2%,<1%,1%,14%,<.5%,2%,1%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Favorable,46%,53%,40%,45%,41%,49%,47%,52%,14%,49%,36%,35%,53%,40%,60%,23%,38%,49%,44%,50%,39%,37%,40%,59%,3%,90%,14%,5%,87%,41%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",NET Unfavorable,52%,46%,58%,53%,58%,48%,51%,47%,84%,45%,61%,64%,45%,59%,39%,76%,57%,50%,56%,47%,58%,61%,58%,39%,96%,9%,69%,94%,11%,58%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Donald Trump.",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Very favorable,24%,18%,29%,11%,22%,24%,34%,23%,44%,19%,20%,31%,20%,32%,17%,31%,27%,27%,28%,22%,22%,28%,30%,16%,52%,<1%,4%,62%,3%,14%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Somewhat favorable,21%,20%,23%,36%,27%,17%,13%,17%,35%,31%,25%,24%,20%,21%,15%,33%,29%,16%,25%,20%,25%,31%,21%,15%,38%,7%,10%,27%,5%,31%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Somewhat unfavorable,13%,15%,11%,24%,15%,11%,7%,12%,8%,15%,23%,11%,14%,11%,12%,12%,17%,11%,11%,14%,15%,11%,13%,13%,6%,17%,32%,5%,13%,17%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Very unfavorable,37%,44%,31%,25%,31%,44%,43%,46%,9%,22%,29%,31%,41%,34%,53%,21%,18%,44%,33%,39%,32%,26%,30%,53%,<1%,73%,29%,3%,77%,32%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",[VOL] Have not heard of,<1%,<1%,<1%,2%,<1%,0%,<1%,<.5%,0%,3%,2%,<.5%,<1%,<.5%,<.5%,0%,3%,<.5%,<1%,<1%,1%,<1%,<1%,<.5%,0%,1%,2%,0%,1%,<.5%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",[VOL] Don't know/Refused,4%,3%,4%,2%,4%,4%,2%,3%,4%,10%,<1%,2%,4%,1%,3%,2%,6%,2%,2%,4%,5%,3%,4%,3%,3%,2%,24%,2%,2%,5%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",NET Favorable,46%,38%,52%,47%,49%,41%,48%,40%,79%,50%,46%,56%,40%,53%,32%,64%,56%,43%,52%,43%,47%,58%,51%,31%,90%,7%,13%,90%,8%,45%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",NET Unfavorable,50%,58%,43%,49%,46%,55%,49%,57%,17%,37%,52%,42%,55%,45%,64%,33%,35%,55%,45%,53%,47%,38%,43%,67%,7%,89%,62%,8%,89%,50%
"Tell me whether you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Kamala [COMMA-luh] Harris.",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you feel like you still need to learn more about Donald Trump, or do you pretty much already know what you need to know?",Feel like you need to learn more about Donald Trump,12%,11%,12%,24%,12%,8%,7%,9%,11%,28%,16%,8%,14%,6%,10%,13%,21%,8%,11%,11%,17%,16%,12%,9%,9%,13%,21%,7%,10%,14%
"Do you feel like you still need to learn more about Donald Trump, or do you pretty much already know what you need to know?",Pretty much already know what you need to know about Donald Trump,87%,88%,87%,76%,87%,90%,92%,91%,88%,71%,83%,91%,85%,93%,89%,86%,78%,92%,88%,88%,82%,84%,87%,91%,90%,87%,75%,92%,90%,85%
"Do you feel like you still need to learn more about Donald Trump, or do you pretty much already know what you need to know?",[VOL] Don’t know/Refused,<1%,<1%,<1%,0%,<1%,1%,<1%,<1%,<.5%,2%,1%,<1%,<1%,<1%,<1%,<1%,1%,<.5%,1%,<1%,1%,<.5%,2%,<.5%,<1%,<.5%,5%,<1%,0%,<1%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",Feel like you need to learn more about Kamala Harris,31%,28%,34%,52%,35%,26%,22%,25%,43%,49%,37%,29%,33%,26%,25%,36%,48%,26%,30%,31%,38%,34%,34%,26%,40%,21%,50%,33%,18%,41%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",Pretty much already know what you need to know about Kamala Harris,67%,71%,65%,48%,63%,72%,77%,73%,56%,47%,62%,70%,65%,73%,73%,62%,50%,73%,69%,68%,60%,64%,64%,73%,59%,78%,45%,67%,81%,57%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",[VOL] Don’t know/Refused,1%,1%,1%,<.5%,2%,2%,1%,1%,2%,3%,<1%,1%,2%,<1%,1%,2%,2%,1%,<1%,2%,2%,2%,2%,<1%,<1%,2%,6%,<.5%,1%,2%
"Do you feel like you still need to learn more about Kamala [COMMA-luh] Harris, or do you pretty much already know what you need to know?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,[VOL] Policies/plans,48%,48%,49%,59%,53%,33%,34%,45%,71%,42%,50%,60%,45%,50%,44%,71%,45%,63%,51%,51%,35%,54%,46%,44%,48%,46%,56%,45%,38%,58%
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,[VOL] Character,9%,3%,16%,1%,12%,15%,17%,13%,4%,9%,0%,7%,10%,12%,14%,3%,7%,20%,8%,3%,12%,13%,5%,11%,12%,10%,0%,9%,14%,9%
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,[VOL] Everything/More information generally,8%,6%,9%,13%,7%,9%,0%,5%,0%,14%,12%,4%,9%,6%,5%,2%,14%,4%,0%,8%,14%,8%,11%,3%,6%,7%,20%,0%,17%,5%
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,[VOL] Track record/experience,5%,12%,0%,3%,0%,12%,6%,1%,17%,5%,14%,3%,6%,0%,2%,6%,9%,4%,2%,9%,4%,6%,5%,5%,7%,3%,13%,11%,5%,6%
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,[VOL] Nothing,11%,10%,13%,7%,10%,8%,23%,12%,7%,8%,20%,19%,7%,20%,9%,18%,6%,6%,16%,6%,17%,12%,10%,13%,16%,10%,5%,26%,9%,12%
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,"[VOL] Other, specify",5%,5%,3%,6%,4%,7%,5%,6%,0%,7%,4%,3%,6%,6%,6%,0%,6%,3%,0%,9%,5%,0%,10%,3%,5%,7%,0%,2%,2%,6%
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,[VOL] Don't know/Refused,13%,17%,10%,11%,13%,17%,14%,17%,0%,16%,0%,3%,17%,6%,21%,0%,13%,0%,22%,15%,12%,7%,13%,20%,7%,18%,6%,8%,17%,5%
(If need to learn more about Trump) What else do you think you need to learn about Donald Trump?,Number of respondents,146,78,67,47,37,34,23,75,17,37,17,56,88,28,47,28,41,27,28,47,44,44,66,36,52,81,13,24,36,64
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,[VOL] Policies/plans,63%,67%,59%,74%,57%,62%,60%,68%,68%,49%,57%,76%,56%,76%,62%,76%,50%,79%,57%,66%,55%,62%,63%,64%,70%,58%,37%,69%,60%,63%
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,[VOL] Everything/More information generally,10%,10%,11%,6%,16%,8%,8%,11%,7%,11%,9%,5%,13%,6%,14%,3%,11%,10%,10%,10%,11%,9%,9%,13%,8%,13%,17%,5%,14%,12%
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,[VOL] Character,8%,3%,12%,4%,6%,13%,11%,6%,11%,9%,14%,6%,9%,6%,6%,7%,12%,4%,15%,7%,7%,3%,11%,7%,8%,5%,18%,11%,10%,6%
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,[VOL] Track record/experience,6%,8%,6%,5%,9%,5%,8%,5%,7%,9%,10%,3%,8%,3%,5%,2%,12%,4%,8%,6%,8%,11%,3%,8%,5%,8%,10%,3%,5%,8%
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,[VOL] Nothing,4%,3%,5%,3%,5%,5%,3%,3%,5%,6%,6%,5%,4%,4%,2%,8%,5%,2%,<1%,6%,6%,2%,5%,5%,2%,8%,5%,3%,4%,5%
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,"[VOL] Other, specify",2%,3%,1%,2%,2%,2%,3%,3%,0%,4%,0%,2%,2%,2%,3%,1%,2%,1%,<1%,<.5%,5%,5%,2%,0%,2%,1%,7%,<1%,0%,3%
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,[VOL] Don't know/Refused,6%,6%,6%,7%,5%,6%,6%,5%,1%,13%,4%,3%,8%,3%,7%,3%,8%,0%,9%,6%,8%,7%,7%,3%,5%,8%,6%,7%,7%,3%
(If need to learn more about Harris)  What else do you think you need to learn about Kamala [COMMA-luh] Harris?,Number of respondents,420,206,206,104,114,113,76,236,64,69,43,199,218,123,113,74,100,81,89,141,109,102,196,122,254,138,28,125,74,184
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Very enthusiastic,54%,54%,55%,31%,46%,60%,69%,60%,48%,37%,44%,56%,53%,62%,59%,45%,42%,58%,54%,56%,48%,50%,55%,56%,58%,56%,9%,68%,65%,37%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Somewhat enthusiastic,22%,22%,23%,33%,29%,18%,15%,19%,29%,27%,26%,22%,22%,20%,19%,27%,29%,21%,26%,18%,26%,26%,20%,22%,24%,21%,15%,21%,18%,26%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not very enthusiastic,13%,13%,12%,21%,11%,12%,8%,13%,10%,17%,12%,13%,12%,13%,12%,14%,13%,12%,8%,15%,14%,13%,14%,12%,11%,13%,29%,6%,10%,20%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not at all enthusiastic,10%,11%,9%,14%,13%,9%,5%,7%,11%,17%,17%,8%,11%,5%,8%,13%,15%,8%,10%,9%,12%,11%,10%,9%,7%,8%,44%,5%,5%,16%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",[VOL] Don’t know/Refused,1%,<1%,2%,0%,1%,2%,2%,1%,2%,3%,<1%,<.5%,2%,0%,2%,<1%,2%,1%,2%,2%,<.5%,1%,1%,2%,<.5%,2%,3%,<.5%,2%,2%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Enthusiastic,76%,75%,77%,65%,75%,78%,84%,79%,77%,64%,71%,78%,75%,82%,78%,72%,71%,79%,80%,74%,74%,76%,75%,78%,82%,77%,24%,89%,83%,63%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Not enthusiastic,22%,24%,21%,35%,24%,20%,13%,20%,21%,33%,29%,21%,23%,18%,20%,27%,28%,20%,18%,24%,26%,23%,24%,20%,18%,21%,73%,10%,15%,36%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you think that this presidential election is the most important election of your lifetime, or not?","Yes, the most important election of your lifetime",65%,60%,70%,57%,53%,67%,77%,71%,60%,46%,55%,64%,66%,69%,72%,54%,54%,72%,64%,64%,61%,61%,63%,69%,66%,69%,23%,72%,75%,55%
"Do you think that this presidential election is the most important election of your lifetime, or not?","No, not the most important election of your lifetime",33%,38%,28%,41%,44%,32%,18%,27%,38%,50%,44%,34%,32%,29%,25%,44%,44%,25%,34%,34%,38%,35%,35%,28%,32%,29%,71%,26%,22%,42%
"Do you think that this presidential election is the most important election of your lifetime, or not?",[VOL] Don't know/Refused,2%,2%,3%,2%,2%,1%,5%,2%,2%,4%,1%,1%,3%,1%,3%,2%,2%,4%,2%,2%,2%,3%,2%,3%,2%,2%,6%,2%,3%,3%
"Do you think that this presidential election is the most important election of your lifetime, or not?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",Major change,25%,18%,31%,22%,23%,23%,29%,20%,49%,29%,25%,25%,24%,21%,18%,32%,36%,26%,23%,24%,25%,29%,28%,17%,44%,9%,2%,49%,10%,18%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",Minor change,15%,14%,16%,18%,15%,12%,16%,17%,18%,9%,10%,19%,13%,21%,14%,16%,11%,15%,17%,14%,15%,15%,18%,12%,28%,4%,3%,26%,5%,16%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",More of the same,56%,65%,48%,55%,59%,61%,50%,60%,30%,55%,54%,52%,58%,53%,64%,48%,46%,55%,58%,56%,53%,49%,51%,66%,24%,83%,74%,21%,82%,60%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",[VOL] Don't know/Refused,5%,4%,6%,5%,4%,5%,5%,4%,3%,7%,12%,4%,5%,4%,4%,4%,8%,3%,3%,6%,7%,8%,3%,5%,4%,4%,21%,4%,3%,7%
"Do you think Kamala [COMMA-luh] Harris represents change, or more of the same?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
"Do you think Donald Trump represents change, or more of the same?",Major change,51%,51%,51%,43%,51%,54%,53%,58%,26%,38%,43%,47%,53%,53%,62%,38%,34%,53%,53%,50%,47%,41%,47%,61%,30%,74%,15%,32%,77%,44%
"Do you think Donald Trump represents change, or more of the same?",Minor change,10%,11%,8%,17%,12%,8%,6%,9%,8%,12%,13%,10%,10%,9%,9%,11%,11%,10%,7%,12%,9%,11%,11%,8%,5%,13%,21%,5%,9%,13%
"Do you think Donald Trump represents change, or more of the same?",More of the same,35%,33%,37%,39%,34%,33%,35%,28%,64%,46%,40%,37%,34%,32%,25%,49%,53%,33%,34%,34%,40%,44%,37%,27%,59%,11%,48%,55%,13%,38%
"Do you think Donald Trump represents change, or more of the same?",[VOL] Don't know/Refused,4%,4%,4%,2%,3%,5%,6%,5%,1%,3%,5%,5%,4%,6%,4%,2%,3%,3%,5%,5%,4%,5%,5%,4%,6%,2%,16%,7%,1%,5%
"Do you think Donald Trump represents change, or more of the same?",Number of respondents,"1,374",712,645,213,333,452,337,922,147,154,118,686,677,463,454,204,211,294,291,478,311,322,580,472,651,664,59,399,418,464
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),21%,25%,17%,16%,21%,26%,18%,22%,15%,25%,16%,20%,21%,21%,23%,19%,19%,22%,22%,23%,15%,15%,20%,25%,9%,33%,13%,9%,33%,19%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,14%,5%,21%,17%,16%,12%,13%,14%,14%,14%,12%,17%,12%,16%,12%,20%,10%,16%,13%,12%,14%,13%,17%,10%,26%,3%,1%,27%,5%,12%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,12%,13%,10%,6%,9%,12%,18%,14%,4%,10%,9%,8%,14%,9%,16%,6%,9%,12%,10%,13%,10%,10%,7%,18%,2%,22%,6%,2%,24%,10%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,7%,7%,6%,12%,5%,9%,3%,6%,9%,8%,6%,5%,8%,6%,6%,3%,10%,5%,5%,8%,7%,5%,6%,9%,4%,8%,15%,2%,9%,7%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,7%,7%,5%,<1%,7%,7%,8%,8%,6%,2%,5%,9%,5%,10%,5%,5%,4%,6%,8%,6%,7%,6%,7%,6%,12%,2%,3%,12%,2%,7%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,6%,8%,5%,4%,6%,6%,7%,6%,8%,5%,5%,5%,7%,5%,7%,6%,7%,6%,6%,5%,7%,5%,7%,5%,8%,4%,7%,8%,5%,6%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,6%,5%,6%,1%,5%,5%,9%,6%,5%,7%,5%,6%,5%,7%,5%,6%,5%,4%,5%,6%,6%,8%,5%,5%,8%,4%,<1%,7%,6%,5%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,3%,5%,2%,7%,3%,3%,2%,3%,2%,7%,5%,4%,3%,3%,2%,4%,5%,3%,3%,3%,4%,6%,2%,4%,3%,4%,3%,3%,2%,4%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,3%,2%,4%,4%,3%,3%,2%,3%,4%,0%,4%,4%,3%,4%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,5%,1%,3%,5%,2%,2%
What one issue is most important in deciding your vote this November?,[VOL] Health care,2%,2%,1%,2%,3%,2%,0%,1%,4%,3%,3%,2%,2%,2%,<1%,2%,4%,2%,1%,2%,2%,2%,2%,1%,3%,1%,1%,2%,0%,3%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,2%,1%,2%,2%,4%,<.5%,1%,<1%,3%,1%,7%,3%,<1%,2%,<.5%,6%,2%,<1%,2%,2%,2%,3%,2%,<1%,2%,<.5%,9%,3%,<.5%,2%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,1%,2%,<1%,2%,2%,1%,1%,1%,3%,2%,<1%,2%,1%,1%,1%,3%,<1%,1%,2%,2%,<1%,2%,2%,<1%,1%,2%,0%,<1%,2%,1%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,<1%,1%,2%,1%,<1%,1%,1%,1%,<.5%,2%,2%,<1%,2%,<1%,3%,0%,1%,1%,<1%,1%,<1%,1%,<1%,2%,<.5%,0%,2%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,<1%,<1%,3%,0%,<.5%,<.5%,<1%,0%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,1%,<1%,<.5%,1%,<.5%,1%,<.5%,<1%,<1%,0%,<1%,<.5%,1%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<1%,1%,<.5%,1%,0%,0%,2%,<1%,2%,0%,0%,<1%,<1%,<1%,<1%,<.5%,<1%,2%,<1%,<.5%,<1%,1%,1%,0%,1%,<.5%,0%,1%,<1%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Education,<1%,<.5%,<1%,<1%,1%,<.5%,0%,<1%,2%,<.5%,0%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,0%,<1%,1%,1%,<.5%,<1%,1%,0%,0%,<1%,0%,1%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<1%,<1%,0%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<1%,<1%,<1%,<.5%,<.5%,<.5%,1%,<1%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,<.5%,<1%,0%,1%,<.5%,<.5%,<.5%,<.5%,0%,0%,3%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,<1%,<.5%,0%,1%,<.5%,<1%,<.5%,<1%,<.5%,0%,0%,<.5%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<1%,<.5%,<.5%,<.5%,<1%,0%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,0%,<.5%,<1%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,<.5%,<.5%,<.5%,<1%,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<1%,0%,0%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,0%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<1%,<.5%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] China,<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,<1%,0%,<1%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%
