itm,v1,wisconsin_likely_electorate_wisconsin_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dane,region_east_north,region_milwau_city,region_milwau_suburbs,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,46%,37%,55%,21%,57%,41%,55%,45%,77%,35%,59%,38%,60%,37%,51%,53%,64%,39%,77%,44%,43%,65%,52%,37%,87%,3%,32%,91%,3%,45%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,9%,11%,7%,40%,7%,6%,2%,8%,19%,21%,6%,11%,5%,10%,24%,19%,9%,9%,7%,6%,12%,12%,9%,8%,7%,11%,11%,6%,8%,12%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,<1%,<1%,<1%,<.5%,1%,1%,0%,<1%,0%,3%,1%,<.5%,<1%,<.5%,7%,0%,0%,1%,0%,0%,<1%,<.5%,0%,1%,<1%,<1%,0%,<1%,<.5%,1%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,4%,3%,4%,4%,7%,1%,4%,2%,4%,12%,3%,4%,2%,2%,0%,13%,5%,2%,6%,5%,5%,5%,2%,4%,3%,3%,32%,2%,1%,4%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,55%,36%,57%,30%,53%,40%,47%,0%,36%,33%,52%,33%,56%,24%,19%,24%,53%,11%,49%,44%,21%,41%,54%,2%,93%,29%,<1%,95%,42%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,50%,41%,59%,35%,62%,44%,57%,49%,95%,45%,63%,43%,63%,41%,67%,66%,70%,43%,83%,46%,49%,74%,57%,40%,94%,4%,36%,96%,4%,51%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,<1%,<1%,<1%,<1%,1%,1%,0%,<1%,0%,4%,1%,<.5%,<1%,<.5%,9%,0%,0%,1%,0%,0%,1%,<.5%,0%,1%,<1%,<1%,0%,<1%,<.5%,2%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,4%,4%,4%,7%,8%,1%,4%,3%,5%,15%,3%,5%,3%,3%,0%,15%,6%,3%,6%,5%,6%,5%,2%,5%,3%,3%,36%,3%,2%,5%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,502,209,287,43,99,187,156,450,15,27,240,260,220,230,15,27,61,228,41,94,78,107,115,280,282,203,17,175,126,167
Donald Trump,Very favorable,30%,35%,26%,29%,18%,37%,29%,32%,4%,38%,17%,39%,17%,40%,14%,28%,19%,36%,18%,29%,29%,19%,28%,36%,1%,64%,0%,1%,73%,20%
Donald Trump,Somewhat favorable,17%,24%,12%,37%,23%,17%,7%,17%,10%,18%,20%,15%,20%,15%,19%,13%,6%,18%,7%,19%,25%,6%,17%,21%,2%,34%,12%,2%,24%,26%
Donald Trump,Somewhat unfavorable,4%,3%,5%,2%,4%,5%,5%,4%,0%,6%,5%,4%,4%,4%,10%,<.5%,<.5%,5%,0%,8%,3%,3%,3%,5%,5%,2%,19%,2%,<1%,7%
Donald Trump,Very unfavorable,47%,36%,56%,32%,54%,41%,56%,46%,80%,37%,57%,40%,58%,39%,55%,56%,74%,40%,71%,43%,41%,70%,49%,37%,91%,<.5%,41%,94%,3%,45%
Donald Trump,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Donald Trump,[VOL] Don't know/Refused,1%,2%,1%,<.5%,2%,<.5%,2%,1%,5%,<1%,1%,1%,1%,1%,2%,3%,0%,2%,4%,0%,2%,2%,3%,<1%,<1%,0%,27%,<1%,0%,2%
Donald Trump,NET Favorable,48%,59%,38%,66%,41%,54%,36%,48%,14%,56%,37%,54%,36%,55%,33%,41%,26%,53%,25%,48%,54%,25%,45%,57%,3%,98%,12%,3%,96%,46%
Donald Trump,NET Unfavorable,51%,39%,61%,34%,58%,46%,62%,50%,80%,43%,62%,44%,62%,44%,65%,56%,74%,45%,71%,52%,44%,73%,53%,43%,96%,2%,61%,96%,4%,52%
Donald Trump,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
Kamala [COMMA-luh] Harris,Very favorable,35%,25%,44%,18%,28%,32%,49%,34%,61%,37%,39%,33%,39%,31%,40%,50%,58%,31%,50%,30%,32%,47%,36%,31%,69%,1%,7%,77%,4%,27%
Kamala [COMMA-luh] Harris,Somewhat favorable,16%,14%,17%,23%,31%,15%,8%,15%,26%,21%,23%,12%,22%,11%,29%,20%,16%,13%,24%,20%,15%,25%,18%,12%,30%,2%,10%,21%,3%,22%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,9%,10%,8%,30%,11%,5%,3%,8%,8%,11%,10%,8%,9%,8%,10%,10%,5%,11%,6%,9%,6%,7%,10%,9%,<1%,16%,28%,0%,11%,15%
Kamala [COMMA-luh] Harris,Very unfavorable,38%,47%,30%,29%,29%,48%,36%,41%,1%,31%,28%,44%,29%,48%,21%,18%,21%,43%,18%,41%,43%,20%,34%,46%,<1%,79%,28%,2%,82%,34%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,3%,1%,0%,<1%,<1%,3%,2%,4%,0%,<1%,3%,<1%,2%,0%,3%,0%,2%,2%,0%,4%,1%,3%,2%,0%,2%,27%,0%,<1%,2%
Kamala [COMMA-luh] Harris,NET Favorable,51%,40%,61%,41%,59%,46%,58%,49%,86%,58%,62%,45%,62%,42%,69%,70%,75%,44%,74%,50%,48%,72%,54%,43%,99%,4%,17%,98%,6%,49%
Kamala [COMMA-luh] Harris,NET Unfavorable,47%,58%,38%,59%,40%,53%,39%,49%,9%,42%,38%,52%,38%,56%,31%,27%,25%,53%,24%,50%,48%,26%,44%,55%,1%,94%,56%,2%,93%,49%
Kamala [COMMA-luh] Harris,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
JD Vance,Very favorable,23%,26%,20%,14%,11%,31%,22%,24%,0%,28%,14%,28%,13%,30%,19%,15%,14%,25%,7%,27%,23%,10%,23%,27%,2%,47%,7%,0%,56%,16%
JD Vance,Somewhat favorable,20%,26%,14%,35%,21%,19%,13%,19%,13%,18%,21%,19%,20%,18%,14%,16%,13%,19%,17%,21%,25%,13%,16%,23%,3%,37%,22%,2%,31%,25%
JD Vance,Somewhat unfavorable,9%,9%,9%,9%,16%,6%,9%,9%,9%,10%,10%,8%,10%,8%,8%,10%,7%,8%,8%,12%,6%,10%,9%,8%,11%,6%,16%,10%,5%,11%
JD Vance,Very unfavorable,40%,30%,49%,29%,46%,33%,49%,39%,68%,30%,51%,33%,52%,32%,48%,45%,65%,33%,53%,38%,38%,51%,44%,34%,79%,2%,0%,82%,1%,37%
JD Vance,[VOL] Have not heard of,4%,3%,5%,12%,2%,5%,1%,4%,0%,8%,2%,5%,2%,5%,0%,7%,1%,7%,4%,2%,<1%,6%,1%,4%,3%,5%,12%,4%,4%,3%
JD Vance,[VOL] Don't know/Refused,5%,6%,4%,1%,4%,6%,6%,5%,11%,5%,3%,6%,2%,6%,11%,6%,0%,7%,10%,<1%,7%,9%,6%,3%,3%,4%,43%,2%,3%,7%
JD Vance,NET Favorable,43%,53%,33%,49%,32%,50%,35%,43%,13%,46%,35%,47%,34%,49%,33%,32%,27%,45%,24%,48%,48%,24%,38%,51%,5%,83%,29%,2%,87%,41%
JD Vance,NET Unfavorable,48%,39%,57%,38%,62%,39%,58%,48%,76%,40%,61%,41%,62%,40%,57%,55%,72%,42%,61%,50%,44%,61%,54%,42%,90%,7%,16%,92%,6%,49%
JD Vance,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
Tim Walz [walls],Very favorable,30%,21%,40%,20%,36%,24%,39%,31%,33%,16%,41%,24%,42%,25%,30%,20%,49%,25%,47%,25%,35%,42%,28%,27%,61%,1%,0%,70%,1%,23%
Tim Walz [walls],Somewhat favorable,17%,14%,18%,22%,23%,14%,15%,16%,21%,23%,20%,15%,19%,14%,24%,22%,22%,15%,12%,25%,11%,23%,22%,12%,29%,4%,10%,19%,4%,25%
Tim Walz [walls],Somewhat unfavorable,7%,7%,6%,8%,9%,7%,5%,6%,7%,17%,9%,6%,9%,5%,13%,13%,4%,7%,8%,9%,3%,7%,7%,6%,2%,11%,16%,2%,10%,8%
Tim Walz [walls],Very unfavorable,35%,45%,25%,34%,27%,40%,32%,37%,4%,22%,24%,41%,25%,44%,15%,14%,19%,38%,18%,37%,38%,15%,32%,42%,<.5%,72%,15%,2%,75%,32%
Tim Walz [walls],[VOL] Have not heard of,4%,2%,5%,10%,2%,3%,2%,3%,10%,8%,3%,4%,3%,3%,4%,11%,0%,5%,6%,3%,2%,3%,3%,4%,2%,4%,20%,3%,3%,3%
Tim Walz [walls],[VOL] Don't know/Refused,8%,11%,6%,6%,3%,12%,7%,7%,24%,15%,3%,11%,2%,9%,15%,21%,6%,10%,10%,1%,12%,10%,8%,8%,5%,9%,39%,4%,7%,9%
Tim Walz [walls],NET Favorable,47%,35%,58%,43%,59%,38%,54%,47%,54%,39%,61%,39%,62%,39%,54%,42%,72%,39%,58%,50%,45%,65%,50%,40%,90%,5%,10%,89%,5%,48%
Tim Walz [walls],NET Unfavorable,41%,52%,31%,42%,36%,47%,37%,43%,11%,39%,33%,46%,33%,49%,27%,27%,23%,45%,26%,46%,41%,22%,39%,49%,2%,83%,32%,4%,85%,40%
Tim Walz [walls],Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),28%,35%,21%,28%,18%,32%,28%,29%,5%,15%,23%,30%,24%,32%,15%,9%,24%,29%,15%,33%,24%,18%,31%,30%,13%,45%,11%,15%,42%,28%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,19%,6%,30%,21%,25%,16%,18%,19%,20%,26%,24%,15%,24%,15%,34%,18%,24%,18%,24%,19%,15%,24%,23%,15%,34%,3%,13%,39%,6%,13%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,12%,15%,10%,11%,5%,12%,14%,12%,0%,8%,10%,13%,10%,14%,4%,5%,3%,13%,10%,12%,17%,5%,10%,15%,1%,24%,0%,1%,26%,11%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,6%,5%,7%,2%,6%,4%,9%,6%,<1%,4%,7%,5%,8%,5%,0%,4%,6%,3%,9%,6%,14%,5%,7%,5%,9%,2%,5%,6%,3%,9%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,5%,6%,4%,4%,5%,5%,5%,5%,8%,0%,4%,5%,5%,5%,0%,5%,2%,7%,8%,5%,0%,4%,3%,6%,5%,5%,5%,5%,5%,4%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,5%,5%,5%,3%,5%,2%,6%,4%,10%,0%,6%,3%,6%,3%,11%,<1%,6%,4%,7%,4%,4%,4%,4%,5%,8%,1%,6%,6%,1%,5%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,3%,3%,4%,2%,7%,3%,2%,4%,0%,3%,3%,4%,3%,4%,0%,2%,2%,4%,0%,7%,<1%,3%,4%,3%,1%,6%,0%,<1%,6%,4%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,3%,3%,2%,4%,<1%,3%,2%,3%,0%,0%,2%,3%,3%,3%,0%,0%,1%,4%,0%,1%,3%,4%,2%,3%,2%,3%,8%,3%,3%,2%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,2%,2%,3%,4%,6%,2%,<.5%,3%,0%,4%,3%,2%,3%,2%,4%,1%,5%,1%,2%,3%,3%,6%,2%,2%,5%,<.5%,0%,6%,0%,2%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,2%,4%,<1%,7%,3%,3%,0%,1%,5%,16%,2%,3%,2%,1%,8%,13%,4%,2%,6%,2%,2%,7%,<.5%,1%,2%,1%,17%,<1%,2%,4%
What one issue is most important in deciding your vote this November?,[VOL] Health care,2%,1%,2%,2%,2%,3%,<.5%,2%,10%,0%,2%,2%,2%,2%,0%,6%,3%,1%,6%,2%,2%,4%,1%,2%,4%,0%,0%,2%,0%,3%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,1%,1%,1%,0%,3%,2%,<.5%,1%,0%,0%,2%,<1%,3%,<1%,0%,0%,4%,1%,0%,<.5%,1%,<1%,1%,1%,3%,0%,0%,2%,<.5%,2%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<1%,1%,<1%,0%,0%,0%,3%,<1%,10%,0%,0%,2%,0%,1%,0%,6%,0%,2%,0%,0%,0%,0%,4%,0%,<1%,0%,15%,1%,0%,2%
What one issue is most important in deciding your vote this November?,[VOL] Education,<1%,0%,1%,0%,3%,<.5%,0%,<1%,0%,0%,<1%,<1%,<1%,<1%,0%,0%,0%,<1%,0%,0%,<1%,0%,0%,1%,<1%,0%,4%,<1%,0%,1%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<.5%,0%,<1%,<1%,0%,<1%,0%,<.5%,0%,0%,<1%,<.5%,<1%,<.5%,0%,0%,0%,0%,3%,0%,<1%,2%,0%,0%,<1%,0%,0%,1%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<.5%,<.5%,<.5%,0%,0%,<1%,0%,<.5%,5%,0%,0%,<1%,0%,<.5%,0%,3%,2%,0%,0%,<1%,0%,1%,<.5%,0%,<1%,0%,0%,<1%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<.5%,<.5%,<.5%,0%,0%,<.5%,<1%,<.5%,0%,0%,<1%,0%,<1%,0%,0%,0%,0%,0%,2%,1%,0%,<1%,<1%,0%,<.5%,0%,5%,0%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<1%,<.5%,0%,<.5%,0%,<1%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,2%,<.5%,0%,0%,0%,1%,0%,<.5%,0%,<.5%,6%,0%,<1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<.5%,<.5%,0%,0%,1%,0%,0%,<.5%,0%,0%,<1%,0%,<1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,<1%,0%,<.5%,0%,0%,<1%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",6%,7%,3%,6%,3%,6%,6%,5%,0%,21%,5%,6%,4%,6%,23%,8%,7%,7%,1%,3%,7%,8%,4%,6%,5%,6%,0%,4%,3%,6%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,4%,3%,5%,5%,5%,4%,3%,3%,27%,3%,2%,5%,2%,4%,0%,19%,2%,4%,7%,1%,5%,3%,1%,5%,4%,4%,6%,5%,2%,3%
What one issue is most important in deciding your vote this November?,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",48%,37%,59%,37%,58%,41%,57%,47%,82%,47%,60%,41%,60%,39%,67%,60%,72%,39%,75%,49%,48%,69%,52%,39%,96%,0%,16%,96%,2%,46%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",46%,57%,36%,60%,35%,54%,37%,48%,4%,48%,38%,51%,38%,54%,33%,28%,26%,52%,19%,48%,51%,25%,44%,55%,2%,95%,15%,<1%,97%,45%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,1%,1%,1%,1%,2%,<1%,2%,1%,1%,4%,0%,2%,0%,2%,0%,4%,2%,1%,3%,1%,0%,2%,<1%,1%,0%,1%,19%,0%,<1%,1%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,<1%,<1%,<.5%,0%,0%,0%,1%,<.5%,0%,0%,<1%,<.5%,<1%,<.5%,0%,0%,0%,<1%,0%,1%,0%,0%,<1%,<1%,<.5%,0%,8%,<1%,0%,<1%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,4%,4%,4%,2%,5%,5%,4%,4%,12%,1%,1%,5%,1%,5%,0%,8%,0%,7%,3%,<1%,<1%,4%,3%,4%,1%,4%,41%,3%,<1%,7%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always legal,37%,26%,45%,36%,36%,38%,38%,35%,70%,46%,42%,34%,43%,31%,38%,64%,61%,29%,54%,36%,36%,50%,35%,32%,62%,10%,29%,71%,14%,29%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly legal,29%,30%,28%,27%,35%,29%,28%,30%,12%,34%,32%,28%,31%,29%,43%,16%,17%,30%,28%,30%,33%,29%,30%,28%,30%,29%,21%,24%,28%,36%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly illegal,20%,22%,17%,16%,19%,21%,20%,21%,1%,7%,20%,20%,20%,21%,9%,2%,14%,26%,2%,22%,12%,12%,21%,22%,4%,37%,16%,2%,33%,23%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always illegal,6%,7%,5%,10%,5%,4%,7%,6%,5%,3%,3%,8%,3%,8%,0%,6%,3%,6%,6%,6%,9%,3%,5%,8%,<.5%,13%,3%,1%,15%,3%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",[VOL] Don't know/Refused,8%,13%,4%,11%,4%,8%,8%,8%,11%,10%,4%,11%,3%,11%,10%,11%,5%,9%,11%,6%,11%,7%,8%,9%,3%,12%,31%,2%,10%,10%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Legal,66%,57%,74%,63%,71%,67%,65%,65%,82%,80%,74%,61%,73%,60%,81%,81%,78%,59%,82%,66%,68%,79%,66%,61%,92%,39%,50%,95%,42%,65%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Illegal,26%,30%,22%,26%,25%,25%,27%,27%,6%,10%,23%,28%,23%,30%,9%,8%,17%,32%,7%,27%,21%,14%,26%,30%,4%,49%,19%,4%,48%,25%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly favor,48%,36%,59%,60%,68%,44%,40%,48%,54%,58%,65%,39%,65%,38%,71%,50%,70%,40%,69%,53%,44%,66%,49%,41%,75%,19%,49%,78%,13%,55%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat favor,16%,18%,13%,12%,10%,18%,18%,16%,12%,18%,19%,14%,18%,14%,15%,16%,8%,17%,12%,12%,22%,14%,15%,17%,12%,21%,2%,12%,21%,17%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat oppose,10%,14%,7%,6%,9%,10%,13%,11%,0%,2%,5%,13%,5%,14%,4%,0%,4%,12%,2%,14%,7%,2%,13%,12%,3%,18%,4%,3%,19%,10%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly oppose,15%,18%,12%,16%,5%,16%,19%,16%,5%,15%,7%,20%,7%,22%,9%,11%,10%,18%,5%,14%,17%,10%,17%,17%,2%,28%,28%,<1%,36%,9%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",[VOL] Don't know/Refused,11%,14%,8%,6%,7%,11%,10%,9%,29%,7%,4%,14%,4%,12%,0%,24%,8%,13%,12%,6%,10%,8%,6%,14%,7%,14%,16%,6%,11%,9%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Favor,64%,54%,73%,72%,78%,63%,58%,63%,66%,76%,84%,53%,83%,52%,86%,65%,78%,57%,81%,65%,67%,80%,64%,58%,88%,40%,51%,90%,35%,72%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Oppose,25%,32%,19%,22%,14%,26%,32%,27%,5%,17%,12%,33%,12%,36%,14%,11%,14%,30%,7%,28%,24%,12%,30%,28%,5%,46%,33%,4%,55%,19%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Number of respondents,566,239,319,75,108,206,160,497,21,38,254,310,229,268,20,39,66,257,48,105,90,122,134,310,310,237,19,191,143,192
The economy,Kamala Harris,44%,34%,54%,31%,49%,37%,55%,44%,69%,34%,53%,38%,54%,38%,51%,48%,67%,37%,66%,44%,40%,61%,49%,36%,88%,<1%,7%,93%,3%,37%
The economy,Donald Trump,53%,63%,43%,68%,47%,59%,42%,54%,26%,58%,44%,58%,44%,59%,42%,45%,32%,59%,28%,53%,59%,32%,47%,62%,10%,99%,42%,6%,97%,55%
The economy,[VOL] Don’t know/Refused,3%,3%,3%,1%,5%,3%,3%,3%,5%,7%,3%,3%,3%,3%,7%,6%,1%,4%,6%,4%,<.5%,7%,3%,2%,2%,0%,51%,<1%,0%,8%
The economy,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares,MARGIN Trump +9 Calculated using candidates’ unrounded vote shares
Abortion,Kamala Harris,54%,42%,65%,55%,61%,47%,59%,52%,93%,59%,68%,46%,67%,43%,77%,72%,76%,47%,76%,55%,48%,72%,57%,46%,98%,10%,27%,97%,9%,53%
Abortion,Donald Trump,41%,52%,30%,41%,36%,46%,35%,43%,1%,35%,29%,48%,29%,51%,23%,20%,21%,47%,16%,40%,47%,21%,38%,49%,1%,84%,11%,2%,87%,36%
Abortion,[VOL] Don’t know/Refused,6%,7%,5%,4%,3%,7%,6%,5%,5%,6%,4%,7%,4%,6%,0%,8%,3%,6%,8%,5%,5%,7%,5%,6%,1%,6%,62%,<.5%,4%,11%
