itm,v1,georgia_likely_electorate_georgia_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,georgia_likely_electorate_2,men_5,women_3,x18_29_5,x30_44_0,x45_64_2,x65_3,white_1,black_3,oth_2,b_a_0,no_b_a_3,white_college_0,white_no_college_2,non_white_college_0,non_white_no_college_4,dekalb_fulton_1,inner_atlanta_suburbs_2,north_2,outer_atlanta_suburbs_2,south_2,city_3,suburb_1,rural_small_town_2,harris_2,trump_1,oth_4,dem_2,rep_2,ind_1
Would you consider yourself:,Hispanic or Latino,5%,6%,5%,11%,8%,3%,2%,0%,0%,49%,5%,5%,0%,0%,14%,12%,7%,7%,5%,2%,6%,8%,5%,4%,7%,4%,6%,5%,4%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Black or African American,30%,26%,34%,35%,26%,33%,28%,0%,100%,0%,26%,33%,0%,0%,68%,77%,46%,34%,12%,24%,33%,51%,33%,21%,55%,7%,30%,62%,3%,30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Asian,2%,2%,2%,3%,4%,2%,0%,0%,0%,21%,4%,1%,0%,0%,10%,3%,3%,5%,0%,4%,0%,2%,4%,0%,2%,2%,0%,2%,3%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,American Indian or Alaska Native,<1%,2%,<.5%,3%,<1%,<.5%,0%,0%,0%,8%,<.5%,1%,0%,0%,1%,3%,2%,0%,2%,<1%,<.5%,0%,1%,<1%,0%,2%,0%,<1%,0%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Middle Eastern or North African,<1%,<1%,<1%,2%,<1%,<1%,0%,0%,0%,8%,1%,<.5%,0%,0%,4%,1%,<1%,2%,<1%,<.5%,<1%,<1%,1%,<.5%,<1%,<1%,0%,0%,<1%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Native Hawaiian or Pacific Islander,<.5%,0%,0%,2%,0%,0%,0%,0%,0%,2%,0%,<.5%,0%,0%,0%,<1%,1%,0%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<1%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] Some other race (specify),2%,<1%,2%,1%,<.5%,2%,2%,2%,0%,4%,2%,2%,2%,2%,2%,<1%,<1%,1%,2%,2%,2%,0%,1%,3%,<1%,2%,6%,<.5%,1%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] More than one race,<1%,<1%,1%,<1%,2%,<1%,0%,0%,0%,8%,<1%,1%,0%,0%,2%,2%,1%,<1%,<1%,1%,<1%,2%,<1%,<1%,<1%,<1%,4%,<1%,<.5%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,[VOL] Refused,2%,2%,2%,1%,<1%,3%,2%,0%,0%,0%,2%,2%,0%,0%,0%,0%,6%,<1%,2%,<1%,1%,4%,2%,1%,<1%,2%,11%,0%,<1%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you consider yourself:,Number of respondents,682,309,366,122,166,232,142,375,214,80,301,375,186,186,110,184,122,117,111,157,175,84,340,258,306,331,45,201,209,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Democrat,33%,25%,39%,30%,36%,30%,36%,16%,67%,24%,35%,32%,27%,9%,46%,62%,57%,28%,13%,23%,42%,59%,33%,26%,69%,2%,11%,100%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Republican,35%,35%,35%,22%,23%,40%,46%,53%,4%,29%,28%,39%,39%,63%,13%,8%,15%,30%,52%,40%,35%,10%,28%,50%,1%,69%,9%,0%,100%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,25%,30%,22%,38%,31%,25%,13%,23%,25%,38%,33%,21%,32%,18%,33%,25%,21%,33%,26%,27%,22%,26%,31%,19%,25%,25%,36%,0%,0%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,4%,7%,3%,6%,9%,1%,4%,6%,<1%,8%,2%,6%,1%,9%,2%,3%,3%,7%,4%,7%,<1%,0%,8%,2%,2%,3%,34%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,2%,4%,1%,4%,<1%,4%,<1%,2%,4%,2%,3%,2%,<1%,2%,6%,2%,3%,2%,5%,3%,<.5%,6%,1%,3%,3%,1%,10%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,36%,29%,44%,48%,32%,35%,26%,27%,46%,54%,48%,26%,42%,15%,58%,41%,43%,51%,25%,27%,35%,33%,42%,25%,82%,1%,13%,-,-,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,40%,39%,40%,36%,36%,43%,48%,50%,23%,31%,36%,43%,51%,49%,18%,32%,29%,26%,54%,45%,44%,33%,35%,51%,4%,85%,6%,-,-,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,24%,31%,15%,16%,32%,22%,26%,23%,31%,15%,15%,31%,7%,36%,24%,27%,29%,23%,21%,29%,21%,34%,23%,23%,15%,13%,81%,-,-,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,222,124,95,51,62,72,28,116,62,39,109,112,65,51,42,59,38,46,35,53,50,33,122,67,87,106,29,,,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,The Democratic Party,44%,36%,51%,53%,49%,41%,40%,25%,80%,49%,52%,40%,41%,13%,70%,74%,69%,50%,21%,33%,50%,69%,49%,32%,93%,3%,21%,100%,0%,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,The Republican Party,48%,51%,45%,39%,37%,53%,55%,68%,11%,44%,42%,51%,56%,77%,20%,18%,23%,41%,71%,56%,45%,20%,41%,63%,3%,94%,14%,0%,100%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,[VOL] Don't know/Refused,8%,13%,4%,8%,13%,7%,5%,7%,9%,7%,6%,9%,3%,10%,10%,8%,8%,10%,7%,11%,5%,11%,9%,6%,4%,4%,65%,0%,0%,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined: Party identification and leaners,Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,40%,41%,38%,18%,29%,47%,49%,60%,6%,31%,37%,41%,52%,64%,14%,11%,19%,32%,62%,45%,39%,17%,32%,54%,<1%,79%,9%,<1%,86%,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,46%,40%,50%,46%,57%,43%,40%,25%,84%,46%,54%,40%,40%,15%,76%,74%,72%,48%,24%,37%,49%,70%,51%,32%,90%,5%,36%,94%,2%,45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,12%,16%,8%,35%,12%,8%,5%,11%,9%,20%,7%,15%,6%,15%,7%,14%,8%,14%,10%,16%,10%,9%,13%,11%,8%,13%,28%,5%,9%,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,1%,1%,<1%,2%,2%,<1%,0%,1%,<.5%,3%,1%,1%,2%,1%,1%,<1%,<.5%,2%,<1%,2%,<.5%,2%,1%,<1%,<.5%,1%,8%,0%,0%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,3%,0%,0%,2%,6%,3%,<1%,0%,1%,3%,<.5%,5%,1%,0%,<1%,5%,3%,<1%,1%,2%,3%,2%,<1%,1%,19%,0%,2%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,49%,42%,27%,33%,51%,52%,67%,7%,39%,39%,48%,55%,76%,15%,12%,21%,37%,69%,53%,44%,19%,37%,61%,<1%,91%,13%,<1%,95%,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,52%,48%,55%,70%,65%,46%,42%,28%,92%,58%,58%,47%,43%,17%,82%,87%,78%,55%,26%,44%,54%,77%,58%,36%,98%,6%,50%,99%,2%,55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,1%,2%,1%,3%,3%,<1%,0%,2%,<1%,3%,2%,1%,2%,1%,1%,1%,<1%,3%,1%,2%,<1%,2%,2%,<1%,<.5%,1%,11%,0%,0%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,2%,3%,0%,0%,2%,6%,3%,<1%,0%,1%,3%,<.5%,6%,1%,0%,1%,5%,4%,1%,1%,2%,3%,2%,<1%,1%,26%,0%,3%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,475,209,261,53,112,177,116,283,143,45,234,238,152,128,81,107,92,80,71,111,121,59,238,178,227,232,16,157,160,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,20%,18%,21%,5%,14%,23%,29%,11%,39%,9%,21%,19%,18%,7%,27%,34%,30%,16%,10%,15%,27%,41%,18%,16%,43%,<1%,<1%,50%,<.5%,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,16%,14%,19%,27%,23%,11%,11%,9%,29%,19%,23%,12%,17%,4%,30%,24%,28%,21%,7%,13%,14%,26%,21%,8%,33%,<1%,16%,32%,<1%,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,12%,13%,11%,29%,18%,11%,1%,7%,13%,41%,13%,12%,7%,8%,22%,18%,12%,13%,12%,16%,10%,9%,15%,11%,14%,9%,34%,10%,9%,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,47%,52%,44%,36%,42%,51%,52%,69%,13%,30%,40%,52%,56%,78%,15%,18%,26%,41%,67%,55%,45%,24%,40%,62%,5%,88%,30%,4%,88%,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,4%,3%,5%,2%,4%,4%,7%,3%,7%,1%,4%,5%,2%,4%,6%,5%,4%,8%,5%,1%,4%,<1%,6%,3%,5%,2%,20%,4%,2%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,36%,32%,40%,32%,37%,34%,40%,20%,67%,28%,44%,31%,35%,10%,57%,58%,58%,38%,16%,28%,41%,66%,39%,24%,76%,2%,16%,82%,1%,30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,60%,65%,55%,65%,60%,63%,53%,76%,26%,71%,52%,64%,63%,85%,37%,36%,38%,54%,79%,71%,55%,33%,55%,73%,19%,97%,63%,14%,97%,66%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Very favorable,28%,28%,28%,12%,20%,29%,40%,43%,4%,12%,21%,32%,31%,52%,6%,6%,11%,20%,42%,30%,33%,10%,21%,40%,<.5%,56%,0%,1%,63%,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Somewhat favorable,19%,24%,15%,31%,18%,19%,12%,22%,9%,30%,18%,19%,21%,23%,13%,15%,12%,23%,30%,18%,13%,17%,16%,22%,1%,36%,10%,3%,30%,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Somewhat unfavorable,7%,8%,7%,11%,5%,9%,7%,5%,10%,13%,10%,6%,6%,4%,15%,8%,6%,14%,8%,4%,6%,9%,10%,4%,6%,5%,35%,4%,5%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Very unfavorable,44%,36%,50%,46%,50%,41%,41%,28%,73%,45%,51%,39%,43%,18%,64%,67%,69%,44%,20%,40%,46%,60%,49%,33%,92%,2%,24%,91%,2%,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,[VOL] Don't know/Refused,3%,4%,<1%,0%,7%,2%,<.5%,2%,4%,0%,<1%,3%,0%,3%,1%,4%,3%,<.5%,<1%,7%,1%,3%,4%,<1%,<1%,<.5%,31%,<1%,<1%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,NET Favorable,46%,51%,42%,43%,38%,48%,52%,65%,13%,43%,39%,51%,51%,74%,20%,21%,22%,42%,72%,48%,46%,27%,38%,62%,2%,92%,10%,4%,93%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,NET Unfavorable,51%,44%,57%,57%,55%,50%,48%,33%,83%,57%,60%,46%,49%,22%,79%,75%,75%,57%,28%,44%,53%,70%,58%,38%,97%,8%,60%,96%,7%,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Trump,Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Very favorable,30%,21%,38%,20%,29%,29%,39%,16%,58%,24%,33%,28%,25%,11%,47%,52%,46%,26%,11%,27%,40%,54%,32%,22%,66%,<1%,0%,74%,2%,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Somewhat favorable,16%,16%,15%,37%,21%,13%,3%,10%,23%,31%,19%,14%,16%,5%,24%,25%,21%,27%,14%,9%,11%,15%,20%,11%,28%,4%,22%,22%,1%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Somewhat unfavorable,10%,14%,7%,13%,13%,11%,5%,11%,7%,14%,10%,10%,8%,13%,13%,6%,10%,12%,10%,14%,5%,6%,10%,11%,4%,12%,39%,2%,12%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Very unfavorable,40%,43%,39%,29%,31%,44%,50%,60%,7%,32%,36%,43%,51%,66%,14%,13%,20%,33%,62%,43%,43%,19%,34%,54%,<1%,81%,7%,1%,82%,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,4%,6%,1%,0%,7%,4%,2%,3%,5%,0%,1%,5%,<.5%,5%,2%,5%,4%,2%,4%,7%,1%,7%,4%,2%,2%,2%,33%,<.5%,2%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,NET Favorable,46%,37%,53%,57%,50%,42%,42%,26%,81%,54%,52%,42%,41%,16%,71%,77%,67%,53%,25%,36%,50%,68%,52%,33%,94%,5%,22%,96%,3%,45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,NET Unfavorable,50%,57%,45%,42%,43%,54%,56%,71%,14%,46%,46%,53%,59%,79%,27%,18%,29%,45%,71%,57%,48%,25%,44%,65%,4%,93%,46%,3%,95%,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamala [COMMA-luh] Harris,Number of respondents,582,268,307,95,139,204,126,331,180,64,266,312,169,159,95,149,107,106,88,135,146,72,297,213,259,289,34,177,183,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),28%,32%,26%,20%,23%,43%,19%,31%,23%,25%,32%,26%,34%,30%,29%,20%,19%,23%,39%,31%,28%,21%,25%,34%,16%,41%,16%,13%,39%,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Abortion,16%,6%,24%,17%,22%,12%,15%,14%,19%,17%,21%,13%,20%,10%,22%,17%,21%,14%,10%,16%,18%,18%,17%,14%,31%,4%,0%,31%,5%,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
What one issue is most important in deciding your vote this November?,[VOL] Immigration,14%,15%,14%,9%,10%,12%,24%,21%,4%,10%,8%,18%,11%,28%,5%,5%,9%,21%,12%,19%,11%,4%,17%,14%,<1%,25%,29%,<1%,30%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
