itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_miami_dade,region_north,region_orlando,region_rest,region_southeast,region_tampa,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Independent,31%,38%,24%,35%,34%,32%,28%,31%,35%,33%,15%,31%,31%,37%,28%,37%,27%,35%,27%,27%,25%,36%,35%,38%,22%,37%,25%,53%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Another party,1%,2%,<.5%,2%,<1%,1%,<1%,2%,<.5%,<.5%,0%,2%,<.5%,2%,<1%,3%,<1%,0%,<.5%,<.5%,1%,<1%,<1%,<1%,3%,<.5%,1%,5%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",[VOL] Don't know/Refused,1%,2%,<1%,3%,<1%,0%,2%,1%,<.5%,2%,2%,1%,1%,2%,<1%,3%,0%,0%,3%,<.5%,3%,<1%,<.5%,2%,1%,<.5%,1%,10%,0%,0%
"Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Democratic Party,43%,39%,50%,51%,29%,47%,46%,40%,45%,52%,62%,40%,50%,43%,44%,41%,39%,46%,55%,45%,43%,36%,41%,60%,36%,89%,4%,0%,-,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",The Republican Party,45%,49%,39%,37%,60%,47%,35%,47%,53%,33%,38%,47%,41%,44%,46%,42%,52%,49%,33%,35%,39%,43%,54%,39%,40%,3%,90%,34%,-,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",[VOL] Don't know/Refused,12%,12%,11%,12%,11%,6%,19%,13%,2%,15%,0%,13%,9%,13%,11%,18%,9%,5%,12%,21%,17%,21%,5%,1%,24%,8%,5%,66%,-,-
"(If independent, another party or not sure)  And as of today, do you lean more to:",Number of respondents,184,101,81,35,34,62,47,114,21,34,9,114,64,96,87,63,50,30,34,16,18,24,56,30,40,87,85,12,,
Combined: Party identification and leaners,The Democratic Party,40%,33%,46%,50%,34%,36%,47%,32%,73%,45%,43%,32%,54%,50%,34%,46%,23%,55%,54%,49%,33%,45%,32%,58%,36%,92%,3%,12%,100%,0%
Combined: Party identification and leaners,The Republican Party,56%,61%,51%,45%,62%,62%,48%,63%,26%,50%,57%,63%,43%,45%,63%,47%,74%,43%,42%,45%,61%,47%,66%,41%,57%,5%,96%,42%,0%,100%
Combined: Party identification and leaners,[VOL] Don't know/Refused,4%,5%,3%,5%,4%,2%,6%,4%,<1%,5%,0%,4%,3%,5%,3%,7%,3%,2%,4%,6%,5%,8%,2%,<.5%,6%,3%,1%,45%,0%,0%
Combined: Party identification and leaners,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,44%,46%,42%,29%,42%,50%,42%,56%,6%,26%,44%,56%,23%,34%,51%,40%,66%,26%,20%,38%,61%,24%,53%,26%,46%,2%,79%,5%,3%,79%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,38%,33%,43%,30%,36%,34%,47%,33%,68%,45%,28%,33%,50%,53%,29%,49%,22%,58%,43%,40%,23%,50%,34%,48%,39%,80%,6%,51%,86%,5%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,14%,15%,12%,40%,16%,12%,6%,9%,14%,26%,24%,9%,22%,8%,17%,8%,9%,9%,33%,20%,10%,19%,9%,22%,12%,15%,12%,24%,11%,15%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,5%,1%,<1%,5%,4%,3%,2%,10%,2%,4%,2%,5%,5%,2%,1%,2%,7%,3%,0%,0%,7%,5%,3%,2%,3%,3%,4%,<1%,1%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,1%,1%,0%,2%,<1%,1%,<1%,1%,<1%,0%,<1%,<1%,<1%,<1%,1%,<1%,<1%,1%,3%,7%,<1%,0%,<1%,<1%,<.5%,<1%,15%,<.5%,<1%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,51%,53%,48%,48%,50%,57%,45%,61%,7%,36%,58%,61%,29%,37%,61%,43%,73%,28%,30%,47%,67%,29%,58%,34%,52%,2%,89%,6%,3%,92%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,44%,39%,49%,51%,43%,38%,50%,36%,79%,61%,36%,36%,63%,57%,35%,54%,24%,63%,64%,50%,25%,61%,37%,62%,44%,94%,7%,68%,96%,5%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,4%,6%,2%,1%,5%,5%,3%,2%,12%,3%,6%,2%,7%,5%,3%,1%,2%,8%,5%,0%,0%,9%,5%,4%,2%,4%,3%,6%,<1%,1%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,1%,1%,0%,2%,<1%,1%,1%,2%,<1%,0%,1%,1%,1%,1%,1%,<1%,<1%,2%,4%,8%,1%,0%,<1%,<1%,<1%,<1%,20%,<.5%,<1%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,414,202,210,48,65,148,139,271,51,61,23,271,135,212,198,129,140,80,55,40,42,43,153,49,87,183,220,11,116,152
Donald Trump,Very favorable,37%,42%,32%,26%,36%,45%,31%,44%,11%,32%,24%,44%,23%,22%,46%,22%,58%,23%,23%,44%,52%,16%,39%,29%,39%,<.5%,67%,<1%,2%,69%
Donald Trump,Somewhat favorable,17%,16%,18%,21%,19%,14%,16%,18%,14%,12%,30%,18%,16%,19%,15%,22%,15%,17%,16%,5%,15%,19%,23%,12%,16%,3%,26%,43%,2%,21%
Donald Trump,Somewhat unfavorable,7%,7%,7%,10%,12%,4%,6%,5%,11%,9%,10%,5%,10%,8%,6%,9%,3%,7%,12%,1%,4%,17%,5%,8%,8%,6%,5%,32%,6%,6%
Donald Trump,Very unfavorable,39%,34%,43%,41%,30%,36%,48%,33%,64%,44%,36%,33%,50%,49%,32%,47%,24%,51%,48%,48%,29%,46%,33%,51%,36%,91%,<1%,18%,90%,4%
Donald Trump,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Donald Trump,[VOL] Don't know/Refused,<1%,<1%,<1%,1%,3%,0%,0%,<.5%,0%,2%,0%,<.5%,1%,<1%,<.5%,<.5%,<1%,2%,<.5%,2%,0%,2%,0%,0%,1%,0%,<1%,5%,0%,<.5%
Donald Trump,NET Favorable,54%,58%,49%,47%,55%,60%,47%,61%,26%,44%,54%,61%,39%,42%,62%,44%,73%,40%,39%,49%,67%,34%,62%,41%,54%,3%,93%,44%,3%,90%
Donald Trump,NET Unfavorable,46%,41%,50%,52%,42%,40%,53%,38%,74%,54%,46%,38%,60%,57%,38%,56%,27%,58%,61%,49%,33%,64%,38%,59%,44%,97%,6%,51%,97%,10%
Donald Trump,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
Kamala [COMMA-luh] Harris,Very favorable,27%,23%,31%,23%,16%,24%,40%,24%,55%,20%,32%,24%,35%,37%,21%,37%,15%,37%,33%,32%,24%,32%,24%,34%,25%,64%,<1%,8%,75%,2%
Kamala [COMMA-luh] Harris,Somewhat favorable,15%,13%,17%,30%,19%,15%,9%,11%,19%,29%,14%,11%,23%,14%,16%,12%,10%,17%,28%,21%,9%,22%,13%,19%,13%,32%,3%,15%,21%,5%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,11%,9%,13%,19%,13%,11%,9%,11%,9%,19%,<1%,11%,12%,11%,12%,12%,10%,8%,16%,11%,6%,15%,8%,19%,12%,3%,14%,49%,2%,14%
Kamala [COMMA-luh] Harris,Very unfavorable,44%,52%,37%,26%,48%,49%,39%,52%,17%,27%,53%,52%,28%,36%,49%,36%,63%,36%,22%,30%,61%,29%,54%,28%,45%,<1%,79%,15%,1%,76%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<1%,<.5%,0%,1%,0%,<1%,<.5%,0%,2%,0%,<.5%,<1%,<.5%,<1%,<1%,0%,0%,2%,2%,0%,<1%,0%,0%,<1%,<.5%,<1%,0%,0%,<1%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,1%,<1%,3%,<1%,3%,2%,0%,2%,0%,2%,1%,2%,1%,2%,2%,2%,<1%,4%,0%,<1%,2%,0%,3%,0%,2%,13%,<.5%,2%
Kamala [COMMA-luh] Harris,NET Favorable,43%,36%,48%,54%,35%,39%,49%,34%,74%,50%,47%,34%,58%,51%,37%,49%,25%,54%,61%,53%,33%,54%,37%,53%,39%,96%,4%,24%,96%,7%
Kamala [COMMA-luh] Harris,NET Unfavorable,55%,61%,50%,45%,61%,60%,48%,63%,26%,46%,53%,63%,40%,46%,61%,48%,73%,44%,37%,41%,67%,44%,62%,47%,57%,4%,94%,63%,4%,90%
Kamala [COMMA-luh] Harris,Number of respondents,510,246,262,85,90,172,149,315,63,88,34,315,185,242,263,147,165,91,94,54,50,57,175,67,107,226,269,15,138,188
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",Kamala Harris more,41%,34%,47%,49%,40%,33%,48%,33%,77%,45%,42%,33%,56%,54%,32%,49%,23%,61%,51%,50%,30%,52%,35%,50%,39%,93%,2%,33%,95%,4%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",Donald Trump more,49%,55%,43%,40%,46%,57%,43%,59%,13%,36%,51%,59%,31%,37%,57%,41%,71%,31%,30%,43%,60%,31%,58%,36%,49%,<.5%,88%,11%,2%,86%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Both,1%,<.5%,3%,3%,1%,3%,<.5%,<1%,3%,4%,0%,<1%,3%,2%,1%,<1%,<1%,4%,2%,0%,0%,2%,<1%,<1%,4%,<1%,2%,0%,<1%,2%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Neither,7%,9%,5%,8%,11%,6%,4%,6%,7%,8%,5%,6%,7%,7%,6%,9%,5%,4%,10%,<1%,6%,7%,5%,14%,7%,5%,6%,32%,2%,3%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",[VOL] Don't know/Refused,2%,2%,3%,<.5%,2%,<.5%,4%,1%,0%,7%,2%,1%,4%,<1%,3%,1%,1%,0%,7%,6%,3%,8%,1%,0%,1%,<1%,2%,24%,0%,5%
"For each of the following, does the characteristic or quality apply more to Kamala Harris or to Donald Trump?",MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares,MARGIN Trump +8 Calculated using candidates’ unrounded vote shares
Is honest and trustworthy,Kamala Harris more,40%,35%,44%,47%,32%,36%,48%,34%,66%,41%,45%,34%,51%,52%,31%,52%,22%,51%,50%,45%,31%,48%,34%,52%,38%,93%,1%,16%,93%,5%
Is honest and trustworthy,Donald Trump more,43%,48%,38%,38%,36%,51%,40%,50%,14%,42%,43%,50%,32%,29%,53%,30%,63%,29%,36%,38%,55%,33%,47%,32%,46%,0%,77%,22%,2%,78%
Is honest and trustworthy,[VOL] Both,<1%,<.5%,<1%,0%,0%,2%,<1%,<1%,0%,1%,0%,<1%,<1%,<1%,<1%,0%,1%,1%,0%,0%,<.5%,2%,<1%,0%,1%,<1%,<1%,0%,<.5%,1%
Is honest and trustworthy,[VOL] Neither,14%,14%,15%,15%,30%,11%,8%,14%,18%,14%,8%,14%,14%,16%,13%,16%,12%,17%,12%,15%,10%,12%,16%,14%,15%,5%,18%,57%,5%,13%
Is honest and trustworthy,[VOL] Don't know/Refused,2%,2%,2%,<1%,2%,<.5%,3%,1%,2%,2%,3%,1%,2%,2%,2%,2%,1%,2%,3%,2%,3%,5%,2%,1%,0%,1%,2%,5%,<1%,3%
Is honest and trustworthy,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares
Is a strong leader,Kamala Harris more,36%,32%,41%,39%,29%,34%,44%,31%,59%,40%,40%,31%,47%,48%,28%,47%,21%,50%,44%,41%,29%,48%,32%,48%,31%,87%,<.5%,8%,88%,2%
Is a strong leader,Donald Trump more,58%,62%,54%,55%,63%,62%,50%,65%,34%,51%,59%,65%,46%,48%,65%,50%,74%,46%,47%,47%,61%,48%,66%,45%,63%,4%,97%,75%,6%,94%
Is a strong leader,[VOL] Both,<1%,<1%,<.5%,0%,1%,<1%,0%,<1%,0%,<.5%,1%,<1%,<.5%,<1%,<.5%,1%,<.5%,<.5%,0%,0%,2%,0%,0%,0%,2%,<1%,<.5%,0%,<.5%,1%
Is a strong leader,[VOL] Neither,4%,4%,4%,5%,5%,3%,4%,3%,7%,7%,0%,3%,6%,3%,5%,3%,4%,4%,7%,6%,3%,4%,2%,7%,5%,8%,<1%,12%,6%,<.5%
Is a strong leader,[VOL] Don't know/Refused,1%,1%,<1%,1%,1%,0%,1%,<1%,0%,3%,0%,<1%,1%,0%,1%,0%,<1%,0%,2%,6%,5%,0%,0%,0%,0%,0%,2%,5%,0%,2%
Is a strong leader,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares,MARGIN Trump +22 Calculated using candidates’ unrounded vote shares
Is fun,Kamala Harris more,34%,27%,41%,49%,27%,32%,38%,28%,58%,42%,37%,28%,47%,48%,25%,47%,15%,49%,45%,47%,26%,46%,29%,50%,26%,71%,8%,21%,81%,6%
Is fun,Donald Trump more,40%,46%,35%,33%,53%,46%,32%,43%,23%,42%,50%,43%,37%,32%,47%,28%,52%,37%,37%,28%,36%,33%,44%,35%,49%,6%,65%,53%,5%,65%
Is fun,[VOL] Both,1%,1%,1%,3%,1%,2%,<.5%,2%,2%,<.5%,0%,2%,<1%,<.5%,2%,<1%,2%,<.5%,1%,2%,<1%,2%,2%,0%,1%,<.5%,2%,4%,<1%,2%
Is fun,[VOL] Neither,12%,14%,11%,10%,6%,12%,14%,14%,7%,9%,10%,14%,8%,10%,13%,12%,16%,8%,8%,3%,18%,7%,15%,11%,13%,12%,12%,17%,9%,12%
Is fun,[VOL] Don't know/Refused,12%,12%,12%,6%,13%,8%,16%,14%,11%,7%,2%,14%,8%,10%,13%,12%,15%,6%,9%,21%,19%,11%,11%,4%,11%,10%,14%,6%,4%,15%
Is fun,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
Would help you personally,Kamala Harris more,34%,29%,38%,45%,27%,31%,38%,28%,60%,35%,33%,28%,43%,45%,26%,45%,18%,45%,42%,44%,24%,46%,27%,44%,31%,79%,1%,8%,82%,3%
Would help you personally,Donald Trump more,50%,56%,46%,44%,53%,55%,44%,57%,22%,44%,59%,57%,39%,39%,58%,38%,69%,40%,38%,32%,61%,36%,59%,42%,53%,5%,86%,44%,3%,86%
Would help you personally,[VOL] Both,<1%,<.5%,1%,<1%,<1%,2%,0%,<1%,0%,1%,0%,<1%,<1%,<1%,<1%,0%,1%,1%,0%,0%,<1%,2%,1%,<1%,0%,<1%,1%,0%,0%,1%
Would help you personally,[VOL] Neither,10%,9%,10%,8%,17%,8%,8%,11%,12%,6%,5%,11%,8%,11%,9%,12%,11%,11%,6%,16%,6%,4%,8%,9%,14%,10%,8%,24%,10%,4%
Would help you personally,[VOL] Don't know/Refused,5%,5%,5%,3%,2%,4%,10%,3%,7%,13%,2%,3%,9%,4%,6%,5%,2%,2%,15%,8%,8%,11%,5%,5%,2%,5%,4%,24%,5%,6%
Would help you personally,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares,MARGIN Trump +17 Calculated using candidates’ unrounded vote shares
(Ask only of Split A)  Would help people like you,Kamala Harris more,39%,33%,45%,43%,32%,35%,49%,34%,69%,29%,54%,34%,49%,47%,34%,41%,30%,54%,45%,40%,27%,59%,33%,53%,31%,91%,2%,44%,93%,5%
(Ask only of Split A)  Would help people like you,Donald Trump more,54%,58%,50%,48%,58%,62%,44%,61%,28%,56%,37%,61%,41%,45%,60%,49%,67%,42%,40%,52%,45%,33%,64%,43%,59%,1%,93%,11%,4%,89%
(Ask only of Split A)  Would help people like you,[VOL] Both,<.5%,<.5%,0%,0%,1%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,0%,0%
(Ask only of Split A)  Would help people like you,[VOL] Neither,4%,4%,3%,7%,6%,3%,3%,4%,1%,4%,9%,4%,4%,5%,3%,7%,2%,4%,3%,0%,12%,2%,1%,4%,7%,3%,2%,45%,3%,<1%
(Ask only of Split A)  Would help people like you,[VOL] Don't know/Refused,3%,4%,2%,2%,3%,0%,5%,1%,2%,11%,0%,1%,6%,2%,3%,3%,0%,0%,11%,8%,16%,6%,<.5%,0%,2%,4%,3%,0%,0%,6%
