itm,v1,likely_electorate_likely_electorate,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,2%,3%,2%,2%,4%,2%,3%,1%,2%,0%,3%,3%,2%,3%,2%,4%,<.5%,2%,3%,2%,2%,2%,15%,1%,<1%,9%,18%,<.5%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,<1%,1%,<.5%,2%,<1%,<1%,<.5%,<1%,<1%,1%,<1%,0%,2%,<1%,<1%,<1%,<1%,1%,<1%,2%,<1%,<1%,<.5%,<1%,8%,<.5%,<1%,3%,8%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,45%,46%,44%,53%,38%,30%,41%,53%,42%,49%,7%,34%,33%,52%,35%,57%,19%,22%,22%,40%,57%,4%,91%,35%,3%,94%,38%,22%,4%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,52%,52%,51%,52%,43%,59%,64%,56%,44%,55%,48%,93%,60%,63%,45%,61%,40%,75%,77%,74%,57%,40%,94%,6%,35%,95%,4%,47%,42%,96%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,2%,2%,3%,3%,2%,6%,2%,3%,1%,2%,0%,4%,3%,2%,3%,2%,5%,<.5%,2%,3%,2%,2%,2%,20%,2%,<1%,11%,25%,<.5%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,1%,1%,<.5%,2%,1%,1%,<1%,<1%,<1%,1%,<1%,0%,2%,<1%,<1%,<1%,<1%,2%,<1%,2%,<1%,<1%,<.5%,1%,11%,<.5%,<1%,4%,11%,0%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,"1,483",419,544,520,677,782,158,327,490,468,"1,211",107,136,739,735,611,599,116,126,239,590,654,782,655,46,751,607,70,55,518
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly approve,26%,26%,25%,26%,19%,32%,11%,18%,24%,37%,26%,41%,18%,29%,23%,30%,23%,29%,28%,37%,24%,23%,50%,<1%,8%,51%,<1%,3%,11%,58%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat approve,18%,17%,19%,20%,17%,19%,24%,27%,15%,15%,17%,25%,25%,23%,16%,22%,14%,28%,24%,26%,20%,15%,34%,2%,12%,34%,1%,14%,18%,30%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Somewhat disapprove,9%,11%,8%,8%,9%,8%,22%,12%,6%,6%,8%,10%,16%,10%,8%,9%,7%,14%,13%,7%,11%,7%,10%,7%,19%,9%,6%,29%,12%,6%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Strongly disapprove,45%,44%,46%,44%,52%,38%,39%,41%,53%,40%,47%,20%,37%,35%,50%,37%,53%,27%,30%,27%,42%,54%,4%,89%,49%,3%,91%,52%,47%,4%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,[VOL] Don't know/Refused,2%,2%,3%,2%,3%,2%,3%,2%,3%,2%,2%,4%,3%,2%,2%,2%,2%,3%,5%,2%,3%,2%,3%,1%,12%,2%,1%,2%,13%,2%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Approve,44%,43%,44%,46%,36%,52%,35%,44%,39%,53%,43%,66%,43%,53%,39%,52%,37%,57%,52%,63%,44%,37%,84%,3%,19%,86%,2%,17%,29%,88%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,NET Disapprove,54%,55%,54%,52%,61%,46%,62%,54%,59%,45%,55%,30%,53%,45%,58%,45%,61%,40%,44%,34%,53%,61%,13%,96%,68%,12%,96%,81%,59%,10%
Do you approve or disapprove of the way Joe Biden is handling his job as president?,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Donald Trump,Very favorable,33%,31%,35%,34%,38%,29%,25%,29%,36%,34%,36%,5%,31%,21%,40%,22%,44%,17%,20%,18%,29%,42%,<1%,71%,7%,<1%,75%,4%,4%,3%
Donald Trump,Somewhat favorable,13%,13%,13%,12%,17%,9%,14%,16%,15%,9%,13%,14%,13%,14%,12%,14%,12%,16%,12%,6%,14%,15%,2%,24%,17%,2%,22%,31%,20%,2%
Donald Trump,Somewhat unfavorable,4%,6%,4%,3%,4%,4%,12%,5%,4%,2%,4%,9%,5%,4%,4%,4%,3%,3%,9%,5%,5%,3%,4%,3%,27%,3%,1%,28%,23%,3%
Donald Trump,Very unfavorable,49%,48%,47%,51%,39%,57%,48%,50%,44%,54%,47%,71%,50%,59%,43%,59%,40%,64%,57%,69%,51%,40%,93%,1%,44%,93%,<1%,35%,46%,91%
Donald Trump,[VOL] Have not heard of,<.5%,<.5%,0%,0%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<1%,0%,0%
Donald Trump,[VOL] Don't know/Refused,1%,2%,<1%,<1%,2%,<.5%,0%,1%,2%,<1%,1%,1%,<.5%,<1%,1%,<1%,1%,<1%,<1%,<1%,1%,<1%,<1%,1%,6%,<.5%,1%,<1%,6%,<1%
Donald Trump,NET Favorable,46%,44%,48%,46%,55%,38%,40%,45%,51%,43%,48%,19%,44%,36%,52%,36%,55%,32%,33%,25%,42%,57%,3%,95%,24%,3%,97%,35%,25%,5%
Donald Trump,NET Unfavorable,53%,54%,51%,53%,44%,61%,60%,54%,48%,56%,51%,80%,56%,63%,47%,63%,43%,67%,66%,75%,56%,43%,97%,4%,71%,97%,2%,63%,69%,94%
Donald Trump,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
Kamala [COMMA-luh] Harris,Very favorable,33%,33%,32%,33%,22%,43%,25%,28%,29%,44%,32%,53%,30%,36%,31%,36%,30%,42%,40%,46%,32%,29%,65%,<1%,3%,67%,1%,3%,5%,74%
Kamala [COMMA-luh] Harris,Somewhat favorable,17%,16%,19%,17%,20%,15%,30%,23%,15%,11%,16%,24%,25%,22%,15%,22%,13%,22%,26%,23%,21%,12%,31%,2%,20%,30%,1%,19%,30%,21%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,7%,7%,7%,8%,8%,6%,12%,11%,8%,3%,7%,8%,9%,9%,6%,9%,6%,9%,9%,7%,7%,7%,3%,10%,24%,2%,9%,34%,18%,2%
Kamala [COMMA-luh] Harris,Very unfavorable,40%,40%,41%,40%,48%,34%,32%,37%,45%,39%,43%,13%,32%,32%,45%,33%,49%,24%,23%,19%,37%,51%,<.5%,84%,40%,<.5%,86%,40%,32%,3%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,<.5%,<.5%,<.5%,<.5%,<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,0%,<1%,<.5%,<1%,<.5%,<1%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,<1%,2%,<.5%,<1%,0%,2%,<.5%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,3%,2%,1%,2%,1%,1%,1%,3%,2%,2%,2%,4%,1%,2%,<1%,2%,3%,3%,4%,2%,1%,<1%,3%,11%,<.5%,2%,4%,14%,1%
Kamala [COMMA-luh] Harris,NET Favorable,50%,49%,50%,50%,42%,58%,54%,51%,44%,56%,48%,77%,54%,58%,46%,57%,43%,64%,65%,69%,53%,41%,96%,3%,23%,97%,2%,22%,35%,95%
Kamala [COMMA-luh] Harris,NET Unfavorable,48%,47%,48%,48%,56%,40%,44%,48%,53%,42%,50%,21%,41%,41%,51%,42%,55%,33%,31%,27%,44%,58%,3%,94%,65%,2%,95%,74%,50%,4%
Kamala [COMMA-luh] Harris,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
JD Vance,Very favorable,20%,16%,21%,23%,23%,18%,8%,12%,21%,25%,22%,3%,13%,13%,24%,14%,26%,7%,9%,7%,19%,26%,<1%,42%,5%,<1%,45%,1%,6%,2%
JD Vance,Somewhat favorable,18%,22%,18%,15%,23%,14%,19%,21%,24%,11%,19%,11%,19%,17%,19%,16%,21%,19%,13%,12%,18%,21%,5%,33%,7%,5%,33%,25%,11%,6%
JD Vance,Somewhat unfavorable,9%,11%,9%,8%,9%,10%,15%,14%,8%,6%,9%,13%,12%,13%,7%,13%,6%,12%,13%,9%,11%,8%,13%,4%,26%,12%,3%,28%,14%,8%
JD Vance,Very unfavorable,38%,33%,40%,40%,32%,43%,37%,37%,32%,44%,37%,52%,32%,47%,32%,47%,32%,50%,36%,54%,39%,30%,71%,3%,18%,73%,2%,19%,25%,72%
JD Vance,[VOL] Have not heard of,6%,6%,5%,6%,6%,6%,7%,9%,6%,3%,5%,10%,12%,4%,7%,3%,6%,6%,15%,8%,6%,5%,4%,7%,18%,3%,6%,14%,24%,4%
JD Vance,[VOL] Don't know/Refused,9%,11%,8%,8%,8%,9%,14%,7%,8%,10%,8%,10%,11%,6%,11%,5%,9%,5%,14%,10%,7%,10%,6%,11%,25%,6%,11%,13%,21%,7%
JD Vance,NET Favorable,38%,38%,38%,38%,46%,32%,27%,33%,45%,37%,41%,14%,32%,30%,43%,31%,47%,27%,23%,19%,37%,46%,6%,75%,13%,6%,78%,26%,17%,8%
JD Vance,NET Unfavorable,47%,44%,49%,48%,40%,53%,52%,51%,40%,50%,46%,65%,44%,60%,39%,60%,38%,62%,49%,63%,50%,38%,84%,7%,44%,85%,5%,47%,38%,81%
JD Vance,Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
(Asked starting Aug. 6)  Tim Walz [walls],Very favorable,22%,21%,20%,26%,18%,25%,19%,21%,20%,24%,23%,26%,11%,29%,17%,30%,18%,28%,13%,29%,22%,18%,42%,2%,4%,43%,2%,6%,3%,47%
(Asked starting Aug. 6)  Tim Walz [walls],Somewhat favorable,17%,17%,19%,14%,17%,17%,30%,17%,13%,18%,17%,15%,22%,21%,15%,20%,15%,27%,13%,15%,19%,16%,27%,8%,6%,27%,7%,13%,14%,20%
(Asked starting Aug. 6)  Tim Walz [walls],Somewhat unfavorable,8%,7%,9%,6%,9%,7%,9%,11%,9%,4%,7%,11%,10%,8%,8%,8%,7%,9%,12%,9%,8%,8%,3%,13%,8%,3%,12%,22%,3%,2%
(Asked starting Aug. 6)  Tim Walz [walls],Very unfavorable,20%,16%,19%,29%,23%,18%,7%,13%,26%,21%,21%,11%,14%,16%,22%,17%,25%,12%,13%,14%,18%,25%,2%,40%,16%,2%,42%,9%,18%,3%
(Asked starting Aug. 6)  Tim Walz [walls],[VOL] Have not heard of,17%,20%,17%,12%,17%,18%,15%,23%,17%,15%,17%,16%,21%,12%,20%,13%,20%,12%,23%,18%,17%,17%,13%,20%,37%,12%,20%,24%,44%,15%
(Asked starting Aug. 6)  Tim Walz [walls],[VOL] Don't know/Refused,16%,19%,16%,13%,16%,16%,20%,15%,15%,18%,14%,20%,21%,13%,18%,12%,16%,13%,25%,14%,17%,16%,14%,18%,30%,14%,18%,25%,18%,13%
(Asked starting Aug. 6)  Tim Walz [walls],NET Favorable,39%,37%,39%,40%,35%,41%,49%,38%,33%,42%,40%,42%,33%,50%,31%,50%,33%,55%,27%,44%,41%,34%,68%,9%,10%,70%,9%,19%,17%,67%
(Asked starting Aug. 6)  Tim Walz [walls],NET Unfavorable,28%,23%,28%,35%,32%,25%,16%,24%,35%,25%,29%,23%,24%,24%,30%,25%,31%,20%,25%,23%,26%,32%,5%,53%,24%,5%,54%,32%,21%,5%
(Asked starting Aug. 6)  Tim Walz [walls],Number of respondents,"1,204",345,600,259,562,619,176,282,402,314,941,103,136,592,606,476,464,103,135,196,523,485,616,535,53,584,488,65,67,407
How much attention are you paying to the upcoming presidential election?,A lot,67%,63%,67%,71%,67%,67%,51%,56%,68%,78%,70%,53%,48%,72%,64%,73%,68%,64%,44%,62%,67%,69%,70%,67%,32%,71%,68%,37%,42%,71%
How much attention are you paying to the upcoming presidential election?,Some,24%,27%,24%,20%,24%,24%,35%,31%,24%,16%,23%,29%,33%,21%,26%,21%,24%,24%,34%,26%,24%,23%,25%,23%,23%,24%,22%,38%,20%,22%
How much attention are you paying to the upcoming presidential election?,Not much,6%,6%,7%,6%,7%,6%,9%,9%,6%,4%,5%,12%,13%,5%,7%,4%,6%,9%,14%,9%,6%,6%,4%,7%,29%,3%,7%,21%,23%,4%
How much attention are you paying to the upcoming presidential election?,None at all,3%,3%,3%,2%,3%,3%,5%,4%,2%,2%,2%,5%,6%,2%,3%,2%,2%,2%,8%,4%,3%,2%,2%,3%,15%,1%,3%,4%,16%,2%
How much attention are you paying to the upcoming presidential election?,[VOL] Don't know/Refused,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Very enthusiastic,62%,58%,62%,65%,60%,63%,39%,51%,66%,70%,65%,49%,46%,62%,62%,63%,66%,58%,42%,55%,61%,65%,64%,63%,18%,66%,66%,14%,14%,72%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Somewhat enthusiastic,23%,25%,22%,22%,24%,23%,37%,30%,18%,20%,21%,25%,37%,23%,23%,22%,21%,26%,35%,27%,24%,21%,26%,21%,18%,25%,21%,28%,19%,20%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not very enthusiastic,9%,9%,11%,8%,10%,9%,20%,9%,9%,6%,9%,15%,8%,10%,9%,10%,8%,11%,11%,11%,9%,9%,8%,9%,30%,6%,8%,32%,34%,5%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Not at all enthusiastic,6%,7%,5%,5%,5%,5%,5%,9%,6%,3%,4%,9%,7%,5%,5%,5%,4%,4%,10%,6%,6%,5%,3%,6%,32%,2%,5%,25%,30%,3%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",[VOL] Don’t know/Refused,<.5%,<1%,<.5%,<.5%,<.5%,<1%,0%,<1%,<1%,<1%,<.5%,1%,2%,<1%,<.5%,<.5%,<.5%,1%,2%,<1%,<.5%,<1%,<.5%,<.5%,2%,<.5%,<.5%,1%,2%,<.5%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Enthusiastic,85%,83%,84%,87%,84%,86%,76%,81%,84%,91%,86%,74%,83%,85%,85%,85%,87%,83%,77%,83%,85%,85%,89%,84%,36%,91%,87%,42%,34%,92%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",NET Not enthusiastic,15%,16%,15%,13%,16%,14%,24%,18%,15%,9%,13%,24%,15%,15%,14%,15%,12%,16%,21%,17%,15%,14%,10%,16%,62%,8%,13%,57%,64%,8%
"And when it comes to the November election, would you say you’re very enthusiastic about voting, somewhat enthusiastic about voting, not very enthusiastic about voting or not at all enthusiastic about voting?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Very satisfied,44%,42%,44%,46%,39%,49%,26%,35%,45%,54%,46%,40%,34%,40%,46%,40%,49%,41%,35%,42%,40%,49%,45%,47%,4%,47%,50%,2%,6%,54%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Somewhat satisfied,33%,32%,36%,30%,34%,31%,42%,35%,31%,30%,32%,35%,37%,32%,33%,32%,32%,31%,38%,37%,33%,30%,37%,29%,18%,38%,30%,24%,12%,35%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Not too satisfied,13%,14%,12%,13%,16%,10%,17%,18%,14%,9%,13%,14%,15%,16%,12%,17%,11%,9%,18%,9%,17%,12%,12%,14%,9%,11%,13%,30%,24%,7%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Not at all satisfied,8%,7%,7%,9%,8%,8%,12%,10%,9%,5%,8%,9%,10%,10%,7%,10%,7%,15%,6%,7%,8%,8%,4%,8%,55%,3%,6%,41%,48%,3%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",[VOL] Don't know/Refused,2%,4%,<1%,1%,2%,2%,3%,1%,2%,3%,2%,2%,5%,2%,2%,1%,2%,4%,3%,5%,2%,1%,1%,2%,14%,1%,2%,4%,10%,2%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",NET Satisfied,77%,74%,79%,76%,74%,80%,68%,70%,76%,84%,78%,75%,71%,72%,79%,72%,81%,72%,73%,79%,73%,79%,82%,76%,22%,85%,79%,25%,18%,89%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",NET Not satisfied,21%,22%,20%,22%,25%,18%,29%,29%,22%,13%,21%,23%,25%,26%,18%,27%,17%,24%,24%,16%,25%,20%,17%,23%,64%,14%,19%,71%,72%,9%
"In general, how satisfied are you with your choice of candidates in this fall’s presidential election?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",Enthusiastic,20%,18%,20%,23%,23%,17%,8%,13%,21%,26%,22%,5%,10%,15%,23%,17%,26%,7%,8%,9%,18%,26%,<1%,43%,4%,<1%,45%,5%,4%,1%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?","Satisfied, but not enthusiastic",24%,25%,24%,23%,29%,21%,24%,25%,29%,19%,24%,24%,23%,20%,27%,19%,27%,20%,26%,20%,24%,26%,9%,41%,24%,9%,41%,31%,20%,10%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?","Dissatisfied, but not upset",27%,29%,26%,27%,26%,28%,38%,32%,23%,28%,25%,46%,33%,31%,26%,29%,23%,39%,39%,32%,29%,24%,44%,7%,45%,44%,6%,46%,36%,40%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",Angry,22%,19%,23%,23%,16%,27%,26%,25%,18%,23%,23%,22%,18%,31%,17%,32%,17%,26%,16%,31%,23%,17%,42%,1%,7%,43%,<1%,9%,12%,42%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",[VOL] Don't know/Refused,6%,8%,6%,5%,6%,6%,4%,6%,9%,5%,5%,4%,16%,4%,8%,3%,7%,7%,11%,8%,6%,6%,4%,8%,20%,4%,7%,9%,28%,6%
"Which comes closest to how you feel about the Republican candidate for vice president, JD Vance?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",Enthusiastic,23%,21%,24%,26%,18%,28%,20%,22%,19%,31%,24%,31%,16%,32%,18%,33%,18%,33%,18%,35%,24%,18%,46%,<1%,0%,48%,<1%,0%,3%,52%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?","Satisfied, but not enthusiastic",26%,28%,26%,24%,25%,27%,38%,28%,23%,25%,25%,35%,30%,26%,27%,26%,25%,29%,34%,30%,26%,25%,41%,11%,20%,41%,11%,23%,28%,35%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?","Dissatisfied, but not upset",24%,24%,25%,22%,26%,23%,26%,23%,27%,19%,25%,19%,19%,18%,28%,20%,28%,8%,25%,18%,22%,29%,6%,42%,39%,5%,43%,44%,24%,5%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",Angry,12%,10%,12%,18%,16%,9%,6%,9%,14%,15%,13%,3%,11%,11%,14%,10%,16%,14%,4%,4%,13%,15%,<.5%,26%,5%,0%,27%,9%,6%,0%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",[VOL] Don't know/Refused,14%,18%,13%,10%,15%,13%,10%,18%,17%,10%,12%,12%,24%,13%,14%,12%,13%,16%,19%,13%,15%,13%,7%,19%,36%,7%,18%,25%,38%,7%
"(Asked starting Aug. 6)  Which comes closest to how you feel about the Democratic candidate for vice president, Tim Walz [walls]?",Number of respondents,"1,204",345,600,259,562,619,176,282,402,314,941,103,136,592,606,476,464,103,135,196,523,485,616,535,53,584,488,65,67,407
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Too conservative,34%,32%,37%,33%,29%,38%,56%,42%,30%,27%,34%,44%,34%,44%,29%,45%,28%,46%,35%,51%,36%,27%,58%,9%,26%,58%,7%,31%,34%,60%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not conservative enough,10%,12%,9%,10%,11%,10%,5%,7%,10%,14%,9%,18%,14%,7%,12%,7%,10%,6%,22%,10%,10%,11%,10%,11%,12%,10%,11%,8%,14%,8%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Not too far either way,46%,45%,46%,47%,52%,42%,37%,47%,52%,42%,48%,29%,44%,40%,50%,40%,52%,39%,37%,32%,43%,54%,18%,77%,51%,18%,78%,54%,38%,19%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",[VOL] Don’t know/Refused,9%,11%,7%,10%,8%,10%,2%,4%,8%,16%,9%,9%,7%,9%,9%,8%,10%,10%,7%,8%,11%,8%,14%,4%,12%,14%,4%,7%,15%,12%
"Do you think Donald Trump is too conservative, not conservative enough, or not too far either way?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Too liberal or progressive,44%,40%,46%,47%,53%,38%,33%,39%,51%,45%,49%,13%,30%,38%,48%,41%,53%,25%,21%,24%,40%,56%,10%,83%,37%,10%,84%,42%,36%,7%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not liberal or progressive enough,6%,6%,7%,7%,6%,6%,17%,12%,3%,3%,5%,11%,17%,8%,5%,7%,4%,14%,14%,12%,6%,5%,9%,4%,8%,8%,3%,15%,8%,8%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Not too far either way,44%,46%,44%,44%,37%,51%,47%,44%,43%,46%,43%,66%,43%,50%,41%,50%,39%,52%,55%,61%,48%,35%,78%,8%,43%,79%,7%,40%,41%,82%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",[VOL] Don’t know/Refused,5%,8%,4%,2%,4%,4%,3%,5%,3%,6%,4%,10%,10%,3%,6%,2%,5%,9%,10%,2%,6%,4%,4%,5%,12%,3%,5%,4%,14%,4%
"Do you think Kamala Harris is too liberal or progressive, not liberal or progressive enough, or not too far either way?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Nothing would change,1%,2%,1%,1%,2%,<.5%,2%,2%,2%,<1%,1%,<.5%,3%,<1%,2%,<1%,2%,1%,2%,<1%,2%,1%,1%,1%,6%,1%,1%,5%,4%,<.5%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Minor changes to how things work,13%,15%,13%,11%,15%,11%,21%,19%,13%,6%,13%,11%,13%,15%,11%,15%,11%,15%,11%,13%,15%,11%,6%,20%,21%,5%,18%,35%,22%,6%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Major changes to how things work,46%,44%,48%,47%,51%,43%,49%,45%,48%,45%,48%,27%,51%,44%,48%,44%,50%,44%,38%,35%,43%,54%,25%,70%,41%,25%,73%,37%,36%,23%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",He would tear down the system completely,37%,37%,36%,39%,30%,45%,27%,33%,35%,47%,37%,60%,31%,39%,37%,40%,35%,39%,47%,51%,39%,32%,67%,7%,27%,68%,6%,18%,35%,69%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",[VOL] Don't know/Refused,2%,2%,2%,2%,1%,2%,<1%,2%,3%,1%,1%,<1%,3%,<1%,2%,<.5%,2%,2%,2%,1%,2%,2%,1%,2%,6%,1%,2%,5%,3%,1%
"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Number of respondents,"1,663",501,600,562,777,854,229,381,528,481,"1,327",127,173,790,863,647,679,128,171,282,671,710,857,734,72,815,672,94,82,562
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Very good for the country,34%,32%,34%,36%,41%,28%,22%,31%,39%,35%,37%,6%,26%,25%,39%,26%,43%,16%,17%,15%,32%,42%,<.5%,73%,8%,<.5%,76%,12%,10%,2%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat good for the country,8%,8%,9%,7%,9%,7%,11%,9%,9%,5%,8%,6%,10%,10%,7%,10%,7%,9%,7%,9%,7%,9%,<1%,16%,17%,<1%,14%,22%,18%,1%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Somewhat bad for the country,4%,6%,3%,4%,5%,4%,8%,5%,3%,4%,4%,8%,8%,5%,4%,5%,3%,5%,10%,4%,5%,3%,8%,<.5%,7%,7%,<.5%,8%,8%,6%
"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Very bad for the country,43%,41%,43%,44%,34%,51%,43%,45%,38%,48%,42%,64%,39%,52%,38%,52%,37%,55%,47%,63%,45%,34%,84%,<1%,21%,85%,<.5%,14%,28%,85%
