itm,v1,michigan_likely_electorate_michigan_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_detroit,region_detroit_metro,region_east,region_north,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
Combined: Party identification and leaners,[VOL] Don't know/Refused,7%,10%,5%,6%,10%,8%,6%,6%,9%,7%,9%,7%,6%,7%,10%,7%,8%,10%,8%,4%,3%,7%,9%,6%,4%,4%,63%,0%,0%,13%
Combined: Party identification and leaners,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,40%,45%,33%,30%,32%,45%,42%,43%,9%,38%,33%,43%,36%,47%,26%,23%,7%,36%,38%,49%,51%,11%,36%,51%,3%,79%,20%,<1%,86%,38%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,43%,34%,51%,17%,46%,45%,50%,41%,74%,35%,50%,39%,50%,36%,55%,52%,76%,45%,41%,42%,28%,73%,45%,33%,83%,5%,13%,90%,3%,35%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",I did not vote,12%,14%,11%,44%,17%,6%,2%,11%,10%,26%,11%,13%,9%,12%,14%,22%,15%,12%,14%,8%,14%,13%,12%,13%,11%,13%,16%,8%,7%,22%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,3%,1%,5%,2%,2%,2%,2%,5%,0%,3%,2%,3%,2%,3%,1%,0%,4%,1%,1%,3%,0%,3%,2%,1%,2%,12%,<1%,0%,3%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,3%,3%,5%,3%,2%,4%,3%,3%,<1%,3%,4%,2%,4%,2%,2%,2%,3%,5%,<.5%,4%,4%,5%,2%,<1%,2%,39%,<1%,4%,2%
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,45%,53%,37%,53%,39%,48%,43%,48%,10%,52%,37%,49%,39%,53%,30%,29%,8%,41%,45%,53%,59%,12%,41%,58%,4%,90%,23%,<1%,93%,49%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,49%,40%,58%,30%,55%,48%,51%,45%,82%,47%,56%,45%,55%,41%,64%,67%,89%,52%,48%,46%,33%,84%,51%,37%,94%,5%,16%,97%,3%,45%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,4%,2%,8%,2%,2%,2%,2%,5%,0%,3%,2%,3%,2%,4%,2%,0%,4%,1%,1%,3%,0%,3%,3%,1%,2%,14%,<1%,0%,4%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,4%,3%,4%,9%,4%,2%,4%,4%,3%,1%,3%,4%,2%,4%,2%,2%,2%,4%,6%,<.5%,5%,4%,5%,2%,<1%,2%,47%,<1%,4%,2%
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,446,221,219,41,90,157,144,342,48,43,189,255,132,208,49,42,27,139,138,78,64,60,199,187,225,197,24,144,118,148
Donald Trump,Very favorable,34%,39%,30%,30%,30%,35%,38%,38%,6%,39%,22%,41%,25%,44%,16%,28%,13%,30%,34%,40%,46%,13%,30%,45%,2%,71%,9%,2%,85%,27%
Donald Trump,Somewhat favorable,10%,15%,6%,17%,13%,9%,7%,10%,10%,7%,13%,9%,13%,9%,13%,6%,6%,13%,8%,13%,7%,5%,12%,10%,2%,19%,11%,2%,8%,17%
Donald Trump,Somewhat unfavorable,8%,8%,8%,14%,10%,8%,5%,7%,8%,12%,12%,6%,10%,6%,11%,10%,3%,9%,9%,2%,12%,11%,10%,6%,6%,8%,33%,6%,2%,13%
Donald Trump,Very unfavorable,45%,36%,54%,36%,45%,45%,49%,43%,70%,36%,52%,41%,50%,40%,57%,49%,68%,46%,45%,43%,34%,67%,46%,38%,89%,1%,32%,88%,5%,40%
Donald Trump,[VOL] Have not heard of,<.5%,0%,<.5%,0%,1%,0%,0%,<.5%,0%,0%,<1%,0%,<1%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<1%,0%,0%
Donald Trump,[VOL] Don't know/Refused,2%,2%,2%,3%,<1%,2%,1%,<1%,6%,5%,2%,2%,1%,<1%,3%,7%,10%,1%,3%,<1%,0%,4%,2%,1%,1%,<1%,16%,2%,<.5%,2%
Donald Trump,NET Favorable,45%,54%,36%,47%,43%,44%,45%,48%,16%,46%,35%,50%,38%,53%,29%,34%,19%,44%,42%,54%,53%,18%,42%,55%,3%,90%,19%,4%,93%,44%
Donald Trump,NET Unfavorable,53%,44%,62%,50%,55%,53%,54%,51%,78%,49%,63%,48%,60%,46%,68%,59%,71%,55%,55%,46%,47%,78%,56%,43%,95%,9%,65%,94%,7%,54%
Donald Trump,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
Kamala [COMMA-luh] Harris,Very favorable,29%,22%,37%,18%,18%,32%,40%,28%,48%,24%,31%,29%,30%,28%,35%,37%,53%,29%,31%,25%,23%,47%,32%,22%,59%,2%,10%,68%,2%,19%
Kamala [COMMA-luh] Harris,Somewhat favorable,19%,16%,21%,29%,27%,16%,11%,18%,28%,20%,23%,16%,22%,16%,29%,20%,20%,20%,17%,19%,18%,28%,18%,17%,37%,1%,9%,28%,6%,21%
Kamala [COMMA-luh] Harris,Somewhat unfavorable,7%,8%,5%,12%,13%,2%,5%,6%,5%,14%,9%,5%,10%,4%,7%,11%,7%,7%,6%,4%,10%,7%,8%,5%,3%,9%,20%,1%,5%,12%
Kamala [COMMA-luh] Harris,Very unfavorable,43%,52%,35%,38%,39%,48%,44%,46%,16%,39%,36%,47%,37%,51%,28%,27%,17%,43%,43%,47%,48%,16%,40%,54%,<1%,86%,46%,2%,84%,46%
Kamala [COMMA-luh] Harris,[VOL] Have not heard of,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kamala [COMMA-luh] Harris,[VOL] Don't know/Refused,2%,2%,2%,3%,2%,3%,<.5%,2%,3%,3%,1%,2%,2%,2%,<1%,4%,3%,<1%,3%,3%,0%,1%,2%,3%,<.5%,2%,15%,<1%,3%,2%
Kamala [COMMA-luh] Harris,NET Favorable,48%,37%,58%,47%,46%,47%,51%,46%,77%,44%,54%,45%,52%,43%,64%,57%,73%,49%,48%,45%,42%,75%,50%,39%,96%,3%,19%,97%,8%,40%
Kamala [COMMA-luh] Harris,NET Unfavorable,50%,60%,40%,49%,52%,50%,49%,52%,21%,53%,45%,52%,47%,55%,35%,39%,24%,50%,49%,52%,58%,24%,49%,58%,4%,95%,66%,3%,90%,58%
Kamala [COMMA-luh] Harris,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
JD Vance,Very favorable,25%,29%,21%,16%,16%,26%,32%,28%,6%,18%,18%,28%,21%,31%,12%,13%,11%,22%,21%,31%,36%,10%,23%,30%,1%,51%,0%,2%,62%,18%
JD Vance,Somewhat favorable,15%,20%,12%,14%,20%,15%,12%,16%,10%,8%,18%,14%,19%,14%,9%,9%,10%,14%,18%,15%,12%,10%,14%,18%,2%,27%,22%,2%,18%,22%
JD Vance,Somewhat unfavorable,10%,10%,11%,22%,10%,12%,4%,9%,15%,12%,11%,10%,10%,9%,9%,16%,5%,10%,11%,9%,15%,9%,11%,10%,12%,8%,14%,8%,7%,16%
JD Vance,Very unfavorable,37%,30%,44%,31%,43%,34%,39%,37%,44%,38%,47%,32%,46%,33%,54%,32%,41%,39%,40%,32%,30%,56%,39%,30%,73%,2%,26%,76%,4%,33%
JD Vance,[VOL] Have not heard of,5%,4%,5%,4%,6%,3%,5%,4%,10%,8%,1%,6%,<.5%,5%,4%,13%,15%,5%,2%,5%,6%,8%,4%,4%,5%,4%,8%,7%,3%,3%
JD Vance,[VOL] Don't know/Refused,8%,8%,8%,13%,5%,9%,7%,6%,14%,15%,5%,9%,3%,8%,12%,17%,17%,10%,8%,7%,1%,7%,9%,7%,6%,7%,30%,5%,7%,8%
JD Vance,NET Favorable,40%,48%,32%,30%,36%,41%,45%,44%,16%,26%,36%,41%,41%,45%,21%,22%,21%,36%,39%,46%,48%,20%,37%,49%,4%,78%,22%,4%,80%,41%
JD Vance,NET Unfavorable,48%,40%,54%,52%,53%,46%,43%,47%,59%,50%,57%,43%,56%,42%,63%,48%,47%,49%,51%,42%,45%,66%,51%,40%,85%,11%,40%,84%,10%,49%
JD Vance,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
Tim Walz [walls],Very favorable,24%,21%,28%,17%,26%,24%,27%,26%,25%,11%,30%,21%,31%,23%,31%,9%,24%,25%,28%,20%,20%,35%,24%,21%,48%,<1%,15%,55%,1%,17%
Tim Walz [walls],Somewhat favorable,19%,13%,23%,29%,23%,18%,13%,17%,21%,31%,25%,16%,24%,14%,25%,27%,16%,17%,18%,26%,16%,19%,19%,19%,31%,7%,17%,24%,12%,23%
Tim Walz [walls],Somewhat unfavorable,7%,9%,6%,9%,9%,9%,4%,8%,10%,3%,7%,8%,7%,8%,4%,8%,1%,9%,7%,4%,11%,6%,9%,6%,4%,10%,14%,3%,6%,10%
Tim Walz [walls],Very unfavorable,31%,37%,26%,22%,25%,32%,37%,34%,7%,28%,28%,33%,31%,36%,16%,20%,11%,27%,33%,34%,40%,14%,29%,37%,2%,64%,8%,2%,64%,31%
Tim Walz [walls],[VOL] Have not heard of,9%,10%,8%,6%,8%,9%,11%,8%,14%,12%,3%,12%,1%,11%,8%,17%,21%,9%,7%,10%,10%,13%,8%,9%,9%,10%,4%,10%,8%,9%
Tim Walz [walls],[VOL] Don't know/Refused,9%,10%,9%,16%,9%,9%,8%,7%,23%,15%,8%,10%,6%,8%,17%,20%,27%,12%,9%,6%,3%,13%,10%,8%,7%,8%,43%,6%,9%,10%
Tim Walz [walls],NET Favorable,43%,34%,51%,46%,49%,42%,40%,43%,46%,42%,55%,37%,55%,37%,56%,35%,39%,42%,45%,46%,36%,54%,43%,40%,79%,8%,32%,79%,13%,40%
Tim Walz [walls],NET Unfavorable,39%,46%,32%,32%,35%,41%,41%,42%,17%,31%,34%,41%,38%,44%,19%,28%,13%,36%,39%,38%,51%,20%,39%,43%,6%,74%,21%,5%,70%,41%
Tim Walz [walls],Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
What one issue is most important in deciding your vote this November?,[VOL] The economy (including jobs and the stock market),24%,27%,22%,27%,20%,26%,23%,24%,20%,24%,27%,23%,26%,24%,27%,18%,22%,23%,25%,26%,24%,26%,19%,29%,10%,40%,12%,9%,42%,25%
What one issue is most important in deciding your vote this November?,[VOL] Abortion,17%,8%,25%,16%,15%,14%,23%,17%,18%,15%,18%,16%,19%,16%,16%,17%,11%,18%,17%,12%,21%,19%,21%,11%,28%,6%,16%,31%,7%,13%
What one issue is most important in deciding your vote this November?,[VOL] Immigration,14%,16%,12%,7%,5%,19%,17%,17%,2%,3%,10%,16%,13%,18%,2%,3%,4%,17%,10%,14%,16%,4%,14%,16%,1%,26%,12%,<.5%,30%,13%
What one issue is most important in deciding your vote this November?,[VOL] The state of democracy/corruption,7%,7%,6%,3%,7%,5%,9%,7%,5%,2%,10%,5%,12%,5%,6%,2%,4%,7%,8%,7%,3%,9%,7%,5%,13%,<.5%,4%,13%,0%,7%
What one issue is most important in deciding your vote this November?,[VOL] Character/competence of candidate,6%,8%,4%,5%,7%,8%,5%,7%,2%,8%,7%,6%,8%,6%,4%,5%,4%,4%,7%,10%,7%,6%,4%,9%,10%,2%,7%,7%,4%,7%
What one issue is most important in deciding your vote this November?,[VOL] Inflation and the cost of living,5%,5%,4%,4%,7%,6%,2%,4%,9%,7%,2%,6%,1%,6%,4%,11%,13%,5%,4%,6%,3%,5%,4%,6%,3%,7%,0%,4%,4%,6%
What one issue is most important in deciding your vote this November?,[VOL] Dislike of opposing candidate,5%,4%,5%,3%,1%,3%,9%,4%,7%,3%,4%,5%,3%,5%,7%,3%,12%,3%,3%,7%,5%,9%,3%,5%,7%,3%,0%,9%,2%,4%
What one issue is most important in deciding your vote this November?,[VOL] Foreign policy,3%,4%,3%,0%,7%,4%,<1%,2%,5%,7%,7%,1%,4%,1%,13%,1%,0%,4%,4%,3%,2%,3%,4%,2%,2%,3%,9%,3%,1%,6%
What one issue is most important in deciding your vote this November?,[VOL] Equality/inequality,3%,4%,3%,8%,8%,<1%,0%,3%,<1%,2%,3%,3%,2%,4%,4%,0%,0%,<1%,8%,<1%,<.5%,1%,4%,3%,4%,<1%,10%,5%,0%,3%
What one issue is most important in deciding your vote this November?,[VOL] Health care,1%,<.5%,2%,3%,4%,0%,0%,1%,0%,3%,<1%,1%,1%,<1%,0%,3%,0%,<1%,<1%,3%,1%,0%,1%,1%,2%,0%,<.5%,<1%,<1%,2%
What one issue is most important in deciding your vote this November?,[VOL] The Middle East/Israel/Palestinians,<1%,<.5%,2%,<1%,2%,<.5%,1%,<1%,0%,2%,1%,<1%,1%,<1%,3%,0%,6%,2%,0%,0%,0%,2%,1%,0%,2%,<.5%,2%,1%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Racism/racial issues,<1%,<.5%,1%,0%,2%,1%,0%,<1%,2%,0%,<1%,<1%,<1%,<1%,2%,<.5%,<.5%,<.5%,<1%,3%,0%,<.5%,<.5%,2%,2%,0%,0%,2%,<1%,0%
What one issue is most important in deciding your vote this November?,[VOL] Election integrity,<1%,1%,<.5%,<.5%,0%,1%,1%,<.5%,4%,2%,1%,<.5%,0%,<.5%,6%,<.5%,0%,1%,1%,0%,0%,2%,1%,<.5%,1%,<.5%,<1%,2%,<.5%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Taxes,<1%,<1%,<1%,3%,1%,0%,<.5%,<.5%,<.5%,3%,1%,<.5%,1%,0%,1%,3%,<1%,<1%,<1%,0%,0%,<.5%,1%,0%,<.5%,1%,0%,0%,<.5%,2%
What one issue is most important in deciding your vote this November?,[VOL] Polarization/division,<1%,<.5%,<1%,0%,0%,1%,0%,<1%,0%,2%,<1%,<1%,0%,<1%,3%,0%,0%,<1%,<1%,1%,0%,0%,<.5%,<1%,1%,0%,0%,1%,0%,<1%
What one issue is most important in deciding your vote this November?,[VOL] Gun policies,<1%,<.5%,<1%,2%,1%,0%,0%,<1%,0%,0%,<1%,<.5%,1%,<.5%,0%,0%,0%,1%,<1%,0%,0%,0%,1%,<.5%,1%,<.5%,0%,1%,<1%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Education,<.5%,<.5%,<.5%,2%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,0%,<1%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,<1%,<1%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Climate change,<.5%,<.5%,<.5%,1%,0%,0%,<.5%,<.5%,0%,0%,<1%,0%,1%,0%,0%,0%,0%,0%,<.5%,<1%,0%,0%,0%,<1%,<1%,0%,0%,<.5%,0%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Crime,<.5%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,0%,0%,<1%,0%,<1%,0%,0%,0%,0%,0%,0%,1%,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<.5%,<.5%
What one issue is most important in deciding your vote this November?,[VOL] Russia/the war in Ukraine,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] China,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,[VOL] Student loans,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
What one issue is most important in deciding your vote this November?,"[VOL] Other, specify",8%,9%,7%,11%,9%,8%,6%,7%,14%,12%,4%,10%,5%,8%,2%,20%,23%,7%,7%,3%,13%,11%,8%,7%,8%,8%,10%,7%,7%,7%
What one issue is most important in deciding your vote this November?,[VOL] Don't know/Refused,3%,2%,3%,7%,3%,2%,2%,1%,13%,3%,<.5%,4%,<.5%,1%,0%,13%,<1%,4%,2%,2%,3%,2%,4%,1%,3%,1%,15%,3%,<.5%,3%
What one issue is most important in deciding your vote this November?,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
Which candidate do you think would do a better job of handling the issue you think is most important?,"Kamala [COMMA-luh] Harris, the Democrat",46%,34%,57%,47%,44%,44%,48%,45%,71%,36%,52%,42%,53%,41%,55%,52%,68%,47%,47%,40%,39%,71%,48%,36%,92%,<1%,30%,95%,6%,36%
Which candidate do you think would do a better job of handling the issue you think is most important?,"Donald Trump, the Republican",50%,59%,40%,49%,48%,52%,48%,52%,18%,51%,43%,53%,44%,56%,33%,36%,19%,47%,50%,54%,59%,22%,47%,60%,3%,99%,33%,4%,94%,55%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Neither candidate,3%,4%,2%,0%,5%,<1%,4%,2%,4%,10%,3%,3%,1%,2%,8%,6%,3%,5%,<.5%,4%,<.5%,2%,4%,1%,3%,<.5%,21%,<1%,0%,4%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Someone else; specify,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Which candidate do you think would do a better job of handling the issue you think is most important?,[VOL] Don't know/Refused,2%,2%,2%,4%,3%,2%,<.5%,1%,7%,3%,2%,2%,2%,1%,3%,6%,10%,<1%,2%,3%,2%,5%,2%,2%,2%,<.5%,16%,<.5%,0%,5%
Which candidate do you think would do a better job of handling the issue you think is most important?,Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always legal,39%,34%,44%,38%,43%,40%,37%,37%,58%,48%,39%,40%,39%,36%,46%,58%,63%,43%,35%,36%,36%,62%,42%,31%,64%,14%,39%,76%,13%,30%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly legal,30%,29%,31%,33%,27%,32%,25%,30%,26%,22%,35%,27%,33%,29%,38%,14%,19%,27%,34%,37%,22%,28%,27%,33%,30%,29%,30%,20%,26%,39%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Mostly illegal,17%,20%,14%,13%,18%,15%,20%,19%,9%,5%,17%,17%,20%,19%,5%,8%,8%,18%,16%,12%,24%,3%,17%,20%,3%,32%,9%,2%,32%,18%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Always illegal,6%,7%,5%,5%,4%,5%,10%,5%,4%,10%,2%,8%,2%,6%,0%,12%,6%,4%,5%,8%,11%,3%,6%,7%,1%,11%,8%,<.5%,14%,4%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",[VOL] Don't know/Refused,9%,11%,7%,11%,8%,9%,7%,8%,4%,14%,7%,9%,6%,9%,11%,8%,4%,8%,10%,7%,8%,4%,9%,9%,3%,14%,14%,2%,14%,8%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Legal,69%,63%,75%,71%,71%,72%,63%,67%,84%,70%,74%,66%,72%,65%,84%,72%,82%,70%,69%,73%,58%,90%,68%,64%,94%,44%,69%,96%,39%,70%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",NET Illegal,23%,27%,19%,18%,22%,20%,30%,24%,13%,16%,19%,25%,22%,25%,5%,21%,14%,22%,21%,20%,34%,6%,23%,26%,4%,42%,17%,2%,46%,22%
"Do you think abortion should be always legal, mostly legal, mostly illegal or always illegal?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly favor,49%,44%,54%,69%,61%,47%,35%,51%,39%,52%,56%,46%,61%,47%,48%,44%,51%,48%,55%,48%,41%,67%,50%,44%,76%,23%,39%,77%,19%,50%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat favor,16%,14%,18%,9%,14%,19%,16%,16%,19%,14%,21%,14%,20%,14%,22%,12%,16%,17%,15%,18%,14%,10%,16%,18%,9%,24%,7%,8%,21%,19%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Somewhat oppose,8%,8%,8%,8%,6%,7%,11%,8%,10%,6%,8%,8%,7%,8%,11%,6%,0%,10%,7%,7%,11%,3%,10%,7%,3%,10%,26%,3%,14%,8%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Strongly oppose,18%,24%,13%,7%,13%,18%,28%,17%,26%,20%,9%,22%,8%,21%,16%,28%,16%,16%,15%,24%,25%,11%,16%,23%,7%,30%,13%,8%,37%,11%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",[VOL] Don't know/Refused,9%,9%,7%,8%,6%,9%,10%,8%,6%,8%,6%,10%,5%,10%,2%,11%,17%,10%,8%,4%,10%,8%,9%,9%,4%,12%,16%,3%,8%,12%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Favor,65%,58%,72%,78%,75%,66%,51%,67%,58%,66%,77%,60%,81%,61%,70%,56%,67%,65%,70%,66%,54%,77%,66%,62%,85%,48%,46%,85%,41%,69%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",NET Oppose,26%,32%,21%,15%,19%,25%,38%,25%,36%,26%,17%,30%,14%,29%,27%,34%,16%,26%,21%,31%,36%,15%,25%,30%,11%,40%,38%,12%,51%,19%
"In 2015, the Supreme Court ruled that the Constitution guarantees a right to same-sex marriage. Do you favor or oppose that decision?",Number of respondents,557,290,260,87,121,178,156,412,63,66,222,333,151,259,61,68,37,174,177,88,81,78,251,228,269,250,38,165,134,209
The economy,Kamala Harris,42%,32%,53%,32%,44%,42%,46%,42%,70%,31%,47%,40%,47%,39%,51%,49%,78%,42%,42%,40%,36%,72%,42%,35%,87%,<.5%,14%,94%,3%,32%
The economy,Donald Trump,55%,65%,45%,63%,54%,54%,52%,57%,25%,62%,50%,57%,51%,59%,43%,44%,19%,56%,55%,54%,61%,26%,54%,62%,9%,100%,61%,6%,96%,63%
The economy,[VOL] Don’t know/Refused,3%,3%,3%,4%,2%,3%,2%,2%,5%,7%,3%,3%,2%,2%,5%,7%,3%,2%,3%,6%,2%,2%,3%,3%,3%,<.5%,25%,<.5%,<1%,5%
The economy,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares,MARGIN Trump +12 Calculated using candidates’ unrounded vote shares
Abortion,Kamala Harris,57%,49%,65%,65%,61%,55%,54%,53%,85%,61%,63%,54%,60%,51%,76%,70%,82%,61%,55%,55%,46%,82%,60%,47%,99%,16%,41%,98%,12%,56%
Abortion,Donald Trump,37%,45%,29%,30%,36%,37%,40%,41%,11%,32%,29%,41%,34%,44%,14%,27%,16%,33%,38%,40%,48%,13%,34%,47%,<1%,78%,8%,2%,81%,37%
Abortion,[VOL] Don’t know/Refused,6%,7%,6%,6%,4%,8%,6%,6%,4%,7%,8%,5%,7%,5%,10%,3%,2%,7%,7%,4%,6%,4%,6%,6%,<1%,6%,51%,0%,7%,7%
