itm,v1,ne_2_likely_electorate_ne_2_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2,na_3,na_4,na_5,na_6
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,2%,4%,1%,<1%,5%,2%,1%,2%,3%,3%,1%,3%,<1%,5%,3%,1%,3%,8%,0%,1%,5%,0%,0%,0%,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,2%,3%,<1%,0%,2%,2%,2%,2%,3%,2%,2%,2%,1%,0%,4%,2%,2%,12%,1%,1%,4%,0%,0%,0%,NA,NA,NA,NA,NA,NA
"Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Donald Trump,44%,49%,40%,48%,34%,43%,52%,45%,34%,36%,52%,36%,55%,31%,36%,5%,92%,42%,3%,88%,34%,0%,100%,-,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Joe Biden,51%,43%,58%,51%,58%,52%,45%,51%,58%,58%,44%,59%,43%,64%,53%,92%,2%,24%,96%,9%,55%,100%,0%,-,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Someone else,3%,4%,1%,<1%,5%,2%,1%,2%,4%,4%,1%,3%,1%,5%,4%,1%,3%,13%,0%,1%,6%,0%,0%,-,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",[VOL] Don't know/Refused,3%,4%,1%,0%,3%,3%,2%,2%,4%,2%,3%,2%,2%,0%,7%,2%,2%,21%,1%,1%,4%,0%,0%,-,NA,NA,NA,NA,NA,NA
"(Excluding ""I did not vote"") Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Number of respondents,547,253,290,83,126,184,137,460,68,297,245,259,198,30,38,300,227,20,172,180,165,289,227,,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,11%,7%,15%,20%,18%,8%,6%,12%,13%,15%,9%,16%,8%,11%,14%,21%,<1%,3%,27%,1%,8%,20%,1%,15%,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,11%,10%,13%,15%,11%,11%,11%,11%,14%,11%,12%,11%,11%,10%,17%,20%,2%,2%,27%,2%,6%,21%,3%,7%,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,40%,42%,37%,37%,41%,42%,38%,40%,40%,44%,36%,45%,36%,44%,38%,47%,29%,56%,37%,25%,60%,48%,28%,46%,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,16%,19%,12%,12%,16%,17%,15%,15%,11%,17%,14%,15%,16%,22%,5%,6%,27%,9%,4%,26%,14%,7%,26%,10%,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,18%,19%,18%,14%,9%,20%,25%,18%,18%,11%,25%,12%,25%,10%,21%,2%,39%,14%,2%,44%,7%,1%,40%,13%,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,4%,3%,4%,2%,5%,2%,5%,3%,4%,2%,5%,1%,5%,4%,5%,4%,2%,16%,3%,2%,5%,3%,2%,9%,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,26%,32%,21%,19%,30%,26%,25%,26%,29%,33%,20%,33%,18%,34%,26%,34%,19%,15%,32%,19%,28%,35%,19%,17%,NA,NA,NA,NA,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,74%,68%,79%,81%,70%,74%,75%,74%,71%,67%,80%,67%,82%,66%,74%,66%,81%,85%,68%,81%,72%,65%,81%,83%,NA,NA,NA,NA,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,663,310,347,144,153,204,141,534,106,329,328,283,248,36,70,350,272,41,197,206,214,289,227,116,NA,NA,NA,NA,NA,NA
