QTag,Question Text,Internal/External
WP13167,Are you satisfied or dissatisfied with the results of the recent national elections?,External
WP13168,"From what you know, is a fine being charged for those who did not vote in the parliamentary elections?",External
WP13169,How much is the fine? (asked only of those who say there is a fine being charged for those who did not vote in the parliamentary election),External
WP13170,Do you think the government is serious or not serious about collecting this fine from those who did not vote? (asked only of those who say there is a fine being charged for those who did not vote in the parliamentary election),External
WP13171,"In your opinion, do you think that those who voted in the elections were largely motivated by participating in the democratic process or largely feared being fined?",External
WP13172,Do you personally favor or oppose imposing a fine on those who do not vote in the national elections?,External
WP13173,Should the next Prime Minister of Egypt be appointed by:,External
WP13174,Would you rather those writing Egypt's new constitution be chosen by:,External
WP13178,"Thinking about the tensions between Muslim and Western societies, do you think they arise more from differences in religion or from differences in political interests?",External
WP13182,"Overall, do you support or not support the protestors calling for change in their government in some Arab countries?",External
WP13183,"As a result of the recent protests and revolts in the Arab World, will each of the following get better or get worse in these countries? Security and safety",External
WP13184,"As a result of the recent protests and revolts in the Arab World, will each of the following get better or get worse in these countries? Prospects for good governance",External
WP13185,"As a result of the recent protests and revolts in the Arab World, will each of the following get better or get worse in these countries?  Economic prospects",External
WP13186,"Overall, did you favor or oppose NATO'S military intervention in Libya in 2011?",External
WP13190,Please indicate whether you support or do not support each of the following political parties or groups.  Hazab El Wast,External
WP13191,Please indicate whether you support or do not support each of the following political parties or groups. Hazeb El Wafad,External
WP13192,Please indicate whether you support or do not support each of the following political parties or groups. Tahalf el Thowra Mostamara,External
WP13198,"Do you think each of the following will get better, get worse, or stay the same in the next two years?   Quality of health care",External
WP13199,"Do you think each of the following will get better, get worse, or stay the same in the next two years?  Quality of water",External
WP132,"In this country, are you satisfied or dissatisfied with efforts to preserve the environment?",External
WP13200,"Do you think each of the following will get better, get worse, or stay the same in the next two years?   Security",External
WP13201,"Do you think each of the following will get better, get worse, or stay the same in the next two years? Availability of good jobs",External
WP13202,"Do you think each of the following will get better, get worse, or stay the same in the next two years? Overall economy",External
WP13203,"Do you think each of the following will get better, get worse, or stay the same in the next two years? Corruption in the government",External
WP13204,"Do you think each of the following will get better, get worse, or stay the same in the next two years? Quality of government leadership",External
WP13205,"Do you think each of the following will get better, get worse, or stay the same in the next two years? Freedom of speech",External
WP13208,How strongly do you identify with each of the following groups? This country,External
WP13210,How strongly do you identify with each of the following groups?  Your city or village,External
WP13211,How strongly do you identify with each of the following groups? Your religion,External
WP13212,"How strongly do you identify with each of the following groups? Africa, the continent",External
WP13213,When was the last time you were examined by a medical doctor or nurse? Please do not include traditional healers. ,External
WP1325,"Ideally, if you had the opportunity, would you like to move PERMANENTLY to another country, or would you prefer to continue living in this country?",External
WP1326,"First, in your city/village/rural area where you live, are there many immigrants, a fair amount of immigrants, a few immigrants, or no immigrants?",External
WP1327,"Compared with five years ago, are there more immigrants today, about the same, or fewer immigrants?",External
WP1328,"In your view, should immigration in this country be kept at its present level, increased, or decreased?",External
WP133,"In this country, are you satisfied or dissatisfied with efforts to increase the number and quality of jobs?",External
WP1330,Do you think immigrants mostly take jobs that citizens in this country do not want (e.g. low-paying or not prestigious) or mostly take jobs that other citizens in this country could take?,External
WP1332,"What do you think is better for this country: To have many different kinds of people with different languages and cultures and religions, or to have mostly one culture and nationality, with people who all speak the same language?",External
WP1334,"Do you consider yourself to be religious, or not?",External
WP1336,How would you describe your religion? (Asked only of those who specify a religion other than secular/nonreligious/agnostic/atheist/none.),External
WP1337,What do you personally believe about someone of your religion marrying someone who is not of the same religion? (Asked only of those who specify a religion other than secular/nonreligious/agnostic/atheist/none.),External
WP1338,What influence should religion have on the political decisions in the country? Should religion have . . . ?,External
WP134,"In this country, are you satisfied or dissatisfied with your freedom to choose what you do with your life?",External
WP1342,"Do you think each of the following is morally acceptable, or morally wrong? A woman having a child outside of marriage.",External
WP1347,"Do you think each of the following is morally acceptable, or morally wrong? People who don't declare all of their income for tax purposes.",External
WP1348,"Do you think each of the following is morally acceptable, or morally wrong? A woman who delays getting married to further her education or start a career.",External
WP1349,"Do you think each of the following is morally acceptable, or morally wrong? The career priority over family for a married woman.",External
WP13495,"As a result of the overthrow of Gaddafi will conditions for you, yourself improve, decline or stay the same?",External
WP13496,"Again, as a result of the overthrow of Gaddafi do you think Libya's status in the region will improve, decline or stay the same?",External
WP13497,"Taking everything into consideration, do you think that the revolution has done more harm than good or more good than harm to Libya?",External
WP13498,"Five years from now, do you think Libya will be much better off, somewhat better off, somewhat worse off, or much worse off than it was before the revolution?",External
WP13499,Do you support or not support the National Transitional Council (NTC)?,External
WP1350,"Do you think each of the following is morally acceptable, or morally wrong? Converting from your religion to another (Asked only of those who are religious.)",External
WP13500,"Please indicate whether  the following groups pose a major threat, a minor threat, or no threat to the future of Libya? Al-Qaeda or other Islamic militant groups",External
WP13501,"Please indicate whether the following groups pose a major threat, a minor threat, or no threat to the future of Libya? Militia or rebel fighters",External
WP13502,"Please indicate whether  the following groups pose a major threat, a minor threat, or no threat to the future of Libya? Members of Gaddafi's former regime",External
WP13503,"Please indicate whether  the following groups pose a major threat, a minor threat, or no threat to the future of Libya? Western military forces",External
WP13504,Do you favor or oppose Western societies sending each of the following to Libya? Economic aid,External
WP13505,Do you favor or oppose Western societies sending each of the following to Libya? Equipment for Libya's military forces,External
WP13506,Do you favor or oppose Western societies sending each of the following to Libya? Military trainers,External
WP13507,Do you favor or oppose Western societies sending each of the following to Libya? Aid for Libyan political groups,External
WP13508,Do you favor or oppose Western societies sending each of the following to Libya? Governance experts,External
WP1351,"Do you think each of the following is morally acceptable, or morally wrong? Polygamy",External
WP13511,I am going to read you three statements about how Libya could change in the future.  Please tell me which ONE is the most important to you.  ,External
WP13512,I'm going to read you three statements about local militias and their weapons. Please tell me which statement comes closest to your opinion. ,External
WP13513,"Overall, did you support or not support those who called for the end of Moammar Gaddafi's regime?",External
WP1352,"Do you think each of the following is morally acceptable, or morally wrong? Usage of contraceptives",External
WP13530,What is the most important issue or challenge that the government of Egypt should address? (first response),External
WP13531,What is the SECOND most important issue or challenge that the government of Egypt should address? (second response),External
WP13532,"Now, please tell me whether you agree or disagree with the following statement. The U.S. is serious about encouraging the establishment of democratic systems of government in this region.",External
WP1354,"Do you think each of the following is morally acceptable, or morally wrong? Euthanasia (When a doctor ends the life of a person who requests it, because he or she is in pain and cannot ever get well again)",External
WP1355,"Do you think each of the following is morally acceptable, or morally wrong? Usage of soft drugs (marijuana, hashish, etc.)",External
WP1356,"Do you think each of the following is morally acceptable, or morally wrong? HIV-infected people who conceal the fact of their HIV infection from others",External
WP1357,"Now, here are some different kinds of items. For each one, again please tell me if you think it is morally acceptable, or morally wrong. Bribing nurses or doctors in order to get better care in the hospital",External
WP1358,"Now, here are some different kinds of items. For each one, again please tell me if you think it is morally acceptable, or morally wrong. Bribing policemen in order not to get a ticket",External
WP1359,"Now, here are some different kinds of items. For each one, again please tell me if you think it is morally acceptable, or morally wrong. Bribing in order to help your child to get to some university",External
WP1360,"Now, here are some different kinds of items. For each one, again please tell me if you think it is morally acceptable, or morally wrong. Bribing an official in order to get permission for re-planning of your apartment",External
WP1361,"Now, here are some different kinds of items. For each one, again please tell me if you think it is morally acceptable, or morally wrong. Bribing government officials to avoid tax inspection",External
WP1362,"Now, here are some different kinds of items. For each one, again please tell me if you think it is morally acceptable, or morally wrong. Bribing government officials in order to get a profitable government contract",External
WP1363,"Do you personally feel that the creation of free market economy, that is largely free from the state control, is right or wrong for your country's future?",External
WP1364,"When foreign companies invest in this country, which do you think is more likely, that they will help or hurt this country's economy?",External
WP1365,"If foreign companies want to buy big companies in this country, do you think this country's government should allow or should prohibit that from happening?",External
WP137,"In this country, do you have confidence in each of the following, or not? How about the military?",External
WP138,"In this country, do you have confidence in each of the following, or not? How about judicial system and courts?",External
WP139,"In this country, do you have confidence in each of the following, or not? How about national government?",External
WP1391,"In general, how would you rate relations between Israelis and Palestinians these days? Would you say relations are very good, somewhat good, neither good nor bad, somewhat bad, or very bad?",External
WP14,Do you live in . . . ?,External
WP140,"In this country, do you have confidence in each of the following, or not? How about healthcare or medical systems?",External
WP14011,"Do you prefer a centralized government that sets the policies for the state, or a system of regions within this country that have autonomy to override national policies?",External
WP14012,"Do you think each of the following is better, about the same, or worse in this country as a result of American military forces withdrawing at the end of 2011? Security",External
WP14013,"Do you think each of the following is better, about the same, or worse in this country as a result of American military forces withdrawing at the end of 2011? Corruption",External
WP14014,"Do you think each of the following is better, about the same, or worse in this country as a result of American military forces withdrawing at the end of 2011? Freedom from foreign influence",External
WP14015,"Do you think each of the following is better, about the same, or worse in this country as a result of American military forces withdrawing at the end of 2011? Political stability",External
WP14016,"Do you think each of the following is better, about the same, or worse in this country as a result of American military forces withdrawing at the end of 2011? Jobs and unemployment",External
WP1407,"How much trust do you have in U.S. President George W. Bush to help Israel and the Palestinians negotiate a peace treaty that is equally fair to both sides -- a great deal, a fair amount, not much, or none at all?",External
WP141,"In this country, do you have confidence in each of the following, or not? How about financial institutions or banks?",External
WP1411,Do you think that a permanent peace between Israel and the Palestinians will ever be achieved?,External
WP1412,"Would you say that relations between Israelis and Palestinians are improving, getting worse, or staying the same?",External
WP1413,"In principle, do you support or oppose the peace process with the Israelis? ",External
WP1416,When it comes to achieving self-determination and security for my people.,External
WP1417,"In your opinion, how many people in this country, if any, are afraid to openly express their political views?",External
WP1418,Did you experience the following feelings during a lot of the day yesterday? How about Fear?,External
WP142,"In this country, do you have confidence in each of the following, or not? How about religious organizations (churches, mosques, temples, etc.)?",External
WP1423,Do you approve or disapprove of the job performance of the leadership of the following countries? The European Union.,External
WP1424,What is the main roofing material of the house you now live in?,External
WP1425,Which illness is the most prevalent in your country?,External
WP14254,"I will read out to you a set of statements, which you may or may not totally agree with. As I read them out, I would like you to indicate whether you agree or disagree with each. The U.S. is serious about improving the economic lot of people in this region.",External
WP14255,"I will read out to you a set of statements, which you may or may not totally agree with. As I read them out, I would like you to indicate whether you agree or disagree with each. The U.S. is serious about encouraging the establishment of democratic systems of government in this region.",External
WP14256,"I will read out to you a set of statements, which you may or may not totally agree with. As I read them out, I would like you to indicate whether you agree or disagree with each. The U.S. will allow people in this region to fashion their own political future as they see fit without direct U.S. influence.",External
WP14257,"I will read out to you a set of statements, which you may or may not totally agree with. As I read them out, I would like you to indicate whether you agree or disagree with each. Europe is serious about encouraging the establishment of democratic systems of government in this region.",External
WP14258,"I will read out to you a set of statements, which you may or may not totally agree with. As I read them out, I would like you to indicate whether you agree or disagree with each. Turkey is serious about encouraging the establishment of democratic systems of government in this region.",External
WP1426,Which of the following diseases are serious problems in this country? Tuberculosis,External
WP1427,Which of the following diseases are serious problems in this country? HIV/AIDS,External
WP1428,Which of the following diseases are serious problems in this country? Malaria,External
WP1429,Which of the following diseases are serious problems in this country? Polio,External
WP143,"In this country, do you have confidence in each of the following, or not? How about quality and integrity of the media?",External
WP1430,Which of the following diseases are serious problems in this country? Smallpox,External
WP1438,Which of the following diseases are serious problems in this country? Hepatitis,External
WP1439,Which of the following diseases are serious problems in this country? Cholera,External
WP14397,"The United Nations, the U.S., and Western Europe continue to impose sanctions on Iran. Do you think these sanctions have hurt the livelihood of Iranians a great deal, somewhat, or not at all?",External
WP14398,"Given the scale of the sanctions against Iran, do you think Iran should continue to develop its nuclear power capabilities, or not?",External
WP14399,"Have these sanctions personally hurt your livelihood a great deal, hurt it somewhat, or have they not hurt your livelihood at all?",External
WP144,"In this country, do you have confidence in each of the following, or not? How about honesty of elections?",External
WP14400,Which of the following groups do you hold MOST RESPONSIBLE for the sanctions against Iran?,External
WP14402,Do you favor or oppose the Iranian government doing each of the following? Sending economic aid to Syria,External
WP14403,Do you favor or oppose the Iranian government doing each of the following? Sending military support to Syria,External
WP14404,Do you favor or oppose the Iranian government doing each of the following? Supporting Syria politically,External
WP14442,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. You like what you do every day.",External
WP14443,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. You learn or do something interesting every day.",External
WP14444,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. Someone in your life always encourages you to be healthy.",External
WP14445,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. Your friends and family give you positive energy every day.",External
WP14446,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. You have enough money to do everything you want to do.",External
WP14447,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. In the last seven days, you have worried about money.",External
WP14448,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. In the last seven days, you have felt active and productive every day.",External
WP14449,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. Your physical health is near-perfect.",External
WP14450,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. The city or area where you live is a perfect place for you.",External
WP14451,"Thinking about your life in general, please rate your level of agreement with each of the following using a five-point scale, where 5 means you STRONGLY AGREE and 1 means you STRONGLY DISAGREE. You may choose any of the numbers 1, 2, 3, 4, or 5. In the last 12 months, you have received recognition for helping to improve the city or area where you live.",External
WP14452,"Are you planning to start your own business in the next 12 months, or not? (asked of those who do not currently own a business)",External
WP14453,"Other than your family members, is there someone you trust enough to make your partner in starting a business? (asked of those who do not currently own a business)",External
WP14454,"Do you have access to training on how to start or grow a business, or not? [(If necessary, read:) Training can include any formal or informal means to learn about starting or growing a business.]",External
WP14455,"Do you have access to the money you would need if you wanted to start or grow a business? [(If necessary, read:) This money could come from personal savings, loans, or any other source.]",External
WP14456,Would you rather have a job working for the government or working for a business?,External
WP1447,"How long does it take you to reach the closest main road, meaning a road that can be used by motor vehicles year round, even during the rainy season?",External
WP14473,"How closely have you been following political developments in Arab countries such as Egypt, Libya, and Tunisia? ",External
WP14476,Do you believe that the events that have unfolded in these Arab countries have had more of a positive or more of a negative effect on this country? (asked of those who have been closely following political developments in Arab countries),External
WP1448,How long does it take you to reach the closest doctor/health clinic or hospital?,External
WP1449,When was the last time you visited this doctor/health clinic or hospital?,External
WP145,"Is corruption widespread within businesses located in this country, or not?",External
WP1450,"If someone wants to start a business in this country, can they feel very confident that tax laws and other rules of the game will not change all the time?",External
WP1451,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that individual land rights need strengthening?",External
WP1452,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that the growth of cities causes land management problems?",External
WP1453,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that accountability for land management needs to be strengthened?",External
WP14530,"In what year did this business start?  [(If necessary, read:) We want to know  what year the business started even if you were not the owner.] (asked only of business owners)",External
WP14537,"Do you think each of the following is morally acceptable, or morally wrong? Openly demonstrating a homosexual relationship",External
WP14538,Did you bribe someone for any other reason in the past 12 months? (asked only of those who had to give a bribe or present in the last 12 months),External
WP14539,What was the reason? (asked only of those who had to give a bribe or present in the last 12 months),External
WP1454,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that land plays an important role in conflicts and security?",External
WP1455,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that our natural resources need to be preserved?",External
WP1456,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that other countries take advantage of our natural resources?",External
WP1457,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that accountability for natural resources needs to be strengthened?",External
WP1458,"Now, I would like to get your opinions about the use of land and natural resources in this country. Do you feel that it is more important to profit from natural resources than to protect them?",External
WP1459,"Considering all the activities you engage in to make a living, how much do you depend on earning a wage or a salary?",External
WP14596,"In your opinion, which political system is the most suitable for this country?",External
WP14597,"In your opinion, which political system exists at the present time in this country?",External
WP14598,Who do you first consider yourself to be?,External
WP14599,"In your view, should emigration from this country be kept at its present level, increased, or decreased?",External
WP146,"Is corruption widespread throughout the government in this country, or not?",External
WP1460,"Considering all the activities you engage in to make a living, how much do you depend on buying and selling goods as a trader?",External
WP14600,"Do you think emigrants mostly take jobs that citizens in those countries do not want (e.g., low-paying or not prestigious jobs) OR mostly take jobs that citizens in those countries want?",External
WP14601,Please tell me whether you agree or disagree with the following statement: An honest person cannot become successful or grow rich.,External
WP1461,"Considering all the activities you engage in to make a living, how much do you depend on doing work in return for food or shelter?",External
WP1462,"Considering all the activities you engage in to make a living, how much do you depend on employing other people to work for you?",External
WP1463,"Considering all the activities you engage in to make a living, how much do you depend on participating in a community savings group?",External
WP1464,"Considering all the activities you engage in to make a living, how much do you depend on borrowing money from friends or family?",External
WP1465,"Considering all the activities you engage in to make a living, how much do you depend on borrowing money from a bank?",External
WP14654,How hopeful are you that the current talks between Iran and the European Union over the Iran's nuclear program will eventually reach an agreement that is agreeable to both sides?,External
WP1466,"Considering all the activities you engage in to make a living, how much do you depend on receiving money from family members working elsewhere in the country?",External
WP14664,Do you think Egypt is better off or worse off now than it was before the resignation President Mubarak?,External
WP14665,"Just your best guess, do you think Egypt will be better off or worse off five years from now than it was before the resignation of President Mubarak?",External
WP14666,"Thinking about the political changes that have taken place in Egypt since the resignation of President Mubarak, do you think these political changes have been good or bad for Egypt?",External
WP14667,"In your opinion, has each of the following improved or declined since the resignation President Mubarak’s resignation? Employment opportunities in the private sector",External
WP14668,"In your opinion, has each of the following improved or declined since the resignation President Mubarak’s resignation? Employment opportunities in the government sector",External
WP14669,"In your opinion, has each of the following improved or declined since the resignation President Mubarak’s resignation? Egypt’s relations with the GCC countries",External
WP1467,"Considering all the activities you engage in to make a living, how much do you depend on receiving money from family members working in other countries?",External
WP14670,"In your opinion, has each of the following improved or declined since the resignation President Mubarak’s resignation? Freedom of media",External
WP14671,"In your opinion, has each of the following improved or declined since the resignation President Mubarak’s resignation? Honesty of elections",External
WP14674,Please indicate whether you support or do not support each of the following political parties or groups. El Dostor,External
WP14675,Please indicate whether you support or do not support each of the following political parties or groups. El Raya,External
WP14676,"Thinking about job opportunities in Egypt today, would you say that a lack of jobs is a big problem, a medium problem, a small problem, or not a problem at all?",External
WP14677,"Who do you think is most responsible for increasing job opportunities in Egypt? Is it the government, private companies, charitable organizations, or some other group?",External
WP14678,How long do you think it will take for the job situation in Egypt to improve?,External
WP1468,"On an average day, roughly how much time do you spend on the following activities: Working to earn money?",External
WP14689,"Some people believe Venezuela’s late president, Hugo Chavez, had a positive influence in Latin America, while others think he had a negative influence in the region. What would you say most people in your country believe: that he had a positive influence or a negative influence in Latin America?",External
WP14690,"Would you say with the death of Venezuela’s late president, Hugo Chavez, (Country) will be better off or worse off?",External
WP14691,Some people think that expanding free trade with other countries is good for (Country)’s economy while other people think more international free trade can hurt (Country)’s economy. Which comes closer to your own opinion? Do you think that expanding free trade with other countries would help or hurt (Country)’s economy?,External
WP14692,The Catholic Church recently chose a new Pope (Pope Francis). Please tell me whether you agree or disagree with the following statements regarding Pope Francis. Pope Francis will bring positive changes to the Catholic Church.,External
WP14693,The Catholic Church recently chose a new Pope (Pope Francis). Please tell me whether you agree or disagree with the following statements regarding Pope Francis. Pope Francis has inspired me to feel closer to the Catholic Church.,External
WP14694,The Catholic Church recently chose a new Pope (Pope Francis). Please tell me whether you agree or disagree with the following statements regarding Pope Francis. Pope Francis brings hope to the poor of the world.,External
WP14695,Do you approve or disapprove of the job performance of the leadership of the “Georgia Dream”?,External
WP14696,Do you approve or disapprove the job performance of the leadership of the “United National Movement”?,External
WP147,"Do you believe the current economic conditions in this country are good, or not?",External
WP1470,"On an average day, roughly how much time do you spend on the following activities: Doing household work?",External
WP14702,"If you had to choose, and taking everything into account, which of the following solutions to the Palestinian-Israeli conflict do you think Palestine’s leaders should pursue?",External
WP14703,"As you may know, Mahmoud Abbas recently announced plans to try to form a unity government among the Palestinian political factions, and then hold new presidential and parliamentary elections for the West Bank and Gaza Strip.  Do you generally support or oppose this effort?",External
WP14704,"Do you feel strongly about that, or not strongly? (asked of those who say they either support or oppose plans to form a unity government and hold new presidential elections for the West Bank and Gaza Strip)",External
WP14705,"Please tell me whether you agree or disagree with the following statement: Recent efforts by U.S. President Barack Obama and U.S. Secretary of State, John Kerry, demonstrate that the United States is more serious than ever about mediating a solution to the Palestinian- Israeli conflict that is acceptable to both sides.",External
WP14706,"Next, I would like you to think about several actions that are discussed by each side in the Israeli-Palestinian conflict as possible preconditions for restarting peace talks. For each action, please say if this should or should not be a precondition for restarting peace talks. Palestinians recognize Israel as a Jewish state",External
WP14707,"Next, I would like you to think about several actions that are discussed by each side in the Israeli-Palestinian conflict as possible preconditions for restarting peace talks. For each action, please say if this should or should not be a precondition for restarting peace talks. Palestinians agree not to pursue right of return for Palestinian refugees",External
WP14708,"Next, I would like you to think about several actions that are discussed by each side in the Israeli-Palestinian conflict as possible preconditions for restarting peace talks. For each action, please say if this should or should not be a precondition for restarting peace talks. Palestinians agree not to pursue claims against Israel at the International Criminal Court",External
WP14709,"Next, I would like you to think about several actions that are discussed by each side in the Israeli-Palestinian conflict as possible preconditions for restarting peace talks. For each action, please say if this should or should not be a precondition for restarting peace talks. Israel agrees to freeze all settlement construction in the West Bank and East Jerusalem",External
WP1471,"On an average day, roughly how much time do you spend on the following activities: Caring for your own family's children?",External
WP14710,"Next, I would like you to think about several actions that are discussed by each side in the Israeli-Palestinian conflict as possible preconditions for restarting peace talks. For each action, please say if this should or should not be a precondition for restarting peace talks. Israel commits to the pre-1967 boundaries as the basis for the borders in a two-state solution",External
WP14711,"Next, I would like you to think about several actions that are discussed by each side in the Israeli-Palestinian conflict as possible preconditions for restarting peace talks. For each action, please say if this should or should not be a precondition for restarting peace talks. Israel will release Palestinians currently held in Israeli jails under agreed to conditions",External
WP14712,"Compared to other preconditions, do you consider Palestinians recognizing Israel as a Jewish state to be a top priority or not a top priority?  (asked of those who say Palestinians recognizing Israel as a Jewish state should be a precondition for restarting peace talks)",External
WP14713,"Compared to other preconditions, do you consider Palestinians agreeing not to pursue right of return for refugees to be a top priority or not a top priority? (asked of those who say Palestinians giving up the right of return for Palestinian refugees should be a precondition for restarting peace talks)",External
WP14714,"Compared to other preconditions, do you consider Palestinians agreeing not to pursue claims against Israel at the International Criminal Court to be a top priority or not a top priority? (asked of those who say Palestinians agreeing not to pursue Israel at the International Criminal Court should be a precondition for restarting peace talks)",External
WP14715,"Compared to other preconditions, do you consider Israel agreeing to freeze all settlement construction in the West Bank and East Jerusalem to be a top priority or not a top priority?  (asked of those who say Palestinians agreeing to freeze all settlement construction in the West Bank and East Jerusalem should be a precondition for restarting peace talks)",External
WP14716,"Compared to other preconditions, do you consider Israel committing to the pre-1967 boundaries as the basis for the borders in a two-state solution to be a top priority or not a top priority?  (asked of those who say Israel committing to the 1967 boundaries as the basis for the borders of the two-states should be a precondition for restarting peace talks)",External
WP14717,"Compared to other preconditions, do you consider Israel releasing certain Palestinians currently held in Israeli jails under agreed-to condition to be a top priority or not a top priority? (asked of those who say Israel releasing Palestinian prisoners held in Israeli jails should be a precondition for restarting peace talks)",External
WP14726,"Do you consider yourself an internally displaced person? That is, you had to leave your home for any reason and now live in a different part of Syria?",External
WP14727,Were you displaced from somewhere within this governorate or displaced from another governorate? (asked of those who consider themselves an internally displaced person),External
WP14728,"Since the start of the conflict in Syria over two years ago, have any of your immediate family members left the area they were living in and moved to any of the following areas? Somewhere else within the same governorate",External
WP14729,"Since the start of the conflict in Syria over two years ago, have any of your immediate family members left the area they were living in and moved to any of the following areas? To another governorate",External
WP14730,"Since the start of the conflict in Syria over two years ago, have any of your immediate family members left the area they were living in and moved to any of the following areas? Somewhere outside Syria",External
WP14731,"Do you think the current conflict in Syria will come to an end in the next 6 months, in more than 6 months, but less than a year, within 1-2 years or more than 2 years from now?",External
WP14732,Has someone from this household lost their life as a result of the ongoing violence?,External
WP14733,Has someone from this household been injured as a result of the ongoing violence?,External
WP14734,Has this household lost their main source of income due to the ongoing violence?,External
WP14735,Does this household support another family or families that has/have been displaced from their residence due to the ongoing violence?,External
WP1475,"Over the past year, how often, if ever, have you or your family gone without enough food to eat?",External
WP1476,"Over the past year, how often, if ever, have you or your family gone without enough clean water for home use?",External
WP1477,"Over the past year, how often, if ever, have you or your family gone without medicines or medical treatment?",External
WP1478,"Over the past year, how often, if ever, have you or your family gone without electricity in your home?",External
WP1479,"Over the past year, how often, if ever, have you or your family gone without enough fuel to cook your food?",External
WP148,"Right now, do you think that economic conditions in this country, as a whole, are getting better or getting worse?",External
WP1480,"Over the past year, how often, if ever, have you or your family gone without a cash income?",External
WP1487,"Next, I'm going to read some different scenarios for the future of Jerusalem. As I read each one, please say whether that is something you WOULD be willing to consider, or would NOT be willing to consider, as part of a comprehensive peace settlement with the Israelis.  A unified city run by a joint council of Palestinians, Israelis, and an international representative such as the U.N. or E.U.",External
WP1488,"Next, I'm going to read some different scenarios for the future of Jerusalem. As I read each one, please say whether that is something you WOULD be willing to consider, or would NOT be willing to consider, as part of a comprehensive peace settlement with the Israelis.  An international city run by the United Nations, not part of either Israel or Palestine",External
WP1489,"Next, I'm going to read some different scenarios for the future of Jerusalem. As I read each one, please say whether that is something you WOULD be willing to consider, or would NOT be willing to consider, as part of a comprehensive peace settlement with the Israelis.  A divided city, with Palestinian sovereignty over all of East Jerusalem, and Israeli sovereignty over all of West Jerusalem",External
WP149,"Thinking about the job situation in this country today, would you say that it is now a good time or a bad time to find a job?",External
WP1493,"Next, I'm going to read some different scenarios for the future of Jerusalem. As I read each one, please say whether that is something you WOULD be willing to consider, or would NOT be willing to consider, as part of a comprehensive peace settlement with the Israelis.  A divided city with shared sovereignty over the holy sites, Palestinian sovereignty over the rest of East Jerusalem and Israeli sovereignty over West Jerusalem",External
WP1494,"Next, I'm going to read some different scenarios for the future of Jerusalem. As I read each one, please say whether that is something you WOULD be willing to consider, or would NOT be willing to consider, as part of a comprehensive peace settlement with the Israelis.  A unified city as capital of the State of Israel",External
WP150,Do you approve or disapprove of the job performance of the leadership of this country?,External
WP1501,How important do you believe achievement of a peace treaty between Israel and the Palestinians is to each of the following: The personal safety and security of Palestinians?,External
WP1502,How important do you believe achievement of a peace treaty between Israel and the Palestinians is to each of the following: Economic prosperity in Palestine?,External
WP1503,How important do you believe achievement of a peace treaty between Israel and the Palestinians is to each of the following: International respect for Palestine?,External
WP1504,How important do you believe achievement of a peace treaty between Israel and the Palestinians is to each of the following: The future facing you and your family?,External
WP151,Do you approve or disapprove of the job performance of the leadership of the United States?,External
WP15196,"Please indicate whether the following groups pose a major threat, minor threat, or no threat to the future of Nigeria. Militants in the Niger Delta",External
WP15197,"Please indicate whether the following groups pose a major threat, minor threat, or no threat to the future of Nigeria. Boko Haram or other Islamic militant groups",External
WP152,Do you approve or disapprove of the job performance of the leadership of the United Kingdom?,External
WP15240,Will you vote in the upcoming presidential elections on October 5th? (asked of those who are older than 15 years of age),External
